model_id,base_model,reasoning_level,reasoning_tokens,snapshot,variant,model_version,organization,country,publication_date,training_flop
4f55f66c-f89b-5a17-b3b6-178033bf0924,Baichuan-13B-Base,,,,,Baichuan-13B-Base,Baichuan,CN,2023-07-11,9.36e+22
f525c6a7-0b9d-5822-9988-8c7ee00e8e7e,Baichuan-2-13B-Base,,,,,Baichuan-2-13B-Base,Baichuan,CN,2023-09-06,2.03e+23
e10034d4-2293-57b9-8b9d-804085279068,Baichuan-2-7B-Base,,,,,Baichuan-2-7B-Base,Baichuan,CN,2023-09-20,1.092e+23
6c4bc89c-df7e-5713-ac5b-93e9f0e37d87,Baichuan-7B,,,,,Baichuan-7B,Baichuan,CN,2023-06-01,5.04e+22
f4da164f-bed2-56a8-996c-d9e4a63284a2,Baichuan2-13B-Chat,,,,,Baichuan2-13B-Chat,Baichuan,CN,2023-09-06,
42af4551-0280-51ca-90fc-175670bdd1e5,Cerebras-GPT-13B,,,,,Cerebras-GPT-13B,Cerebras Systems,US,2023-03-20,2.3e+22
edca8122-7122-5338-80f8-feebec9d1484,ChatGPT agent,,,,,ChatGPT agent,OpenAI,US,2025-07-17,
ab48808c-0ef0-585f-b09a-adba11821908,Chinchilla (70B),,,,,Chinchilla (70B),Google DeepMind,GB,2022-03-29,5.76e+23
b28eb646-9c56-5f70-9fa3-6ce81b769dd0,CodeQwen1.5-7B,,,,,CodeQwen1.5-7B,Alibaba,CN,2024-04-15,
59151a0f-59d2-5220-b97d-914abf3b3975,Composer 2.5,,,,,Composer 2.5,Cursor,US,2026-05-18,3.87e+25
e45edc2b-4789-5511-8e45-c145390b729b,DeepSeek-Coder-V2-Base,,,,,DeepSeek-Coder-V2-Base,DeepSeek,CN,2024-06-17,1.2852e+24
b84b2ebb-06f7-5711-8adb-300409365e85,DeepSeek-Coder-V2-Instruct,,,,,DeepSeek-Coder-V2-Instruct,DeepSeek,CN,2024-06-17,1.2852e+24
1ecd215f-37d1-5d9b-8a11-dc332bbebe33,DeepSeek-Coder-V2-Lite-Base,,,,,DeepSeek-Coder-V2-Lite-Base,DeepSeek,CN,2024-06-13,
d9d0856f-6261-5163-8980-f24d016f9ad4,DeepSeek-Coder-V2-Lite-Instruct,,,,,DeepSeek-Coder-V2-Lite-Instruct,DeepSeek,CN,2024-06-13,
50fbaf82-80e5-59a8-9d83-cb6e7c702263,DeepSeek-R1,,,,,DeepSeek-R1,DeepSeek,CN,2025-01-20,3.4999999999999997e+24
4575ecfd-1307-5529-801c-828d7183d439,DeepSeek-R1-0528,,,,,DeepSeek-R1-0528,DeepSeek,CN,2025-05-28,4.020010000000001e+24
8a47a985-bf46-569c-b30d-0e71fdaf5fdd,DeepSeek-R1-Distill-Llama-70B,,,,,DeepSeek-R1-Distill-Llama-70B,DeepSeek,CN,2025-01-20,
e48377ca-a916-5d3a-9ab1-e0c02c6f2170,DeepSeek-R1-Distill-Qwen-1.5B,,,,,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek,CN,2025-01-20,
8eff84b1-5cc4-58c4-9311-ab9689eda07f,DeepSeek-R1-Distill-Qwen-14B,,,,,DeepSeek-R1-Distill-Qwen-14B,DeepSeek,CN,2025-01-20,
9caaf714-eade-592b-8112-0be79fde4361,DeepSeek-R1-Distill-Qwen-32B,,,,,DeepSeek-R1-Distill-Qwen-32B,DeepSeek,CN,2025-01-20,
77ac7ac5-1b70-5d48-9e7b-c430bbc7bb98,DeepSeek-V2,,,,,DeepSeek-V2,DeepSeek,CN,2024-05-07,1.02e+24
b0b365b4-8612-5cb1-8b09-79b24458ed83,DeepSeek-V2.5,,,,,DeepSeek-V2.5,DeepSeek,CN,2024-09-06,1.7892e+24
4216f328-a9a2-55a9-815d-dde8dcb69e73,DeepSeek-V3,,,,,DeepSeek-V3,DeepSeek,CN,2024-12-26,3.3e+24
8f35794d-e2d5-550d-b3e5-0ea5b9e0bcdf,DeepSeek-V3-0324,,,,,DeepSeek-V3-0324,DeepSeek,CN,2025-03-24,3.3e+24
9878f29b-f301-5fbd-898f-69262e050757,DeepSeek-V3-Base,,,,,DeepSeek-V3-Base,DeepSeek,CN,2024-12-26,3.3e+24
d451030c-63c6-5b8d-92be-ce8e50f33834,DeepSeek-V3.1,,,,,DeepSeek-V3.1,DeepSeek,CN,2025-08-21,3.594058e+24
407b7e6c-8991-5dbb-b3ef-d0f99f71d096,DeepSeek-V3.1,,,,thinking,DeepSeek-V3.1_thinking,DeepSeek,CN,2025-08-21,3.594058e+24
f2dd083e-c0a2-5331-abe9-e11c8294f84b,DeepSeek-V3.1-Terminus,,,,,DeepSeek-V3.1-Terminus,DeepSeek,CN,2025-09-22,3.594058e+24
ec61147c-1758-5ddd-812d-43a70b783c86,DeepSeek-V3.2-Exp,,,,,DeepSeek-V3.2-Exp,DeepSeek,CN,2025-09-29,4.18e+24
5c614787-146a-5875-a5ff-a1d131b17b84,DeepSeek-V3.2-Exp,,,,thinking,DeepSeek-V3.2-Exp_thinking,DeepSeek,CN,2025-09-29,4.18e+24
9de7f20b-93b2-55d8-a1a9-ba660fd2da3d,DeepSeek-V3.2-Speciale,,,,,DeepSeek-V3.2-Speciale,DeepSeek,CN,2025-12-01,4.1999999999999997e+24
f1f0d983-86fc-55b5-bcfe-3d076bdb72c3,Eurus-2-7B-PRIME,,,,,Eurus-2-7B-PRIME,"Tsinghua University,University of Illinois Urbana-Champaign (UIUC),Shanghai AI Lab,Peking University,Shanghai Jiao Tong University,CUHK Shenzhen Research Institute","US,CN",2024-12-31,4.01915904e+20
cf394de9-03a9-55f7-a129-bfdf60f6c55a,GLM-4.5-Air,,,,,GLM-4.5-Air,"Z.ai (Zhipu AI),Tsinghua University",CN,2025-07-28,1.656e+24
5d4e2dac-11e8-5284-8cb1-829f247634ff,GLaM (MoE),,,,,GLaM (MoE),Google DeepMind,US,2021-12-13,3.6363112434e+23
7c63d6d4-ecf8-533d-b53c-18f11f73b005,Gopher (280B),,,,,Gopher (280B),Google DeepMind,GB,2021-12-08,6.31e+23
8fd620b7-02f3-5d38-8501-90ff7c3f79f2,Hermes-2-Theta-Llama-3-70B,,,,,Hermes-2-Theta-Llama-3-70B,"Nous Research,Arcee AI",US,2024-06-20,
0413d73c-7ab7-5a13-992e-0dfa97b70b2a,INTELLECT-1-Instruct,,,,,INTELLECT-1-Instruct,"Prime Intellect,Hugging Face,Arcee AI",US,2024-11-29,6.000001e+22
91c91813-1601-56c9-a24c-d7bede4477fe,Inflection-1,,,,,Inflection-1,Inflection AI,US,2023-06-22,1.0001e+24
1ce86ac8-9fb9-5fb7-90b6-87cfe5315b0b,Inkling,,,,,Inkling,Thinking Machines,US,2026-07-15,1.845e+24
db7bafc5-49d4-5503-9a08-3203aab6546d,Inkling,,,,thinking,Inkling_thinking,Thinking Machines,US,2026-07-15,
a4b68c45-c15d-5277-aa4b-09a3023b142e,Inkling,high,,,,Inkling_high,Thinking Machines,US,2026-07-15,1.845e+24
