model_version,openness,source
Baichuan-13B-Base,open,epoch:Open weights (restricted use)
Baichuan-2-13B-Base,open,epoch:Open weights (restricted use)
Baichuan-2-7B-Base,open,epoch:Open weights (restricted use)
Baichuan-7B,open,epoch:Open weights (non-commercial)
Baichuan2-13B-Chat,open,override
Cerebras-GPT-13B,open,epoch:Open weights (unrestricted)
ChatGPT agent,closed,override
Chinchilla (70B),closed,epoch:Unreleased
CodeQwen1.5-7B,open,override
Composer 2.5,closed,epoch:API access
DeepSeek-Coder-V2-Base,open,epoch:Open weights (restricted use)
DeepSeek-Coder-V2-Instruct,open,epoch:Open weights (restricted use)
DeepSeek-Coder-V2-Lite-Base,open,override
DeepSeek-Coder-V2-Lite-Instruct,open,override
DeepSeek-R1,open,epoch:Open weights (unrestricted)
DeepSeek-R1-0528,open,epoch:Open weights (unrestricted)
DeepSeek-R1-Distill-Llama-70B,open,epoch:Open weights (unrestricted)
DeepSeek-R1-Distill-Qwen-1.5B,open,epoch:Open weights (unrestricted)
DeepSeek-R1-Distill-Qwen-14B,open,epoch:Open weights (unrestricted)
DeepSeek-R1-Distill-Qwen-32B,open,epoch:Open weights (unrestricted)
DeepSeek-V2,open,epoch:Open weights (restricted use)
DeepSeek-V2.5,open,epoch:Open weights (restricted use)
DeepSeek-V3,open,epoch:Open weights (restricted use)
DeepSeek-V3-0324,open,epoch:Open weights (restricted use)
DeepSeek-V3-Base,open,epoch:Open weights (restricted use)
DeepSeek-V3.1,open,epoch:Open weights (unrestricted)
DeepSeek-V3.1-Terminus,open,epoch:Open weights (unrestricted)
DeepSeek-V3.1_thinking,open,epoch:Open weights (unrestricted)
DeepSeek-V3.2-Exp,open,epoch:Open weights (unrestricted)
DeepSeek-V3.2-Exp_thinking,open,epoch:Open weights (unrestricted)
DeepSeek-V3.2-Speciale,open,epoch:Open weights (unrestricted)
Eurus-2-7B-PRIME,open,epoch:Open weights (unrestricted)
GLM-4.5-Air,open,epoch:Open weights (unrestricted)
GLaM (MoE),closed,epoch:Unreleased
Gopher (280B),closed,epoch:Unreleased
Hermes-2-Theta-Llama-3-70B,open,epoch:Open weights (restricted use)
INTELLECT-1-Instruct,open,override
Inflection-1,closed,epoch:Hosted access (no API)
Inkling,open,epoch:Open weights (unrestricted)
Inkling_high,open,epoch:Open weights (unrestricted)
Inkling_thinking,open,family:Inkling
Inkling_xhigh,open,epoch:Open weights (unrestricted)
Kimi-Audio-7B-Instruct,open,override
Kimi-K2-Instruct,open,epoch:Open weights (restricted use)
Kimi-K2-Instruct-0905,open,epoch:Open weights (restricted use)
LFM2-Audio-1.5B,open,override
LLaMA-13B,open,epoch:Open weights (non-commercial)
LLaMA-33B,open,epoch:Open weights (non-commercial)
LLaMA-65B,open,epoch:Open weights (non-commercial)
LLaMA-7B,open,epoch:Open weights (non-commercial)
Llama-2-13b,open,epoch:Open weights (restricted use)
Llama-2-13b-chat,open,epoch:Open weights (restricted use)
Llama-2-34b,closed,epoch:Unreleased
Llama-2-70b-chat,open,epoch:Open weights (restricted use)
Llama-2-70b-hf,open,override
Llama-2-7b,open,epoch:Open weights (restricted use)
Llama-3.1-405B,open,epoch:Open weights (restricted use)
Llama-3.1-405B-Instruct,open,epoch:Open weights (restricted use)
Llama-3.1-405B-Instruct,open,epoch:Open weights (restricted use)
Llama-3.1-405B-Instruct,open,epoch:Open weights (restricted use)
Llama-3.1-405B-Instruct,open,epoch:Open weights (restricted use)
Llama-3.1-70B-Instruct,open,epoch:Open weights (restricted use)
Llama-3.1-8B-Instruct,open,epoch:Open weights (restricted use)
Llama-3.1-Tulu-3-70B-DPO,open,epoch:Open weights (restricted use)
Llama-3.2-11B-Vision-Instruct,open,epoch:Open weights (restricted use)
Llama-3.2-1B-Instruct,open,epoch:Open weights (restricted use)
Llama-3.2-3B-Instruct,open,epoch:Open weights (restricted use)
Llama-3.2-90B-Vision-Instruct,open,epoch:Open weights (restricted use)
Llama-3.3-70B-Instruct,open,epoch:Open weights (restricted use)
Llama-4-Maverick-17B-128E-Instruct,open,epoch:Open weights (restricted use)
Llama-4-Maverick-17B-128E-Instruct-FP8,open,epoch:Open weights (restricted use)
Llama-4-Scout-17B-16E-Instruct,open,epoch:Open weights (restricted use)
Manus 1.0,closed,override
Manus 1.5,closed,override
Manus 1.6_max,closed,override
Megatron-Turing NLG 530B,closed,epoch:Unreleased
Meta-Llama-3-70B,open,epoch:Open weights (restricted use)
Meta-Llama-3-70B-Instruct,open,epoch:Open weights (restricted use)
Meta-Llama-3-8B,open,epoch:Open weights (restricted use)
Meta-Llama-3-8B-Instruct,open,epoch:Open weights (restricted use)
MiMo-Audio-7B-Instruct,open,override
MiMo-Audio-7B-Instruct_thinking,open,family:MiMo-Audio-7B-Instruct
MiniMax-M1-80k,open,epoch:Open weights (unrestricted)
MiniMax-M2,open,epoch:Open weights (unrestricted)
MiniMax-M2.1,open,epoch:Open weights (restricted use)
MiniMax-M2.5,open,epoch:Open weights (unrestricted)
MiniMax-M2.5_unknown,open,family:MiniMax-M2.5
MiniMax-M2.7,open,epoch:Open weights (non-commercial)
MiniMax-M3,open,epoch:Open weights (restricted use)
MiniMax-M3_none,open,epoch:Open weights (restricted use)
MiniMax-M3_xhigh,open,family:MiniMax-M3
Mistral-7B-Instruct-v0.1,open,epoch:Open weights (unrestricted)
Mistral-7B-Instruct-v0.2,open,epoch:Open weights (unrestricted)
Mistral-7B-Instruct-v0.3,open,epoch:Open weights (unrestricted)
Mistral-7B-v0.1,open,epoch:Open weights (unrestricted)
Mistral-Nemo-Base-2407,open,epoch:Open weights (unrestricted)
Mistral-Nemo-Instruct-2407,open,epoch:Open weights (unrestricted)
Mixtral-8x22B-Instruct-v0.1,open,epoch:Open weights (unrestricted)
Mixtral-8x22B-v0.1,open,epoch:Open weights (unrestricted)
Mixtral-8x7B-Instruct-v0.1,open,epoch:Open weights (unrestricted)
Mixtral-8x7B-v0.1,open,epoch:Open weights (unrestricted)
Nemotron-4 15B,closed,epoch:Unreleased
PaLM 2-L,closed,override
PaLM 2-M,closed,override
PaLM 2-S,closed,override
PaLM 540B,closed,epoch:Unreleased
PaLM 62B,closed,override
Phi-3-medium-128k-instruct,open,epoch:Open weights (unrestricted)
Phi-3-mini-4k-instruct,open,epoch:Open weights (unrestricted)
Phi-3-small-8k-instruct,open,epoch:Open weights (unrestricted)
Phi-3.5-MoE-instruct,open,epoch:Open weights (unrestricted)
Phi-3.5-mini-instruct,open,epoch:Open weights (unrestricted)
Phi-3.5-vision-instruct,open,override
Phi-4-mini-instruct,open,epoch:Open weights (unrestricted)
Phi-4-multimodal-instruct,open,override
Pixtral-12B-2409,open,epoch:Open weights (unrestricted)
QwQ-32B,open,epoch:Open weights (unrestricted)
QwQ-32B_16K,open,epoch:Open weights (unrestricted)
Qwen-14B,open,epoch:Open weights (restricted use)
Qwen-14B-Chat,open,epoch:Open weights (restricted use)
Qwen-1_8B,open,override
Qwen-7B,open,epoch:Open weights (restricted use)
Qwen1.5-7B,open,epoch:Open weights (unrestricted)
Qwen2-VL-72B-Instruct,open,override
Qwen2-VL-7B-Instruct,open,override
Qwen2.5-72B,open,epoch:Open weights (unrestricted)
Qwen2.5-Coder-0.5B,open,override
Qwen2.5-Coder-1.5B,open,epoch:Open weights (unrestricted)
Qwen2.5-Coder-14B,open,override
Qwen2.5-Coder-14B-Instruct,open,override
Qwen2.5-Coder-32B,open,epoch:Open weights (unrestricted)
Qwen2.5-Coder-32B-Instruct,open,epoch:Open weights (unrestricted)
Qwen2.5-Coder-3B,open,override
Qwen2.5-Coder-3B-Instruct,open,override
Qwen2.5-Coder-7B,open,epoch:Open weights (unrestricted)
Qwen2.5-Coder-7B-Instruct,open,epoch:Open weights (unrestricted)
Qwen2.5-Omni-7B,open,override
Qwen2.5-VL-72B-Instruct,open,epoch:Open weights (unrestricted)
Qwen3-235B-A22B-Instruct-2507,open,epoch:Open weights (unrestricted)
Qwen3-235B-A22B-Thinking-2507,open,epoch:Open weights (unrestricted)
Qwen3-30B-A3B,open,epoch:Open weights (unrestricted)
Qwen3-30B-A3B_none,open,epoch:Open weights (unrestricted)
Qwen3-32B,open,epoch:Open weights (unrestricted)
Qwen3-32B_none,open,epoch:Open weights (unrestricted)
Qwen3-Coder-480B-A35B-Instruct,open,epoch:Open weights (unrestricted)
Qwen3-Next-80B-A3B-Instruct,open,override
Qwen3-Omni-30B-A3B-Instruct,open,override
RedPajama-INCITE-7B-Base,open,override
Ring-2.6-1T,open,epoch:Open weights (unrestricted)
StableBeluga2,open,epoch:Open weights (non-commercial)
Voxtral-Small-24B-2507,open,override
WizardLM-2-8x22B,open,epoch:Open weights (unrestricted)
Yi-1.5-34B-Chat,open,epoch:Open weights (restricted use)
Yi-34B,open,epoch:Open weights (restricted use)
Yi-34B-Chat,open,epoch:Open weights (restricted use)
Yi-6B,open,epoch:Open weights (restricted use)
Yi-6B-Chat,open,epoch:Open weights (restricted use)
Yi-9B,open,override
Yi-large,closed,epoch:API access
ada,closed,override
amazon.nova-lite-v1:0,closed,epoch:API access
amazon.nova-micro-v1:0,closed,epoch:API access
amazon.nova-pro-v1:0,closed,epoch:API access
babbage,closed,override
bloom,open,epoch:Open weights (restricted use)
c4ai-command-a-03-2025,open,epoch:Open weights (non-commercial)
c4ai-command-r-08-2024,open,override
c4ai-command-r-plus-08-2024,open,epoch:Open weights (non-commercial)
chatglm2-6b,open,override
claude-1.3,closed,epoch:API access
claude-2.0,closed,epoch:API access
claude-2.1,closed,epoch:API access
claude-3-5-haiku-20241022,closed,epoch:API access
claude-3-5-sonnet-20240620,closed,epoch:API access
claude-3-5-sonnet-20241022,closed,epoch:API access
claude-3-7-sonnet-20250219,closed,epoch:API access
claude-3-7-sonnet-20250219_12K,closed,epoch:API access
claude-3-7-sonnet-20250219_15K,closed,epoch:API access
claude-3-7-sonnet-20250219_16K,closed,epoch:API access
claude-3-7-sonnet-20250219_1K,closed,epoch:API access
claude-3-7-sonnet-20250219_2K,closed,epoch:API access
claude-3-7-sonnet-20250219_32K,closed,epoch:API access
claude-3-7-sonnet-20250219_64K,closed,epoch:API access
claude-3-7-sonnet-20250219_8K,closed,epoch:API access
claude-3-7-sonnet-20250219_thinking,closed,family:claude-3-7-sonnet-20250219
claude-3-7-sonnet-20250219_unknown,closed,epoch:API access
claude-3-haiku-20240307,closed,epoch:API access
claude-3-opus-20240229,closed,epoch:API access
claude-3-sonnet-20240229,closed,epoch:API access
claude-fable-5,closed,epoch:API access
claude-fable-5-1_high,closed,epoch:API access
claude-fable-5-1_low,closed,epoch:API access
claude-fable-5-1_max,closed,epoch:API access
claude-fable-5-1_medium,closed,epoch:API access
claude-fable-5-1_unknown,closed,epoch:API access
claude-fable-5-1_xhigh,closed,epoch:API access
claude-fable-5_high,closed,epoch:API access
claude-fable-5_low,closed,epoch:API access
claude-fable-5_max,closed,epoch:API access
claude-fable-5_medium,closed,epoch:API access
claude-fable-5_unknown,closed,epoch:API access
claude-fable-5_xhigh,closed,epoch:API access
claude-haiku-4-5-20251001,closed,epoch:API access
claude-haiku-4-5-20251001_16K,closed,epoch:API access
claude-haiku-4-5-20251001_1K,closed,epoch:API access
claude-haiku-4-5-20251001_32K,closed,epoch:API access
claude-haiku-4-5-20251001_8K,closed,epoch:API access
claude-haiku-4-5-20251001_low,closed,epoch:API access
claude-haiku-4-5-20251001_thinking,closed,family:claude-haiku-4-5-20251001
claude-haiku-4-5-20251001_unknown,closed,epoch:API access
claude-instant-1.1,closed,epoch:API access
claude-instant-1.2,closed,epoch:API access
claude-mythos-5,closed,override
claude-mythos-preview,closed,override
claude-mythos-preview-early,closed,epoch:Unreleased
claude-opus-4-1-20250805,closed,epoch:API access
claude-opus-4-1-20250805_16K,closed,epoch:API access
claude-opus-4-1-20250805_24K,closed,epoch:API access
claude-opus-4-1-20250805_27K,closed,epoch:API access
claude-opus-4-1-20250805_32K,closed,epoch:API access
claude-opus-4-1-20250805_thinking,closed,family:claude-opus-4-1-20250805
claude-opus-4-1-20250805_unknown,closed,epoch:API access
claude-opus-4-20250514,closed,epoch:API access
claude-opus-4-20250514_12K,closed,epoch:API access
claude-opus-4-20250514_16K,closed,epoch:API access
claude-opus-4-20250514_1K,closed,epoch:API access
claude-opus-4-20250514_27K,closed,epoch:API access
claude-opus-4-20250514_2K,closed,epoch:API access
claude-opus-4-20250514_32K,closed,epoch:API access
claude-opus-4-20250514_8K,closed,epoch:API access
claude-opus-4-20250514_thinking,closed,family:claude-opus-4-20250514
claude-opus-4-20250514_unknown,closed,epoch:API access
claude-opus-4-5-20251101,closed,epoch:API access
claude-opus-4-5-20251101_128K,closed,epoch:API access
claude-opus-4-5-20251101_16K,closed,epoch:API access
claude-opus-4-5-20251101_32K,closed,epoch:API access
claude-opus-4-5-20251101_48K,closed,epoch:API access
claude-opus-4-5-20251101_64K,closed,epoch:API access
claude-opus-4-5-20251101_8K,closed,epoch:API access
claude-opus-4-5-20251101_high,closed,epoch:API access
claude-opus-4-5-20251101_low,closed,epoch:API access
claude-opus-4-5-20251101_none,closed,epoch:API access
claude-opus-4-5-20251101_thinking,closed,family:claude-opus-4-5-20251101
claude-opus-4-5-20251101_unknown,closed,epoch:API access
claude-opus-4-6,closed,epoch:API access
claude-opus-4-6_120K,closed,epoch:API access
claude-opus-4-6_32K,closed,epoch:API access
claude-opus-4-6_64K,closed,epoch:API access
claude-opus-4-6_high,closed,epoch:API access
claude-opus-4-6_low,closed,epoch:API access
claude-opus-4-6_max,closed,epoch:API access
claude-opus-4-6_medium,closed,epoch:API access
claude-opus-4-6_none,closed,family:claude-opus-4-6
claude-opus-4-6_thinking,closed,family:claude-opus-4-6
claude-opus-4-6_unknown,closed,epoch:API access
claude-opus-4-7,closed,epoch:API access
claude-opus-4-7_high,closed,epoch:API access
claude-opus-4-7_low,closed,epoch:API access
claude-opus-4-7_max,closed,epoch:API access
claude-opus-4-7_medium,closed,epoch:API access
claude-opus-4-7_unknown,closed,epoch:API access
claude-opus-4-7_xhigh,closed,epoch:API access
claude-opus-4-8,closed,epoch:API access
claude-opus-4-8_high,closed,epoch:API access
claude-opus-4-8_low,closed,epoch:API access
claude-opus-4-8_max,closed,epoch:API access
claude-opus-4-8_medium,closed,epoch:API access
claude-opus-4-8_none,closed,epoch:API access
claude-opus-4-8_unknown,closed,epoch:API access
claude-opus-4-8_xhigh,closed,epoch:API access
claude-opus-5,closed,epoch:API access
claude-opus-5_high,closed,epoch:API access
claude-opus-5_low,closed,epoch:API access
claude-opus-5_max,closed,epoch:API access
claude-opus-5_medium,closed,epoch:API access
claude-opus-5_unknown,closed,epoch:API access
claude-opus-5_xhigh,closed,epoch:API access
claude-sonnet-4-20250514,closed,epoch:API access
claude-sonnet-4-20250514_12K,closed,epoch:API access
claude-sonnet-4-20250514_16K,closed,epoch:API access
claude-sonnet-4-20250514_1K,closed,epoch:API access
claude-sonnet-4-20250514_2K,closed,epoch:API access
claude-sonnet-4-20250514_32K,closed,epoch:API access
claude-sonnet-4-20250514_59K,closed,epoch:API access
claude-sonnet-4-20250514_8K,closed,epoch:API access
claude-sonnet-4-20250514_thinking,closed,family:claude-sonnet-4-20250514
claude-sonnet-4-20250514_unknown,closed,epoch:API access
claude-sonnet-4-5-20250929,closed,epoch:API access
claude-sonnet-4-5-20250929_12K,closed,epoch:API access
claude-sonnet-4-5-20250929_16K,closed,epoch:API access
claude-sonnet-4-5-20250929_1K,closed,epoch:API access
claude-sonnet-4-5-20250929_2K,closed,epoch:API access
claude-sonnet-4-5-20250929_32K,closed,epoch:API access
claude-sonnet-4-5-20250929_48K,closed,epoch:API access
claude-sonnet-4-5-20250929_59K,closed,epoch:API access
claude-sonnet-4-5-20250929_8K,closed,epoch:API access
claude-sonnet-4-5-20250929_low,closed,epoch:API access
claude-sonnet-4-5-20250929_thinking,closed,family:claude-sonnet-4-5-20250929
claude-sonnet-4-5-20250929_unknown,closed,epoch:API access
claude-sonnet-4-6,closed,epoch:API access
claude-sonnet-4-6_32K,closed,epoch:API access
claude-sonnet-4-6_high,closed,epoch:API access
claude-sonnet-4-6_low,closed,epoch:API access
claude-sonnet-4-6_max,closed,epoch:API access
claude-sonnet-4-6_medium,closed,epoch:API access
claude-sonnet-4-6_unknown,closed,epoch:API access
claude-sonnet-5,closed,epoch:API access
claude-sonnet-5_high,closed,epoch:API access
claude-sonnet-5_low,closed,epoch:API access
claude-sonnet-5_max,closed,epoch:API access
claude-sonnet-5_medium,closed,epoch:API access
claude-sonnet-5_unknown,closed,epoch:API access
claude-sonnet-5_xhigh,closed,epoch:API access
code-davinci-002,closed,epoch:API access
codestral-2501,open,epoch:Open weights (non-commercial)
codex-mini-2025-05-16,closed,override
cogito-671b-v2.1,open,epoch:Open weights (unrestricted)
command-a-plus-05-2026,open,epoch:Open weights (unrestricted)
computer-use-preview-2025-03-11,closed,override
curie,closed,override
davinci,closed,epoch:API access
dbrx-instruct,open,epoch:Open weights (restricted use)
deepseek-chat,open,epoch:Open weights (unrestricted)
deepseek-coder-1.3b-base,open,epoch:Open weights (restricted use)
deepseek-coder-33b-base,open,epoch:Open weights (restricted use)
deepseek-coder-6.7b-base,open,epoch:Open weights (restricted use)
deepseek-llm-67b-chat,open,epoch:Open weights (restricted use)
deepseek-r1-0528-qwen3-8b,open,override
deepseek-reasoner,open,epoch:Open weights (unrestricted)
deepseek-v3.2,open,epoch:Open weights (unrestricted)
deepseek-v4-flash-0731_high,open,epoch:Open weights (unrestricted)
deepseek-v4-flash-0731_low,open,epoch:Open weights (unrestricted)
deepseek-v4-flash-0731_max,open,epoch:Open weights (unrestricted)
deepseek-v4-flash-0731_none,open,epoch:Open weights (unrestricted)
