check,file,mv,name,kind
effort,ale_bench_external.csv,gemini-3-flash-preview,gemini-3-flash-preview-high,effort contradiction
effort,ale_bench_external.csv,gpt-5.2-codex,gpt-5.2-codex-xhigh,effort contradiction
effort,ale_bench_external.csv,gpt-5.1-codex,gpt-5.1-codex-high,effort contradiction
effort,ale_bench_external.csv,gpt-5.1-codex-max,gpt-5.1-codex-max-high,effort contradiction
effort,ale_bench_external.csv,gemini-3-pro-preview,gemini-3-pro-preview-high,effort contradiction
effort,ale_bench_external.csv,gemini-3.1-pro-preview,gemini-3.1-pro-preview-high,effort contradiction
effort,ale_bench_external.csv,Inkling,inkling-max,effort contradiction
effort,ale_bench_external.csv,gemini-3.1-flash-lite,gemini-3.1-flash-lite-preview-high,effort contradiction
effort,ale_bench_external.csv,step-3.7-flash,step-3.7-flash-medium,effort contradiction
effort,algotune_external.csv,gpt-5.2-2025-12-11_medium,GPT-5.2 (high),effort contradiction
effort,algotune_external.csv,gemini-3.1-pro-preview,Gemini 3.1 Pro Preview (high),effort contradiction
effort,algotune_external.csv,gemini-3-pro-preview,Gemini 3 Pro Preview (high),effort contradiction
effort,algotune_external.csv,claude-opus-4-5-20251101_unknown,Claude Opus 4.5 (high),stated effort filed as unknown
effort,algotune_external.csv,DeepSeek-R1,DeepSeek R1 (high),effort contradiction
effort,algotune_external.csv,glm-4.5_thinking,GLM-4.5 (high),effort contradiction
effort,algotune_external.csv,claude-sonnet-4-5-20250929_unknown,Claude Sonnet 4.5 (high),stated effort filed as unknown
effort,algotune_external.csv,gemini-2.5-pro,Gemini 2.5 Pro (high),effort contradiction
effort,algotune_external.csv,Qwen3-Coder-480B-A35B-Instruct,Qwen3 Coder (high),effort contradiction
effort,algotune_external.csv,claude-opus-4-1-20250805_unknown,Claude Opus 4.1 (high),stated effort filed as unknown
effort,algotune_external.csv,claude-opus-4-20250514_unknown,Claude Opus 4 (high),stated effort filed as unknown
effort,apex_agents_external.csv,gpt-5.6-sol_promax,GPT 5.6 Sol (Max + Pro),effort contradiction
effort,apex_agents_external.csv,gpt-5.6-sol_unknown,GPT 5.6 Sol (xHigh),stated effort filed as unknown
effort,apex_agents_external.csv,claude-opus-4-6_unknown,Opus 4.6 (High),stated effort filed as unknown
effort,arc_agi_2_external.csv,claude-opus-5_max,Claude Opus 5 (High),effort contradiction
effort,arc_agi_2_external.csv,gemini-3-flash-preview,Gemini 3 Flash Preview (High),effort contradiction
effort,arc_agi_2_external.csv,gemini-3-flash-preview,Gemini 3 Flash Preview (Medium),effort contradiction
effort,arc_agi_2_external.csv,claude-opus-4-5-20251101,"Opus 4.5 (Thinking, None)",effort contradiction
effort,arc_agi_2_external.csv,gemini-3-flash-preview,Gemini 3 Flash Preview (Minimal),effort contradiction
effort,arc_agi_2_external.csv,gemini-2.5-flash-preview-05-20_23K,Gemini 2.5 Flash (Preview) (Thinking 24K),effort contradiction
effort,arc_agi_2_external.csv,gemini-3-flash-preview,Gemini 3 Flash Preview (Low),effort contradiction
effort,arc_agi_external.csv,claude-opus-5_max,Claude Opus 5 (High),effort contradiction
effort,arc_agi_external.csv,gemini-3-flash-preview,Gemini 3 Flash Preview (High),effort contradiction
effort,arc_agi_external.csv,gemini-3-flash-preview,Gemini 3 Flash Preview (Medium),effort contradiction
effort,arc_agi_external.csv,claude-opus-4-5-20251101,"Opus 4.5 (Thinking, None)",effort contradiction
effort,arc_agi_external.csv,gemini-2.5-flash-preview-05-20_23K,Gemini 2.5 Flash (Preview) (Thinking 24K),effort contradiction
effort,arc_agi_external.csv,gemini-2.5-flash-preview-04-17 (24K thinking),Gemini 2.5 Flash (Preview) (Thinking 24K),effort contradiction
effort,arc_agi_external.csv,gemini-3-flash-preview,Gemini 3 Flash Preview (Low),effort contradiction
effort,arc_agi_external.csv,gemini-3-flash-preview,Gemini 3 Flash Preview (Minimal),effort contradiction
effort,cl_bench_external.csv,gemini-3.1-pro-preview,Gemini 3.1 Pro (high),effort contradiction
effort,cl_bench_external.csv,gemini-3-pro-preview,Gemini 3 Pro (High),effort contradiction
effort,cl_bench_life_external.csv,gemini-3.1-pro-preview,Gemini 3.1 Pro (High),effort contradiction
effort,cl_bench_life_external.csv,kimi-k2.5,Kimi K2.5 (High),effort contradiction
effort,cl_bench_life_external.csv,qwen3.5-plus,Qwen 3.5 Plus (High),effort contradiction
effort,cl_bench_life_external.csv,grok-4-20,Grok 4.20 (High),effort contradiction
effort,cl_bench_life_external.csv,zai-org/glm-4.7,GLM-4.7 (High),effort contradiction
effort,cl_bench_life_external.csv,mimo-v2-pro,MiMo v2 Pro (High),effort contradiction
