raw_string,vendor,chain,node,parent,node_date,variant,in_chain,n_obs
llava-v1.5-7b,,,,,2023-10-05,modality,no,1
Video-LLaVA-7B,,,,,2023-11-17,modality,no,1
video_chat2_mistral,,,,,2023-11-29,modality,no,1
VideoLLAMA3-7B,,,,,2024-01-22,modality,no,1
llava-v1.6-vicuna-7b,,,,,2024-01-31,modality,no,1
llava-v1.6-mistral-7b,,,,,2024-01-31,modality,no,1
llava-v1.6-vicuna-13b,,,,,2024-01-31,modality,no,1
llama3-llava-next-8b,,,,,2024-04-20,modality,no,1
sharegpt4video-8b,,,,,2024-05-27,modality,no,1
VideoLLAMA2-7B,,,,,2024-06-12,modality,no,1
LLaVA-OneVision 72B,,,,,2024-08-06,modality,no,1
long-llava-qwen2-7b,,,,,2024-08-30,modality,no,1
LLaVA-Video-7B-Qwen2,,,,,2024-09-02,modality,no,2
LLaVA-Video-72B-Qwen2,,,,,2024-09-02,modality,no,1
Video-CCAM-7B-v1.2,,,,,2024-09-29,modality,no,1
ByteVideoLLM-14B,,,,,2024-10-13,modality,no,1
Video-XL-7B,,,,,2024-10-17,modality,no,1
VideoChat-Flash-Qwen2-7B_res448,,,,,2025-01-11,modality,no,1
LLaVA-Video-7B-Qwen2-TPO,,,,,2025-01-19,modality,no,1
ViLAMP-llava-qwen,,,,,2025-05-01,modality,no,1
video-SALMONN-2plus,,,,,2025-06-18,modality,no,1
grok-4-heavy-web-app,,,,,2025-07-10,harness,no,1
gemini-2.5-deep-think-2025-08-01-webapp,,,,,2025-08-01,harness,no,2
gemini-robotics-er-1.5-preview,,,,,2025-09-26,modality,no,1
gpt-5.2-pro-2025-12-11-webapp,,,,,2025-12-11,harness,no,1
gpt-5.4-pro-2026-03-05-web-app,,,,,2026-03-05,harness,no,1
gemini-robotics-er-1.6-preview,,,,,2026-04-14,modality,no,1
gpt-5.6-sol_promax,,,,,2026-07-09,harness,no,4
gpt-5.6-sol_prounknown,,,,,2026-07-09,harness,no,1
ChatGPT agent,,,,,,harness,no,1
LFM2-Audio-1.5B,,,,,,modality,no,1
Qwen2.5-Omni-7B,,,,,,modality,no,1
Kimi-Audio-7B-Instruct,,,,,,modality,no,1
gemini-2.5-flash-native-audio-preview-12-2025 (non-thinking),,,,,,modality,no,1
gpt-4o-mini-audio-preview-2024-12-17,,,,,,modality,no,1
gpt-realtime-mini-2025-12-15,,,,,,modality,no,1
MiMo-Audio-7B-Instruct,,,,,,modality,no,1
MiMo-Audio-7B-Instruct (Thinking),,,,,,modality,no,1
gemini-2.5-flash-native-audio-preview-12-2025 (thinking),,,,,,modality,no,1
gpt-realtime-2025-08-28,,,,,,modality,no,1
Qwen3-Omni-30B-A3B-Instruct,,,,,,modality,no,1
gpt-4o-audio-preview-2025-06-03,,,,,,modality,no,1
Voxtral-Small-24B-2507,,,,,,modality,no,1
gpt-realtime-1.5,,,,,,modality,no,1
gemini-3.1-flash-live-preview,,,,,,modality,no,1
gpt-realtime-2,,,,,,modality,no,1
gpt-realtime-2 (xHigh),,,,,,modality,no,1
