name,mean,hdi_low,hdi_high,n_obs,is_low_obs
gpt2-xl,-3.087074920583095,-3.6564312702996955,-2.623301016427135,4,False
deepseek-coder-1.3b-base,-2.8823228919851696,-3.3159605708961677,-2.5060876185952483,3,True
Mistral-7B-Instruct-v0.1,-2.8206878702859353,-3.2545934033887463,-2.453592390392154,5,False
opt-13b,-2.8037080401578125,-3.2680145598180013,-2.3860008727576605,2,True
Cerebras-GPT-13B,-2.790596263995437,-3.252160015545691,-2.370147962723238,2,True
gpt-j-6b,-2.7793358767091956,-3.24203429802228,-2.363327486518883,2,True
RedPajama-INCITE-7B-Base,-2.7400371525391445,-3.2005929423684183,-2.32440934331211,2,True
dolly-v2-12b,-2.739957056774072,-3.1995523530136905,-2.322281068037679,2,True
open_llama_7b,-2.622739704108797,-3.0718707281911106,-2.21209886395694,2,True
mpt-7b,-2.6091825710431324,-3.0080300343587623,-2.256305949178236,4,False
davinci,-2.5353480066116223,-2.975352848142378,-2.1622292457505203,4,False
falcon-7b,-2.5138622552732266,-2.8915023846793404,-2.1772885724022575,4,False
Qwen-1_8B,-2.509498881474545,-2.9176943064578524,-2.143100090462048,3,True
LLaMA-7B,-2.4373787653716255,-2.8136793276099503,-2.0992307918354722,4,False
xgen-7b-8k-base,-2.4104478326179803,-2.8357943745913197,-2.0067862655809736,2,True
starcoder2-3b,-2.3988701280337037,-2.785906142905181,-2.049597576008707,3,True
deepseek-coder-6.7b-base,-2.3935309422280575,-2.780835571351381,-2.043782959938713,3,True
phi-1_5,-2.3507099035908725,-2.77052226104036,-1.9465132812063002,2,True
Average Human,-2.3427181508368893,-2.794432781876644,-1.8978679960214924,3,False
Baichuan-7B,-2.3423221044671756,-2.726960761769267,-1.993174155812462,2,True
gemma-2b,-2.2980043857756356,-2.66019643202172,-1.9689334271715493,4,False
starcoder2-7b,-2.2508269138516788,-2.628192224662377,-1.9051498282643762,3,True
deepseek-coder-33b-base,-2.2027828927354065,-2.57804898754236,-1.855919180977102,3,True
CodeQwen1.5-7B,-2.196438900932826,-2.5791220825427956,-1.850305742905252,3,True
Qwen2.5-Coder-0.5B,-2.1910071409028107,-2.5660905415380544,-1.8453822117366958,3,True
Llama-2-7b,-2.1835549881200924,-2.5294584958909123,-1.8547210113227843,4,False
mpt-30b,-2.125852264333079,-2.4711824997613685,-1.802120833204754,4,False
text-davinci-001,-2.109781922885762,-2.513222376424776,-1.7122827863569388,3,True
LLaMA-13B,-2.0749280457098616,-2.4150052279610006,-1.7492249809704976,4,False
vicuna-13b-v1.1,-2.0619269780813743,-2.6134221181219073,-1.5756044721962896,2,True
deepseek-r1-0528-qwen3-8b,-2.0375063920976606,-2.5214661227907933,-1.631470131765503,3,True
Baichuan-2-7B-Base,-2.023634646975899,-2.369761767305754,-1.69005103758012,3,True
granite-4.0-350m,-2.0214739599482368,-2.4824024528738264,-1.6435733847188831,3,True
chatglm2-6b,-1.9593159221042376,-2.302198822555561,-1.6296694183504241,3,True
Baichuan-13B-Base,-1.951205010922383,-2.3116698050027393,-1.6013934325789718,2,True
internlm-chat-20b,-1.9424339935022623,-2.2952136256582167,-1.583040297398054,2,True
INTELLECT-1-Instruct,-1.908425977691595,-2.254573121042138,-1.5755895239505642,3,True
PaLM 62B,-1.8823712498437808,-2.218152135100687,-1.5463281847542782,3,True
internlm-7b,-1.8692322475989567,-2.2018276282765794,-1.5362412206405405,3,True
falcon-40b,-1.8285049889267495,-2.1526446200881284,-1.4941977725008493,4,False
Qwen-7B,-1.8151002715502202,-2.169701742759489,-1.472152778219623,3,True
Llama-2-13b,-1.7902095252242316,-2.120149515076984,-1.4539957646779207,4,False
open-mistral-7b,-1.780178827496172,-2.0758995945881504,-1.5293245371872188,3,True
Mistral-7B-Instruct-v0.3,-1.7650049152216565,-2.0325999593588997,-1.5291092503776829,5,False
Llama-2-13b-chat,-1.7419423180284046,-2.0341450088422546,-1.4507855636869433,4,False
Baichuan2-13B-Chat,-1.7257135783809103,-2.0792503366810466,-1.3682668079756115,2,True
Baichuan-2-13B-Base,-1.7005125733523678,-2.04478017283535,-1.3624384409473287,3,True
Yi-6B,-1.695084654034115,-2.023259012971736,-1.3498539519574155,3,True
Qwen2.5-Coder-1.5B,-1.6859767539951656,-2.044399927584696,-1.3405626654787,3,True
Nemotron-4 15B,-1.6832523868816076,-2.0129898008627807,-1.343017248616637,3,True
Llama-3.2-11B-Vision-Instruct,-1.6766347417324996,-2.0764281169867815,-1.2723361304743597,3,True
Mixtral-8x7B-Instruct-v0.1,-1.6666805668508657,-1.8481950082792136,-1.4997582022230602,17,False
Mistral-7B-Instruct-v0.2,-1.6449088336534012,-1.9938793744241565,-1.273236533846779,2,True
gemma-3-1b-it,-1.6292557043289877,-2.0246802383703706,-1.2945589701885356,3,True
LLaMA-33B,-1.6224266432054157,-1.9459428660532943,-1.2796110595433927,4,False
Gopher (280B),-1.6137327785920368,-2.045181680425167,-1.154464171793898,2,True
Llama-2-34b,-1.613102907875673,-1.9379069859356344,-1.2670038818235658,4,False
phi-2,-1.6090271891732872,-2.006942042703206,-1.1899428337278217,3,True
Yi-6B-Chat,-1.6036138726057736,-1.9479924234251007,-1.235496865646543,2,True
Llama-3.2-1B-Instruct,-1.5946561016728338,-1.9642707082262882,-1.2799766457506927,4,False
falcon-11b,-1.5912748403229462,-1.9405334316593257,-1.2230963393552186,2,True
Llama-2-70b-chat,-1.5864929500067815,-1.7934449408048023,-1.3997716159082285,6,False
deepseek-llm-67b-chat,-1.5459823853430337,-1.8479527076878588,-1.2994527213936327,4,False
starcoder2-15b,-1.528134588533673,-1.864437934573402,-1.1790097862341786,3,True
Yi-34B-Chat,-1.526085784906523,-1.753053199578514,-1.325260546764836,4,False
gemma-3-4b-it,-1.5132863487949981,-1.7347840752141275,-1.3037120314269157,8,False
gpt-3.5-turbo-0613,-1.5132021874538957,-1.803587519698268,-1.2318051518103903,4,False
granite-4.0-1b,-1.5037610589859955,-1.885038754596005,-1.1826566807159065,3,True
ministral-3b-2410,-1.4913977276135348,-1.7080039848280522,-1.2910276339266582,7,False
DeepSeek-Coder-V2-Lite-Base,-1.4896511260583516,-1.8249057264231527,-1.143409876828546,3,True
Meta-Llama-3-8B-Instruct,-1.4849646380837278,-1.650582718350983,-1.3295626247608892,13,False
ministral-8b-2410,-1.4697458083807313,-1.690753090733971,-1.2679536556844597,6,False
Pixtral-12B-2409,-1.4608322242678011,-2.421075028516527,-0.5680452984786322,2,True
LLaMA-65B,-1.445379818766286,-1.7709775677171835,-1.0871632614969864,4,False
Mistral-7B-v0.1,-1.4438533831589035,-1.7663969672643183,-1.0892595271176746,4,False
PaLM 2-S,-1.4360856360715575,-2.2675974368264504,-0.3031511841489831,2,True
gemma-7b,-1.4350623201649226,-1.7622373217310752,-1.0691424837877996,4,False
Llama-3.1-8B-Instruct,-1.4080880162848617,-1.5464570128717514,-1.2773778807045886,27,False
gpt-3.5-turbo-0125,-1.3997655620097045,-1.5597056340959339,-1.251554958586378,15,False
gemini-1.0-pro-001,-1.3820704022681798,-1.5237451575897742,-1.246791756665684,20,False
Qwen-14B-Chat,-1.381602202140243,-1.7325270382757751,-0.993035318506355,2,True
open-mistral-nemo-2407,-1.376629711435032,-1.6658670960552706,-1.1374320913617801,2,True
amazon.nova-micro-v1:0,-1.3759589171865976,-1.551942109946514,-1.2116932533960616,17,False
Yi-9B,-1.3608462064410607,-1.7700616874161814,-0.9041162283122579,2,True
open-mixtral-8x7b,-1.3456829155386223,-1.5827264620719739,-1.1329984243282232,3,True
granite-4.0-micro,-1.338313171262229,-1.6953533532462153,-1.0284146892008208,3,True
text-davinci-002,-1.3362557447919055,-1.5697142595516407,-1.0920097432708322,5,False
falcon-180B,-1.3254129754397999,-1.6593855853324724,-0.9445802409562462,3,True
