name,mean,hdi_low,hdi_high,n_obs,is_low_obs
gpt2-xl,78.43402655400963,60.38516837792232,91.11917825842036,4,False
deepseek-coder-1.3b-base,82.39125758566506,66.5837535321636,93.70379859189033,3,True
Mistral-7B-Instruct-v0.1,83.55983273090538,68.10846430644592,94.50031152190351,5,False
opt-13b,83.89302197708366,68.19434661304543,95.450918292952,2,True
Cerebras-GPT-13B,84.20574632678053,68.2786558029898,95.69697188597739,2,True
gpt-j-6b,84.37194809778632,68.59867674872353,95.84198358201813,2,True
RedPajama-INCITE-7B-Base,85.12595187387029,69.54874265222591,96.61905808587869,2,True
dolly-v2-12b,85.13157928164624,69.54881441944775,96.55150550931094,2,True
open_llama_7b,87.37728431516726,72.33237895648516,98.37956600041774,2,True
mpt-7b,87.58915421908442,73.2375736385949,98.00698289102517,4,False
davinci,89.00338488676951,74.58602070393535,99.3192254969988,4,False
falcon-7b,89.40831601612206,75.68414797583544,99.3209927752977,4,False
Qwen-1_8B,89.5043367879263,75.44834714202364,99.778647868737,3,True
LLaMA-7B,90.88874728226628,77.40968081901292,100.67073436453009,4,False
xgen-7b-8k-base,91.46796011281492,77.39906715022389,101.8790978387232,2,True
starcoder2-3b,91.61650502397316,78.14104424507235,101.39027333091552,3,True
deepseek-coder-6.7b-base,91.7334851917162,78.31788569304167,101.46517938719326,3,True
phi-1_5,92.58662542931347,78.78424981555449,102.8469329592576,2,True
Baichuan-7B,92.71844721188273,79.55454428853955,102.35104573902645,2,True
Average Human,92.7520070328003,78.57606585342779,103.58113288444278,3,False
gemma-2b,93.54281435052681,80.88396127826381,102.80139485064385,4,False
starcoder2-7b,94.44437486193746,81.61889631420348,103.87553957160608,3,True
deepseek-coder-33b-base,95.35675548380334,82.66550578842799,104.67251452440078,3,True
CodeQwen1.5-7B,95.47635156480811,82.86403430314667,104.72429861475212,3,True
Qwen2.5-Coder-0.5B,95.58057013924153,83.04733104800181,104.82187276717653,3,True
Llama-2-7b,95.7633078151968,83.55033671815153,104.77712252112835,4,False
mpt-30b,96.84623101590067,84.91312017028106,105.68543798243294,4,False
text-davinci-001,97.15563711203828,84.57022812798557,106.91402772186368,3,True
LLaMA-13B,97.81833147259997,86.04223275578973,106.50805369315832,4,False
vicuna-13b-v1.1,98.0517189217092,83.44199382986501,108.90348041635389,2,True
deepseek-r1-0528-qwen3-8b,98.50311034136419,85.19377826210975,108.04852088608197,3,True
granite-4.0-350m,98.77238727218868,85.75875926208178,108.02421367651878,3,True
Baichuan-2-7B-Base,98.79953028919263,87.23928559627421,107.39288012498552,3,True
chatglm2-6b,100.00655377185075,88.77362211252107,108.47008112764037,3,True
Baichuan-13B-Base,100.18447032014366,88.74273809927928,108.89473970239108,2,True
internlm-chat-20b,100.36846964713402,88.92481718229962,109.09801551384393,2,True
INTELLECT-1-Instruct,101.00348494621372,89.7749916082137,109.4325252607189,3,True
PaLM 62B,101.52119300602838,90.52386562694771,109.91177253227379,3,True
internlm-7b,101.75422363945859,90.73873606058316,110.04960261086379,3,True
falcon-40b,102.55907882037835,91.80595163714892,110.78831278004009,4,False
Qwen-7B,102.78006308267123,91.80317492504936,111.19075785396669,3,True
Llama-2-13b,103.2671331989887,92.6745918304858,111.40459642246732,4,False
open-mistral-7b,103.40754516403786,93.45928793314401,110.50975447484069,3,True
Mistral-7B-Instruct-v0.3,103.69948086568616,94.10926733505534,110.57273271374777,5,False
Llama-2-13b-chat,104.19198420465214,94.30721787440488,111.67698664080719,4,False
Baichuan2-13B-Chat,104.48764460835295,93.76696878801069,112.83379797631349,2,True
Baichuan-2-13B-Base,104.9498679974592,94.57786646928042,113.03506901710853,3,True
Yi-6B,105.08966006312542,94.8915464512132,113.14126118804819,3,True
Qwen2.5-Coder-1.5B,105.24350819578703,94.67524924626107,113.35788032487558,3,True
Nemotron-4 15B,105.29929748884942,95.10990416854865,113.26340651169048,3,True
Llama-3.2-11B-Vision-Instruct,105.41130868479546,94.22896127276397,114.35103121311803,3,True
Mixtral-8x7B-Instruct-v0.1,105.61871497235694,97.2062208434748,111.58344079256749,17,False
Mistral-7B-Instruct-v0.2,106.06503267995443,95.64217979506094,114.39574002399812,2,True
gemma-3-1b-it,106.29327594648962,95.50278289189541,114.1099656763084,3,True
LLaMA-33B,106.47847229475255,96.46716674780792,114.38727688956145,4,False
Gopher (280B),106.65365969126798,95.05919714512858,116.31475970286941,2,True
Llama-2-34b,106.68212773090488,96.66241274135068,114.58910628539783,4,False
phi-2,106.72191183256541,95.73293783514376,115.82184068104984,3,True
Yi-6B-Chat,106.83595440902906,96.67146842509366,115.07437279142329,2,True
Llama-3.2-1B-Instruct,106.94917005998745,96.55644243070664,114.43598137409464,4,False
falcon-11b,107.06348323234779,96.82415507168751,115.35162319882251,2,True
Llama-2-70b-chat,107.11699558129132,98.96868696399478,113.0298413125573,6,False
deepseek-llm-67b-chat,107.84997765485963,98.66182746589315,114.30245693227351,4,False
Yi-34B-Chat,108.24617285176686,100.10226222522273,114.11958281774521,4,False
starcoder2-15b,108.26849688118627,98.48217022685388,116.08690501172065,3,True
gemma-3-4b-it,108.5169751692776,100.40294970659518,114.45484259349165,8,False
gpt-3.5-turbo-0613,108.52315351674818,99.44230498546781,115.39343292530688,4,False
granite-4.0-1b,108.66809928796627,98.46639341032949,116.07202649068351,3,True
ministral-3b-2410,108.9168303059939,100.92945062453305,114.76690486928287,7,False
DeepSeek-Coder-V2-Lite-Base,108.97784755395114,99.32098641130673,116.80053593487759,3,True
Meta-Llama-3-8B-Instruct,109.05412214113474,101.59061964900971,114.3784502257675,13,False
ministral-8b-2410,109.33442869656893,101.36457842002945,115.14760741823912,6,False
Pixtral-12B-2409,109.54281268468822,89.10581921203081,126.59755909891676,2,True
LLaMA-65B,109.87028328209658,100.38229130187374,117.6868898604651,4,False
Mistral-7B-v0.1,109.88750441465916,100.60079269227266,117.66297402867492,4,False
gemma-7b,110.08887673339976,100.74918365334744,117.99375360371872,4,False
