,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_b_log__[0],-2.679968,0.187658,-3.029374,-2.324922,0.000663,0.000605,81013.972562,63884.793738,0.999989
sigma_b_log__[1],-2.969617,0.30239,-3.533742,-2.391776,0.00139,0.001084,47527.062618,53817.898579,1.000258
sigma_b_log__[2],-2.706094,0.426173,-3.503,-1.894808,0.004874,0.004337,7077.517286,2671.788092,1.001837
sigma_b_log__[3],-2.232651,0.172914,-2.553173,-1.904122,0.000613,0.000552,81266.904934,60646.524065,1.000096
sigma_b_log__[4],-1.951896,0.241426,-2.394422,-1.488158,0.000854,0.000829,80600.244258,60317.773063,1.000061
sigma_b_log__[5],-2.776773,0.23702,-3.219755,-2.331545,0.00099,0.000728,57645.98763,59933.108911,1.000038
sigma_b_log__[6],-2.630542,0.109104,-2.832702,-2.422543,0.000418,0.00033,68150.627193,66840.300926,1.000008
sigma_b_log__[7],-2.103213,0.091666,-2.27027,-1.926307,0.000329,0.000287,77810.693827,65754.882273,1.000054
sigma_b_log__[8],-2.149936,0.105674,-2.350355,-1.951573,0.000405,0.000317,68199.526643,66838.427363,1.000119
sigma_b_log__[9],-3.347856,0.427931,-4.150854,-2.536675,0.001996,0.001313,45852.066011,47371.502659,1.000043
sigma_b_log__[10],-2.682693,0.132359,-2.927341,-2.429071,0.000457,0.000447,84940.586237,62946.622068,1.000055
sigma_b_log__[11],-2.535288,0.125212,-2.773301,-2.304278,0.000398,0.000421,100068.27032,62817.379889,0.999997
sigma_b_log__[12],-1.599371,0.116524,-1.817564,-1.379517,0.000383,0.000394,92538.992983,63951.413896,1.000031
sigma_b_log__[13],-3.304556,0.174187,-3.623681,-2.968883,0.000625,0.000561,78077.450312,64374.632077,1.000124
sigma_b_log__[14],-3.086765,0.208408,-3.482961,-2.698856,0.000901,0.000612,53629.334164,61017.953094,1.00007
sigma_b_log__[15],-3.177452,0.269437,-3.684457,-2.670694,0.001122,0.000837,57992.370625,59658.417529,1.000018
sigma_b_log__[16],-2.300843,0.181299,-2.626166,-1.946441,0.000633,0.000599,83530.921515,61867.524283,1.000117
sigma_b_log__[17],-2.121243,0.050875,-2.215262,-2.024642,0.000162,0.000165,99023.397402,64967.42292,1.000029
sigma_b_log__[18],-2.531609,0.076463,-2.678215,-2.390831,0.000324,0.000227,55750.371639,62149.665416,1.000046
sigma_b_log__[19],-1.863885,0.221796,-2.277697,-1.446602,0.000996,0.000641,49836.051154,60403.64627,1.000074
sigma_b_log__[20],-2.392582,0.141633,-2.660814,-2.127787,0.000517,0.00044,75384.248656,64874.796545,1.000055
sigma_b_log__[21],-2.383202,0.163119,-2.691037,-2.079272,0.000508,0.000569,105807.804222,61035.789054,1.000024
sigma_b_log__[22],-2.860278,0.065129,-2.98475,-2.739477,0.000215,0.000205,91358.151749,69561.825182,1.000041
sigma_b_log__[23],-3.00783,0.124103,-3.23993,-2.77296,0.000449,0.00041,76602.4374,64463.939163,1.000134
sigma_b_log__[24],-2.058081,0.091892,-2.233136,-1.887239,0.000352,0.000284,68275.556525,65013.059932,1.0001
sigma_b_log__[25],-2.589875,0.193831,-2.95164,-2.223642,0.000697,0.000648,78180.688826,62667.700207,1.000047
sigma_b_log__[26],-1.78108,0.156961,-2.072456,-1.485595,0.00067,0.000642,58982.374875,38769.788521,1.000114
sigma_b_log__[27],-2.805158,0.119045,-3.025575,-2.578747,0.000407,0.000385,86048.387309,65500.716505,0.999987
sigma_b_log__[28],-2.368946,0.184634,-2.713638,-2.01933,0.000689,0.000601,72060.922887,60936.881362,1.000119
sigma_b_log__[29],-1.800877,0.113679,-2.012325,-1.583806,0.000441,0.000335,66519.095573,59981.691391,1.000085
sigma_b_log__[30],-2.505628,0.151466,-2.792722,-2.224262,0.00055,0.000475,76031.357295,63390.705555,1.000087
sigma_b_log__[31],-2.659022,0.351344,-3.291098,-1.98642,0.001242,0.001246,84378.37601,57779.7435,1.000018
sigma_b_log__[32],-2.405849,0.13054,-2.651373,-2.161303,0.000568,0.000382,52873.192498,60093.095248,1.00007
sigma_b_log__[33],-2.512987,0.100007,-2.700306,-2.322105,0.000448,0.000295,50009.148979,60719.187189,1.000107
sigma_b_log__[34],-2.479077,0.266934,-2.981571,-1.982929,0.0014,0.000883,36663.879296,42337.518049,1.000243
sigma_b_log__[35],-1.284486,0.098392,-1.46844,-1.100154,0.000343,0.000321,83027.26813,65949.421019,0.999993
sigma_b_log__[36],-2.86422,0.136468,-3.121766,-2.61067,0.0005,0.000429,74845.794334,64122.541898,1.000082
sigma_b_log__[37],-1.969657,0.167816,-2.284589,-1.657414,0.000511,0.0006,108985.367011,62870.632923,1.000038
sigma_b_log__[38],-2.87732,0.054708,-2.977341,-2.77182,0.000218,0.000162,63030.867243,64092.780968,1.00009
sigma_b_log__[39],-2.248762,0.104903,-2.447269,-2.053615,0.000307,0.000402,118283.038663,57322.798462,1.000112
sigma_b_log__[40],-2.579296,0.110653,-2.789128,-2.373253,0.000333,0.000382,111440.247535,64076.425768,0.99999
sigma_b_log__[41],-2.407415,0.108525,-2.607579,-2.201208,0.000314,0.000395,121629.803562,61072.002189,1.000024
sigma_b_log__[42],-2.903852,0.116257,-3.121471,-2.682973,0.000353,0.000398,109420.324296,64894.00531,1.000078
sigma_b_log__[43],-2.033521,0.115502,-2.247201,-1.813297,0.000567,0.000354,41570.878258,55839.580658,1.000066
sigma_b_log__[44],-2.460057,0.130844,-2.702485,-2.212163,0.000468,0.000404,78325.938663,65916.354468,1.000129
sigma_b_log__[45],-1.974824,0.106731,-2.172498,-1.772806,0.000306,0.000383,123128.948854,62267.956364,1.00006
sigma_b_log__[46],-2.964269,0.133903,-3.212932,-2.710088,0.000493,0.000402,73792.502601,66418.541684,1.000094
sigma_b_log__[47],-2.765923,0.23406,-3.192072,-2.312986,0.000936,0.000831,65138.268363,47407.522706,1.000027
sigma_b_log__[48],-2.517632,0.115195,-2.734069,-2.301732,0.000338,0.000414,117741.882319,62339.087049,1.00012
sigma_b_log__[49],-3.002019,0.119226,-3.225486,-2.778651,0.000351,0.000431,117703.347523,63219.146121,1.000074
sigma_b_log__[50],-2.903237,0.118413,-3.129269,-2.684898,0.000355,0.000414,113163.553713,61807.07011,1.000115
sigma_b_log__[51],-2.944742,0.120872,-3.171206,-2.71668,0.000368,0.000424,109625.725877,62421.796284,1.000226
sigma_b_log__[52],-2.925825,0.073394,-3.06123,-2.784803,0.00024,0.000234,93777.27238,68901.110684,1.000069
sigma_b_log__[53],-2.669018,0.100093,-2.853395,-2.4773,0.000303,0.000369,111402.959452,58516.42174,1.00004
sigma_b_log__[54],-2.364813,0.091477,-2.535127,-2.191037,0.000368,0.000276,61945.833998,55128.074824,1.000051
sigma_b_log__[55],-2.500265,0.140454,-2.763608,-2.236703,0.000485,0.000444,84480.095358,66035.609764,0.99999
sigma_b_log__[56],-3.062971,0.12195,-3.289855,-2.833188,0.000442,0.000426,76901.867068,59571.805953,1.000118
sigma_b_log__[57],-2.811489,0.079317,-2.959153,-2.660896,0.000391,0.000233,41055.699132,54494.197988,1.000065
sigma_b_log__[58],-3.167534,0.120235,-3.386866,-2.935979,0.000353,0.000428,117753.954325,62770.424854,1.000074
sigma_b_log__[59],-3.158634,0.120298,-3.382558,-2.93068,0.000366,0.00041,108764.89481,65508.094059,1.000057
sigma_b_log__[60],-3.026632,0.127175,-3.263044,-2.787438,0.0004,0.000426,101837.322956,66017.907413,1.000075
sigma_b_log__[61],-2.756561,0.12343,-2.990454,-2.525215,0.0004,0.000407,96456.046847,64683.536555,0.999998
sigma_b_log__[62],-2.801138,0.10845,-3.00449,-2.597866,0.000381,0.000344,81361.358518,59402.262769,1.000014
sigma_b_log__[63],-1.859569,0.192615,-2.221009,-1.49724,0.000605,0.000692,101358.175177,62042.22302,1.000032
sigma_b_log__[64],-2.611151,0.130634,-2.861709,-2.371639,0.000415,0.000461,100631.532998,61971.289009,1.000148
sigma_b_log__[65],-2.951599,0.143833,-3.222333,-2.682897,0.000584,0.000417,60608.238311,64869.369581,0.999986
sigma_b_log__[66],-2.256525,0.070273,-2.388089,-2.124067,0.000261,0.000221,72389.919024,65306.538415,1.000068
sigma_b_log__[67],-2.318169,0.182201,-2.654933,-1.970162,0.000616,0.000594,88716.881737,63494.186938,0.999984
sigma_b_log__[68],-3.235347,0.394531,-3.989886,-2.497389,0.001934,0.001246,41855.742082,54053.879157,1.000112
sigma_b_log__[69],-1.655002,0.166894,-1.969244,-1.344075,0.000509,0.000551,107860.782064,67083.829474,1.000082
sigma_b_log__[70],-2.676364,0.217158,-3.083003,-2.267363,0.000927,0.000717,55550.801413,54976.661975,1.000027
sigma_b_log__[71],-1.946138,0.048314,-2.037841,-1.856416,0.000173,0.000154,77679.2732,65687.912892,1.000006
sigma_b_log__[72],-2.500113,0.119194,-2.725328,-2.280037,0.000357,0.000428,113315.506404,61881.750752,0.999988
sigma_b_log__[73],-2.939723,0.220628,-3.356639,-2.528511,0.000829,0.000715,71149.45869,60924.269718,1.000059
sigma_b_log__[74],-1.774698,0.107356,-1.976671,-1.574246,0.000487,0.000313,48548.577528,57695.854401,1.000059
sigma_b_log__[75],-3.066794,0.241137,-3.521774,-2.615881,0.001153,0.000775,44617.811554,48065.573238,1.000044
sigma_b_log__[76],-2.591452,0.122712,-2.815698,-2.35413,0.000385,0.000411,102336.270738,64810.253832,1.000051
