name,kind,release_date,mean,hdi_low,hdi_high,n_obs,is_low_obs
Baichuan-13B-Base,model,2023-07-11,100.18447032014366,93.08947783070585,106.09968458927908,2,True
Baichuan-2-13B-Base,model,2023-09-06,104.9498679974592,98.51326675518426,110.39479920181533,3,True
Baichuan-2-7B-Base,model,2023-09-20,98.79953028919263,91.66162194108836,104.69675841528922,3,True
Baichuan-7B,model,2023-06-01,92.71844721188273,84.61700950231945,99.28830942644386,2,True
Baichuan2-13B-Chat,model,2023-09-06,104.48764460835295,97.87198678915311,110.11285206657331,2,True
Cerebras-GPT-13B,model,2023-03-20,84.20574632678053,74.49443891910802,92.06333790436045,2,True
Chinchilla (70B),model,2022-03-29,112.3657024502049,105.54588116310984,118.78722991927505,2,True
CodeQwen1.5-7B,model,2024-04-15,95.47635156480811,87.80211481723671,101.83570793080179,3,True
DeepSeek-Coder-V2-Base,model,2024-06-17,120.31776168213813,113.04354003352914,128.61065234035505,2,True
DeepSeek-Coder-V2-Lite-Base,model,2024-06-13,108.97784755395114,103.00241768621795,114.22072568473777,3,True
DeepSeek-R1,model,2025-01-20,137.0102015476277,135.29244168799698,138.81268053556303,27,False
DeepSeek-R1-0528,model,2025-05-28,140.44409951367038,138.28903447142466,142.78629744460412,13,False
DeepSeek-R1-Distill-Llama-70B,model,2025-01-20,133.5649930935944,130.6398174092498,136.51994496223887,3,True
DeepSeek-R1-Distill-Qwen-1.5B,model,2025-01-20,116.57154514801164,111.24033479992592,121.05539658855312,3,True
DeepSeek-R1-Distill-Qwen-14B,model,2025-01-20,130.30230636019678,127.30191279699994,133.11576508412202,4,False
DeepSeek-R1-Distill-Qwen-32B,model,2025-01-20,132.03541669082483,128.4275612114183,135.45712486895414,4,False
DeepSeek-V2,model,2024-05-07,124.97659177114193,118.70600602553351,131.81176731659733,3,True
DeepSeek-V3,model,2024-12-26,129.04443175020452,127.0760140165626,130.82717995479783,27,False
DeepSeek-V3-0324,model,2025-03-24,132.50919210960825,130.27763921773646,134.67487842207504,11,False
DeepSeek-V3.1,model,2025-08-21,136.60160041337647,134.16407442800926,139.13605425208985,10,False
DeepSeek-V3.1-Terminus,model,2025-09-22,141.936295671477,137.5421507103599,146.4634862075025,3,True
DeepSeek-V3.1_thinking,model,2025-08-21,139.40231325032101,135.6543933229832,143.30097973957015,3,True
DeepSeek-V3.2-Exp,model,2025-09-29,142.61066092161252,138.37500099092915,147.86593726354573,2,True
DeepSeek-V3.2-Exp_thinking,model,2025-09-29,142.84124965826058,139.8454194468865,146.06854648376114,7,False
GLM-4.5-Air,model,2025-07-28,128.89718687525098,124.0531340151473,133.0442395848764,3,True
Gopher (280B),model,2021-12-08,106.65365969126798,99.46406603803771,113.02512533436725,2,True
Hermes-2-Theta-Llama-3-70B,model,2024-06-20,115.72786654407932,111.405168361019,119.23029851916627,3,True
INTELLECT-1-Instruct,model,2024-11-29,101.00348494621372,94.146231080541,106.7362123926325,3,True
Inkling,model,2026-07-15,132.51171278026044,123.11816882405874,139.76626071950338,2,True
Inkling_high,model,2026-07-15,133.17870685269617,126.09915493791806,139.53760521143167,1,True
Inkling_thinking,model,2026-07-15,155.80531492793517,146.68617795412388,165.07492922745,1,True
Inkling_xhigh,model,2026-07-15,149.1067543843709,146.44668587856273,152.15581042400788,11,False
Kimi-K2-Instruct,model,2025-07-12,137.37522911369615,134.65631587530422,140.05494218798958,7,False
Kimi-K2-Instruct-0905,model,2025-09-05,136.19144368963373,132.2998155772827,140.11710897517523,3,True
LLaMA-13B,model,2023-02-24,97.81833147259997,90.60634947191858,103.72575576053563,4,False
LLaMA-33B,model,2023-02-24,106.47847229475255,100.36175299575041,111.77041602405389,4,False
LLaMA-65B,model,2023-02-24,109.87028328209658,103.97553043928887,115.01062203308732,4,False
LLaMA-7B,model,2023-02-24,90.88874728226628,82.61724869066296,97.58269609900522,4,False
Llama-2-13b,model,2023-07-18,103.2671331989887,96.70657316195953,108.75184073353027,4,False
Llama-2-13b-chat,model,2023-07-18,104.19198420465214,98.12798122101671,109.23959672982724,4,False
Llama-2-34b,model,2023-07-18,106.68212773090488,100.45297661762685,111.96850449471609,4,False
Llama-2-70b-chat,model,2023-07-18,107.11699558129132,102.11970785504387,111.15038150695231,6,False
Llama-2-70b-hf,model,2023-07-18,115.55789429189475,110.05647640389401,120.78778095993476,4,False
Llama-2-7b,model,2023-07-18,95.7633078151968,88.32395572412261,101.8845332247238,4,False
Llama-3.1-405B,model,2024-07-23,131.78281180579722,125.17628303270985,139.64255943723728,3,True
Llama-3.1-405B-Instruct,model,2024-07-23,123.51493101094947,121.21367658777719,125.40002532375117,69,False
Llama-3.1-70B-Instruct,model,2024-07-23,121.01009538181096,118.2646589078973,123.27752544165878,25,False
Llama-3.1-8B-Instruct,model,2024-07-23,110.5263229152061,106.31881780960838,113.90795563788673,27,False
Llama-3.1-Tulu-3-70B-DPO,model,2024-11-21,121.02940477928807,117.42895432796928,124.07247006555801,3,True
Llama-3.2-11B-Vision-Instruct,model,2024-09-24,105.41130868479546,98.50154278903513,111.41399073870342,3,True
Llama-3.2-1B-Instruct,model,2024-09-24,106.94917005998745,100.57011194968868,112.06103616331824,4,False
Llama-3.2-90B-Vision-Instruct,model,2024-09-24,119.7891267485686,116.3166005710553,122.73419518533521,8,False
Llama-3.3-70B-Instruct,model,2024-12-06,122.65063853220123,119.67562722325948,125.18290377846166,9,False
Llama-4-Maverick-17B-128E-Instruct,model,2025-04-05,130.13816612007008,128.094310989849,131.98333608364587,30,False
Llama-4-Maverick-17B-128E-Instruct-FP8,model,2025-04-05,130.93252364299883,127.99411273784554,133.8543797638475,3,True
Llama-4-Scout-17B-16E-Instruct,model,2025-04-05,123.63212398671917,121.03842567222068,125.79971272518819,22,False
Meta-Llama-3-70B-Instruct,model,2024-04-18,116.22240705818787,112.80318721222142,118.99039464661159,19,False
Meta-Llama-3-8B-Instruct,model,2024-04-18,109.05412214113474,104.53489902953028,112.67929982826479,13,False
MiniMax-M2.5,model,2026-02-12,139.9816463446111,135.53050750611283,143.91342325440328,5,False
MiniMax-M2.5_unknown,model,2026-02-12,129.82656155365015,116.47204786004522,140.14171695363495,1,True
MiniMax-M2.7,model,2026-03-18,141.61465336766196,137.90514120324744,145.12063149599769,6,False
MiniMax-M3,model,2026-06-01,146.92008886774062,144.09070705876314,150.10833525731448,12,False
MiniMax-M3_none,model,2026-06-01,138.53197369766653,135.047164550542,142.22025858669477,4,False
MiniMax-M3_xhigh,model,2026-06-01,128.84330409726778,110.31867211335043,144.4765879046855,1,True
Mistral-7B-Instruct-v0.1,model,2023-09-27,83.55983273090538,74.06050337347024,91.14695378021695,5,False
Mistral-7B-Instruct-v0.2,model,2023-12-11,106.06503267995443,99.62540894568085,111.59509930528725,2,True
Mistral-7B-Instruct-v0.3,model,2024-05-27,103.69948086568616,97.85063992723104,108.39236511465509,5,False
Mistral-7B-v0.1,model,2023-09-27,109.88750441465916,104.05620399565612,115.03552371746437,4,False
Mistral-Nemo-Instruct-2407,model,2024-07-18,115.88660359338931,109.69356488297288,121.29881770926175,2,True
Mixtral-8x22B-Instruct-v0.1,model,2024-04-17,115.90761289873384,112.05011439455919,119.03115144242781,8,False
Mixtral-8x7B-Instruct-v0.1,model,2023-12-11,105.61871497235694,100.52400577785275,109.67905824323566,17,False
Mixtral-8x7B-v0.1,model,2023-12-11,117.48506118149416,112.06676286153298,122.7689433943418,4,False
Nemotron-4 15B,model,2024-02-26,105.29929748884942,99.00796628259118,110.64570984352012,3,True
PaLM 2-L,model,2023-05-17,120.35216701574456,107.91129346522938,135.67475871464404,2,True
PaLM 2-M,model,2023-05-17,115.56628666289268,103.67132295939166,129.71316268385564,2,True
PaLM 2-S,model,2023-05-17,110.10191434846072,98.43144779180618,123.0645245129806,2,True
PaLM 540B,model,2022-04-04,114.00323846102663,108.31249485594374,119.30222166740413,4,False
PaLM 62B,model,2022-04-04,101.52119300602838,94.74729360429285,107.14529054818897,3,True
Phi-3-medium-128k-instruct,model,2024-04-23,114.7483797379695,110.56352187622802,118.16984377417667,5,False
Phi-3-mini-4k-instruct,model,2024-04-23,114.73905041695465,108.70546220960438,120.3017344069718,4,False
Phi-3-small-8k-instruct,model,2024-04-23,121.00604878258261,114.7794866275368,127.38105683736764,3,True
Pixtral-12B-2409,model,2024-09-17,109.54281268468822,96.7799713877019,120.94998056186908,2,True
QwQ-32B,model,2025-03-05,132.1875865944606,128.7987001413058,135.4921774012287,4,False
QwQ-32B_16K,model,2025-03-05,141.23728110724815,128.06659307894094,155.92836249063265,1,True
Qwen-14B,model,2023-09-25,113.06729409791078,107.45257058640718,118.30521572755715,3,True
Qwen-14B-Chat,model,2023-09-25,111.05080852560957,105.10542671790704,116.4359238322067,2,True
Qwen-1_8B,model,2023-11-30,89.5043367879263,80.84666629565699,96.51466471678877,3,True
Qwen-7B,model,2023-09-28,102.78006308267123,96.05876997975365,108.46594279850478,3,True
Qwen2-VL-72B-Instruct,model,2024-08-29,113.12274449309179,103.51550138042464,121.35579735959817,2,True
Qwen2.5-72B,model,2024-09-19,130.86305419583638,124.39819034616393,138.42505551839295,3,True
Qwen2.5-Coder-0.5B,model,2024-11-12,95.58057013924153,87.8970399740553,101.91373178612152,3,True
Qwen2.5-Coder-1.5B,model,2024-09-18,105.24350819578703,98.75348441995035,110.70875557201869,3,True
Qwen2.5-Coder-14B,model,2024-11-12,119.9223829624968,114.57259901232989,125.20483833911585,3,True
Qwen2.5-Coder-32B,model,2024-11-12,122.94736763588674,117.6365831143365,128.53889687120653,3,True
Qwen2.5-Coder-32B-Instruct,model,2024-11-12,124.76151297346382,119.38221102190174,129.72404958509662,2,True
Qwen2.5-Coder-3B,model,2024-11-12,114.10792405687212,106.69793381032659,121.46308509804682,2,True
Qwen2.5-Coder-7B,model,2024-09-18,115.17922073806642,109.61353288660806,120.29659856697661,3,True
Qwen2.5-VL-72B-Instruct,model,2024-09-19,118.05798496383659,100.07291240523607,136.08309943157911,2,True
Qwen3-235B-A22B-Instruct-2507,model,2025-07-21,135.40446610159222,132.53928943348998,138.2867680525774,8,False
Qwen3-235B-A22B-Thinking-2507,model,2025-07-25,139.13413805262206,136.7774839553492,141.571952593482,14,False
Qwen3-30B-A3B,model,2025-04-29,130.7244744426222,127.64405437275258,133.55932975488935,7,False
Qwen3-30B-A3B_none,model,2025-04-29,125.42411851334711,121.21570130686843,129.1998664757027,3,True
Qwen3-32B,model,2025-04-29,133.24484764641574,130.43055623381528,135.98266019819394,7,False
Qwen3-32B_none,model,2025-04-29,126.68121359626059,122.62699140398877,130.30433566496203,3,True
Qwen3-Coder-480B-A35B-Instruct,model,2025-07-31,138.48547825745496,134.67541063285822,142.06272644332466,3,True
RedPajama-INCITE-7B-Base,model,2023-05-04,85.12595187387029,75.53813728435797,92.91132896775646,2,True
StableBeluga2,model,2023-07-20,115.47075977622949,110.0043759173564,120.76713361011903,3,True
WizardLM-2-8x22B,model,2024-04-15,118.10385741976837,114.06845174765309,121.48781632278234,2,True
Yi-1.5-34B-Chat,model,2024-05-13,115.1922599894996,110.52558380585823,118.94052166991584,2,True
Yi-34B,model,2023-11-02,117.73736093252992,111.99572194994471,123.52947007729941,2,True
Yi-34B-Chat,model,2023-11-23,108.24617285176686,103.28207529033416,112.27885232748578,4,False
Yi-6B,model,2023-11-02,105.08966006312542,98.77116054811461,110.493124348066,3,True
Yi-6B-Chat,model,2023-11-22,106.83595440902906,100.5293282340513,112.29096811427463,2,True
Yi-9B,model,2024-03-01,111.46070689553997,104.89965418267306,117.53292655880699,2,True
amazon.nova-lite-v1:0,model,2024-12-03,118.66263929796398,115.38074683734533,121.3660949782936,19,False
amazon.nova-micro-v1:0,model,2024-12-03,111.13168271608596,106.74110661793465,114.69122179726865,17,False
amazon.nova-pro-v1:0,model,2024-12-03,122.16057802138153,119.30792309239769,124.56753063084663,21,False
c4ai-command-a-03-2025,model,2025-03-13,121.24714586937682,116.57204812643022,125.2824449669046,3,True
c4ai-command-r-08-2024,model,2024-08-30,112.30054168678495,106.88880144957655,116.94648947833616,3,True
c4ai-command-r-plus-08-2024,model,2024-08-30,113.0880955690884,108.09093142319912,117.31687342275846,4,False
chatglm2-6b,model,2023-06-24,100.00655377185075,93.07301665030202,105.77586872065284,3,True
claude-1.3,model,2023-04-18,122.1555442370379,115.37660147159583,129.4605161968754,2,True
claude-2.0,model,2023-07-11,114.65360093468169,110.66107145481382,117.94226753793204,6,False
claude-2.1,model,2023-11-21,114.35465289012352,109.99006348221718,117.99106891969222,5,False
claude-3-5-haiku-20241022,model,2024-10-22,121.87570746386302,118.91137667473708,124.37170641643483,13,False
claude-3-5-sonnet-20240620,model,2024-06-20,127.94461832011424,125.89195140493234,129.73869317045535,27,False
claude-3-5-sonnet-20241022,model,2024-10-22,130.0,130.0,130.0,33,False
claude-3-7-sonnet-20250219,model,2025-02-24,132.51415213864243,130.80755139634172,134.15475575625373,33,False
claude-3-7-sonnet-20250219_15K,model,2025-02-24,137.21264146051897,117.72749520691788,157.4522300303946,1,True
claude-3-7-sonnet-20250219_16K,model,2025-02-24,139.29115367916256,137.29833237254266,141.4408652062191,20,False
claude-3-7-sonnet-20250219_2K,model,2025-02-24,138.21157220964795,120.55128730834993,154.85241051637414,1,True
claude-3-7-sonnet-20250219_32K,model,2025-02-24,139.64694145327599,136.71912049024,142.91414998023927,4,False
claude-3-7-sonnet-20250219_64K,model,2025-02-24,140.45545000001425,137.11654298156196,144.3409928739592,3,True
claude-3-7-sonnet-20250219_8K,model,2025-02-24,135.35589659582774,127.20110959823512,143.8370557370459,1,True
claude-3-7-sonnet-20250219_thinking,model,2025-02-24,139.83871884514164,136.2577405001653,143.35789678926642,5,False
claude-3-7-sonnet-20250219_unknown,model,2025-02-24,136.21646809101364,133.4034676835548,138.87808479639526,8,False
claude-3-haiku-20240307,model,2024-03-07,113.89068854823665,110.16679344259954,116.90218115164333,23,False
claude-3-opus-20240229,model,2024-02-29,123.1910160316332,120.74554575795902,125.20967121629982,33,False
claude-3-sonnet-20240229,model,2024-02-29,116.16979821659675,112.74417869791442,118.95637180394894,22,False
claude-fable-5,model,2026-06-09,172.8886356542579,166.27643275690585,180.6072653513238,3,True
claude-fable-5-1_high,model,2026-09-01,171.6167974811831,166.1788528240538,178.1799106659384,3,True
claude-fable-5-1_low,model,2026-09-01,168.42422355492852,161.3061915479272,176.03726512358313,1,True
claude-fable-5-1_max,model,2026-09-01,175.32834156948877,170.04564683049261,181.7782770486066,12,False
claude-fable-5-1_medium,model,2026-09-01,170.84494998647904,164.51150335657707,178.06165533360183,2,True
claude-fable-5-1_unknown,model,2026-09-01,170.7834401822534,164.39130661366093,178.28088672796449,3,True
claude-fable-5-1_xhigh,model,2026-09-01,168.03723831584892,162.90923396897506,174.25777260864427,4,False
claude-fable-5_high,model,2026-06-09,169.6453658063326,164.71184991079642,175.64421202642382,9,False
claude-fable-5_low,model,2026-06-09,153.1800476073255,148.43117408555364,158.7652309279199,4,False
claude-fable-5_max,model,2026-06-09,172.02540799152817,167.23307773463952,177.8440368591097,16,False
claude-fable-5_medium,model,2026-06-09,163.37390129188384,152.61523405407763,174.744959960034,1,True
claude-fable-5_unknown,model,2026-06-09,177.3961516627375,170.67019991926082,185.50549600452482,6,False
claude-fable-5_xhigh,model,2026-06-09,168.3770286555416,161.44769924255877,176.6250064771612,3,True
claude-haiku-4-5-20251001,model,2025-10-15,134.8586983583718,132.3059904414748,137.45244985064085,8,False
claude-haiku-4-5-20251001_16K,model,2025-10-15,140.40669535792048,134.0212839602323,146.80564835046368,1,True
claude-haiku-4-5-20251001_1K,model,2025-10-15,136.01524397098277,126.80710481549472,144.62410957753357,1,True
claude-haiku-4-5-20251001_32K,model,2025-10-15,139.76131993163082,136.73426408452332,143.09578340543607,5,False
claude-haiku-4-5-20251001_low,model,2025-10-15,141.64995250193732,123.82782167571496,158.41041765664508,1,True
claude-haiku-4-5-20251001_thinking,model,2025-10-15,138.6453152245471,126.97275253586558,149.76099552499522,1,True
claude-haiku-4-5-20251001_unknown,model,2025-10-15,139.48773697391903,136.21731299965626,142.6736857631756,7,False
claude-instant-1.1,model,2023-05-11,119.36874222262273,114.10546618445497,124.71018001900396,4,False
claude-instant-1.2,model,2023-08-09,117.21482077821,112.60788934107137,121.31916376634722,5,False
claude-mythos-5,model,2026-06-09,183.23284121824963,175.9178807182107,192.35083633478564,4,False
claude-mythos-preview,model,2026-04-07,179.53430013476233,172.96167027820806,187.70941016934455,5,False
claude-mythos-preview-early,model,2026-04-06,168.9801373683743,164.162161743225,174.86726491828637,8,False
claude-opus-4-1-20250805,model,2025-08-05,141.312729892836,139.20457566641073,143.57021429862772,18,False
claude-opus-4-1-20250805_16K,model,2025-08-05,143.88883993865116,140.77956416125105,147.39248840533236,5,False
claude-opus-4-1-20250805_24K,model,2025-08-05,148.29274493575198,135.28534926122816,159.0465844040144,1,True
claude-opus-4-1-20250805_27K,model,2025-08-05,141.93660416823204,137.9805806611353,146.51785550833043,2,True
claude-opus-4-1-20250805_32K,model,2025-08-05,137.85001762623142,132.6466411960271,142.18567042759076,2,True
claude-opus-4-1-20250805_thinking,model,2025-08-05,143.99064664720862,140.66062894029366,147.42586283327947,5,False
claude-opus-4-1-20250805_unknown,model,2025-08-05,143.07168207569518,140.53257756522277,145.80597977965533,7,False
claude-opus-4-20250514,model,2025-05-22,139.01442467901404,136.83659284495783,141.31001843030347,13,False
claude-opus-4-20250514_16K,model,2025-05-22,142.28478179435936,139.26120678999786,145.5983588693851,5,False
claude-opus-4-20250514_27K,model,2025-05-22,140.92606032128168,134.42254222117063,148.524420818236,1,True
claude-opus-4-20250514_2K,model,2025-05-22,144.03637175760224,126.44727061584496,160.65233101126842,1,True
claude-opus-4-20250514_32K,model,2025-05-22,142.93477110907492,137.2998251621119,149.536363010793,2,True
claude-opus-4-20250514_thinking,model,2025-05-22,144.4752614601883,140.908397781586,148.28826557517098,4,False
claude-opus-4-20250514_unknown,model,2025-05-22,142.56576280874725,140.40928866198456,144.9700617716681,12,False
claude-opus-4-5-20251101,model,2025-11-24,149.1157154569574,146.29620221738975,152.2523979065183,14,False
claude-opus-4-5-20251101_128K,model,2025-11-24,151.7200282161017,147.23346986263635,156.75966917623342,2,True
claude-opus-4-5-20251101_16K,model,2025-11-24,152.48828538962184,148.59276352981178,157.01123973207473,4,False
claude-opus-4-5-20251101_32K,model,2025-11-24,147.84285312987345,144.8955805883763,151.1011037513741,6,False
claude-opus-4-5-20251101_48K,model,2025-11-24,149.18809774354372,136.39184132960963,159.8589978669137,1,True
claude-opus-4-5-20251101_64K,model,2025-11-24,146.7015444418977,138.16603351324443,155.57673254759138,1,True
claude-opus-4-5-20251101_high,model,2025-11-24,155.45203046370594,150.7259455646539,160.88149410196118,4,False
claude-opus-4-5-20251101_low,model,2025-11-24,156.7045387388606,138.5854272372905,173.99214085569736,1,True
claude-opus-4-5-20251101_thinking,model,2025-11-24,151.23101353827332,147.5097725944331,155.4236014209986,6,False
claude-opus-4-5-20251101_unknown,model,2025-11-24,154.60459330696423,151.71683506999474,158.01961101890979,16,False
claude-opus-4-6,model,2026-02-05,152.29266023083082,149.06441307748784,155.94242960497647,8,False
claude-opus-4-6_120K,model,2026-02-05,141.5776353453115,127.8895449403789,152.09703627578972,1,True
claude-opus-4-6_32K,model,2026-02-05,153.93053971779344,149.29215923283584,159.52548378199813,3,True
claude-opus-4-6_64K,model,2026-02-05,151.8024414948875,147.50987079796863,156.89211490261167,3,True
claude-opus-4-6_high,model,2026-02-05,163.37481209322715,158.68722807094338,168.91173090331432,5,False
claude-opus-4-6_low,model,2026-02-05,140.23147863495706,128.86643071273016,149.75559548614072,2,True
claude-opus-4-6_max,model,2026-02-05,156.03969073374404,153.02748944718036,159.59201997636436,20,False
claude-opus-4-6_medium,model,2026-02-05,155.80409202477367,137.69916643273925,172.93953298134528,1,True
claude-opus-4-6_none,model,2026-02-05,150.99430335467622,147.20341547413543,155.17612904069892,5,False
claude-opus-4-6_thinking,model,2026-02-05,157.25129325340762,152.26532278206236,162.82781599551507,1,True
claude-opus-4-6_unknown,model,2026-02-05,160.864488271676,157.39782237950294,165.0029765442456,21,False
claude-opus-4-7,model,2026-04-16,159.87252336371924,154.98152657073862,165.37810780032962,4,False
claude-opus-4-7_high,model,2026-04-16,164.813091988822,159.24547994641597,171.30661958681495,3,True
claude-opus-4-7_low,model,2026-04-16,147.2336935107056,134.5719107633198,157.47274332524475,1,True
claude-opus-4-7_max,model,2026-04-16,159.17782252254926,155.80783506172233,163.18527778698186,16,False
claude-opus-4-7_unknown,model,2026-04-16,158.4366645726111,155.12173755855392,162.41687940709713,13,False
claude-opus-4-7_xhigh,model,2026-04-16,158.4814757125078,153.4963611029646,164.26486739306077,5,False
claude-opus-4-8,model,2026-05-28,147.3814081064543,141.23679823430535,154.85892073248246,3,True
claude-opus-4-8_high,model,2026-05-28,165.22578096660496,159.97446787976608,171.3667370018677,5,False
claude-opus-4-8_low,model,2026-05-28,155.6008300865808,151.04687956299495,161.01352107357843,5,False
claude-opus-4-8_max,model,2026-05-28,164.98509594312145,161.03158213433318,169.7647481368879,19,False
claude-opus-4-8_medium,model,2026-05-28,158.87002605179512,152.97060459569425,165.78135142270474,3,True
claude-opus-4-8_none,model,2026-05-28,152.09421856654592,148.34180342647423,156.47999569711774,5,False
claude-opus-4-8_unknown,model,2026-05-28,167.52237553402017,162.547642635517,173.49109411805355,9,False
claude-opus-4-8_xhigh,model,2026-05-28,163.87600304829326,159.22846820518862,169.3841041461498,5,False
claude-opus-5,model,2026-07-24,162.37457811668327,157.67689104121632,168.0347316777426,8,False
claude-opus-5_high,model,2026-07-24,172.11066524655985,166.64883071047404,178.67560320654295,4,False
claude-opus-5_low,model,2026-07-24,160.58975336152133,155.43276870965556,166.38012269997884,6,False
claude-opus-5_max,model,2026-07-24,171.359101006406,166.66002949503294,177.10125456518944,18,False
