name,mean,hdi_low,hdi_high,n_obs,is_low_obs
gpt2-xl,78.48986125021366,60.56735632143633,91.2000733730629,4,False
deepseek-coder-1.3b-base,82.3913490749573,66.6772060228436,93.80425072345392,3,True
Mistral-7B-Instruct-v0.1,83.26287953911364,67.51145426957851,94.28595584685497,5,False
opt-13b,84.04740845936061,68.2131142270342,95.5854530617608,2,True
Cerebras-GPT-13B,84.20817072432999,68.48556109495162,95.77195140488571,2,True
gpt-j-6b,84.4214078904455,68.7657433137809,95.97032582805649,2,True
dolly-v2-12b,85.15390309865768,69.85219017041746,96.6019182250877,2,True
RedPajama-INCITE-7B-Base,85.275998991988,69.7316474773961,96.61377477601009,2,True
open_llama_7b,87.45506889320453,72.45382209176464,98.50078107592928,2,True
mpt-7b,87.68161110777896,73.41136966867737,97.94103855544299,4,False
davinci,89.01919962498586,74.84559127310597,99.35313784738332,4,False
falcon-7b,89.52487958980774,75.8178033588906,99.44819787187627,4,False
Qwen-1_8B,89.62240638451041,75.58222532112636,99.88853647037261,3,True
LLaMA-7B,90.95233842603633,77.62075648132492,100.69226059261733,4,False
xgen-7b-8k-base,91.5311568148926,77.50547943379178,102.024840629417,2,True
starcoder2-3b,91.67574601579463,78.24419760696738,101.48165487601466,3,True
deepseek-coder-6.7b-base,91.7778618648941,78.4067834723252,101.5356967316295,3,True
phi-1_5,92.61503583789656,78.908083837435,102.94325228202833,2,True
Baichuan-7B,92.81079319695351,79.55319269235729,102.48784243809335,2,True
gemma-2b,93.51445339415879,80.92732190693272,102.92361481966896,4,False
Average Human,93.8497115513682,80.13895505480409,104.5808039097561,3,False
starcoder2-7b,94.51488392874636,81.83580793270625,103.8925634021043,3,True
deepseek-coder-33b-base,95.35946516910343,82.87048860571699,104.66195133621846,3,True
CodeQwen1.5-7B,95.52140693659491,82.79711164311563,104.8657634808243,3,True
Qwen2.5-Coder-0.5B,95.651723697814,83.01127035847581,104.90149076143308,3,True
Llama-2-7b,95.77790810862683,83.66201083856565,104.74971216981963,4,False
mpt-30b,96.91230014585595,85.00944354234974,105.73483735646371,4,False
text-davinci-001,97.26534793744051,84.68818586227106,106.9172179481687,3,True
LLaMA-13B,97.83257624900494,86.21113171652897,106.5609891632714,4,False
vicuna-13b-v1.1,98.0685986540656,83.4728192326805,109.11085476707504,2,True
deepseek-r1-0528-qwen3-8b,98.39514188097237,85.16540629894484,107.99953088050945,3,True
