model,family,release_date,C_mean,C_hdi_low,C_hdi_high,ECI_mean,ECI_hdi_low,ECI_hdi_high
gpt-6-astra_max,gpt-6-astra,2026-09-03,2.126956632194445,1.917353788002321,2.369308853918985,177.75422810618312,169.47191221978167,188.98061386645088
claude-fable-5-1_max,claude-fable-5-1,2026-09-01,2.0048520110558217,1.8166702440940987,2.2163154548055295,175.42186840004632,167.628485128337,185.92166477909538
gemini-3.7-flash_unknown,gemini-3.7-flash,2026-08-13,1.3270400381421799,0.9309566981082644,1.7114076874710569,162.43954521937292,153.87811117964665,172.75510828978435
gemini-3.6-flash_high,gemini-3.6-flash,2026-07-21,1.033158827166452,0.888306082645637,1.1786729794167345,156.87632822670787,152.12961711863784,162.9953958362873
gpt-5.6-sol_unknown,gpt-5.6-sol,2026-07-09,2.4871638949531807,2.1665527833926803,2.8354015793134364,184.60461206389988,174.286991385447,198.3138206542966
claude-mythos-5,claude-mythos-5,2026-06-09,2.4146309338772953,2.0318563176483146,2.869825192283409,183.19556092426495,172.5021070345073,197.99791476967002
claude-fable-5_unknown,claude-fable-5,2026-06-09,2.1093892397399223,1.732416029420554,2.5031461350270763,177.3987174312989,167.46313722004174,190.33438573354962
gemini-3.5-flash_high,gemini-3.5-flash,2026-05-19,1.1125784903674316,0.9811615772778197,1.247264755387493,158.4007950860272,153.5500531007833,164.69646616895042
claude-mythos-preview,claude-mythos-preview,2026-04-07,2.2195714605149526,1.8965582592756238,2.6199083590992944,179.56831931609258,169.92977216101824,192.70684587438708
claude-mythos-preview-early,claude-mythos-preview-early,2026-04-06,1.664854402640387,1.4571233279329736,1.9353184174556275,169.00126422685236,161.94572091958102,178.48666959396652
gpt-5.4-pro-2026-03-05_xhigh,gpt-5.4-pro@2026-03-05,2026-03-05,1.5273543092236153,1.346170250082939,1.7382706285191145,166.3186353165906,159.95119800629928,174.7926542024808
gemini-3.1-pro-preview_high,gemini-3.1-pro-preview,2026-02-19,1.2035850813025193,0.9942942466470144,1.4317732536150742,160.1434556181386,154.29202645807658,167.6875434680593
claude-opus-4-6_high,claude-opus-4-6,2026-02-05,1.3760129005255948,1.105705573248417,1.6492511413797473,163.37552203190177,156.48082057487923,172.2757720964227
gpt-5.3-codex_xhigh,gpt-5.3-codex,2026-02-05,1.1703160183431278,0.7773474796281152,1.6153580415443192,159.49120019697747,151.1333398711574,170.2587097806713
gemini-3-flash-preview_high,gemini-3-flash-preview,2025-12-17,0.9257365519203645,0.6947214619140037,1.170787955253509,154.83443868678978,149.30025353871218,161.82718525235518
gemini-3-pro-preview,gemini-3-pro-preview,2025-11-18,1.0002204364338971,0.8844028162195102,1.1169284961815586,156.2427835933466,151.89924534951518,161.89914925375945
gpt-5-2025-08-07_high,gpt-5@2025-08-07,2025-08-07,0.8161986214501784,0.6891113294818726,0.9401688636480271,152.74571862660164,148.68180523938983,157.80833596298305
gpt-5-pro-2025-10-06_unknown,gpt-5-pro@2025-10-06,2025-08-07,1.1186733493864307,0.9234839907535421,1.3174821690032383,158.5106179882095,153.04194116632164,165.51730841561607
o3-pro-2025-06-10_high,o3-pro@2025-06-10,2025-06-10,0.744430296822204,0.5504633946442564,0.9422278477220146,151.37678846078535,146.6901574045813,157.14779060007578
o3-2025-04-16_high,o3@2025-04-16,2025-04-16,0.5979571728067015,0.47619050449405254,0.7179611729070201,148.5912017375984,145.06246720508432,152.9072042095095
gemini-2.5-pro-exp-03-25,gemini-2.5-pro-exp-03-25,2025-03-25,0.43708022981900996,0.2598057803911618,0.6217383174361443,145.52260022496657,141.5600536847913,150.18720480049137
claude-3-7-sonnet-20250219_64K,claude-3-7-sonnet@2025-02-19,2025-02-24,0.1721572927062282,-0.07747390604161403,0.4718522348570201,140.48206214664987,135.46277824870995,146.7276761356184
o1-2024-12-17,o1@2024-12-17,2024-12-05,0.2196644971913529,-0.2202900597248603,0.7747829270531237,141.40355862304978,132.80325207529964,152.56668897339773
o1-preview-2024-09-12,o1-preview@2024-09-12,2024-09-12,-0.19547830333372734,-0.31472796940683795,-0.07432859053016898,133.49708204276754,130.62863479538268,136.25017902230712
o1-mini-2024-09-12_high,o1-mini@2024-09-12,2024-09-12,-0.14332938939127737,-0.354613475900697,0.09247688930705546,134.49039240163268,129.92890651164862,139.29973157265812
