,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_b_log__[0],-2.6818,0.187029,-3.030485,-2.329407,0.000645,0.000598,84417.433966,66617.277223,1.000324
sigma_b_log__[1],-2.966241,0.301162,-3.526556,-2.395883,0.001744,0.001065,29079.771744,52766.133421,1.000482
sigma_b_log__[2],-2.702185,0.4204,-3.491785,-1.904168,0.004297,0.002997,9204.638233,5539.54551,1.000348
sigma_b_log__[3],-2.231724,0.173798,-2.549024,-1.894839,0.001737,0.001467,11530.529018,1914.21437,1.001025
sigma_b_log__[4],-1.956512,0.240286,-2.409272,-1.504946,0.000856,0.000832,79149.157656,61004.763648,1.000313
sigma_b_log__[5],-2.77154,0.237658,-3.222459,-2.328331,0.001024,0.000735,54043.953597,58894.089094,1.000186
sigma_b_log__[6],-2.629882,0.109977,-2.830959,-2.420983,0.000625,0.000342,31692.201232,62734.971894,1.000428
sigma_b_log__[7],-2.103941,0.091932,-2.27802,-1.932521,0.000361,0.000282,64849.083586,64494.086338,1.000154
sigma_b_log__[8],-2.150653,0.1058,-2.35096,-1.955801,0.000607,0.000311,30504.897476,67419.648074,1.000405
sigma_b_log__[9],-3.352477,0.425565,-4.166271,-2.56236,0.001975,0.001353,46357.987262,53484.218555,1.00035
sigma_b_log__[10],-2.684074,0.132665,-2.930029,-2.431998,0.000562,0.000434,54485.520426,62477.655086,1.000194
sigma_b_log__[11],-2.537262,0.124637,-2.767945,-2.300961,0.000401,0.000426,97928.185217,63318.310797,1.000151
sigma_b_log__[12],-1.600149,0.116304,-1.817516,-1.379582,0.000388,0.000382,90060.322195,65351.420541,1.000137
sigma_b_log__[13],-3.304147,0.176116,-3.631852,-2.976929,0.001262,0.000601,20653.053288,27781.81059,1.000715
sigma_b_log__[14],-3.085379,0.208963,-3.447461,-2.658958,0.001803,0.001437,14968.693084,2608.805934,1.000828
sigma_b_log__[15],-3.176697,0.268884,-3.667685,-2.659619,0.00111,0.000826,58855.497504,59533.989956,1.000181
sigma_b_log__[16],-2.304328,0.182931,-2.650092,-1.964692,0.001058,0.000588,28060.167685,63010.011078,1.000284
sigma_b_log__[17],-2.120936,0.0509,-2.21741,-2.025978,0.000197,0.000162,66823.846484,66645.660321,1.000423
sigma_b_log__[18],-2.531553,0.076513,-2.672922,-2.385247,0.000333,0.000235,52838.010236,60868.112414,1.00067
sigma_b_log__[19],-1.865088,0.222214,-2.271914,-1.441649,0.001183,0.000658,35956.753507,56805.508333,1.000201
sigma_b_log__[20],-2.39107,0.142173,-2.653477,-2.121097,0.000587,0.000433,58685.312961,63261.717847,1.000325
sigma_b_log__[21],-2.383432,0.162836,-2.683846,-2.070187,0.000513,0.000575,102778.507991,60767.186419,1.000204
sigma_b_log__[22],-2.860682,0.064954,-2.979665,-2.735262,0.000222,0.000209,85625.532959,66128.647417,1.000257
sigma_b_log__[23],-3.007466,0.123971,-3.236658,-2.76991,0.000455,0.000409,74293.292385,64041.299181,1.000017
sigma_b_log__[24],-2.058098,0.092557,-2.232134,-1.886416,0.00067,0.000317,19059.327424,57396.581716,1.000536
