name,kind,release_date,mean,hdi_low,hdi_high,n_obs,is_low_obs
Baichuan-13B-Base,model,2023-07-11,100.16173533897047,93.09172328148139,106.12137081070054,2,True
Baichuan-2-13B-Base,model,2023-09-06,104.90379514019943,98.48280238821073,110.38060628184788,3,True
Baichuan-2-7B-Base,model,2023-09-20,98.74332274082269,91.69214540131836,104.62761541553458,3,True
Baichuan-7B,model,2023-06-01,92.81079319695351,84.68519440296274,99.34744817173836,2,True
Baichuan2-13B-Chat,model,2023-09-06,104.52018090533983,97.93149659588495,110.18482696981243,2,True
Cerebras-GPT-13B,model,2023-03-20,84.20817072432999,74.53819029773035,92.15064969279491,2,True
Chinchilla (70B),model,2022-03-29,112.40463154660607,105.55794875988565,118.86573634942523,2,True
CodeQwen1.5-7B,model,2024-04-15,95.52140693659491,87.7300843072739,101.9002953364013,3,True
DeepSeek-Coder-V2-Base,model,2024-06-17,120.31643906280013,113.02613795378618,128.62766947435415,2,True
DeepSeek-Coder-V2-Lite-Base,model,2024-06-13,109.01676852936873,102.9655470061733,114.23984084270246,3,True
DeepSeek-R1,model,2025-01-20,137.01892122384754,135.31057887485744,138.79304840285295,27,False
DeepSeek-R1-0528,model,2025-05-28,140.44179568181016,138.30443362251253,142.77172448222896,13,False
DeepSeek-R1-Distill-Llama-70B,model,2025-01-20,133.52651386510442,130.57168158108962,136.48669589622241,3,True
DeepSeek-R1-Distill-Qwen-1.5B,model,2025-01-20,116.54974107320466,111.20927085537309,121.01246292045485,3,True
DeepSeek-R1-Distill-Qwen-14B,model,2025-01-20,130.2693165680103,127.22232543390089,133.09897356961903,4,False
DeepSeek-R1-Distill-Qwen-32B,model,2025-01-20,132.02717253822794,128.40850708181094,135.45509453197425,4,False
DeepSeek-V2,model,2024-05-07,124.98082356133487,118.73517560822785,131.8251467170435,3,True
DeepSeek-V3,model,2024-12-26,129.04175540155768,127.0648097114563,130.82350815122948,27,False
DeepSeek-V3-0324,model,2025-03-24,132.51511714755088,130.26710135474477,134.64739665929503,11,False
DeepSeek-V3.1,model,2025-08-21,136.60411046981721,134.12490876761643,139.13572602718236,10,False
DeepSeek-V3.1-Terminus,model,2025-09-22,141.9364012649723,137.5866749885491,146.4231207990442,3,True
DeepSeek-V3.1_thinking,model,2025-08-21,139.39916041929922,135.6333612852338,143.29654562986926,3,True
DeepSeek-V3.2-Exp,model,2025-09-29,142.5098101242748,138.35544092407915,147.81702655675664,2,True
DeepSeek-V3.2-Exp_thinking,model,2025-09-29,142.81592782175682,139.75350043299025,146.13139118344293,7,False
GLM-4.5-Air,model,2025-07-28,128.85446028387992,124.03153758875821,132.99489062640689,3,True
Gopher (280B),model,2021-12-08,106.65405617026192,99.47092629995839,113.1105963993617,2,True
Hermes-2-Theta-Llama-3-70B,model,2024-06-20,115.70210099191794,111.35736917411388,119.29847670542333,3,True
INTELLECT-1-Instruct,model,2024-11-29,101.02161321242545,94.1971611789104,106.76268018374216,3,True
Inkling,model,2026-07-15,132.54518832269437,123.13182564812242,139.74992175986785,2,True
Inkling_high,model,2026-07-15,133.12188536593015,126.06181422740494,139.4744904693294,1,True
Inkling_thinking,model,2026-07-15,155.83073687788135,146.86555050953558,164.89096535715365,1,True
Inkling_xhigh,model,2026-07-15,149.12889188328987,146.4487458245558,152.19934932299108,11,False
Kimi-K2-Instruct,model,2025-07-12,137.36680335901914,134.70393086762527,140.02953271774427,7,False
Kimi-K2-Instruct-0905,model,2025-09-05,136.181920461007,132.28461489985588,140.05694545009212,3,True
LLaMA-13B,model,2023-02-24,97.83257624900494,90.70647278148472,103.81089946051785,4,False
LLaMA-33B,model,2023-02-24,106.49673755213887,100.36304885125054,111.84660420836622,4,False
LLaMA-65B,model,2023-02-24,109.93551635413914,104.01790672756876,115.1498270023144,4,False
LLaMA-7B,model,2023-02-24,90.95233842603633,82.75737453273639,97.63901442362312,4,False
Llama-2-13b,model,2023-07-18,103.3508221057908,96.87342306739359,108.7614792150228,4,False
Llama-2-13b-chat,model,2023-07-18,104.24160582022853,98.13292424720929,109.28431280760506,4,False
Llama-2-34b,model,2023-07-18,106.73240776893708,100.59344713098037,112.02658833258432,4,False
Llama-2-70b-chat,model,2023-07-18,107.07156729385224,102.07793453393774,111.13636761653757,6,False
Llama-2-70b-hf,model,2023-07-18,115.61329891202121,110.07464331791331,120.89699039944354,4,False
Llama-2-7b,model,2023-07-18,95.77790810862683,88.33793163743485,101.95050094901583,4,False
Llama-3.1-405B,model,2024-07-23,131.81406670412196,125.16100475763064,139.64885619350676,3,True
Llama-3.1-405B-Instruct,model,2024-07-23,123.50605024058892,121.18895703426023,125.38034362394903,69,False
Llama-3.1-70B-Instruct,model,2024-07-23,120.99894976574484,118.22953525430093,123.27853494961339,25,False
Llama-3.1-8B-Instruct,model,2024-07-23,110.48747799824855,106.23533283357933,113.84690238168876,27,False
Llama-3.1-Tulu-3-70B-DPO,model,2024-11-21,121.01945787818931,117.37719467172269,124.01658574919324,3,True
Llama-3.2-11B-Vision-Instruct,model,2024-09-24,105.42797366155455,98.53207829507338,111.48171281891514,3,True
Llama-3.2-1B-Instruct,model,2024-09-24,106.90569542892142,100.55919551288092,112.02775759744603,4,False
Llama-3.2-90B-Vision-Instruct,model,2024-09-24,119.76023008582848,116.2656380126145,122.74832133853762,8,False
Llama-3.3-70B-Instruct,model,2024-12-06,122.62637910861199,119.62675061093086,125.18040866747553,9,False
Llama-4-Maverick-17B-128E-Instruct,model,2025-04-05,130.12577611022164,128.0965058366136,131.99958773694257,30,False
Llama-4-Maverick-17B-128E-Instruct-FP8,model,2025-04-05,130.91859315927326,127.96285532815698,133.84324963894204,3,True
Llama-4-Scout-17B-16E-Instruct,model,2025-04-05,123.61212742005529,121.00796807177355,125.78382591084561,22,False
Meta-Llama-3-70B-Instruct,model,2024-04-18,116.19259542162544,112.71331595847315,118.97946760504732,19,False
Meta-Llama-3-8B-Instruct,model,2024-04-18,108.98703561571864,104.42499158314723,112.62921834408462,13,False
MiniMax-M2.5,model,2026-02-12,139.97369968197088,135.54073106536745,143.95104949260633,5,False
MiniMax-M2.5_unknown,model,2026-02-12,129.91007072766598,116.45398903984645,140.3194905095576,1,True
MiniMax-M2.7,model,2026-03-18,141.6146550428419,137.9547466682685,145.11607176206599,6,False
MiniMax-M3,model,2026-06-01,146.93078997394417,144.1024858502329,150.1025960248106,12,False
MiniMax-M3_none,model,2026-06-01,138.55131377955757,135.00821472353627,142.2805170640488,4,False
MiniMax-M3_xhigh,model,2026-06-01,128.79919599031336,110.58752306502106,144.48924059118184,1,True
Mistral-7B-Instruct-v0.1,model,2023-09-27,83.26287953911364,73.60180949831901,90.95476375740901,5,False
