model,family,release_date,C_mean,C_hdi_low,C_hdi_high,ECI_mean,ECI_hdi_low,ECI_hdi_high
gpt-6-astra_max,gpt-6-astra,2026-09-03,2.686367359338259,2.2129649005641583,3.2906631488447853,176.44058718133232,162.99488029803476,208.08645755827217
claude-fable-5-1_max,claude-fable-5-1,2026-09-01,1.7851931167810011,1.3818893960525458,2.2115201474751345,164.7642403380923,154.57114544129274,187.09342451602146
gemini-3.7-flash_high,gemini-3.7-flash,2026-08-13,1.2884809920955482,0.9156507022064939,1.6763625873161998,158.07083372180787,149.86398347402243,175.76947697245882
gemini-3.6-flash_high,gemini-3.6-flash,2026-07-21,1.0087459394846083,0.6657674417462388,1.4036912797858434,154.51147376500876,147.03374369874695,169.63550826498792
gpt-5.6-sol_unknown,gpt-5.6-sol,2026-07-09,2.100340065275631,1.6088551093230365,2.676269780927825,168.9891762199013,157.10671209701724,194.88984036936114
claude-fable-5_max,claude-fable-5,2026-06-09,1.662771072900699,1.3608606265853318,2.014592653041429,163.08636738200263,153.90177935927247,183.80090563531525
claude-mythos-5,claude-mythos-5,2026-06-09,1.86604110938926,1.354383462168934,2.483118624855953,165.76960474027965,154.69102183171157,189.41384891360485
gemini-3.5-flash_minimal,gemini-3.5-flash,2026-05-19,1.0680490992026355,-0.1225412003039858,2.064952598039342,155.13820632178303,138.74791098815567,176.73479834030462
claude-mythos-preview,claude-mythos-preview,2026-04-07,1.562703179558579,1.0971484980259265,2.1255384244714617,161.92173866777364,151.76677232989033,182.71339658390647
claude-mythos-preview-early,claude-mythos-preview-early,2026-04-06,1.0263784055656733,0.7377882938419583,1.3670839686444716,154.68750087528895,147.38747432318112,169.78378107557927
gpt-5.4-pro-2026-03-05_xhigh,gpt-5.4-pro@2026-03-05,2026-03-05,1.5702085492769589,0.497599593742913,2.556778743060764,161.75684949575162,146.65917441052812,186.59092607337465
gemini-3.1-pro-preview_high,gemini-3.1-pro-preview,2026-02-19,1.2066267947155684,0.8698314656696545,1.570522281840911,157.07344213510157,149.20866233447722,173.84816180003702
claude-opus-4-6_max,claude-opus-4-6,2026-02-05,0.769149567877706,0.45881041865879646,1.0755153369917938,151.3032381171052,144.61423663157296,164.09628617097928
gpt-5.3-codex,gpt-5.3-codex,2026-02-05,0.5833702493015975,0.3470301219949989,0.8332614077623235,148.810213061613,142.9893152340572,159.7291835946815
gemini-3-flash-preview_high,gemini-3-flash-preview,2025-12-17,0.6346894847083823,0.2788727221373456,0.9977907092034713,149.49802261890852,142.8687051997338,161.4977664504978
gemini-3-pro-preview,gemini-3-pro-preview,2025-11-18,0.34573609957694196,-0.2306403423066454,0.8891900066729679,145.70613460310216,137.1070443904902,158.14497428694034
gpt-5-2025-08-07_medium,gpt-5@2025-08-07,2025-08-07,0.6738748563383926,0.149611778154293,1.2006672338119917,150.0,150.0,150.0
gpt-5-pro-2025-10-06_unknown,gpt-5-pro@2025-10-06,2025-08-07,0.7481247109155695,-0.06916285051352845,1.5462790937677555,151.08646510702397,139.61439775638124,167.8630268461357
o3-pro-2025-06-10_medium,o3-pro@2025-06-10,2025-06-10,0.5983444511525253,-0.19774576257579551,1.6815788312415487,149.0835014129863,138.13017364074497,168.75762422514208
o3-2025-04-16_medium,o3@2025-04-16,2025-04-16,1.0367783142154587,0.5945275707563026,1.4941785459627548,154.85396710193515,147.03568515205876,169.00565274250357
gemini-2.5-pro-exp-03-25,gemini-2.5-pro-exp-03-25,2025-03-25,0.87641052064377,0.18851894712674244,1.6877226705841528,152.62753847383374,142.85872450019497,170.81413796808266
claude-3-7-sonnet-20250219_thinking,claude-3-7-sonnet@2025-02-19,2025-02-24,0.276258007467601,-0.7556949622074582,1.3247654183913928,144.83628884837708,130.3805629120271,162.7133373729369
o1-2024-12-17_medium,o1@2024-12-17,2024-12-05,-0.3288689679146225,-0.9612154406821616,0.41720530806040973,136.77206995726164,126.20588894920982,149.02205677312958
claude-3-5-sonnet-20240620,claude-3-5-sonnet@2024-06-20,2024-06-20,-0.6468623224467889,-0.9187729437249214,-0.39743467738812777,132.60356784371373,124.83044198581632,138.02836619052246
gpt-4o-2024-05-13,gpt-4o@2024-05-13,2024-05-13,-1.1245142281273612,-1.388715891887144,-0.8687377683942823,126.37096946903112,115.56816054337223,132.15929298084328
claude-3-opus-20240229,claude-3-opus@2024-02-29,2024-02-29,-1.1692473393466976,-1.4568936300757822,-0.9111862694984872,125.79623249611316,114.1875317786415,131.81183669707107
gpt-4-turbo,gpt-4-turbo,2023-11-06,-1.2865894941412035,-1.6767064264385882,-0.9300140098814149,124.28123528464202,111.20883025782223,130.9184421429027
