,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_b_log__[0],-2.918239,0.2313,-3.354536,-2.489626,0.003813,0.002281,3682.53607,5097.522279,1.001176
sigma_b_log__[1],-3.046007,0.281487,-3.577994,-2.518201,0.004713,0.003279,3606.97166,4336.45287,1.000469
sigma_b_log__[2],-3.1038,0.427196,-3.889607,-2.282573,0.012906,0.006811,1049.124244,869.873531,1.00361
sigma_b_log__[3],-2.279804,0.177199,-2.621063,-1.959725,0.002387,0.001805,5487.674477,5712.660213,1.000408
sigma_b_log__[4],-2.217491,0.343218,-2.912686,-1.610803,0.007332,0.004879,2365.597026,3076.52052,1.001819
sigma_b_log__[5],-2.789801,0.266188,-3.280532,-2.28922,0.005075,0.003081,2752.831595,4341.537658,1.001196
sigma_b_log__[6],-1.595109,0.140522,-1.857621,-1.329456,0.002108,0.001371,4477.599369,5427.062236,1.001012
sigma_b_log__[7],-2.05103,0.064886,-2.175127,-1.930096,0.001025,0.00069,4008.449304,5507.062687,1.000143
sigma_b_log__[8],-1.942498,0.214921,-2.331908,-1.53289,0.0035,0.002189,3788.935806,4668.359114,1.000569
sigma_b_log__[9],-3.079038,0.128918,-3.325091,-2.849247,0.002788,0.001641,2194.186609,3168.086801,1.001315
sigma_b_log__[10],-2.631474,0.226685,-3.019073,-2.180913,0.004248,0.003959,3079.567626,3241.580056,1.002145
sigma_b_log__[11],-2.419358,0.224545,-2.82374,-1.980865,0.004614,0.002706,2370.894029,3722.679736,1.002186
sigma_b_log__[12],-2.022864,0.197344,-2.382171,-1.645469,0.004295,0.002626,2178.31192,3178.851299,1.00301
sigma_b_log__[13],-2.022745,0.119502,-2.250931,-1.807607,0.00137,0.001196,7590.200652,6425.675096,1.000424
sigma_b_log__[14],-2.985226,0.106329,-3.18837,-2.797154,0.001823,0.001128,3469.178987,4835.548782,0.999985
sigma_b_log__[15],-1.763078,0.239619,-2.182248,-1.316673,0.005659,0.009067,2855.30606,1123.552658,1.00132
sigma_b_log__[16],-2.395642,0.100993,-2.596807,-2.217231,0.002176,0.001043,2153.067348,3472.785135,0.999977
sigma_b_log__[17],-2.777782,0.186021,-3.139292,-2.439341,0.002985,0.001812,3888.358401,5712.662773,1.00081
sigma_b_log__[18],-2.700877,0.289079,-3.246225,-2.168114,0.007476,0.00334,1507.341537,3206.436669,1.001316
sigma_b_log__[19],-3.127019,0.138796,-3.387263,-2.865903,0.002298,0.001324,3648.732685,5064.535953,1.00029
