name,kind,release_date,mean,hdi_low,hdi_high,n_obs,is_low_obs
DeepSeek-V3-0324,model,2025-03-24,-1.025383766179315,-1.388408780647737,-0.6700096071238827,2,True
DeepSeek-V3.1,model,2025-08-21,-0.5070561975908652,-1.1823934766422304,0.19313520360586753,2,True
DeepSeek-V3.1-Terminus,model,2025-09-22,-0.10749203237251097,-0.48015933061968064,0.27350569584220413,2,True
DeepSeek-V3.1_thinking,model,2025-08-21,-0.1756761695403093,-0.5378056240551904,0.19454126402489688,2,True
DeepSeek-V3.2-Exp_thinking,model,2025-09-29,0.15694335779137816,-0.21126288559707262,0.5430494041413126,2,True
Inkling_xhigh,model,2026-07-15,0.3783437268662002,0.02303465702960294,0.7678269247986255,3,True
Llama-2-13b-chat,model,2023-07-18,-1.9988881908142089,-2.4590458915971083,-1.580177752158851,2,True
Llama-3.1-70B-Instruct,model,2024-07-23,-1.2014535723409543,-1.5808990316152978,-0.8311086884114931,2,True
Llama-3.1-8B-Instruct,model,2024-07-23,-1.8017149065824145,-2.2246747489090968,-1.444452768823055,3,True
Llama-3.2-90B-Vision-Instruct,model,2024-09-24,-2.092413224767067,-3.1108566429888596,-1.1091158954691311,2,True
Llama-3.3-70B-Instruct,model,2024-12-06,-1.1571177580808558,-1.5442583268285257,-0.7735828744129805,2,True
Llama-4-Maverick-17B-128E-Instruct,model,2025-04-05,-1.1405280806326263,-1.4628575830701085,-0.8255588860848256,6,False
Llama-4-Scout-17B-16E-Instruct,model,2025-04-05,-1.3303200737344878,-1.6946932927770337,-1.01256590151818,3,True
Meta-Llama-3-8B-Instruct,model,2024-04-18,-1.9331853167420672,-2.3855602812943633,-1.5155650938980922,2,True
MiniMax-M3,model,2026-06-01,-0.1342075164432585,-0.4996299176020924,0.23422729623612312,4,False
MiniMax-M3_none,model,2026-06-01,-0.6945834248782085,-1.7177220819277996,0.08467833852535998,2,True
MiniMax-M3_xhigh,model,2026-06-01,-0.35722099365751714,-1.7814572244843836,0.7035291205251892,1,True
Pixtral-12B-2409,model,2024-09-17,-2.166217420470174,-3.1531898842707675,-1.1881303656106679,2,True
Qwen3-235B-A22B-Instruct-2507,model,2025-07-21,-0.4314396932882393,-0.7554635162441419,-0.10529757098381702,4,False
Qwen3-235B-A22B-Thinking-2507,model,2025-07-25,-0.16526428735758797,-0.47124501726335377,0.14674982089608682,5,False
Qwen3-30B-A3B,model,2025-04-29,-1.1608682557656105,-1.5383467632495404,-0.7958619360829773,3,True
Qwen3-30B-A3B_none,model,2025-04-29,-1.1224207467241094,-2.3635618604428927,-0.1280814523778309,1,True
