name,kind,release_date,mean,hdi_low,hdi_high,n_obs,is_low_obs
DeepSeek-V3-0324,model,2025-03-24,127.70330931277108,121.70558686485415,131.8797824766229,2,True
DeepSeek-V3.1,model,2025-08-21,134.5578746433634,128.04219317523012,140.83581072041855,2,True
DeepSeek-V3.1-Terminus,model,2025-09-22,139.73088264877975,135.5533956935135,144.38087346141705,2,True
DeepSeek-V3.1_thinking,model,2025-08-21,138.8942343652978,134.6904968702603,143.146907182241,2,True
DeepSeek-V3.2-Exp_thinking,model,2025-09-29,143.22765079584005,138.96445306074637,148.46736895137474,2,True
Inkling_xhigh,model,2026-07-15,146.212233798793,141.89468446283084,152.07544892278503,3,True
Llama-2-13b-chat,model,2023-07-18,114.84588481220814,104.63040997656917,121.15263780042407,2,True
Llama-3.1-70B-Instruct,model,2024-07-23,125.40734567504977,118.77398967583156,129.97078577166005,2,True
Llama-3.1-8B-Instruct,model,2024-07-23,117.51398184866301,107.747600381294,123.14028311461476,3,True
Llama-3.2-90B-Vision-Instruct,model,2024-09-24,113.76589531026382,99.50647943591895,123.468406803652,2,True
Llama-3.3-70B-Instruct,model,2024-12-06,125.96245506902973,119.54448735849006,130.54866197257755,2,True
Llama-4-Maverick-17B-128E-Instruct,model,2025-04-05,126.18477060991486,120.00116867585349,130.4498979189699,6,False
Llama-4-Scout-17B-16E-Instruct,model,2025-04-05,123.68642491305984,116.56358974341194,128.21852559428106,3,True
Meta-Llama-3-8B-Instruct,model,2024-04-18,115.71554528532718,105.59072717798651,121.89081817082449,2,True
MiniMax-M3,model,2026-06-01,139.37299433649662,135.2872627730043,143.925483271735,4,False
MiniMax-M3_none,model,2026-06-01,131.9167988306778,122.02967082639229,139.45448035789275,2,True
MiniMax-M3_xhigh,model,2026-06-01,136.52729126036928,124.16855374364401,146.44250032360162,1,True
Pixtral-12B-2409,model,2024-09-17,112.85845740600178,98.75739532309082,122.19134159090954,2,True
Qwen3-235B-A22B-Instruct-2507,model,2025-07-21,135.50056274851676,131.19785035686627,139.43801531834697,4,False
Qwen3-235B-A22B-Thinking-2507,model,2025-07-25,139.02319378376876,135.15876901307158,143.06108118851597,5,False
Qwen3-30B-A3B,model,2025-04-29,125.92376060388816,119.47055669587533,130.37072832221574,3,True
Qwen3-30B-A3B_none,model,2025-04-29,126.31061077251854,113.53658745469937,135.62738904261292,1,True
Qwen3-32B,model,2025-04-29,129.49366350067223,123.89140538763694,133.65492129684839,3,True
Qwen3-32B_none,model,2025-04-29,126.31112140470304,113.69948690803535,135.4297406627639,1,True
c4ai-command-a-03-2025,model,2025-03-13,124.35855711019211,117.02276868834748,128.84372389159813,2,True
c4ai-command-r-08-2024,model,2024-08-30,117.45814948991568,108.17691258713131,123.13177260725932,2,True
c4ai-command-r-plus-08-2024,model,2024-08-30,119.29292089497736,110.25534214265646,124.5705283042902,2,True
claude-3-5-haiku-20241022,model,2024-10-22,122.62649386846887,114.87020413574702,127.80535885135832,2,True
claude-3-5-sonnet-20240620,model,2024-06-20,132.60356784371373,128.26282119829472,136.13635027537933,4,False
claude-3-5-sonnet-20241022,model,2024-10-22,130.0,130.0,130.0,3,True
claude-3-7-sonnet-20250219,model,2025-02-24,131.6812477223719,124.89407070064007,138.02031453252684,3,True
claude-3-7-sonnet-20250219_15K,model,2025-02-24,139.0032362636623,124.81242178792115,154.2771513936189,1,True
claude-3-7-sonnet-20250219_8K,model,2025-02-24,134.7802081104574,127.62981835234001,142.46942314003672,1,True
claude-3-7-sonnet-20250219_thinking,model,2025-02-24,144.83628884837708,135.67879420754372,155.37502514292504,1,True
claude-3-7-sonnet-20250219_unknown,model,2025-02-24,136.37498579553187,132.54009231271448,140.074271828375,3,True
claude-3-haiku-20240307,model,2024-03-07,119.03826533162268,110.38781907753675,124.26796457018874,2,True
claude-3-opus-20240229,model,2024-02-29,125.79623249611316,119.39283750747245,129.8658945793797,6,False
claude-fable-5-1_max,model,2026-09-01,164.7642403380923,157.41133763615358,176.49423170462407,3,True
claude-fable-5-1_unknown,model,2026-09-01,151.89349199895366,136.1775378518815,167.80201870905944,1,True
claude-fable-5-1_xhigh,model,2026-09-01,160.2547643068687,151.04324975245646,173.12255854324627,2,True
claude-fable-5_high,model,2026-06-09,159.04523347924254,149.06462253543648,172.24367391722674,2,True
claude-fable-5_low,model,2026-06-09,148.24289677698056,137.2114638763614,159.22942362581344,1,True
claude-fable-5_max,model,2026-06-09,163.08636738200263,156.38329412577377,174.0562855041408,5,False
claude-fable-5_unknown,model,2026-06-09,154.35403810065606,144.79678401778693,166.33272263772332,2,True
claude-fable-5_xhigh,model,2026-06-09,154.84792146549103,144.83981913964055,166.24202467115674,1,True
claude-haiku-4-5-20251001_32K,model,2025-10-15,135.92365555747736,124.120879696522,145.70642354056295,1,True
