name,mean,hdi_low,hdi_high,n_obs,is_low_obs
Pixtral-12B-2409,-2.1456711072488717,-3.2915678531349837,-0.9982406809412206,2,True
gpt-3.5-turbo-0613,-2.084631728652301,-2.7376799140879577,-1.5648480513060274,2,True
Llama-3.2-90B-Vision-Instruct,-2.0394382861889326,-3.1321096568222386,-0.8435121479369676,2,True
Llama-2-13b-chat,-2.01647638584254,-2.4627473224297836,-1.6015970483206112,2,True
Meta-Llama-3-8B-Instruct,-1.94726611608345,-2.393670728345387,-1.5357741796823066,2,True
gemma-3-4b-it,-1.9405821851605654,-2.402572277941511,-1.557640708710338,3,True
gemma-3-12b-it,-1.9115929721771647,-2.3623108613674977,-1.5543450063332276,3,True
qwen2.5-7b-instruct,-1.8757989735156986,-2.3109029063754045,-1.5050981482079182,3,True
gemma-2-27b,-1.8226517187998987,-2.2422227514708997,-1.446501345674794,2,True
Llama-3.1-8B-Instruct,-1.8099208613675628,-2.229713768700384,-1.4510089588559465,3,True
c4ai-command-r-08-2024,-1.8079638325190417,-2.230543592042165,-1.424604867750609,2,True
gpt-4.1-nano-2025-04-14,-1.7628767396122171,-2.1640788212062523,-1.4171863218262941,4,False
ministral-3b-2410,-1.751908671525148,-2.1830277623455037,-1.3849559110788703,2,True
gpt-3.5-turbo-0125,-1.7511691578163349,-2.1605934669993263,-1.3932154888718415,4,False
claude-3-haiku-20240307,-1.6892654891147816,-2.112270389611539,-1.3188226328049024,2,True
c4ai-command-r-plus-08-2024,-1.6702526306702805,-2.1054466321072067,-1.301473116693246,2,True
qwen3-8b_none,-1.5877237054324729,-2.810215465028375,-0.5843347197819252,1,True
qwen3-14b_none,-1.5772170178455256,-2.8405260398637786,-0.5602777366341214,1,True
gemma-3-27b-it,-1.571252033616784,-1.9559910562381533,-1.2154316126042086,4,False
gemini-2.0-flash-lite,-1.5669696130337867,-1.9961158322378598,-1.150621537176114,2,True
gpt-4o-mini-2024-07-18,-1.4897821504192494,-1.8608467998962628,-1.1433475434578142,5,False
gemini-1.5-flash-002,-1.445749107544751,-1.867990300920805,-1.0185374019782247,3,True
claude-3-5-haiku-20241022,-1.4108319278768553,-1.849661783715469,-0.9914899945942834,2,True
qwen3-8b,-1.3634265429823218,-1.749147961053757,-1.0027512234077072,3,True
gemini-1.5-pro-001,-1.357350526649897,-1.7774402352272272,-0.929575856657808,2,True
Llama-4-Scout-17B-16E-Instruct,-1.3332792800763096,-1.687501198096486,-0.9960333134493108,3,True
claude-sonnet-4-20250514_32K,-1.2971827487664505,-2.9389767384691083,0.5713752745780237,1,True
gpt-oss-120b_medium,-1.2857050774001215,-2.485551298720437,-0.2998534638808673,1,True
gpt-4-turbo,-1.283981326808678,-1.6770451286893218,-0.9340022160658009,2,True
c4ai-command-a-03-2025,-1.2811119949452996,-1.6777925168016026,-0.9344776187122343,2,True
gpt-5-nano-2025-08-07_high,-1.2371533515818913,-1.6160978401056214,-0.8864096221196138,4,False
Llama-3.1-70B-Instruct,-1.200418021666989,-1.582804118602643,-0.831627571956749,2,True
gpt-4-turbo-2024-04-09,-1.1931423990354522,-1.622192858956073,-0.8461581325486796,3,True
Qwen3-30B-A3B,-1.164635241377867,-1.5422370497127045,-0.7875071519381771,3,True
Llama-4-Maverick-17B-128E-Instruct,-1.1628178101231597,-1.4976824702942197,-0.8360046879558113,6,False
magistral-small-2509,-1.1611198775369131,-1.590005346766483,-0.7349426543948997,2,True
Llama-3.3-70B-Instruct,-1.1586204120414365,-1.5453604581885148,-0.7619220058613295,2,True
gpt-5-nano-2025-08-07_medium,-1.1584506255347895,-1.9018577127901748,-0.394264598886633,2,True
qwen2.5-72b-instruct,-1.1434308851930992,-1.5126429103568528,-0.7887211883931026,2,True
mistral-medium-2505,-1.1431763614378274,-1.5749632605162567,-0.7473146303656183,2,True
claude-3-opus-20240229,-1.1430367264073458,-1.425558472116045,-0.8772210186879653,6,False
gemini-3-flash-preview_unknown,-1.1344297330777076,-2.3321433736799886,-0.0075279487652242785,1,True
deepseek-chat,-1.1341176118118264,-1.5137658051950844,-0.7729604152667604,3,True
gpt-5-nano-2025-08-07_minimal,-1.1296438947769278,-2.169488619378964,-0.33194147282758985,2,True
Qwen3-30B-A3B_none,-1.1250011212115232,-2.4149995957134394,-0.11312060954882776,1,True
gemini-2.5-flash-lite-preview-06-17_thinking,-1.1144428912112148,-1.4677881286570134,-0.7531547385750396,3,True
Qwen3-32B_none,-1.1084675920017693,-2.389114711032303,-0.12355451159040964,1,True
gpt-4o-2024-05-13,-1.1035435323738203,-1.373723362941967,-0.8427691077126966,6,False
gpt-oss-20b_high,-1.0358149161533927,-1.4014683606851972,-0.7025313029352631,3,True
DeepSeek-V3-0324,-1.0220596740658483,-1.4131829022288154,-0.650558376941368,2,True
gpt-4-0613,-1.0119882678406502,-1.3831161597507626,-0.6544200259456668,4,False
mistral-large-2512,-0.9863990579545192,-1.3760315824756473,-0.6207511992233787,2,True
qwen3-14b,-0.9813349841795413,-1.3619361330462452,-0.6229698666378259,3,True
gpt-oss-20b_low,-0.9192826107205969,-2.2049583393016787,0.08884092199637081,1,True
claude-sonnet-4-20250514,-0.8958255443743504,-1.6095967489980214,-0.18691643146065146,3,True
Qwen3-32B,-0.8816998074869391,-1.250206808302665,-0.529152189539587,3,True
claude-3-5-sonnet-20241022,-0.8506736602075736,-1.2658552983273823,-0.4137746763261151,3,True
gemini-2.0-flash-001,-0.8278632262370886,-1.2481991435458137,-0.3858734864892835,4,False
kimi-k2.5_unknown,-0.8156256769240167,-1.997565670835102,0.20575241979003647,1,True
qwen3-30b-a3b-instruct-2507,-0.8069063000610746,-1.174347736380616,-0.43480720886205293,3,True
gpt-5.4-nano-2026-03-17_low,-0.800363296906121,-1.8665552097140818,0.03141586885769559,2,True
mistral-medium-2508,-0.7938779867252062,-1.1510802531666842,-0.4314845061506388,3,True
grok-4.3_unknown,-0.7806641292672413,-2.2734085117960428,0.56130979209882,1,True
claude-3-7-sonnet-20250219,-0.7742514563158641,-1.4277639577233499,-0.005874080691352778,3,True
gpt-4.1-mini-2025-04-14,-0.7627547971517628,-1.0740737170749777,-0.4581490185640182,7,False
o3-mini-2025-01-31_high,-0.7585176846701422,-1.1232446136097691,-0.3983327798020266,4,False
qwen3-30b-a3b-thinking-2507,-0.7557037656890231,-1.1278532108964985,-0.3920134056748809,3,True
claude-opus-4-20250514,-0.7352444782929968,-1.4037156098266046,0.09161250472436035,2,True
gemini-2.0-pro-exp-02-05,-0.7347355564392588,-1.408072317163678,0.07581764475247602,2,True
gpt-5.4-nano-2026-03-17_medium,-0.7218769558660729,-1.984033482394695,0.20793426195139403,1,True
gpt-4o-2024-08-06,-0.7060687386876192,-1.7762352676351354,0.28074675534168597,2,True
gpt-oss-120b_high,-0.7032997657818435,-1.0642368609645094,-0.38077245296137585,4,False
claude-opus-4-20250514_32K,-0.700339476107378,-2.290174831960318,1.0737285302672093,1,True
MiniMax-M3_none,-0.6941689024864073,-1.7119361267720095,0.0802651935177861,2,True
gpt-5.4-nano-2026-03-17_none,-0.6855714365963341,-1.7100641026175267,0.08671748149342484,2,True
gpt-oss-20b_medium,-0.6847989783472437,-1.998846845945987,0.3567182531922047,1,True
mistral-small-2603,-0.6847385706359879,-1.0478856643714938,-0.3077700144707131,2,True
o3-mini-2025-01-31_medium,-0.6616431867302123,-1.3753631819211627,0.08716142268499219,2,True
