name,mean,hdi_low,hdi_high,n_obs,is_low_obs
Pixtral-12B-2409,113.26855982889623,86.15366779918304,128.94981577274123,2,True
gpt-3.5-turbo-0613,113.880965298484,90.92818607272177,123.94710032206281,2,True
Llama-3.2-90B-Vision-Instruct,114.69191666452599,87.97536724698502,130.52907347232883,2,True
Llama-2-13b-chat,114.82693510811065,94.21788400166986,123.58846978221113,2,True
Meta-Llama-3-8B-Instruct,115.72035817467187,95.89875834904666,124.31374392392866,2,True
gemma-3-4b-it,116.00298708023942,95.56123503083003,124.04435520028541,3,True
gemma-3-12b-it,116.22527629655711,97.00459631364555,124.17618428860088,3,True
qwen2.5-7b-instruct,116.75645666505172,97.80596493012551,124.7243165946895,3,True
gemma-2-27b,117.46370595693207,99.44863400469049,125.23384914581364,2,True
Llama-3.1-8B-Instruct,117.56025846358028,98.79655144355971,125.40589889078161,3,True
c4ai-command-r-08-2024,117.56887351078096,99.05722770717897,125.61515209597692,2,True
gpt-4.1-nano-2025-04-14,118.17790547869382,99.79653322935533,125.60197186231171,4,False
gpt-3.5-turbo-0125,118.34088461526686,100.40093225470444,125.89598067889497,4,False
ministral-3b-2410,118.38999470856653,100.08338513830144,125.90144020711298,2,True
claude-3-haiku-20240307,119.09035376282506,101.64987304862348,126.52590921443502,2,True
c4ai-command-r-plus-08-2024,119.42710252908736,101.44178183846796,126.83618758182237,2,True
qwen3-8b_none,120.38117341320492,95.42642190908361,134.13494391551228,1,True
qwen3-14b_none,120.43037827291333,96.05798090674442,134.4036256572631,1,True
gemma-3-27b-it,120.68690560707968,104.52884291258292,127.93881960070063,4,False
gemini-2.0-flash-lite,120.71108891800563,104.76759314521182,128.33719154066137,2,True
gpt-4o-mini-2024-07-18,121.71978360408981,106.52988073880933,128.65346416238643,5,False
gemini-1.5-flash-002,122.33143365778929,107.14059018926766,129.8851253764117,3,True
claude-3-5-haiku-20241022,122.81898101290447,107.8222657199563,129.94195742768807,2,True
qwen3-8b,123.44116931035856,108.63276364003181,130.18448740035512,3,True
gemini-1.5-pro-001,123.5007340858739,108.9829400910127,130.62332673688806,2,True
Llama-4-Scout-17B-16E-Instruct,123.76057967762672,110.34755400916309,130.19325193628873,3,True
claude-sonnet-4-20250514_32K,124.17539814456251,96.02600576969706,149.64768844994603,1,True
gpt-oss-120b_medium,124.2337096654205,101.92581128423758,137.3960818671724,1,True
gpt-4-turbo,124.37247847394748,109.97647229184922,130.82039515809984,2,True
c4ai-command-a-03-2025,124.41415349478133,111.0275084357779,130.97327913103172,2,True
gpt-5-nano-2025-08-07_high,125.01670181786966,111.97952304445634,131.32366296276328,4,False
gpt-4-turbo-2024-04-09,125.44955565528986,112.22739136624192,132.10360617758536,3,True
Llama-3.1-70B-Instruct,125.51811083493871,112.31191154341214,132.097311476013,2,True
Qwen3-30B-A3B,125.90211953936388,113.42673626942528,132.37877397270267,3,True
magistral-small-2509,125.99101000721939,113.27857349766589,133.0282598495961,2,True
Llama-4-Maverick-17B-128E-Instruct,126.00048282166854,113.84865063478911,131.91455328261975,6,False
Llama-3.3-70B-Instruct,126.00143889876327,113.55003150954045,132.71320864833507,2,True
gpt-5-nano-2025-08-07_medium,126.01899687438905,109.5447864870874,137.2680445643163,2,True
claude-3-opus-20240229,126.14159448738587,114.65717809370794,132.01007269557286,6,False
mistral-medium-2505,126.15010639498823,113.71778422868351,133.0656169682665,2,True
gpt-5-nano-2025-08-07_minimal,126.19867113915845,106.19898364312246,137.47879211942998,2,True
qwen2.5-72b-instruct,126.27464134580313,113.98982600745963,132.66920257365558,2,True
Qwen3-30B-A3B_none,126.34434864654203,103.43636572492944,140.23201135034037,1,True
deepseek-chat,126.34439865154837,114.09355761464049,132.81404040216896,3,True
Qwen3-32B_none,126.38030385483702,103.81712067135503,140.23425258486708,1,True
gemini-3-flash-preview_unknown,126.40935248851954,104.08590928378825,141.29490515382696,1,True
gemini-2.5-flash-lite-preview-06-17_thinking,126.57840095308683,114.71135022048618,132.9720980506888,3,True
gpt-4o-2024-05-13,126.74063186675139,115.15000476507174,132.4007320606053,6,False
gpt-oss-20b_high,127.62833892935944,116.06910667001299,133.72635561252028,3,True
DeepSeek-V3-0324,127.75221648369188,116.30330368236253,133.98498922384405,2,True
gpt-4-0613,127.87468479458217,116.65804058100603,134.24923460861575,4,False
qwen3-14b,128.22834211933315,116.98699747724856,134.55154487422132,3,True
mistral-large-2512,128.24381070053704,117.13586205876467,134.58072968808116,2,True
gpt-oss-20b_low,128.82608525365117,107.39083409423937,143.20523042532423,1,True
claude-sonnet-4-20250514,129.38979905003288,115.51270269390147,139.45610756818357,3,True
Qwen3-32B,129.5363380833066,119.15619205246188,135.57834244327768,3,True
claude-3-5-sonnet-20241022,130.0,130.0,130.0,3,True
gemini-2.0-flash-001,130.27828948228375,119.51639266745599,137.12884964348748,4,False
kimi-k2.5_unknown,130.39716578434374,110.2902639977678,145.13255454036036,1,True
qwen3-30b-a3b-instruct-2507,130.51588680109984,120.6630372694253,136.8083952724855,3,True
gpt-5.4-nano-2026-03-17_low,130.56949800053644,112.44214648608232,142.24527568307548,2,True
mistral-medium-2508,130.74554096108892,121.18331051958017,136.64785470393625,3,True
grok-4.3_unknown,130.8707712990702,106.38750119003055,149.6849886939316,1,True
claude-3-7-sonnet-20250219,130.99684376576192,118.47576326310565,142.16801015186525,3,True
gpt-4.1-mini-2025-04-14,131.1223202056712,121.87963646408237,136.72364240415996,7,False
qwen3-30b-a3b-thinking-2507,131.16579857350644,122.09672163467843,137.3248784249025,3,True
o3-mini-2025-01-31_high,131.19543827773595,122.12405841596515,137.35015768297941,4,False
claude-opus-4-20250514,131.43586750925218,118.07621865355428,143.4738697430392,2,True
gemini-2.0-pro-exp-02-05,131.51997211759505,119.23466684027657,143.20300531336176,2,True
gpt-5.4-nano-2026-03-17_medium,131.53524247503162,111.86037382406836,144.6726959453888,1,True
gpt-oss-120b_high,131.85656727999452,122.65258669488105,137.5147283537309,4,False
gpt-4o-2024-08-06,131.91898387935322,113.88083386985163,146.16054731920636,2,True
claude-opus-4-20250514_32K,131.95272242746682,107.09300428279904,156.43749041184972,1,True
MiniMax-M3_none,131.95597018038507,115.2970552308384,143.21465488116866,2,True
gpt-5.4-nano-2026-03-17_none,132.0742393475112,114.72531421875375,143.32834784763668,2,True
gpt-oss-20b_medium,132.0846803071051,111.06209055847569,146.88880481593094,1,True
mistral-small-2603,132.17745305555025,123.3887059886349,138.3896803944365,2,True
o3-mini-2025-01-31_medium,132.35799333195308,119.70248536449658,143.5233523576832,2,True
gpt-5.4-mini-2026-03-17_medium,132.64061313793349,113.35036189303584,146.14613298071288,1,True
claude-opus-4-6_low,132.76177758317738,113.52809526391206,146.04635872383918,1,True
claude-3-5-sonnet-20240620,132.79502663158192,125.05073062674646,138.27599123761198,4,False
qwen3.5-9B,132.85167514706316,124.20202195599396,139.18471814004278,3,True
gpt-5.4-mini-2026-03-17_none,133.10912808985057,116.40344034444794,144.46698291723112,2,True
claude-sonnet-4-6_high,133.2285021241742,112.72574415290826,148.24185223711297,1,True
gemma-4-31b-it_minimal,133.23208553295564,112.86222389602446,148.15354208813758,1,True
qwen3.6-27b_none,133.66653562738756,117.23170658520182,145.28442154553764,2,True
gpt-4.1-2025-04-14,133.8766738666754,126.21485311598602,139.95669574202051,7,False
gpt-5-mini-2025-08-07_medium,133.98547440532636,121.0638996900529,142.72230713590474,2,True
gpt-5.4-mini-2026-03-17_low,133.99550666833488,114.82850296056706,147.08745651412642,1,True
gpt-4o-2024-11-20,134.00617881623515,116.4315848360823,149.80389685632645,2,True
o3-mini-2025-01-31_low,134.2457675146308,113.32314140714705,150.26710961393883,1,True
gemma-4-26b-a4b_minimal,134.3623096763843,112.8319571856754,149.702994274243,1,True
DeepSeek-V3.1,134.45441386913626,122.83291607370717,145.42112651667694,2,True
claude-3-7-sonnet-20250219_8K,134.72695272787152,121.36790482865337,149.4501247704376,1,True
o1-2024-12-17_high,134.80097306546492,127.24556435339908,141.42422786313477,3,True
glm-5_unknown,134.84185601900964,117.25579246775898,149.4160490336267,1,True
o1-2024-12-17_unknown,134.87121037130092,127.284761268396,140.68454746021126,3,True
inkling-small_xhigh,135.07807673279302,118.56078795981907,146.9293849457062,2,True
gpt-5-mini-2025-08-07_minimal,135.10896422793095,119.52844994733368,146.65130743150655,2,True
o1-2024-12-17_low,135.11727480524917,114.26924146586713,150.53414255516444,1,True
gemini-2.5-flash-preview-04-17,135.47943452973504,124.02371322549915,149.45871013379556,2,True
Qwen3-235B-A22B-Instruct-2507,135.49000091848967,128.06141315487514,141.78813044000927,4,False
gpt-5.2-2025-12-11_none,135.69519257793587,120.02473663453321,147.61156834366102,2,True
claude-haiku-4-5-20251001_32K,135.8727654523589,116.0037792303153,152.10042633423987,1,True
qwen3-235b-a22b,135.87308883859407,128.18690409670018,142.61808409347822,2,True
gemini-3.1-pro-preview_unknown,135.95864342108925,118.17326674469209,150.3215702256747,1,True
glm-5.3-flash_max,135.98718944347723,120.67689184813986,147.74626283982968,2,True
mistral-medium-2604,136.04125940418413,128.44634430189072,142.85624178043915,2,True
gpt-5.6-luna_none,136.1022711668162,120.26986450290092,148.39606112606694,2,True
gpt-5.4-nano-2026-03-17_high,136.12493968548404,120.03317822722977,148.13420152555122,2,True
claude-haiku-4-5-20251001_unknown,136.1569274631725,128.49828723240958,143.31123892300025,3,True
claude-sonnet-4-6_medium,136.1753250736073,116.86939129503769,152.0949404997157,1,True
gpt-5.6-terra_medium,136.20414547025558,117.44903016325948,149.79624526576873,1,True
gpt-5.1-2025-11-13_none,136.259096864492,122.0691227768063,148.62295398674397,3,True
gpt-5.6-terra_none,136.2801933583396,120.48871160811491,147.79189520703474,2,True
claude-3-7-sonnet-20250219_unknown,136.56026237516556,130.02360620217496,142.45133148490788,3,True
MiniMax-M3_xhigh,136.67834527494006,113.91120248817543,152.28671133136967,1,True
o1-2024-12-17_medium,136.73338342721922,126.21958518647918,149.58519327516308,3,True
gemma-4-26b-a4b,136.97158338458144,129.57722530339947,144.4105692913439,2,True
deepseek-v4-pro_unknown,136.99733139366685,119.01713887550366,151.54864248693914,1,True
claude-opus-4-5-20251101,137.10413863181736,123.73169955575688,149.055434409138,3,True
gemini-2.5-flash,137.2029892365569,129.8962532443288,144.194644543334,3,True
gpt-5-nano-2025-08-07_low,137.27458832122977,122.36609673265825,148.52750880004714,2,True
qwen3.6-35b-a3b,137.297389850073,130.14878993130526,145.11926693219684,3,True
glm-5,137.50543182193206,116.82383927584382,153.90898241129065,1,True
gpt-5.4-2026-03-05_none,137.52767309357552,122.17483149103967,149.4972208089883,2,True
qwen3.5-35b-a3b_none,137.6011663924998,118.31602063473166,152.93891657257615,1,True
claude-opus-4-6_64K,137.64077833101825,117.61746617111294,153.76830136032774,1,True
gpt-4.5-preview-2025-02-27,137.64803502863998,127.09297376781933,149.541411224917,2,True
qwen3.5-35b-a3b,137.76482039453572,130.90121844572187,144.55486905924204,3,True
o4-mini-2025-04-16_high,137.77457107358373,131.25814139755914,144.3900450795815,6,False
claude-sonnet-4-20250514_unknown,137.84134923259518,130.81452517174947,145.45903148562473,2,True
o4-mini-2025-04-16,137.84852734379245,120.74184748517543,154.68634273817088,1,True
gpt-5.6-luna_medium,137.97233313126236,120.59931783613696,152.35223322927794,1,True
qwen-plus-2025-04-28,138.03170305307515,130.9974783050976,145.16809223241913,2,True
qwen3-max-2025-09-23,138.05202366164895,131.45369010145114,144.8489425872069,4,False
kimi-k2.6_none,138.06070659991514,120.66104768023992,151.6659155500901,1,True
qwen3.6-plus_none,138.12556455409918,120.32568015514104,151.56765512433805,1,True
claude-sonnet-4-5-20250929,138.13418110127355,127.87943039855452,147.75386606170184,4,False
qwen3.7-flash_none,138.4545661881184,123.79299834519556,150.65501673150115,2,True
o3-2025-04-16_unknown,138.4561234640489,132.21462622765708,145.2042786289217,2,True
qwen3.6-flash,138.8656864155866,131.91291941466937,146.4512088405825,4,False
DeepSeek-V3.1_thinking,138.93074844596276,131.9920270102485,146.38851238523117,2,True
Qwen3-235B-A22B-Thinking-2507,138.97619484262543,132.74191771969717,145.867009136366,5,False
qwen3.5-9B_none,138.9821034827758,119.56250559196515,155.61257801692153,1,True
claude-opus-4-5-20251101_32K,138.98596771355204,119.5695018025482,154.9260765278569,1,True
claude-opus-4-7,139.01604032174828,121.77985041547616,152.94272240788084,1,True
gpt-5-mini-2025-08-07_low,139.0506825798689,119.95154212051571,155.17386906844652,1,True
claude-3-7-sonnet-20250219_15K,139.08668646343835,115.69200250521487,164.81807309741995,1,True
glm-5.2_none,139.09351509698266,124.7146560703541,151.24290430990905,2,True
claude-sonnet-4-5-20250929_32K,139.12900806727964,118.45592410284318,155.2090501704064,1,True
deepseek-v4-pro_none,139.14695293153727,125.24194540361442,151.5028714686344,2,True
qwen3.6-35b-a3b_none,139.2610697560509,124.48368252918321,151.4694677797675,2,True
MiniMax-M3,139.33888309613138,132.79144267414807,146.78789851032107,4,False
claude-opus-4-1-20250805,139.45299883035716,127.8326531452514,150.05439955207646,4,False
deepseek-v4-pro_high,139.71199612296817,119.88232661299492,156.04322722510162,1,True
claude-sonnet-4-6_32K,139.73973209588794,120.75468869621419,156.40319827368336,1,True
DeepSeek-V3.1-Terminus,139.74202360800234,133.21665338602475,147.3114772066155,2,True
claude-opus-4-8_none,139.78603006564387,120.29078682571296,157.25136749975402,1,True
gpt-5.2-2025-12-11_low,139.8504650016336,125.55661916280869,152.06715087648155,2,True
claude-opus-4-6_120K,139.87501670459986,120.76676274278533,155.74991812408976,1,True
claude-sonnet-4-6,139.95199407397172,123.26117946324861,153.69318813869708,1,True
qwen3.7-plus_none,140.17380509962905,126.64125981722563,152.89590895835687,2,True
gemini-3.1-flash-lite_high,140.27500168424626,133.163870588174,148.7287028419512,3,True
gpt-5-mini-2025-08-07_high,140.36801583836467,134.13338760579023,148.1959870768206,4,False
o4-mini-2025-04-16_low,140.39383834962746,121.38597066617973,156.96107099321432,1,True
claude-opus-4-20250514_unknown,140.41219263077454,134.94887100257918,147.36626080461014,4,False
gemini-2.5-flash-preview-05-20,140.54047441921523,130.19933343223047,157.27914503383286,2,True
claude-opus-4-6,140.56670759847145,124.02968504720947,155.02277497822587,1,True
kimi-k3_low,140.6684997462627,126.87252992345938,153.1851322747086,2,True
glm-5.2_medium,140.7217152147174,123.69612804720468,154.96781045313026,1,True
qwen3.6-27b,140.81648660929437,134.090686407269,149.31677525857617,3,True
gemini-3.5-flash-lite_minimal,140.9059576948543,127.38013374497199,153.57841727260737,2,True
gpt-5-2025-08-07_minimal,140.91952648013927,127.17353469703245,153.27206721981648,2,True
gpt-5.5_none,140.9573578943802,127.20666694520254,153.86265738210548,2,True
claude-sonnet-4-6_unknown,141.17932478620102,126.05738453292797,155.81542767682458,2,True
grok-4-fast,141.44047566924712,134.5138242161923,151.50387220847318,2,True
gpt-oss-120b,141.47860358402824,125.41846194661164,158.43954393361244,1,True
qwen3.5-flash_none,141.57726911652776,124.38259382471175,155.7840543393974,1,True
gpt-5.1-2025-11-13_medium,141.58135310533618,125.12570602230126,156.02883916370476,1,True
claude-sonnet-5,141.615116582312,124.46885581429628,156.34550312864465,1,True
gpt-5.1-codex-max,141.6300494259445,133.50218594547326,150.53866328876532,2,True
mimo-v2.5-pro,141.67465412698527,135.11616405249453,150.15526360137864,2,True
qwen3.5-flash,141.67856802094434,135.40659616542607,150.3088139249792,4,False
qwen3.6-plus,141.75788412397384,135.39500395850794,150.41017399591186,3,True
claude-sonnet-4-6_low,141.7827866623116,125.52672342791375,156.81850472713222,1,True
o4-mini-2025-04-16_medium,141.85334312604033,132.2724538060915,155.8551456517219,4,False
claude-sonnet-4-20250514_thinking,141.9441058893569,124.58387168575787,161.62824668377394,1,True
deepseek-v3.2,142.02205079281543,135.66178772578567,150.82263768061182,2,True
qwen3.7-max_xhigh,142.02885232475484,123.14375944065593,159.60642298179008,1,True
gpt-5.4-nano-2026-03-17_xhigh,142.1087568794392,135.5137474449621,151.45858098009657,2,True
claude-opus-4-1-20250805_unknown,142.12453402085595,135.3918063516145,151.08716770949707,2,True
qwen3.5-27B,142.22668845296118,135.673514756523,151.0625202025649,2,True
qwen3.5-397b-a17b_none,142.23283556982585,128.7864351100964,154.36288386286245,2,True
claude-sonnet-4-5-20250929_unknown,142.23727548718767,137.05335532589808,149.6999767826481,8,False
claude-sonnet-4-5-20250929_48K,142.2762388659204,126.39727115585183,156.61282526853134,1,True
qwen3.5-plus_none,142.30176401232575,126.24827678321755,156.7726248699696,1,True
claude-opus-4-6_32K,142.30934755351024,122.98793833394438,159.20697119745842,1,True
gemini-2.5-pro,142.4937931990729,136.29691603925798,151.15221360365686,4,False
kimi-k2.5,142.54707847922288,133.86152575905845,154.6631258961318,3,True
qwen3.5-plus,142.57672250421393,136.03213764197048,151.33105714181553,4,False
qwen3.5-122b-a10b_none,142.65893640388953,136.40967942709253,151.28136490065265,3,True
gpt-5-2025-08-07_unknown,142.67229451395517,137.57033414522118,150.46640759245847,6,False
gpt-5.4-mini-2026-03-17_high,142.79404109852248,124.30803565790464,160.5185459743915,1,True
muse-spark,142.80555361450763,132.34248310867406,154.52773157941013,3,True
gpt-5.1-2025-11-13_low,142.99001855771684,130.07808627330704,155.8994561047864,2,True
glm-5.2_low,142.9915642562305,130.44948997237233,155.71103682834502,2,True
qwen3.6-flash_none,143.14623774623857,128.14895062871216,157.9869027034084,1,True
glm-5.2_minimal,143.2459574683663,127.5411704940845,158.11723670102992,1,True
DeepSeek-V3.2-Exp_thinking,143.3116971153363,136.80441667103938,152.6393471425701,2,True
qwen3.7-flash,143.34361190014943,130.10253690559563,155.64286489284447,2,True
gemini-3.1-flash-lite,143.50023072604122,126.90228090459632,162.93518763765482,1,True
gpt-5.2-2025-12-11_unknown,143.54170272827264,126.2590795099308,162.35444464063107,1,True
gpt-5.4-2026-03-05_low,143.75296598753374,131.0527299160197,156.8177540818885,2,True
qwen3.6-max-preview_none,143.81479512610935,128.45303672724435,158.42892927467685,1,True
claude-opus-5_low,143.9989085605058,125.66619461891318,161.48901551517767,1,True
claude-opus-4-20250514_thinking,144.02387119507915,127.25882133954995,163.15248287393848,1,True
gpt-5.6-luna_low,144.03329049370393,131.3836829836085,157.21846545164328,2,True
claude-opus-4-7_low,144.0721367750335,125.2502129905792,161.2478395915911,1,True
gpt-5-2025-08-07_low,144.08249750955193,131.63152131910977,157.18511914123118,2,True
gpt-5.4-mini-2026-03-17_xhigh,144.08471716226848,137.05710226749807,154.37910032391667,3,True
deepseek-v4-pro_xhigh,144.1292988470738,125.24697561181866,161.20333884561506,1,True
gemini-3.5-flash-lite_low,144.21887087162054,132.10369795358196,157.57647427433625,2,True
gemma-4-31b-it,144.2438948750504,137.76373831312873,154.45210947586716,2,True
gemini-3.5-flash-lite_high,144.3289062400174,137.95254601179053,154.20630087236842,3,True
kimi-k2.7-code,144.413705765102,125.7803356164031,162.60347796817157,1,True
qwen3.7-plus,144.5834195210466,138.3259075012698,154.57686204654547,4,False
claude-opus-4-5-20251101_thinking,144.59411622653846,132.16982067972793,160.37479420193247,2,True
