model,family,release_date,C_mean,C_hdi_low,C_hdi_high,ECI_mean,ECI_hdi_low,ECI_hdi_high
gpt-6-astra_max,gpt-6-astra,2026-09-03,2.804832441206317,2.312788752700719,3.4009785925232663,177.5073031184022,163.6250821408751,210.50395514497927
claude-fable-5-1_max,claude-fable-5-1,2026-09-01,1.8840420964008333,1.4677811258405145,2.309482702357886,165.2917067226076,155.05321549204655,189.0490446874102
gemini-3.7-flash_high,gemini-3.7-flash,2026-08-13,1.3242431608467942,0.9546951581903237,1.7401384270980966,158.17757862076377,149.75181349328412,176.0246176847067
gemini-3.6-flash_high,gemini-3.6-flash,2026-07-21,1.0536663557461385,0.6898925428563814,1.4448186724503145,154.65865410761086,147.03907717638066,170.2509003486624
gpt-5.6-sol_unknown,gpt-5.6-sol,2026-07-09,2.067554169716538,1.5827810963971278,2.6199959950094427,167.8147079750933,156.21937507031166,194.01475698026348
claude-fable-5_max,claude-fable-5,2026-06-09,1.7367712721979152,1.429497499635634,2.0871930003013843,163.4618437240306,154.23843632449598,185.40090729782455
claude-mythos-5,claude-mythos-5,2026-06-09,1.8357298878090522,1.32850120960937,2.4490281397523135,164.86657493377828,153.8992097333115,189.25130357858424
gemini-3.5-flash_minimal,gemini-3.5-flash,2026-05-19,1.0813359957530824,-0.1071196861856335,2.0903247269578165,154.85798734006488,138.85702100053535,176.5183606641801
claude-mythos-preview,claude-mythos-preview,2026-04-07,1.5407627327582585,1.0639377197391828,2.0906272923926013,160.97872781580577,151.091689530172,182.46079364086123
claude-mythos-preview-early,claude-mythos-preview-early,2026-04-06,1.0121176316009102,0.7151522340316774,1.3449097105636085,154.090308530007,146.83874833692295,169.46200577102783
gpt-5.4-pro-2026-03-05_xhigh,gpt-5.4-pro@2026-03-05,2026-03-05,1.5968271641026361,0.4087564405976497,2.6083739270375057,161.56837190537786,145.33048098326466,186.93005256218166
gemini-3.1-pro-preview_high,gemini-3.1-pro-preview,2026-02-19,1.2352985601730535,0.8908156085852392,1.624318959478293,157.05800653059313,149.21423453873433,174.18707433976556
claude-opus-4-6_max,claude-opus-4-6,2026-02-05,0.8086546206443643,0.5056139607546836,1.1183488431547968,151.43260187639896,144.9700152314359,164.97213170791582
gpt-5.3-codex,gpt-5.3-codex,2026-02-05,0.5753196615535444,0.34578054401972774,0.8359185121912408,148.4466471613931,142.71729214598446,159.64514942543101
gemini-3-flash-preview_high,gemini-3-flash-preview,2025-12-17,0.6631044817997036,0.3004277182959412,1.0298604313287827,149.5351245469825,142.9129495959202,161.50400255754192
gemini-3-pro-preview,gemini-3-pro-preview,2025-11-18,0.3430812607642709,-0.2812504012048287,0.9253145441439344,145.36056086726956,136.18312421218687,157.78957394767573
gpt-5-2025-08-07_medium,gpt-5@2025-08-07,2025-08-07,0.6976250845056203,0.15357663879443445,1.2317859044780803,150.0,150.0,150.0
gpt-5-pro-2025-10-06_unknown,gpt-5-pro@2025-10-06,2025-08-07,0.8673158366092213,-0.008616054656042333,1.7263484971043863,152.1944177703703,140.00360691050025,171.3381047367581
o3-pro-2025-06-10,o3-pro@2025-06-10,2025-06-10,0.6327670717980061,-0.5754585829057093,1.7111025865297784,149.12388888849256,132.86646600593448,169.41942177581828
o3-2025-04-16_medium,o3@2025-04-16,2025-04-16,1.122503851836453,0.6560165167506675,1.612989244625086,155.51274897353915,147.69086499348703,171.13067823013128
gemini-2.5-pro-exp-03-25,gemini-2.5-pro-exp-03-25,2025-03-25,0.9236606806741625,0.16698289299511873,1.8665693178398846,152.9500253254652,142.1601498842393,172.98816680894785
claude-3-7-sonnet-20250219_thinking,claude-3-7-sonnet@2025-02-19,2025-02-24,0.3505970400386035,-0.8666178202968412,1.5457007726891856,145.52610202334307,128.3342448312726,165.89314035839752
o1-2024-12-17_medium,o1@2024-12-17,2024-12-05,-0.33283398350508236,-0.9782143256425132,0.44927619680811437,136.73338342721922,126.21958518647918,149.58519327516308
claude-3-5-sonnet-20240620,claude-3-5-sonnet@2024-06-20,2024-06-20,-0.6296237307069193,-0.913002078349654,-0.3589227173793002,132.79502663158192,125.05073062674646,138.27599123761198
gpt-4o-2024-05-13,gpt-4o@2024-05-13,2024-05-13,-1.1035435323738203,-1.373723362941967,-0.8427691077126966,126.74063186675139,115.15000476507174,132.4007320606053
claude-3-opus-20240229,claude-3-opus@2024-02-29,2024-02-29,-1.1430367264073458,-1.425558472116045,-0.8772210186879653,126.14159448738587,114.65717809370796,132.01007269557286
gpt-4-turbo,gpt-4-turbo,2023-11-06,-1.283981326808678,-1.6770451286893218,-0.9340022160658009,124.37247847394748,109.97647229184922,130.82039515809984
