,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"A[AISI CTF Suites - Apprentice, axis1]",1.857787,0.203214,1.489666,2.247956,0.004316,0.002233,2200.5415,4549.41703,1.001174
"A[AISI CTF Suites - Expert, axis1]",1.711915,0.262619,1.242722,2.222268,0.005854,0.003684,2008.522468,3512.710235,1.00122
"A[AISI CTF Suites - Practitioner, axis1]",4.595705,0.738201,3.271283,6.003838,0.019564,0.009904,1389.8557,2749.564839,1.002171
"A[AISI CTF Suites - Technical Non-Expert, axis1]",1.731478,0.272402,1.239473,2.241814,0.00472,0.002754,3268.616354,4738.832549,1.000878
"A[AISI Cyber Ranges - Cooling Tower, axis1]",2.511293,1.057954,0.659812,4.416825,0.028379,0.013451,1228.120537,1415.645382,1.001853
"A[AISI Cyber Ranges - The Last Ones, axis1]",1.611803,0.23045,1.202447,2.06054,0.004837,0.00317,2196.647869,3089.467386,1.00395
"A[BlueprintBench 2, axis1]",0.853312,0.254153,0.392841,1.336313,0.004871,0.002701,2667.982102,3758.851364,1.00038
"A[Chess Puzzles, axis1]",0.939719,0.076665,0.799057,1.087492,0.001412,0.00078,2949.975971,4545.526981,1.000511
"A[CyScenarioBench, axis1]",1.664424,0.423153,0.901956,2.473339,0.008401,0.005898,2468.085845,2746.793233,1.001107
"A[DTBench, axis1]",0.893292,0.049852,0.798738,0.983292,0.001036,0.000505,2323.556612,4443.376174,1.001041
"A[DrugDiscoveryBench, axis1]",0.561624,0.199694,0.221204,0.934328,0.004607,0.003708,1888.83185,3576.553452,1.001216
"A[EBR-bench, axis1]",1.587164,0.211755,1.1996,1.9915,0.004262,0.002717,2480.045962,3784.790449,1.001619
"A[Fiction.LiveBench, axis1]",1.411986,0.23766,0.966692,1.862242,0.005269,0.003452,2043.379533,2737.991851,1.000885
"A[GeoBench, axis1]",0.407182,0.096574,0.238609,0.596073,0.001363,0.000944,4888.097672,5091.044596,0.999754
"A[LMCA, axis1]",0.77821,0.042114,0.701941,0.857618,0.000766,0.000399,3036.406115,5124.495661,1.000491
"A[MirrorCode, axis1]",0.76423,0.423386,0.155549,1.572138,0.011117,0.012172,1687.728279,1671.858512,1.001895
"A[Mystery Game Puzzles, axis1]",0.876209,0.080655,0.725222,1.028089,0.001755,0.00085,2109.618859,3855.574425,1.001031
"A[PRBench, axis1]",0.35204,0.052747,0.254973,0.450612,0.000857,0.00057,3738.548733,5267.104798,1.000358
"A[SWE Atlas, axis1]",0.563624,0.116118,0.351555,0.788226,0.002529,0.001507,2059.688601,2824.129096,1.00025
"A[Visual Task Assessment (VISTA), axis1]",0.264629,0.03503,0.196383,0.327905,0.000611,0.000341,3285.111353,5342.750164,1.000454
D[AISI CTF Suites - Apprentice],-0.00716,0.176444,-0.326377,0.330083,0.004694,0.002372,1413.995955,2960.499428,1.000775
D[AISI CTF Suites - Expert],0.913747,0.227589,0.509537,1.358702,0.006431,0.003551,1287.841652,2036.832164,1.001609
D[AISI CTF Suites - Practitioner],0.727496,0.534306,-0.26556,1.736311,0.016152,0.010679,1130.314434,1241.258061,1.000828
D[AISI CTF Suites - Technical Non-Expert],-2.118732,0.243568,-2.584956,-1.665514,0.004802,0.002669,2573.762646,4957.915182,1.000643
D[AISI Cyber Ranges - Cooling Tower],3.50651,0.587539,2.417,4.604971,0.01268,0.008593,2231.411828,3170.793797,1.002225
D[AISI Cyber Ranges - The Last Ones],1.170302,0.232703,0.747735,1.624793,0.005841,0.003546,1610.034286,2471.356737,0.999926
D[BlueprintBench 2],2.0198,0.334289,1.393165,2.645643,0.005188,0.003411,4169.771436,5200.76779,1.000432
D[Chess Puzzles],1.669781,0.063445,1.552796,1.792049,0.000796,0.000635,6333.286936,5939.116314,1.000077
D[CyScenarioBench],3.854422,0.588684,2.714587,4.939677,0.010949,0.006293,2893.039616,4383.315207,1.000448
D[DTBench],-1.542164,0.042382,-1.616305,-1.457453,0.000691,0.000417,3765.392424,5138.077047,1.000423
D[DrugDiscoveryBench],0.937016,0.21398,0.570057,1.351983,0.004551,0.003505,2343.613019,3320.836138,1.001226
D[EBR-bench],3.109221,0.30401,2.52983,3.680366,0.006041,0.003537,2554.471332,3859.817469,1.001349
D[Fiction.LiveBench],-0.907634,0.192074,-1.273236,-0.547951,0.003297,0.002121,3399.251997,4389.231803,1.000683
D[GeoBench],-0.791361,0.121215,-1.014265,-0.559991,0.001499,0.001411,6580.582021,5456.509447,1.000653
D[LMCA],0.821338,0.036029,0.756725,0.892304,0.000556,0.000356,4209.187319,5763.111844,1.000471
D[MirrorCode],1.765551,0.672583,0.693498,3.125447,0.017335,0.018611,1963.408077,1469.649959,1.000824
D[Mystery Game Puzzles],1.693134,0.067186,1.563482,1.817187,0.001017,0.000619,4365.06241,6496.677789,1.000879
D[PRBench],0.335839,0.054352,0.231301,0.436493,0.000716,0.000578,5868.031851,4734.197722,1.000018
D[SWE Atlas],0.756082,0.140715,0.483725,1.013146,0.002824,0.00174,2494.884929,4081.833142,1.001056
D[Visual Task Assessment (VISTA)],0.209193,0.032754,0.149898,0.273296,0.000403,0.000346,6612.729453,6281.786871,1.000404
D_z[AISI CTF Suites - Apprentice],-0.004801,0.097384,-0.188859,0.178135,0.002628,0.00172,1384.644816,2045.9757,1.000983
D_z[AISI CTF Suites - Expert],0.495904,0.146291,0.232787,0.774217,0.005085,0.003789,878.637401,1028.628209,1.001369
D_z[AISI CTF Suites - Practitioner],0.393136,0.299778,-0.151744,0.95628,0.009891,0.009148,1017.888602,925.377241,1.000534
D_z[AISI CTF Suites - Technical Non-Expert],-1.152992,0.234284,-1.601739,-0.7303,0.008971,0.004762,674.448104,1274.297717,1.005782
D_z[AISI Cyber Ranges - Cooling Tower],1.898351,0.402215,1.173078,2.680663,0.012647,0.005667,987.753563,1557.128582,1.003311
D_z[AISI Cyber Ranges - The Last Ones],0.635519,0.160156,0.342849,0.937046,0.005421,0.003501,872.701939,1395.3472,1.003237
D_z[BlueprintBench 2],1.097271,0.250987,0.653132,1.579409,0.008256,0.004489,915.902581,2001.111308,1.00421
D_z[Chess Puzzles],0.908259,0.153027,0.634194,1.206314,0.006642,0.003819,528.031628,726.538287,1.007239
D_z[CyScenarioBench],2.085296,0.415362,1.276341,2.833238,0.013605,0.007206,926.874369,1923.618086,1.00374
D_z[DTBench],-0.838965,0.140066,-1.092078,-0.56888,0.006096,0.003498,524.746752,756.420911,1.007851
