name,kind,release_date,mean,hdi_low,hdi_high,n_obs,is_low_obs
DeepSeek-V3-0324,model,2025-03-24,127.75221648369188,121.63391375517111,131.99142593533358,2,True
DeepSeek-V3.1,model,2025-08-21,134.45441386913626,127.50940124128836,140.92881747367701,2,True
DeepSeek-V3.1-Terminus,model,2025-09-22,139.74202360800234,135.6261703355191,144.33768610760725,2,True
DeepSeek-V3.1_thinking,model,2025-08-21,138.93074844596276,134.7375472770023,143.35451841746362,2,True
DeepSeek-V3.2-Exp_thinking,model,2025-09-29,143.3116971153363,139.1091888590485,148.52187746246315,2,True
Inkling_xhigh,model,2026-07-15,146.3279276804678,141.99687006626,152.07366402090693,3,True
Llama-2-13b-chat,model,2023-07-18,114.82693510811065,104.34179611384045,121.09717490758055,2,True
Llama-3.1-70B-Instruct,model,2024-07-23,125.51811083493871,118.60521480115712,129.92041434586872,2,True
Llama-3.1-8B-Instruct,model,2024-07-23,117.56025846358028,107.90907606605565,123.14274906390894,3,True
Llama-3.2-90B-Vision-Instruct,model,2024-09-24,114.69191666452599,99.88047602767057,125.18135136607545,2,True
Llama-3.3-70B-Instruct,model,2024-12-06,126.00143889876327,119.38650214191085,130.55681914793257,2,True
Llama-4-Maverick-17B-128E-Instruct,model,2025-04-05,126.00048282166854,119.61194465860673,130.16270769691798,6,False
Llama-4-Scout-17B-16E-Instruct,model,2025-04-05,123.76057967762672,116.64574516650173,128.2051809095105,3,True
Meta-Llama-3-8B-Instruct,model,2024-04-18,115.72035817467187,105.55203510733658,121.80749331291088,2,True
MiniMax-M3,model,2026-06-01,139.33888309613138,135.27126376892684,143.73774500713458,4,False
MiniMax-M3_none,model,2026-06-01,131.95597018038507,122.11442066999379,139.51439297903332,2,True
MiniMax-M3_xhigh,model,2026-06-01,136.67834527494006,123.78040471051885,146.55503969551316,1,True
Pixtral-12B-2409,model,2024-09-17,113.26855982889623,98.29080033796579,124.01077380776317,2,True
Qwen3-235B-A22B-Instruct-2507,model,2025-07-21,135.49000091848967,131.15003924733327,139.36276624777526,4,False
Qwen3-235B-A22B-Thinking-2507,model,2025-07-25,138.97619484262543,135.1883024794141,143.03997108475252,5,False
