name,mean,hdi_low,hdi_high,n_obs,is_low_obs
gpt2-xl,-3.0675376945114827,-3.7463441597514797,-2.502508837151873,3,True
deepseek-coder-1.3b-base,-2.578928502879279,-2.9668015539182564,-2.2401019773916655,3,True
opt-13b,-2.5290491481152904,-2.9312232455901674,-2.1481641392831117,2,True
davinci,-2.508120015385996,-3.0290803933380843,-2.0865167873908685,3,True
Cerebras-GPT-13B,-2.5060718054166244,-2.919807704720288,-2.1375444583080605,2,True
gpt-j-6b,-2.5004451741966705,-2.909333460738284,-2.14068487855903,2,True
dolly-v2-12b,-2.4690404722753647,-2.861917911835262,-2.1037558997660124,2,True
RedPajama-INCITE-7B-Base,-2.465280489616485,-2.863784230693701,-2.1085491575687754,2,True
open_llama_7b,-2.344275004148259,-2.730134572560676,-1.9988181961659277,2,True
mpt-7b,-2.3281615341854156,-2.6770779579371387,-2.0170270732661844,4,False
Qwen-1_8B,-2.2641872025284715,-2.6316664171923656,-1.9309237237162205,3,True
falcon-7b,-2.224086844675177,-2.5603467811335525,-1.9200274899327552,4,False
Mistral-7B-Instruct-v0.1,-2.2235450007097484,-2.61897545879777,-1.9037591064077113,5,False
LLaMA-7B,-2.157479384743118,-2.4929026841095996,-1.8538506601270248,4,False
Average Human,-2.145932636901378,-2.540264743875362,-1.783054321631726,2,False
xgen-7b-8k-base,-2.1330546973086006,-2.505125955147618,-1.7832460415990687,2,True
starcoder2-3b,-2.116523326204603,-2.466513743329519,-1.8084238291234314,3,True
deepseek-coder-6.7b-base,-2.114435499267143,-2.4528101759906162,-1.8108265824473373,3,True
phi-1_5,-2.0746664062725566,-2.449923541097879,-1.739108094151984,2,True
Baichuan-7B,-2.0387041578290606,-2.370318585688523,-1.7431931066360262,2,True
gemma-2b,-2.0045844551861967,-2.3201627581494213,-1.7076090784791607,4,False
starcoder2-7b,-1.9857503350479127,-2.315043373148679,-1.684753638826375,3,True
deepseek-coder-33b-base,-1.9386227638498945,-2.2798801144612173,-1.6383210157534671,3,True
CodeQwen1.5-7B,-1.9295567346446805,-2.2720843076646102,-1.6225257130857134,3,True
Qwen2.5-Coder-0.5B,-1.9176669996496318,-2.2484074715470803,-1.6070929960781857,3,True
Llama-2-7b,-1.8897099317373764,-2.2057776709332,-1.6041330731023955,4,False
text-davinci-001,-1.8458580584812538,-2.198145519576499,-1.5090174756653025,3,True
mpt-30b,-1.836548865660013,-2.1408028811588364,-1.5570486762219302,4,False
vicuna-13b-v1.1,-1.8055993698875272,-2.3405532825758932,-1.347777335529263,2,True
LLaMA-13B,-1.7967400424219921,-2.086158498355457,-1.5146263926218895,4,False
Baichuan-2-7B-Base,-1.7184655789032806,-2.0286904720774723,-1.4344505266347032,3,True
chatglm2-6b,-1.6976994666470353,-2.0027540354355997,-1.4089142737975007,3,True
Baichuan-13B-Base,-1.6698087560293802,-1.985833332043836,-1.3794627132759851,2,True
