name,mean,hdi_low,hdi_high,n_obs,is_low_obs
gpt2-xl,60.34181741487435,24.178285879144465,81.94052188347987,3,True
deepseek-coder-1.3b-base,72.01302488847601,42.65268151720931,89.11528602573014,3,True
opt-13b,73.2617286640249,45.139929265078955,90.43620920485185,2,True
Cerebras-GPT-13B,73.67602185594288,45.946918249414125,90.68192049235607,2,True
davinci,73.76004325507856,44.0690594633232,91.11526462470934,3,True
gpt-j-6b,73.9462112011644,45.37809038077525,90.88311316906646,2,True
dolly-v2-12b,74.72875469701704,47.146970644361446,91.72113711657967,2,True
RedPajama-INCITE-7B-Base,74.8822547287445,47.49921717363586,91.40422572112767,2,True
open_llama_7b,77.69485756819608,50.175818280025425,93.92035363819724,2,True
mpt-7b,78.23957301256027,51.83174012555126,93.67501949989497,4,False
Qwen-1_8B,79.46941035232949,53.925180167267875,95.16798905092959,3,True
Mistral-7B-Instruct-v0.1,80.43181222055678,54.55432491649541,95.9067113283126,5,False
falcon-7b,80.54866561949581,54.926849510039816,95.52240753276585,4,False
LLaMA-7B,82.09085989113868,58.24943595224905,96.74015944495326,4,False
Average Human,82.38646173724214,57.27236025772911,97.55495570569376,2,False
xgen-7b-8k-base,82.81220903267254,58.120540260913984,97.52930445726622,2,True
starcoder2-3b,83.04578202102225,58.70893287181248,97.45135801490382,3,True
deepseek-coder-6.7b-base,83.07487262230966,58.788773727573265,97.50174706766863,3,True
phi-1_5,84.1103906362328,59.82760681724135,98.49902918824438,2,True
Baichuan-7B,84.92009216296447,61.84477232227389,98.68064001729952,2,True
gemma-2b,85.80379419596926,62.98790420826049,99.4780537081475,4,False
starcoder2-7b,86.26965702470089,63.02758966435437,99.7447385011443,3,True
deepseek-coder-33b-base,87.31775420602334,65.57492506474615,100.70118111651092,3,True
CodeQwen1.5-7B,87.47503247652087,64.93424767958342,100.81599065207249,3,True
Qwen2.5-Coder-0.5B,87.68935480041819,66.01270789092051,100.96153917384216,3,True
Llama-2-7b,88.37602018686478,67.1277468683614,101.5487780524663,4,False
text-davinci-001,89.58767465496805,67.90420504006256,102.48836957523993,3,True
mpt-30b,89.79858584156072,68.90806540502398,102.43183978759332,4,False
vicuna-13b-v1.1,90.4342420621644,66.00668614776926,105.23229950308048,2,True
LLaMA-13B,90.6849145761536,70.77129662425189,103.05035224597769,4,False
Baichuan-2-7B-Base,92.55305505825054,72.83660288691676,104.65681345766785,3,True
chatglm2-6b,93.08451366482197,73.1800517911721,105.02545810186427,3,True
Baichuan-13B-Base,93.74355580416679,74.02863258096959,105.71350520963944,2,True
INTELLECT-1-Instruct,94.28287866677802,75.18603630821886,106.07118172153689,3,True
internlm-chat-20b,94.54015414936106,75.78011222868129,106.20771064645268,2,True
Llama-2-13b-chat,94.93360750993081,75.47423631839246,106.59028698960252,2,True
internlm-7b,95.12769670924658,75.94731432552521,106.56962143325485,3,True
PaLM 62B,95.27742826874253,76.30597057214777,106.65134592851476,3,True
Qwen-7B,95.52560779783887,76.1838319397289,107.20600999932718,3,True
falcon-40b,96.59739820495639,78.25574143864758,107.852345862236,4,False
open-mistral-7b,96.76334682083808,77.34939292791712,108.27151061765166,2,True
Llama-2-13b,97.20735124398186,78.51834758968626,108.47431649449828,4,False
Baichuan2-13B-Chat,98.57141597454799,80.56477267049388,109.45848523394416,2,True
Qwen2.5-Coder-1.5B,99.13407630121341,81.19661115942449,110.26262095046324,3,True
Baichuan-2-13B-Base,99.57380689793602,82.14985621634528,109.93132255518722,3,True
Mistral-7B-Instruct-v0.3,99.71445426249343,83.52060744052886,109.42606731623223,3,True
Nemotron-4 15B,99.90246181108779,82.3621378709475,110.2566060149214,3,True
