,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_b_log__[0],-2.115051,0.089009,-2.284909,-1.951946,0.001236,0.000921,5169.277596,5847.722862,1.001111
sigma_b_log__[1],-2.124551,0.116591,-2.344954,-1.904233,0.001928,0.001105,3652.91763,5125.653054,1.001315
sigma_b_log__[2],-3.254164,0.443409,-4.081404,-2.4227,0.008258,0.004306,2873.877438,4450.140139,1.001574
sigma_b_log__[3],-2.628221,0.139954,-2.879942,-2.357161,0.001881,0.001409,5610.198097,5700.390891,1.000355
sigma_b_log__[4],-2.571203,0.13456,-2.823065,-2.317906,0.001713,0.001373,6193.336832,5457.602226,0.999918
sigma_b_log__[5],-3.370754,0.209239,-3.787644,-3.005632,0.003539,0.002119,3497.983293,4949.483264,1.000258
sigma_b_log__[6],-3.004483,0.217478,-3.433047,-2.621588,0.003759,0.002183,3349.540896,4699.482469,1.000696
sigma_b_log__[7],-2.967987,0.278771,-3.499603,-2.447017,0.00604,0.004409,2344.063374,2195.97876,1.000352
sigma_b_log__[8],-2.311273,0.195841,-2.693268,-1.952393,0.002753,0.002051,5054.509129,5151.030364,0.999935
sigma_b_log__[9],-2.585355,0.18072,-2.927635,-2.257699,0.003133,0.001865,3327.941622,4940.949722,1.000693
sigma_b_log__[10],-2.3847,0.177971,-2.710266,-2.039849,0.002404,0.0019,5612.594901,5557.186429,1.000198
sigma_b_log__[11],-2.959897,0.124418,-3.203888,-2.735492,0.0016,0.001203,6050.956625,6262.709773,1.000674
sigma_b_log__[12],-2.708375,0.382866,-3.395693,-2.010225,0.013743,0.006125,762.620183,1342.868791,1.001939
sigma_b_log__[13],-2.473086,0.369584,-3.171819,-1.786818,0.011106,0.005896,1117.035133,2138.119612,1.00318
sigma_b_log__[14],-1.297552,0.120891,-1.529223,-1.082817,0.002329,0.001677,2880.143879,3148.013187,1.000884
sigma_b_log__[15],-2.613683,0.133261,-2.857048,-2.358937,0.001996,0.001542,4497.866807,5507.896005,1.000452
sigma_b_log__[16],-2.86689,0.099487,-3.044374,-2.670274,0.003169,0.001435,985.150578,2048.469313,1.006643
sigma_b_log__[17],-2.25172,0.103374,-2.436853,-2.047078,0.001151,0.001134,8148.904467,6571.65266,1.000264
sigma_b_log__[18],-2.478259,0.110467,-2.673717,-2.263946,0.001225,0.001169,8160.354265,6253.56636,1.00041
sigma_b_log__[19],-2.426894,0.10749,-2.635058,-2.231096,0.001158,0.001199,8786.979025,5867.218733,1.000222
sigma_b_log__[20],-2.794134,0.120119,-3.019645,-2.573621,0.001416,0.001302,7263.449426,6279.25451,1.000686
sigma_b_log__[21],-2.072867,0.109286,-2.286616,-1.87774,0.001746,0.001124,3929.596195,5253.889133,1.00094
sigma_b_log__[22],-2.586031,0.165123,-2.882613,-2.262011,0.003357,0.001784,2422.761278,3742.796745,1.001711
sigma_b_log__[23],-3.117827,0.282019,-3.665932,-2.603259,0.005055,0.002945,3125.458748,4601.594175,1.000412
sigma_b_log__[24],-2.646713,0.100704,-2.826247,-2.449747,0.001129,0.001074,8114.435838,6148.183105,1.000293
sigma_b_log__[25],-2.310527,0.101107,-2.514988,-2.136093,0.001587,0.000984,4070.539591,5367.871597,1.000558
sigma_b_log__[26],-2.975371,0.092035,-3.15415,-2.809278,0.00223,0.000961,1704.478353,3521.410436,1.00325
sigma_b_log__[27],-3.216018,0.121307,-3.438971,-2.987391,0.001337,0.001279,8334.629646,6196.029585,1.000781
sigma_b_log__[28],-3.182157,0.123783,-3.407413,-2.944773,0.001432,0.001231,7486.96558,6404.230114,1.000092
sigma_b_log__[29],-3.120948,0.135285,-3.374236,-2.8663,0.001703,0.001377,6287.4609,6223.566479,1.000804
sigma_b_log__[30],-2.875941,0.132294,-3.133291,-2.638437,0.001703,0.001306,6025.790419,5595.407897,1.000196
sigma_b_log__[31],-3.046611,0.168332,-3.363329,-2.730488,0.004177,0.002452,1698.967661,2303.548988,1.003199
sigma_b_log__[32],-2.682675,0.149181,-2.969008,-2.404678,0.002087,0.001504,5141.36697,6052.903151,1.000223
sigma_b_log__[33],-2.747902,0.16827,-3.065841,-2.431845,0.003866,0.001833,1898.852529,4003.000117,1.001973
sigma_b_log__[34],-2.361186,0.182463,-2.701447,-2.022935,0.002297,0.002009,6247.635097,5938.779125,1.000922
sigma_b_log__[35],-1.850519,0.178574,-2.172504,-1.500879,0.002085,0.001868,7461.112507,6281.755531,1.000236
sigma_b_log__[36],-2.608481,0.215174,-3.023313,-2.221881,0.002978,0.00306,5360.301964,4043.320264,1.00132
sigma_b_log__[37],-2.621172,0.131655,-2.877254,-2.379855,0.001618,0.001309,6648.819305,5849.041637,1.000009
sigma_b_log__[38],-1.869581,0.059922,-1.98233,-1.759592,0.000737,0.000641,6602.451885,6037.102926,1.001246
sigma_b_log__[39],-2.282404,0.164229,-2.588853,-1.974958,0.003826,0.002254,1857.778064,3071.526808,1.00022
sigma_b_log__[40],-2.417601,0.228979,-2.858562,-1.993958,0.004006,0.002819,3311.911152,3180.34182,1.000704
sigma_b_log__[41],-2.269105,0.108301,-2.473043,-2.06347,0.001234,0.001304,7838.068639,5907.756659,1.000004
sigma_b_log__[42],-3.221952,0.157374,-3.509325,-2.92102,0.00212,0.001573,5520.31733,5989.62486,1.00101
sigma_b_log__[43],-2.909733,0.258614,-3.404888,-2.422683,0.005841,0.003598,1971.19579,2481.812536,1.002868
sigma_b_log__[44],-2.774613,0.11536,-2.993037,-2.559376,0.001246,0.001313,8648.032037,6043.643246,1.000381
sigma_b_log__[45],-2.700496,0.111572,-2.912453,-2.493411,0.001213,0.001265,8541.14462,5734.996438,1.000395
tau_CD_log__,0.437847,0.109901,0.223922,0.635457,0.004676,0.002686,561.612526,822.977114,1.007451
sigma_A_log__,-0.375146,0.120501,-0.598335,-0.145935,0.004076,0.002099,882.321121,1320.618935,1.00433
