name,mean,hdi_low,hdi_high,n_obs,is_low_obs
gpt2-xl,-3.0582041543308502,-3.7589423062409058,-2.5071797574056687,3,True
deepseek-coder-1.3b-base,-2.5736493316774087,-2.9526039085552322,-2.240595170319867,3,True
opt-13b,-2.5188987869272212,-2.921658385512891,-2.167228882394216,2,True
davinci,-2.503215127776773,-3.0229837682983765,-2.066449452510312,3,True
gpt-j-6b,-2.5005568785276147,-2.9063517252853064,-2.1232099357341148,2,True
Cerebras-GPT-13B,-2.4983400490485463,-2.90630260302107,-2.141095400875556,2,True
dolly-v2-12b,-2.464572612581235,-2.858571990798426,-2.0977705594935605,2,True
RedPajama-INCITE-7B-Base,-2.459330944377533,-2.853007605831835,-2.103106261316568,2,True
open_llama_7b,-2.3419336035401037,-2.7279819062783015,-1.9872744056715659,2,True
mpt-7b,-2.319645068708473,-2.679974144767768,-2.0102153253645936,4,False
Qwen-1_8B,-2.2593145807448254,-2.618053188677931,-1.9212834785320008,3,True
falcon-7b,-2.2222069581785835,-2.567687301834962,-1.921202136790447,4,False
Mistral-7B-Instruct-v0.1,-2.221249260294428,-2.6099769832443136,-1.8948976771597128,5,False
LLaMA-7B,-2.152123870119231,-2.488049351510356,-1.853510204009646,4,False
xgen-7b-8k-base,-2.1279906479243573,-2.4890935243947325,-1.7904677525166457,2,True
starcoder2-3b,-2.114024055957622,-2.4471335278106543,-1.8041612140329681,3,True
deepseek-coder-6.7b-base,-2.1127184590309915,-2.449311410717266,-1.8066202406359628,3,True
Average Human,-2.108180902567087,-2.4804183503093244,-1.7548006893461001,2,False
phi-1_5,-2.0693085937525115,-2.4306951175053735,-1.7386350015732726,2,True
Baichuan-7B,-2.0381185283248398,-2.373465945696952,-1.7364780509915492,2,True
gemma-2b,-2.001818403018855,-2.322429646496274,-1.7085103657933558,4,False
starcoder2-7b,-1.9831974983349716,-2.306662613206371,-1.681607016284448,3,True
deepseek-coder-33b-base,-1.9399087883420754,-2.271241377016139,-1.6279570773879921,3,True
CodeQwen1.5-7B,-1.9277605908054731,-2.2522024181914397,-1.6340334374310872,3,True
Qwen2.5-Coder-0.5B,-1.9141740741954285,-2.2544451153869374,-1.600469648684244,3,True
Llama-2-7b,-1.8901468535048198,-2.200656320263094,-1.5989668536936534,4,False
text-davinci-001,-1.8407031945116494,-2.1921806617077024,-1.5123174074993768,3,True
mpt-30b,-1.8324593925030883,-2.1310579132278447,-1.556703343367972,4,False
vicuna-13b-v1.1,-1.80791955139325,-2.352665678986571,-1.3497513802462882,2,True
LLaMA-13B,-1.788127391884926,-2.0945942750233444,-1.5096847956864654,4,False
Baichuan-2-7B-Base,-1.7170515490803195,-2.0185702386597186,-1.4301866302156911,3,True
chatglm2-6b,-1.6985300666147896,-1.9926085743247377,-1.4188506179732014,3,True
Baichuan-13B-Base,-1.6702148625248634,-1.9822101552890767,-1.3751165005245678,2,True
INTELLECT-1-Instruct,-1.645759670466473,-1.9415956570712642,-1.3619849549397822,3,True
internlm-chat-20b,-1.6328254754493632,-1.94957174885624,-1.3335388011906728,2,True
Llama-2-13b-chat,-1.619431586793508,-1.9299817261731382,-1.3157468944787913,2,True
internlm-7b,-1.6081138776974075,-1.899163767498976,-1.3096696791505016,3,True
PaLM 62B,-1.6027807169909023,-1.8879881141991204,-1.322769288840274,3,True
Qwen-7B,-1.5983880167771218,-1.9009163083389236,-1.2890683903204065,3,True
falcon-40b,-1.5440772664314748,-1.833636808582231,-1.2579779386321663,4,False
