name,mean,hdi_low,hdi_high,n_obs,is_low_obs
gpt2-xl,60.853969735617206,25.384996595959706,82.59586644369381,3,True
deepseek-coder-1.3b-base,72.67707196566911,45.45217927755848,88.980252890591,3,True
opt-13b,73.94535243177201,46.76654261873994,90.5424822657511,2,True
davinci,74.06205261547709,44.94647115507238,91.32795044163606,3,True
Cerebras-GPT-13B,74.31905975274023,47.564252447600865,90.96946612294543,2,True
gpt-j-6b,74.32488011003579,48.06063753438527,90.94257266449954,2,True
dolly-v2-12b,75.17975771809077,48.366170118756315,91.80841950840168,2,True
RedPajama-INCITE-7B-Base,75.36926810055209,48.957695636161596,91.41875356089953,2,True
open_llama_7b,78.01086853416277,52.421981978926354,93.7951221342459,2,True
mpt-7b,78.45176457692381,53.67965424550861,93.70214902256802,4,False
Qwen-1_8B,80.08769509558167,55.29008203438044,95.08985190140966,3,True
falcon-7b,80.9461469236546,57.195888376012824,95.69880433181847,4,False
Mistral-7B-Instruct-v0.1,81.03382203843448,55.53169542338068,95.98107314861471,5,False
LLaMA-7B,82.57873227104362,59.281092908989855,96.7573362439008,4,False
xgen-7b-8k-base,83.12231971873913,59.922036647925616,97.7281772239655,2,True
deepseek-coder-6.7b-base,83.42817936234408,60.43911722675154,97.54326235525924,3,True
starcoder2-3b,83.52031458210215,60.039195724956656,97.5254448399078,3,True
Average Human,83.61319744807228,59.763502591540814,98.55971703931054,2,False
phi-1_5,84.483746874899,61.25811290616066,98.8745551121916,2,True
Baichuan-7B,85.32919949571442,62.934044018788036,98.77603424562145,2,True
gemma-2b,86.19322981521717,64.24913443922779,99.62694872554677,4,False
starcoder2-7b,86.64983146908742,64.58306989807953,100.05795119317881,3,True
deepseek-coder-33b-base,87.64865852842661,66.56565245882466,100.55719111481304,3,True
CodeQwen1.5-7B,87.83293111358341,66.69342453305504,100.76881076445572,3,True
Qwen2.5-Coder-0.5B,88.18516049360983,66.48607860231049,101.14435712274911,3,True
Llama-2-7b,88.66781454282739,67.96834597462366,101.21372449171085,4,False
text-davinci-001,89.95919818815544,68.69761056374783,102.9367776189365,3,True
mpt-30b,90.10207583960664,70.14521159750662,102.32437579397067,4,False
vicuna-13b-v1.1,90.74847546600463,67.23987159196415,105.15870111366888,2,True
LLaMA-13B,91.18314612218101,70.98130077904295,103.34648139092047,4,False
Baichuan-2-7B-Base,92.8955217378044,73.47401634121948,104.57031505044972,3,True
chatglm2-6b,93.35696454915859,74.00387745304941,105.06866955626857,3,True
Baichuan-13B-Base,94.13144369595707,75.84532838193617,105.62599488214526,2,True
INTELLECT-1-Instruct,94.60875997031894,75.96532103625155,106.0198420971539,3,True
internlm-chat-20b,94.82336635553789,76.24688658684593,106.34830027184098,2,True
