obs_idx,model,benchmark,score,pit
0,Baichuan-2-13B-Base,ARC AI2,0.38,0.03
1,Baichuan-2-7B-Base,ARC AI2,0.325,0.042
2,Cerebras-GPT-13B,ARC AI2,0.324,0.49
3,CodeQwen1.5-7B,ARC AI2,0.357,0.158
4,DeepSeek-Coder-V2-Base,ARC AI2,0.643,0.103
5,DeepSeek-Coder-V2-Lite-Base,ARC AI2,0.573,0.205
6,DeepSeek-V2,ARC AI2,0.922,0.834
7,DeepSeek-V3,ARC AI2,0.953,0.8705
8,INTELLECT-1-Instruct,ARC AI2,0.5452,0.4015
9,LLaMA-13B,ARC AI2,0.527,0.485
10,LLaMA-33B,ARC AI2,0.675,0.582
11,LLaMA-65B,ARC AI2,0.695,0.501
12,LLaMA-7B,ARC AI2,0.476,0.6275
13,Llama-2-13b,ARC AI2,0.603,0.4995
14,Llama-2-34b,ARC AI2,0.545,0.1925
15,Llama-2-70b-hf,ARC AI2,0.783,0.5955
16,Llama-2-7b,ARC AI2,0.459,0.376
17,Llama-3.1-405B,ARC AI2,0.953,0.815
18,Meta-Llama-3-8B-Instruct,ARC AI2,0.828,0.881
19,Mistral-7B-v0.1,ARC AI2,0.786,0.804
20,Mixtral-8x7B-v0.1,ARC AI2,0.873,0.8495
21,Nemotron-4 15B,ARC AI2,0.555,0.2635
22,PaLM 2-L,ARC AI2,0.692,0.266
23,PaLM 2-M,ARC AI2,0.649,0.2995
24,PaLM 2-S,ARC AI2,0.596,0.3275
25,PaLM 540B,ARC AI2,0.852,0.863
26,PaLM 62B,ARC AI2,0.525,0.313
27,Phi-3-medium-128k-instruct,ARC AI2,0.916,0.9605
28,Phi-3-mini-4k-instruct,ARC AI2,0.849,0.8325
29,Phi-3-small-8k-instruct,ARC AI2,0.907,0.8475
30,Qwen-14B,ARC AI2,0.844,0.876
31,Qwen-1_8B,ARC AI2,0.532,0.8465
32,Qwen-7B,ARC AI2,0.753,0.925
33,Qwen2.5-72B,ARC AI2,0.945,0.793
34,Qwen2.5-Coder-0.5B,ARC AI2,0.344,0.134
35,Qwen2.5-Coder-1.5B,ARC AI2,0.452,0.0845
36,Qwen2.5-Coder-14B,ARC AI2,0.66,0.11
37,Qwen2.5-Coder-32B,ARC AI2,0.705,0.1345
38,Qwen2.5-Coder-3B,ARC AI2,0.529,0.0635
39,Qwen2.5-Coder-7B,ARC AI2,0.609,0.129
40,RedPajama-INCITE-7B-Base,ARC AI2,0.391,0.628
41,StableBeluga2,ARC AI2,0.861,0.8625
42,Yi-6B,ARC AI2,0.503,0.1585
43,Yi-9B,ARC AI2,0.556,0.112
44,chatglm2-6b,ARC AI2,0.61,0.66
45,claude-instant-1.1,ARC AI2,0.857,0.731
46,claude-instant-1.2,ARC AI2,0.863,0.733
47,deepseek-coder-1.3b-base,ARC AI2,0.254,0.312
48,deepseek-coder-33b-base,ARC AI2,0.422,0.322
