model,family,release_date,C_mean,C_hdi_low,C_hdi_high,ECI_mean,ECI_hdi_low,ECI_hdi_high
gpt-6-astra_max,gpt-6-astra,2026-09-03,1.572970261903385,1.0755617584641926,2.2784627900831795,170.76936474057013,156.60298396012172,194.6417519543591
claude-fable-5-1_max,claude-fable-5-1,2026-09-01,2.0884790613785693,1.364203818095729,2.8913180820298705,183.00839340926245,162.9269169261135,212.78223531457954
gemini-3.7-flash_high,gemini-3.7-flash,2026-08-13,1.2964769251605412,0.9572357567497677,1.774201762007135,164.35277021964566,153.48854292054324,182.34376132645977
gemini-3.6-flash_high,gemini-3.6-flash,2026-07-21,1.2754638471018578,0.8449411176971944,1.8540527663595594,163.68698362844123,151.74231432300553,183.202050929076
gpt-5.6-sol_unknown,gpt-5.6-sol,2026-07-09,2.2890473938794442,1.7526294499780983,2.817190823709691,187.4227403487322,170.10595715706725,214.30055340855185
claude-fable-5_unknown,claude-fable-5,2026-06-09,1.7865804893878803,0.22899138463280497,2.934414821696725,175.17445262871593,138.60732418143732,211.28324673504378
claude-mythos-5,claude-mythos-5,2026-06-09,2.396302923526844,1.7504916687111358,2.968852211391209,189.93323730008728,170.73446222318427,218.37035952117301
gemini-3.5-flash_high,gemini-3.5-flash,2026-05-19,1.23855898389658,0.8017485776089777,1.8569175448991904,162.84793372348258,150.65629997535265,183.32710439642938
claude-mythos-preview,claude-mythos-preview,2026-04-07,2.4235164145999475,2.0126209212702615,2.92010603468919,190.8939102242201,174.26690691898673,217.50177502685958
claude-mythos-preview-early,claude-mythos-preview-early,2026-04-06,2.4558293259851816,1.512196049256762,3.1018714786722135,190.96414140915417,166.9695331867457,222.08233391390797
gpt-5.4-pro-2026-03-05_xhigh,gpt-5.4-pro@2026-03-05,2026-03-05,1.2759571878450537,0.8394271714240209,1.8470082572863658,163.74179136246448,151.58419518512986,182.5854013618797
gemini-3.1-pro-preview_high,gemini-3.1-pro-preview,2026-02-19,1.2343659069658814,0.9090361516107927,1.648147095378723,162.7101326570882,152.49737119351374,179.06689483597472
claude-opus-4-6_high,claude-opus-4-6,2026-02-05,1.464048852651703,1.116815103317242,1.829783794194298,168.08859562171637,156.64756589618906,185.01243351154906
gpt-5.3-codex,gpt-5.3-codex,2026-02-05,1.185795337187608,0.823746860282257,1.6335467377817767,161.55625020512792,151.00010553785916,177.89613137623556
gemini-3-flash-preview_high,gemini-3-flash-preview,2025-12-17,0.9185493910209532,0.549749663172406,1.3893609916655056,155.23986592638408,145.52468154693744,170.58139644795403
gemini-3-pro-preview,gemini-3-pro-preview,2025-11-18,1.0573595179723143,0.9030693040136689,1.2149625074210992,158.50237172701725,151.30062579875855,169.25386470304827
gpt-5-2025-08-07_thinking,gpt-5@2025-08-07,2025-08-07,0.849676314325012,0.5266839979720507,1.1473107811157754,153.5688332784291,144.75129282210986,165.2099836513361
o3-pro-2025-06-10_high,o3-pro@2025-06-10,2025-06-10,0.810907706164852,0.5513341134100395,1.101035494834675,152.6701150441591,145.0646737637725,164.00858828813486
o3-2025-04-16_high,o3@2025-04-16,2025-04-16,0.624307020152498,0.4492875266055906,0.8047086161063366,148.23124949265718,142.6746578183099,156.03403508930765
gemini-2.5-pro-exp-03-25,gemini-2.5-pro-exp-03-25,2025-03-25,0.46561112649703396,0.27734713590367993,0.6848394041994686,144.44252962432483,139.13605437048494,151.8295770083512
claude-3-7-sonnet-20250219_64K,claude-3-7-sonnet@2025-02-19,2025-02-24,0.3279610908492515,0.07322399366293161,0.6642730949256868,141.19064734384142,134.67050384258968,150.83249867824983
o1-2024-12-17,o1@2024-12-17,2024-12-05,0.34197211214917544,0.030572682943337124,0.7412890665591867,141.49898034443095,133.91825168040307,152.13794052694166
o1-preview-2024-09-12,o1-preview@2024-09-12,2024-09-12,-0.047982696498233196,-0.17078898889400007,0.07707648611830169,132.3425484035409,128.34717773563744,135.92145089596184
o1-mini-2024-09-12_high,o1-mini@2024-09-12,2024-09-12,0.017877295446203756,-0.1886280991270516,0.26027460746174197,133.9257784410328,128.21767909346943,140.24951182795607
claude-3-5-sonnet-20240620,claude-3-5-sonnet@2024-06-20,2024-06-20,-0.3047351608213056,-0.41987883185244074,-0.18704045250377155,126.26020624208789,121.11825459725421,129.87424219539764
gpt-4o-2024-05-13,gpt-4o@2024-05-13,2024-05-13,-0.31391689570615716,-0.4187994791565587,-0.21054123782371637,126.05522255089681,121.23233606856718,129.4390165575608
claude-3-opus-20240229,claude-3-opus@2024-02-29,2024-02-29,-0.4776121490968228,-0.580590312205855,-0.37745795440817415,122.16588743971184,115.79297222281399,126.08575343365672
gpt-4-turbo,gpt-4-turbo,2023-11-06,-0.32961067564333957,-0.6900643978069486,0.048219645785017556,125.67171783428898,115.20467485719979,134.92015429113684
gpt-4-0314,gpt-4-0314,2023-03-14,-0.5476993598551265,-0.7710535551294666,-0.30659465191833707,120.54715317131134,112.1189474046661,126.83076453754683
PaLM 540B,PaLM 540B,2022-04-04,-0.9935872454676983,-1.289780796308978,-0.6600529811118241,109.97651217669969,97.35718711498697,119.24951961711545
text-davinci-002,text-davinci-002,2022-03-15,-1.1102703759370696,-1.3091905893683595,-0.9159561421751452,107.1622501634358,94.73102141347523,115.03216901151497
davinci,davinci,2020-06-11,-2.503215127776773,-3.0229837682983765,-2.066449452510312,74.06205261547709,44.94647115507238,91.32795044163606
gpt2-xl,gpt2-xl,2019-11-05,-3.0582041543308502,-3.7589423062409053,-2.5071797574056687,60.853969735617206,25.384996595959713,82.59586644369381
