,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
D_z[ARC AI2],-1.356746,0.18869,-1.702227,-0.997133,0.005842,0.002937,1025.929877,1659.118927,1.004732
D_z[Aider Polyglot],0.124352,0.060897,0.010305,0.239065,0.00089,0.000705,4722.574602,5651.062422,1.000414
D_z[AudioMultiChallenge],0.226576,0.10738,0.034358,0.443615,0.002329,0.002119,2242.333163,3042.623948,1.001518
D_z[Balrog],0.562559,0.075912,0.420687,0.701513,0.002289,0.001203,1084.956027,1818.419561,1.006058
D_z[BioLP-bench],0.848949,0.118921,0.633274,1.075542,0.003388,0.001653,1206.762323,2174.267952,1.005478
D_z[CL-bench],1.185425,0.147752,0.907074,1.466268,0.005002,0.003071,864.622964,1096.271717,1.007555
D_z[CL-bench Life],1.438353,0.189712,1.086983,1.803321,0.006077,0.003467,956.398116,1374.076421,1.004054
D_z[CTI-REALM],0.204646,0.083601,0.051215,0.366949,0.001675,0.001202,2531.881291,3693.342646,1.001082
D_z[CadEval],0.132378,0.083153,-0.024036,0.292974,0.00111,0.001003,5658.407015,5622.575483,1.000064
D_z[Cybench],0.808318,0.114531,0.596556,1.021084,0.003539,0.001822,1030.188194,1843.68854,1.005131
D_z[CyberGym],-0.059149,0.140004,-0.335821,0.193494,0.002303,0.001905,3748.706284,4524.106663,1.000781
D_z[DeepResearch Bench],0.135273,0.036348,0.068769,0.202794,0.000795,0.000452,2136.334861,3720.478769,1.001333
D_z[ExploitBench],1.525729,0.259475,1.032219,2.017024,0.008838,0.00552,868.350643,799.022838,1.006805
D_z[FrontierSWE v2],1.814557,0.411934,1.081404,2.616099,0.01459,0.00663,772.655645,1301.997655,1.006183
D_z[GBAEval],1.498075,0.433166,0.750851,2.333612,0.01064,0.006639,1724.417261,3338.906308,1.003407
D_z[GDP.pdf],1.159234,0.159861,0.86881,1.467747,0.00508,0.002813,973.59828,1503.203494,1.005901
D_z[GPQA Diamond],-0.43164,0.051627,-0.5262,-0.335261,0.001754,0.001023,854.259475,1247.629308,1.007581
D_z[GPQA Diamond Biology],-0.381078,0.076596,-0.529989,-0.243243,0.00168,0.000886,2059.543002,3772.671253,1.002436
D_z[GPQA Diamond Chemistry],-0.063309,0.053634,-0.163087,0.037431,0.000769,0.000662,4928.73923,4821.972594,1.000325
D_z[GPQA Main Biology],-0.518773,0.082791,-0.675094,-0.365676,0.002195,0.001192,1413.522379,3057.265074,1.004234
D_z[GPQA Main Chemistry],0.004342,0.041412,-0.069437,0.087084,0.000578,0.000475,5139.373481,4965.954457,1.001089
D_z[GSM8K],-1.755817,0.250684,-2.210194,-1.279882,0.007863,0.003774,1005.685258,1915.053404,1.006267
D_z[GSO-Bench],2.071712,0.261255,1.579706,2.570808,0.00868,0.00505,900.523614,1428.090907,1.007928
D_z[InterCode-CTF],-1.066641,0.147136,-1.331604,-0.78041,0.004486,0.002274,1068.817595,2153.623525,1.007297
D_z[Lech Mazur Writing],-0.746799,0.089008,-0.915992,-0.579333,0.003054,0.001696,836.784477,1246.826793,1.00802
D_z[MATH Level 5],-0.996893,0.127698,-1.23125,-0.754176,0.004129,0.002266,935.158127,1518.138729,1.006335
D_z[MMLU],-1.279984,0.145527,-1.547092,-1.003296,0.005246,0.003062,761.166745,1091.209044,1.008984
D_z[MMLU Biology],-0.740054,0.086723,-0.90025,-0.5734,0.003014,0.001772,820.129994,1320.801936,1.007536
D_z[MMLU Chemistry],-0.572193,0.069596,-0.710131,-0.449476,0.002318,0.001342,888.028804,1420.95314,1.00821
D_z[MMLU Pro Biology],-1.415444,0.16452,-1.715826,-1.095959,0.005726,0.003356,816.067056,1243.621047,1.00842
D_z[MMLU Pro Chemistry],-1.076459,0.132487,-1.324382,-0.831503,0.004351,0.002488,909.671442,1553.264794,1.006676
D_z[MMLU-Pro],-0.782262,0.092701,-0.953819,-0.607381,0.003288,0.001875,787.440584,1108.096372,1.00812
D_z[MultiChallenge],0.102283,0.062918,-0.018173,0.220881,0.001003,0.000695,3916.360422,4653.33878,1.000216
D_z[MultiNRC],0.891909,0.115932,0.667822,1.098551,0.003517,0.001975,1069.875187,1716.701592,1.00419
D_z[NL2Bash],-0.828591,0.136046,-1.08653,-0.577793,0.003417,0.001758,1590.166448,2819.650129,1.005129
D_z[OSWorld],-0.008264,0.165322,-0.314206,0.305704,0.001902,0.0025,7977.672209,5571.662435,1.001758
D_z[PostTrainBench v1.1],0.839931,0.195686,0.514479,1.206719,0.004956,0.0045,1597.948748,2339.103639,1.002652
D_z[SEAL Tool Use (Enterprise)],-0.353977,0.065385,-0.477623,-0.233945,0.00165,0.000965,1582.146465,2892.654597,1.002806
D_z[SimpleQA Verified],0.649653,0.092405,0.470463,0.815017,0.002665,0.001423,1186.306864,2385.936509,1.00431
D_z[Terminal Bench 2.0],0.806567,0.135604,0.548618,1.05184,0.003746,0.001805,1293.754148,1993.92004,1.002664
D_z[The Agent Company],0.498508,0.121385,0.264037,0.723929,0.002483,0.001443,2416.998518,4120.84805,1.002165
D_z[TriviaQA],-1.005188,0.151534,-1.298701,-0.731791,0.004311,0.002402,1203.364259,1855.610475,1.002289
D_z[TutorBench],0.147046,0.043743,0.066417,0.232374,0.000801,0.000499,2972.266865,4275.699322,1.001223
D_z[VisualToolBench],2.053808,0.259574,1.561941,2.528138,0.008283,0.004596,972.7489,1547.171864,1.005759
D_z[WMDP Biology],-1.082804,0.130235,-1.328263,-0.844519,0.00435,0.002576,885.721555,1359.760017,1.006762
D_z[WMDP Chemistry],-0.59561,0.078893,-0.734809,-0.439383,0.002469,0.001383,1006.644037,1674.316287,1.005131
"delta_h_log__[0, 0]",0.26431,0.157234,-0.044232,0.538546,0.002665,0.002323,3643.25671,3887.814969,1.000593
"delta_h_log__[1, 0]",0.046341,0.125874,-0.201298,0.271385,0.001851,0.001525,4723.920338,4808.762758,1.001215
"A[ARC AI2, axis1]",1.113472,0.119077,0.886369,1.32756,0.002043,0.001365,3381.324259,3740.095371,1.001067
"A[Aider Polyglot, axis1]",2.471677,0.281595,1.943571,2.989369,0.004936,0.002851,3248.581721,5002.884919,1.000387
"A[AudioMultiChallenge, axis1]",0.567426,0.189459,0.235652,0.923432,0.003814,0.003296,2277.36681,1912.947464,1.000886
"A[Balrog, axis1]",0.92904,0.104439,0.730878,1.124714,0.001357,0.001161,5919.136321,4348.108015,1.001067
"A[BioLP-bench, axis1]",2.543599,0.274609,2.014232,3.055143,0.003766,0.002867,5309.899505,5344.323107,1.000412
"A[CL-bench, axis1]",0.49499,0.119063,0.279356,0.72735,0.002486,0.001618,2259.185124,2380.292552,1.001
"A[CL-bench Life, axis1]",0.475893,0.13751,0.226158,0.73557,0.002958,0.001984,2096.62255,2856.498198,1.001004
"A[CTI-REALM, axis1]",0.58204,0.143884,0.314611,0.846039,0.003336,0.00204,1912.993509,2779.609544,1.001444
"A[CadEval, axis1]",1.728152,0.371886,1.015391,2.420103,0.005184,0.003926,5082.174846,4138.517666,1.000785
"A[Cybench, axis1]",2.407051,0.191924,2.071242,2.793579,0.003424,0.002658,3201.020701,4578.26815,1.000227
"A[CyberGym, axis1]",0.75982,0.161016,0.466732,1.073057,0.002798,0.00207,3322.793364,3469.65358,1.000623
"A[DeepResearch Bench, axis1]",0.165734,0.054355,0.070531,0.266926,0.001073,0.000675,2546.025497,4097.981072,1.00082
"A[ExploitBench, axis1]",1.217495,0.207361,0.803183,1.591671,0.006329,0.004439,1107.410018,978.415001,1.00299
"A[FrontierSWE v2, axis1]",1.339601,0.480448,0.467201,2.196775,0.017518,0.009675,703.106422,904.36688,1.007672
"A[GBAEval, axis1]",1.132889,0.453457,0.351991,1.980639,0.010443,0.006499,1802.220039,2928.476347,1.00193
"A[GDP.pdf, axis1]",0.338017,0.11807,0.137758,0.570699,0.002536,0.00156,2145.882485,3317.585836,1.000485
"A[GPQA Diamond, axis1]",1.51828,0.058636,1.404217,1.625662,0.001227,0.000596,2276.448567,4322.822285,1.000314
"A[GPQA Diamond Biology, axis1]",0.845374,0.167673,0.514393,1.151666,0.002396,0.001745,4834.892216,4516.868027,1.000507
"A[GPQA Diamond Chemistry, axis1]",1.203759,0.137255,0.951109,1.46518,0.002034,0.001536,4559.784653,4376.343177,1.000627
"A[GPQA Main Biology, axis1]",1.026905,0.153293,0.756117,1.344036,0.002081,0.001643,5406.857177,4881.637991,1.000709
"A[GPQA Main Chemistry, axis1]",1.160517,0.104772,0.963559,1.360454,0.001556,0.001103,4532.336633,5420.402431,1.000259
"A[GSM8K, axis1]",2.002625,0.197251,1.629781,2.36983,0.004073,0.002143,2342.635154,3518.499991,1.001273
"A[GSO-Bench, axis1]",1.905298,0.215132,1.507705,2.31712,0.004518,0.002465,2261.717663,3524.926124,1.002285
"A[InterCode-CTF, axis1]",2.521423,0.200033,2.14855,2.895758,0.003107,0.002316,4138.704531,4976.601417,1.001659
"A[Lech Mazur Writing, axis1]",0.602324,0.142337,0.342645,0.87622,0.001891,0.001352,5540.216862,4883.003933,1.001035
"A[MATH Level 5, axis1]",3.225818,0.185831,2.877828,3.567391,0.003445,0.001858,2910.123291,4192.572659,1.000519
"A[MMLU, axis1]",1.165112,0.053258,1.065887,1.265115,0.001187,0.000565,2009.900822,4478.421498,1.003685
"A[MMLU Biology, axis1]",0.558895,0.068267,0.439553,0.698975,0.000902,0.000675,5681.33462,5906.874871,0.999796
"A[MMLU Chemistry, axis1]",0.849081,0.067317,0.723095,0.974672,0.001134,0.000701,3493.453257,4906.119457,1.001141
"A[MMLU Pro Biology, axis1]",1.339219,0.123334,1.105341,1.567554,0.001846,0.001271,4457.269639,4937.320944,1.001191
"A[MMLU Pro Chemistry, axis1]",1.870656,0.13743,1.616215,2.130511,0.002175,0.00139,3978.017655,5915.792825,1.000668
"A[MMLU-Pro, axis1]",1.223133,0.083799,1.074844,1.38747,0.001624,0.00086,2664.453975,4767.792963,1.00185
"A[MultiChallenge, axis1]",0.763928,0.145211,0.485941,1.030112,0.002422,0.001539,3588.00588,3630.727644,1.000678
"A[MultiNRC, axis1]",1.565955,0.153979,1.278077,1.85557,0.002879,0.001669,2858.069993,4284.138101,1.000865
