name,kind,release_date,mean,hdi_low,hdi_high,n_obs,is_low_obs
Baichuan-13B-Base,model,2023-07-11,-1.6702148625248634,-1.9822101552890765,-1.3751165005245678,2,True
Baichuan-2-13B-Base,model,2023-09-06,-1.426279458915389,-1.7182455610500593,-1.1362521593726063,3,True
Baichuan-2-7B-Base,model,2023-09-20,-1.7170515490803195,-2.0185702386597186,-1.4301866302156911,3,True
Baichuan-7B,model,2023-06-01,-2.0381185283248398,-2.373465945696952,-1.7364780509915492,2,True
Baichuan2-13B-Chat,model,2023-09-06,-1.4693777173296043,-1.7755276483034537,-1.1675793991635859,2,True
Cerebras-GPT-13B,model,2023-03-20,-2.4983400490485463,-2.9063026030210697,-2.141095400875556,2,True
Chinchilla (70B),model,2022-03-29,-1.0742636807522934,-1.4278040756808639,-0.677315593874966,2,True
CodeQwen1.5-7B,model,2024-04-15,-1.9277605908054731,-2.2522024181914397,-1.6340334374310872,3,True
DeepSeek-Coder-V2-Base,model,2024-06-17,-0.6778650167090664,-1.156916863900314,0.0007548912545067832,2,True
DeepSeek-Coder-V2-Lite-Base,model,2024-06-13,-1.248917135549568,-1.5382161274537236,-0.9498988619296133,3,True
DeepSeek-R1,model,2025-01-20,0.14353433455124087,0.0316129378418278,0.2603045264318278,18,False
DeepSeek-R1-0528,model,2025-05-28,0.3266161555316579,0.16887530373143414,0.4994174181653217,9,False
DeepSeek-R1-Distill-Llama-70B,model,2025-01-20,-0.05155757989537677,-0.25119967721455044,0.17705741783273066,2,True
DeepSeek-R1-Distill-Qwen-14B,model,2025-01-20,-0.20243070234739952,-0.41175751005271227,0.01301980282681186,2,True
DeepSeek-R1-Distill-Qwen-32B,model,2025-01-20,-0.13801760198850732,-0.41680298659564863,0.14279961057083956,2,True
DeepSeek-V2,model,2024-05-07,-0.48038322747751105,-0.8542398877153661,-0.01416333346608959,3,True
DeepSeek-V3,model,2024-12-26,-0.2047522632812631,-0.31230370658919393,-0.09303483429150695,20,False
DeepSeek-V3-0324,model,2025-03-24,0.005541688349518705,-0.1754858282431563,0.2069828205745736,5,False
DeepSeek-V3.1,model,2025-08-21,0.14460887234281822,-0.01859437907540585,0.3131053349997019,7,False
DeepSeek-V3.2-Exp,model,2025-09-29,0.35606945328845396,0.10211408996223442,0.7116914463548285,2,True
DeepSeek-V3.2-Exp_thinking,model,2025-09-29,0.33206491232499447,-0.00625033545096025,0.6875555101602504,3,True
GLM-4.5-Air,model,2025-07-28,-0.36051000037890346,-0.9070373183849064,0.027095316487837348,2,True
Gopher (280B),model,2021-12-08,-1.3565741141416212,-1.713273137604521,-0.9892119381878381,2,True
Hermes-2-Theta-Llama-3-70B,model,2024-06-20,-0.8101127909927308,-1.0567833373184472,-0.6014642189783299,2,True
INTELLECT-1-Instruct,model,2024-11-29,-1.645759670466473,-1.9415956570712642,-1.3619849549397822,3,True
Inkling_thinking,model,2026-07-15,1.0267102127782977,0.04799912208572068,1.809951301080275,1,True
Inkling_xhigh,model,2026-07-15,0.6373672556685936,0.3043272383702076,1.0277308042555553,3,True
Kimi-K2-Instruct,model,2025-07-12,0.1542115151877133,-0.07610086442515925,0.36868781187649957,5,False
LLaMA-13B,model,2023-02-24,-1.788127391884926,-2.0945942750233444,-1.5096847956864654,4,False
LLaMA-33B,model,2023-02-24,-1.3674538071324105,-1.656138021308359,-1.0761650011158073,4,False
LLaMA-65B,model,2023-02-24,-1.1992529281688293,-1.4801648322548095,-0.8990823937330188,4,False
LLaMA-7B,model,2023-02-24,-2.152123870119231,-2.4880493515103557,-1.853510204009646,4,False
Llama-2-13b,model,2023-07-18,-1.5185675138295176,-1.82449352212109,-1.2364373031390015,4,False
Llama-2-13b-chat,model,2023-07-18,-1.619431586793508,-1.9299817261731382,-1.3157468944787913,2,True
Llama-2-34b,model,2023-07-18,-1.3404942553370485,-1.626478572825232,-1.0492824657693482,4,False
Llama-2-70b-chat,model,2023-07-18,-1.2570576701597145,-1.481738624384078,-1.0634581355829074,4,False
Llama-2-70b-hf,model,2023-07-18,-0.9227146315279445,-1.212810939516063,-0.5900438669516037,4,False
Llama-2-7b,model,2023-07-18,-1.8901468535048198,-2.200656320263094,-1.5989668536936534,4,False
Llama-3.1-405B,model,2024-07-23,-0.1439155334384457,-0.5408012950082157,0.390493238487826,3,True
Llama-3.1-405B-Instruct,model,2024-07-23,-0.44030092120377284,-0.5237246412280774,-0.3587338033117566,50,False
Llama-3.1-70B-Instruct,model,2024-07-23,-0.5573422591026105,-0.6746327516298196,-0.44447747774979,17,False
Llama-3.1-8B-Instruct,model,2024-07-23,-1.0850357742335786,-1.2298932012051582,-0.9509854641826508,17,False
Llama-3.1-Tulu-3-70B-DPO,model,2024-11-21,-0.5502554912049149,-0.7600022008794669,-0.361837390610064,2,True
Llama-3.2-11B-Vision-Instruct,model,2024-09-24,-1.3468819595725114,-1.7136689310677309,-0.9651249050381974,2,True
Llama-3.2-1B-Instruct,model,2024-09-24,-1.2433927695924079,-1.6395433666835588,-0.9323729332448253,2,True
Llama-3.2-90B-Vision-Instruct,model,2024-09-24,-0.5842771419132373,-0.7667119419644916,-0.40818860262402934,4,False
Llama-3.3-70B-Instruct,model,2024-12-06,-0.47410413987739103,-0.6481916125608644,-0.3007005762151451,4,False
Llama-4-Maverick-17B-128E-Instruct,model,2025-04-05,-0.10129520092087899,-0.22442866284011687,0.026110296661179005,16,False
