name,mean,hdi_low,hdi_high,n_obs,is_low_obs
Mixtral-8x7B-Instruct-v0.1,-2.883802669531409,-3.4153889077143025,-2.4225886268602683,4,False
gpt-3.5-turbo-0125,-2.62504655533644,-3.2749044537321805,-2.1090471742038193,3,True
gemini-1.0-pro-001,-2.5565213517360803,-3.030085287937726,-2.1301430928802385,5,False
Llama-3.1-8B-Instruct,-2.460546919336199,-2.866779668680605,-2.0918978944161815,7,False
amazon.nova-micro-v1:0,-2.383374344050312,-2.8722040864181824,-1.9258434685655486,4,False
claude-2.1,-2.2997243426505034,-3.028553125799756,-1.7280546138620927,2,True
Meta-Llama-3-70B-Instruct,-2.2138612191921796,-2.6691278750156306,-1.7874967927862961,4,False
gpt-4-0613,-2.1920936062091174,-2.5559924138808086,-1.863721886628543,6,False
mistral-large-2402,-2.1291451799114625,-2.5506885010288496,-1.7272230470125796,5,False
qwen2-72b-instruct,-2.097657499792941,-2.637573325671312,-1.6203716906028116,2,True
claude-3-sonnet-20240229,-2.0877444943406713,-2.484729419746229,-1.7264443674127354,6,False
gpt-4o-2024-08-06,-2.0288308016561873,-2.473612249026707,-1.6501636656257277,3,True
gpt-4o-mini-2024-07-18,-2.0074259868756688,-2.5681151246273717,-1.5774324432875932,3,True
claude-3-haiku-20240307,-1.9968133716380851,-2.406537439910533,-1.643510656876374,6,False
gpt-4-0314,-1.97251494920696,-2.4657914134721457,-1.5460912920965086,2,True
Llama-4-Scout-17B-16E-Instruct,-1.9457088713509894,-2.370924967117598,-1.5320798751785076,5,False
Llama-3.2-90B-Vision-Instruct,-1.935215595803222,-2.7584564265091247,-1.3283562240619957,2,True
mistral-large-2407,-1.8991073129466485,-2.330206271350071,-1.477440968266517,5,False
gemini-1.5-flash-001,-1.8414131323537197,-2.237560482330505,-1.4624039457661664,5,False
gpt-4-turbo-2024-04-09,-1.8283771800369264,-2.1134933419760067,-1.5573779897707436,8,False
Llama-3.1-70B-Instruct,-1.8130341860923656,-2.176497096515357,-1.4856559264554747,6,False
Llama-3.3-70B-Instruct,-1.7725223517929414,-2.37988165250612,-1.2814577499575066,3,True
qwen2.5-72b-instruct,-1.7575359827742467,-2.221078656378186,-1.358286893742086,3,True
Llama-3.1-405B-Instruct,-1.7192184192945577,-1.9699016684766641,-1.4857329267650279,18,False
amazon.nova-lite-v1:0,-1.7137598790852304,-2.129625867252178,-1.3220580974288507,5,False
mistral-small-2503,-1.6406900063094225,-2.4364382385142975,-1.0297040857731086,2,True
claude-3-opus-20240229,-1.6250570414108703,-1.946529485574158,-1.3188035937397575,8,False
grok-2,-1.6159061699131159,-2.033443562480416,-1.203274409503737,4,False
gemini-1.5-pro-001,-1.5688085363759476,-1.9456111407829395,-1.1971322282708556,5,False
gpt-4o-2024-11-20,-1.5520605911070735,-1.9038204426556316,-1.2432294722797579,8,False
amazon.nova-pro-v1:0,-1.546133267450191,-1.97212643076466,-1.1562040647390448,5,False
