name,mean,hdi_low,hdi_high,n_obs,is_low_obs
Mixtral-8x7B-Instruct-v0.1,105.06073169765435,86.11009684828633,115.14271047593765,4,False
gpt-3.5-turbo-0125,108.71421388887342,90.58357349376466,118.71368764935794,3,True
gemini-1.0-pro-001,109.72115848570365,94.13719131746397,118.64310765654157,5,False
Llama-3.1-8B-Instruct,111.1359616294591,96.56482885019376,119.23574708297463,7,False
amazon.nova-micro-v1:0,112.24058816263232,97.50298060590578,120.88096936474263,4,False
claude-2.1,113.30272078005703,96.32003090854084,123.19027157645813,2,True
Meta-Llama-3-70B-Instruct,114.64952434174876,101.15735614021848,122.55930210542766,4,False
gpt-4-0613,114.92668370878417,102.57985711697755,121.90504417664253,6,False
mistral-large-2402,115.80634714919127,102.72673828661286,123.4208388450125,5,False
qwen2-72b-instruct,116.2019816659116,102.6645238349761,124.39988050429831,2,True
claude-3-sonnet-20240229,116.41317603079699,103.90233397610048,123.52441441283722,6,False
gpt-4o-2024-08-06,117.18970318383927,104.79386981844097,124.32933333851139,3,True
gpt-4o-mini-2024-07-18,117.43849845242814,104.26520328810216,125.18813402852467,3,True
claude-3-haiku-20240307,117.63867307645475,105.63505615112358,124.57909200350599,6,False
gpt-4-0314,118.04404336488639,105.3631563679782,125.3546721209139,2,True
Llama-4-Scout-17B-16E-Instruct,118.41922244286908,106.84219630014914,125.58248742679766,5,False
Llama-3.2-90B-Vision-Instruct,118.52097849533162,102.03542802375594,127.86053077243837,2,True
mistral-large-2407,119.09829507566981,107.76389122319993,126.2685899666203,5,False
gemini-1.5-flash-001,119.91823252461612,108.7412680063029,126.53904174758515,5,False
gpt-4-turbo-2024-04-09,120.09657893368016,110.22226058123013,125.86419688371724,8,False
Llama-3.1-70B-Instruct,120.27937064259913,110.00911008392859,126.39647381097792,6,False
Llama-3.3-70B-Instruct,120.7870466775357,108.35822690985027,128.65063776550838,3,True
qwen2.5-72b-instruct,121.01850513600468,110.3965426907678,127.70245384554367,3,True
Llama-3.1-405B-Instruct,121.58240427697154,112.8897982768598,126.64425055873798,18,False
amazon.nova-lite-v1:0,121.75385719410772,111.3614649151116,128.31124464690396,5,False
mistral-small-2503,122.61668625101143,108.22743942170052,131.83297015026693,2,True
claude-3-opus-20240229,122.86056550070458,114.48951216758492,128.4398552586247,8,False
grok-2,123.15177985278618,113.21777120572696,129.7132287267609,4,False
gemini-1.5-pro-001,123.73417986507935,114.51760107892609,129.81583068488015,5,False
gpt-4o-2024-11-20,123.97310165799243,115.24989088510813,129.3622381644951,8,False
amazon.nova-pro-v1:0,124.04921102655905,114.34462901228765,130.34452708341715,5,False
gpt-5-nano-2025-08-07_minimal,124.72515737857432,114.11216719589278,131.3866709142053,2,True
gpt-4o-2024-05-13,125.20579124099008,116.47618045427207,131.18205352809517,5,False
grok-2-1212,125.32807586844928,113.56329363270234,133.1752833366008,2,True
claude-3-5-haiku-20241022,125.7852578609745,115.55888684481424,132.85036297414007,3,True
gemma-3-12b-it,127.52890434260877,114.73951991310832,136.6437292446769,2,True
gemini-1.5-flash-002,127.58446579719387,117.53062952456887,135.03934997179053,2,True
gpt-4.1-nano-2025-04-14,127.79901653930139,117.37007670985027,135.12238175175247,3,True
gemini-1.5-pro-002,127.9841333248861,118.62533976467786,134.29582587103698,3,True
claude-3-5-sonnet-20240620,128.54261775669153,121.93292544152389,133.51925212614094,7,False
DeepSeek-V3,129.1250759608305,122.5922631645341,134.21613541726748,7,False
qwen3-8b_none,129.1896810136412,114.52793903336597,139.7217172345353,1,True
gemma-3-27b-it,129.22009738906826,116.94911200880568,138.25458383499193,2,True
o3-mini-2025-01-31_low,129.22238483684941,120.64356686129128,135.10535006632594,2,True
gemini-2.5-flash,129.3160283045839,113.9853212235808,140.19234884589775,2,True
Qwen3-32B_none,129.4374404952631,114.99011705657674,140.1903378166367,1,True
gemini-2.0-flash-001,129.43928051142217,120.14627435278769,136.47913829101577,3,True
mistral-medium-2505,129.89534782832084,119.80824010365923,137.0627564983391,2,True
claude-3-5-sonnet-20241022,130.0,130.0,130.0,9,False
Llama-4-Maverick-17B-128E-Instruct,130.05192486421558,123.82824288192438,135.0908065487258,8,False
Qwen3-30B-A3B_none,130.38785394412704,116.48701419824272,141.47813448766126,1,True
qwen3-14b_none,130.44384056213426,116.99387207787701,141.46697833511138,1,True
MiniMax-M3_none,130.65710631093657,117.43662234999641,141.48867853776778,1,True
gpt-5-nano-2025-08-07_low,131.34103341020767,124.44686611620843,136.5268833146361,3,True
gpt-5.4-nano-2026-03-17_none,131.49090699922888,125.22626637987753,136.62915817100082,3,True
magistral-small-2509,131.6123450828025,119.86170616617315,140.9982989271726,2,True
gpt-4.1-2025-04-14,132.11075252633998,126.47605541226139,136.72049807663123,5,False
gpt-5-mini-2025-08-07_minimal,132.2819295399515,125.43627101033933,137.68769980776517,2,True
laguna-m.1,132.35703560317683,120.41543160909822,140.7977323850837,2,True
gpt-4.5-preview-2025-02-27,132.742902638948,127.24193851298145,137.55483449313104,8,False
grok-3,132.91510306544677,123.13288607593829,140.9490866082776,2,True
trinity-large-thinking,132.9252039290281,121.11905525259587,142.0891829948386,2,True
gpt-4.1-mini-2025-04-14,133.04309512219976,127.18472836090143,138.06881256164996,4,False
qwen3.8-27b_medium,133.17305436831904,115.59303604761985,146.19461695630454,1,True
gpt-oss-120b_low,133.22654662019062,116.00754254929679,146.01628620747022,1,True
qwen3.8-27b_low,133.2489340048943,115.63650476079351,145.81064036709964,1,True
gpt-5.1-2025-11-13_none,133.26276878038777,125.41559174272196,139.71195286831167,3,True
grok-4.3_none,133.31598009601976,114.98904047803876,146.08164649732686,1,True
DeepSeek-V3-0324,133.71053400008208,127.44616424135828,139.6929639302929,4,False
claude-3-7-sonnet-20250219,133.78231225858542,128.25587944522408,139.0327301901012,7,False
mistral-medium-2508,134.06781474937316,124.1565288540225,142.54304193057007,2,True
gemini-2.0-flash-thinking-exp-01-21,134.19681234543964,126.51472076350652,140.72506671943535,3,True
glm-4.6,134.24792854560118,120.64657099801046,144.41134322344573,2,True
o1-2024-12-17_low,134.33215111368116,128.27760845483394,139.7396173890211,2,True
o3-pro-2025-06-10,134.3427344945568,118.72288554974465,148.06995707136866,1,True
o1-preview-2024-09-12,134.53358948063737,129.34257715359865,140.19954381005402,7,False
qwen3-coder-next,134.57652136527236,124.58844641155301,143.12894223500234,2,True
gemma-4-26b-a4b,134.91505800749096,125.16596739830838,143.49673960340738,2,True
Inkling_high,134.92238052694148,123.45448566693564,144.78886283636427,1,True
qwen3.5-9B,135.01432237914264,124.49681934285057,144.70238419667587,2,True
gpt-oss-20b_low,135.09928791195213,122.92218167897234,147.36033926913188,1,True
qwen3.8-27b_none,135.644743527208,117.3308467388967,148.92384058479115,1,True
claude-haiku-4-5-20251001,135.7435043485418,128.14221251457852,143.33048321785063,3,True
