obs_idx,model,benchmark,score,pit
0,MiniMax-M2.5,APEX-Agents,0.062,0.3475
1,claude-fable-5,APEX-Agents,0.45,0.355
2,claude-fable-5-1_high,APEX-Agents,0.444,0.3415
3,claude-fable-5-1_unknown,APEX-Agents,0.474,0.579
4,claude-haiku-4-5-20251001_unknown,APEX-Agents,0.089,0.6745
5,claude-opus-4-5-20251101_unknown,APEX-Agents,0.207,0.515
6,claude-opus-4-6_high,APEX-Agents,0.324,0.501
7,claude-opus-4-6_max,APEX-Agents,0.321,0.802
8,claude-opus-4-7_max,APEX-Agents,0.339,0.75
9,claude-opus-4-8_max,APEX-Agents,0.425,0.762
10,claude-opus-5_max,APEX-Agents,0.435,0.3715
11,claude-sonnet-4-20250514_unknown,APEX-Agents,0.093,0.7335
12,claude-sonnet-4-6_high,APEX-Agents,0.237,0.7715
13,claude-sonnet-5_unknown,APEX-Agents,0.325,0.4545
14,deepseek-v3.2,APEX-Agents,0.07,0.337
15,gemini-2.5-flash,APEX-Agents,0.018,0.2045
16,gemini-2.5-pro,APEX-Agents,0.066,0.1595
17,gemini-3-flash-preview,APEX-Agents,0.24,0.7015
18,gemini-3-pro-preview,APEX-Agents,0.315,0.849
19,gemini-3.1-flash-lite,APEX-Agents,0.13,0.7875
20,gemini-3.1-pro-preview,APEX-Agents,0.335,0.784
21,glm-4.6,APEX-Agents,0.04,0.293
22,glm-4.7,APEX-Agents,0.087,0.255
23,glm-5,APEX-Agents,0.172,0.712
24,glm-5.2_unknown,APEX-Agents,0.356,0.604
25,gpt-4o-2024-11-20,APEX-Agents,0.011,0.2
26,gpt-5-2025-08-07_high,APEX-Agents,0.183,0.269
27,gpt-5-2025-08-07_unknown,APEX-Agents,0.183,0.4965
28,gpt-5-codex_high,APEX-Agents,0.201,0.661
29,gpt-5.1-2025-11-13_high,APEX-Agents,0.175,0.6095
30,gpt-5.1-2025-11-13_unknown,APEX-Agents,0.175,0.4645
31,gpt-5.2-2025-12-11_high,APEX-Agents,0.23,0.405
32,gpt-5.2-2025-12-11_xhigh,APEX-Agents,0.344,0.8585
33,gpt-5.3-codex,APEX-Agents,0.318,0.5715
34,gpt-5.4-2026-03-05_unknown,APEX-Agents,0.349,0.734
35,gpt-5.4-2026-03-05_xhigh,APEX-Agents,0.36,0.7125
36,gpt-5.4-mini-2026-03-17_unknown,APEX-Agents,0.246,0.642
37,gpt-5.4-nano-2026-03-17_unknown,APEX-Agents,0.1689999999999999,0.5565
38,gpt-5.5_unknown,APEX-Agents,0.385,0.64
39,gpt-5.5_xhigh,APEX-Agents,0.385,0.397
40,gpt-5.6-sol_max,APEX-Agents,0.399,0.156
41,gpt-5.6-sol_promax,APEX-Agents,0.4,0.2465
42,gpt-5.6-sol_xhigh,APEX-Agents,0.377,0.269
43,gpt-6-astra_unknown,APEX-Agents,0.467,0.2785
44,gpt-oss-120b,APEX-Agents,0.047,0.2455
45,grok-3,APEX-Agents,0.021,0.1155
46,grok-4-0709,APEX-Agents,0.152,0.562
47,grok-4.5_unknown,APEX-Agents,0.342,0.8425
48,grok-4.6_unknown,APEX-Agents,0.412,0.639
49,kimi-k2-thinking,APEX-Agents,0.0409999999999999,0.1165
50,kimi-k2.5,APEX-Agents,0.144,0.5235
51,kimi-k2.6,APEX-Agents,0.189,0.2695
52,kimi-k2.7-code,APEX-Agents,0.276,0.87
53,kimi-k3_unknown,APEX-Agents,0.3929999999999999,0.356
54,muse-spark-1.1,APEX-Agents,0.419,0.7665
55,nemotron-3-ultra,APEX-Agents,0.115,0.4455
56,o1-2024-12-17_high,APEX-Agents,0.011,0.003
57,o3-2025-04-16_high,APEX-Agents,0.172,0.675
58,qwen3.5-plus,APEX-Agents,0.136,0.378
59,DeepSeek-R1,CritPt,0.011,0.576
62,DeepSeek-V3.2-Exp_thinking,CritPt,0.0285714285714286,0.6615
63,Inkling_xhigh,CritPt,0.0542857142857143,0.6525
68,MiniMax-M2.7,CritPt,0.0057142857142857,0.3715
69,MiniMax-M3,CritPt,0.0371428571428571,0.544
71,Qwen3-32B,CritPt,0.0028571428571428,0.1815
73,claude-fable-5-1_high,CritPt,0.302857142857143,0.523
74,claude-fable-5-1_low,CritPt,0.277142857142857,0.6465
75,claude-fable-5-1_max,CritPt,0.297142857142857,0.286
76,claude-fable-5-1_medium,CritPt,0.291428571428571,0.5825
77,claude-fable-5-1_xhigh,CritPt,0.311428571428571,0.8845
78,claude-fable-5_max,CritPt,0.2857142857,0.419
80,claude-opus-4-20250514_unknown,CritPt,0.003,0.1625
81,claude-opus-4-7_max,CritPt,0.12,0.462
82,claude-opus-4-8_max,CritPt,0.208571428571429,0.6195
83,claude-opus-5_high,CritPt,0.282857142857143,0.412
84,claude-opus-5_low,CritPt,0.231428571428571,0.662
85,claude-opus-5_max,CritPt,0.291428571,0.602
86,claude-opus-5_medium,CritPt,0.268571428571429,0.5655
87,claude-opus-5_xhigh,CritPt,0.277142857142857,0.4725
