model,family,release_date,C_mean,C_hdi_low,C_hdi_high,ECI_mean,ECI_hdi_low,ECI_hdi_high
gpt-6-astra_medium,gpt-6-astra,2026-09-03,2.0496648382519043,1.786907279592935,2.3477499233426045,175.05139832267997,162.7747970917999,197.3163031561574
claude-fable-5-1_max,claude-fable-5-1,2026-09-01,1.8454976874891567,1.631311430965406,2.113823325500774,172.2693704285021,161.1232743581078,192.43791721439118
gemini-3.7-flash_unknown,gemini-3.7-flash,2026-08-13,1.0687433375873354,0.6224149502304812,1.4790918912973041,161.05195078202962,151.3932971383098,177.10295709695924
gemini-3.6-flash_unknown,gemini-3.6-flash,2026-07-21,0.7360031089289926,0.14217428000155682,1.213994123751339,156.31029173765893,146.31553302261955,170.95916033414485
gpt-5.6-sol_max,gpt-5.6-sol,2026-07-09,1.6371238536700412,1.4731049853818194,1.822774135071815,169.14931107251036,158.8035364538278,187.98930746612223
claude-fable-5_unknown,claude-fable-5,2026-06-09,1.8055869965843074,1.2964597821782584,2.3288045501391537,171.5510929533985,158.90930786805106,193.2419450890592
gemini-3.5-flash_high,gemini-3.5-flash,2026-05-19,0.7819405072211121,0.6412804462843039,0.927291130227781,156.94728988519725,149.87797573032523,169.39106944027412
gpt-5.4-pro-2026-03-05_xhigh,gpt-5.4-pro@2026-03-05,2026-03-05,1.2974564231037726,1.1336569676630706,1.4902151689262864,164.30991939021533,155.34042766373886,180.80344031089749
gemini-3.1-pro-preview,gemini-3.1-pro-preview,2026-02-19,0.870892834630591,0.7242356241194776,1.0427748987189132,158.2663663998277,150.90597765342736,171.3698956310283
claude-opus-4-6_high,claude-opus-4-6,2026-02-05,1.0514830175547676,0.6146354422939789,1.4805539814141293,160.80273388173742,151.14606390761872,177.02556188646608
gpt-5.3-codex_xhigh,gpt-5.3-codex,2026-02-05,1.068624879036371,0.41538002304560634,1.856076169958682,161.16944314086803,149.66312479233952,180.2546787431733
gemini-3-flash-preview_high,gemini-3-flash-preview,2025-12-17,0.7602124058809747,-0.003449517664597789,1.8634455055123127,156.77289439619523,144.7570573682057,177.5893324681119
gemini-3-pro-preview,gemini-3-pro-preview,2025-11-18,0.6882465516280729,0.46574184360085813,0.8943219490739901,155.57901254463462,148.71570461485652,167.72556725749587
gpt-5-2025-08-07_high,gpt-5@2025-08-07,2025-08-07,0.5589435717972066,0.40785742618568716,0.6966048498789056,153.8352796899829,147.39041338716933,164.62259756832148
gpt-5-pro-2025-10-06_unknown,gpt-5-pro@2025-10-06,2025-08-07,0.7159611996465625,0.3919864577300392,1.0374025605208435,156.04297173297078,148.10794784247796,169.06767233605146
o3-pro-2025-06-10_high,o3-pro@2025-06-10,2025-06-10,0.23123032780498004,-0.4251018513176359,0.9201951904802602,149.17233653600655,139.06315965905824,163.18444807648876
o3-2025-04-16_high,o3@2025-04-16,2025-04-16,0.11137853092816269,-0.0606153595302651,0.27758824897307305,147.48185275856517,142.47225056027614,155.59092051915528
gemini-2.5-pro-exp-03-25,gemini-2.5-pro-exp-03-25,2025-03-25,-0.0678842000175962,-0.5147735466718903,0.2721980113452759,144.8453191507839,137.94056619646182,153.63870179227908
claude-3-7-sonnet-20250219_64K,claude-3-7-sonnet@2025-02-19,2025-02-24,-0.3836922306148306,-1.131230456736521,0.5234143794822903,140.45340721327585,129.51588041832656,155.54259650921745
o1-2024-12-17_high,o1@2024-12-17,2024-12-05,-0.5648704256503766,-0.83990960740496,-0.33950006416961687,137.87492980438913,133.01462637894062,143.26635711548082
o1-preview-2024-09-12,o1-preview@2024-09-12,2024-09-12,-0.8038083593633666,-1.1053186362005039,-0.5006101960146858,134.53358948063737,129.34257715359868,140.19954381005402
o1-mini-2024-09-12_high,o1-mini@2024-09-12,2024-09-12,-0.6149881398529347,-1.3893352290784133,0.19107008880700277,137.16584841815452,125.18678927339957,150.16182431882388
claude-3-5-sonnet-20240620,claude-3-5-sonnet@2024-06-20,2024-06-20,-1.224473334377533,-1.5281142070820082,-0.9382508401327913,128.54261775669153,121.93292544152389,133.51925212614094
gpt-4o-2024-05-13,gpt-4o@2024-05-13,2024-05-13,-1.467421174460343,-1.8405521601628458,-1.1034108300777261,125.20579124099008,116.47618045427207,131.18205352809517
claude-3-opus-20240229,claude-3-opus@2024-02-29,2024-02-29,-1.6250570414108703,-1.946529485574158,-1.3188035937397575,122.86056550070458,114.48951216758492,128.4398552586247
gpt-4-0314,gpt-4-0314,2023-03-14,-1.97251494920696,-2.4657914134721457,-1.5460912920965086,118.04404336488639,105.3631563679782,125.3546721209139
