,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_b_log__[0],-2.70544,0.128951,-2.940662,-2.455175,0.002131,0.001214,3663.8284,5264.195622,1.001547
sigma_b_log__[1],-2.464265,0.075616,-2.61218,-2.326826,0.001116,0.000753,4589.851086,5569.18742,0.999986
sigma_b_log__[2],-2.114093,0.101418,-2.301627,-1.922749,0.001614,0.001022,3972.014338,4877.531199,1.000822
sigma_b_log__[3],-2.742382,0.120865,-2.96784,-2.518174,0.001615,0.001216,5638.638818,5436.039875,1.00039
sigma_b_log__[4],-2.700155,0.232297,-3.143528,-2.270554,0.00492,0.002619,2227.391902,4050.041955,1.001268
sigma_b_log__[5],-2.7019,0.146887,-2.969651,-2.421152,0.003159,0.001589,2192.160271,3769.13038,1.000745
sigma_b_log__[6],-3.124811,0.217986,-3.54051,-2.723869,0.007881,0.004583,768.84184,1464.923319,1.001762
sigma_b_log__[7],-2.07307,0.195528,-2.429627,-1.709927,0.002515,0.002329,6229.710599,5031.805618,1.000264
sigma_b_log__[8],-3.089466,0.188218,-3.430018,-2.728153,0.004492,0.002418,1778.744882,3015.667883,1.000808
sigma_b_log__[9],-2.462072,0.119177,-2.686947,-2.243383,0.001292,0.001199,8494.851954,6369.112187,1.000197
sigma_b_log__[10],-3.130161,0.13153,-3.383879,-2.889548,0.001452,0.001361,8250.854257,6401.627589,1.000952
sigma_b_log__[11],-2.751941,0.130454,-2.986253,-2.499821,0.001475,0.001309,7802.568447,6515.129191,1.000609
sigma_b_log__[12],-3.091737,0.157825,-3.379771,-2.78444,0.002222,0.001461,5042.03483,6057.62204,1.000052
sigma_b_log__[13],-2.478024,0.138391,-2.736494,-2.21511,0.001861,0.001342,5545.831399,6105.881711,1.000766
sigma_b_log__[14],-3.14457,0.173763,-3.467873,-2.820961,0.003031,0.002007,3343.6993,4429.52504,1.000557
sigma_b_log__[15],-2.768703,0.214448,-3.16025,-2.353157,0.00342,0.002369,3978.504497,4999.716386,1.001286
sigma_b_log__[16],-1.896174,0.065176,-2.021406,-1.775825,0.001188,0.000615,3024.48696,4679.124665,1.000586
sigma_b_log__[17],-1.721399,0.102455,-1.912464,-1.527199,0.001683,0.000986,3716.013472,5246.473889,1.000384
sigma_b_log__[18],-3.013592,0.233136,-3.443639,-2.564258,0.003808,0.002197,3751.821068,5380.636161,1.000888
sigma_b_log__[19],-2.294679,0.17661,-2.647142,-1.984215,0.003122,0.001682,3199.953246,5271.476688,1.000191
sigma_b_log__[20],-2.538205,0.081378,-2.691718,-2.386596,0.001329,0.000797,3760.566383,4807.153142,1.000739
tau_CD_log__,0.619136,0.154561,0.341189,0.91364,0.006549,0.004145,561.111567,740.240272,1.004756
sigma_A_log__,-0.671869,0.160174,-0.979869,-0.385388,0.005371,0.003117,881.808429,1448.035899,1.003979
"theta_t_zerosum__[0, 0]",0.157444,0.119412,-0.07946,0.371428,0.001443,0.001834,7146.487191,4464.245932,1.001667
"theta_t_zerosum__[0, 1]",-0.639863,0.148371,-0.910381,-0.354724,0.001464,0.001742,10285.382966,5428.632998,1.000144
"theta_t_zerosum__[0, 2]",-0.448723,0.187992,-0.79573,-0.089648,0.001818,0.002344,10732.729353,5804.742873,1.000799
"theta_t_zerosum__[0, 3]",-1.146091,0.157152,-1.444506,-0.856596,0.001574,0.001803,9969.381974,5561.414356,1.000151
"theta_t_zerosum__[0, 4]",-0.822037,0.180109,-1.175923,-0.499303,0.001738,0.002189,10846.463924,5777.39907,1.00039
"theta_t_zerosum__[0, 5]",-0.364103,0.303927,-0.950109,0.175165,0.002821,0.004016,11718.515056,5684.927041,1.000806
"theta_t_zerosum__[0, 6]",0.851195,0.315235,0.26489,1.447299,0.00407,0.003458,6136.721385,5757.457247,1.00007
"theta_t_zerosum__[0, 7]",-0.427388,0.406959,-1.199079,0.335475,0.004303,0.006656,9788.686328,4949.137998,0.999943
"theta_t_zerosum__[0, 8]",0.708126,0.456043,-0.15863,1.539761,0.005236,0.006171,8723.017674,5109.358732,1.00074
"theta_t_zerosum__[0, 9]",-0.618234,0.336535,-1.251065,-0.032118,0.00434,0.004533,6731.128354,4857.019738,1.000756
"theta_t_zerosum__[0, 10]",-0.744961,0.344376,-1.381621,-0.093043,0.00329,0.004855,11314.078642,5006.213314,1.000293
"theta_t_zerosum__[0, 11]",0.176834,0.094633,-0.007027,0.35417,0.001104,0.001196,7331.582579,5301.445256,1.000254
"theta_t_zerosum__[0, 12]",-1.67839,0.124724,-1.917251,-1.449523,0.001469,0.001385,7203.702314,5458.58131,0.999986
"theta_t_zerosum__[0, 13]",-1.775567,0.17769,-2.097557,-1.43235,0.001783,0.001966,9983.770089,6138.593192,1.001467
"theta_t_zerosum__[0, 14]",-2.420325,0.198015,-2.788055,-2.047405,0.002134,0.002183,8697.869405,5814.823427,1.000383
"theta_t_zerosum__[0, 15]",-1.916777,0.359783,-2.61597,-1.26004,0.003832,0.004656,9508.693347,5085.288957,0.999755
"theta_t_zerosum__[0, 16]",-1.743646,0.281343,-2.297481,-1.248759,0.00285,0.003274,10108.299537,5479.152488,1.000194
"theta_t_zerosum__[0, 17]",-1.07966,0.153312,-1.37,-0.789201,0.001592,0.001875,9349.646562,5644.709935,1.000414
"theta_t_zerosum__[0, 18]",-1.904487,0.214198,-2.306608,-1.512156,0.002151,0.002413,9872.996738,6629.245659,1.00036
"theta_t_zerosum__[0, 19]",-2.173635,0.223709,-2.595966,-1.752695,0.002287,0.002746,9635.959452,5875.764576,0.999884
"theta_t_zerosum__[0, 20]",-0.513771,0.343651,-1.147318,0.115251,0.003789,0.004564,8811.149647,5674.612246,1.001001
"theta_t_zerosum__[0, 21]",-0.527348,0.265398,-1.034119,-0.033261,0.002586,0.003251,10672.63282,5732.09331,1.001514
"theta_t_zerosum__[0, 22]",0.054043,0.180775,-0.274811,0.396228,0.002186,0.001986,6883.995479,5927.640852,1.000027
"theta_t_zerosum__[0, 23]",-1.049077,0.391594,-1.812211,-0.339924,0.003764,0.005231,11129.887281,5077.433087,1.000034
"theta_t_zerosum__[0, 24]",-2.84797,0.251962,-3.32001,-2.370563,0.002987,0.002797,7210.206125,5574.743883,1.000905
"theta_t_zerosum__[0, 25]",-0.260852,0.200468,-0.622736,0.130035,0.001933,0.002447,10968.218889,5476.522536,1.000347
"theta_t_zerosum__[0, 26]",-0.620289,0.255224,-1.112187,-0.160636,0.002411,0.003243,11275.553132,5870.981911,1.000009
"theta_t_zerosum__[0, 27]",-1.072009,0.399216,-1.870224,-0.345484,0.004037,0.005538,10262.759489,5083.760804,1.000375
"theta_t_zerosum__[0, 28]",-0.388293,0.296974,-0.962184,0.146047,0.002849,0.003813,11282.495496,5638.396551,1.000449
"theta_t_zerosum__[0, 29]",-1.138839,0.40368,-1.961032,-0.440253,0.004317,0.005401,9094.633247,5279.522742,1.00028
"theta_t_zerosum__[0, 30]",-1.671054,0.206301,-2.082545,-1.307269,0.002069,0.002483,9982.194556,6178.10923,1.001065
"theta_t_zerosum__[0, 31]",-2.343846,0.241169,-2.775687,-1.870555,0.00243,0.002689,9868.705439,6382.805978,1.001495
"theta_t_zerosum__[0, 32]",-1.507055,0.210783,-1.91318,-1.12396,0.002374,0.002392,7994.732655,5575.230747,0.999965
"theta_t_zerosum__[0, 33]",-2.276874,0.336951,-2.931687,-1.690495,0.00375,0.004176,8633.049811,5270.794163,0.999989
"theta_t_zerosum__[0, 34]",-1.388388,0.25504,-1.874723,-0.921069,0.002519,0.002963,10394.223287,6310.796124,1.000457
"theta_t_zerosum__[0, 35]",-1.185083,0.151053,-1.47501,-0.905927,0.001661,0.001734,8269.801171,5886.906052,1.000009
"theta_t_zerosum__[0, 36]",-1.083249,0.130997,-1.324586,-0.836709,0.001305,0.001579,10119.286319,5422.619702,1.000476
"theta_t_zerosum__[0, 37]",-0.816577,0.153177,-1.109814,-0.541263,0.001726,0.001558,7879.387486,6546.066189,1.00036
"theta_t_zerosum__[0, 38]",-0.420869,0.170937,-0.739256,-0.097389,0.001769,0.002044,9364.820961,5997.604493,1.00073
"theta_t_zerosum__[0, 39]",-0.419771,0.407705,-1.164236,0.333393,0.004466,0.008139,9623.06401,4854.893838,1.001347
"theta_t_zerosum__[0, 40]",-0.322946,0.415398,-1.131333,0.42722,0.004474,0.007191,9575.362578,5031.591559,1.00067
"theta_t_zerosum__[0, 41]",-0.642801,0.255328,-1.131225,-0.171283,0.002869,0.003336,8606.262695,4903.816402,1.000044
"theta_t_zerosum__[0, 42]",-1.962581,0.196383,-2.337057,-1.601532,0.00232,0.002147,7308.469382,6214.051095,0.9998
"theta_t_zerosum__[0, 43]",-1.583367,0.161453,-1.885548,-1.279417,0.00194,0.001838,6948.87377,5545.3996,1.000429
"theta_t_zerosum__[0, 44]",-2.049414,0.195399,-2.420155,-1.691972,0.002132,0.002222,8532.773656,5680.504753,1.000463
"theta_t_zerosum__[0, 45]",1.728449,0.220195,1.316312,2.139147,0.002777,0.002464,6305.537844,5864.787357,1.000035
"theta_t_zerosum__[0, 46]",1.723972,0.176918,1.399964,2.062195,0.001806,0.002346,9626.654403,5514.667295,1.000665
"theta_t_zerosum__[0, 47]",1.492755,0.323341,0.892055,2.096371,0.003763,0.005041,8244.068963,5054.738736,1.000343
"theta_t_zerosum__[0, 48]",1.897259,0.124122,1.657561,2.122436,0.0021,0.001446,3594.466872,4720.573752,1.00059
"theta_t_zerosum__[0, 49]",1.613861,0.220941,1.212702,2.051161,0.002262,0.003046,9713.825942,5011.398535,1.001323
"theta_t_zerosum__[0, 50]",1.628498,0.24602,1.165247,2.088644,0.00246,0.002883,10011.557652,5737.448149,1.000064
"theta_t_zerosum__[0, 51]",1.372084,0.17594,1.043919,1.697227,0.002345,0.001979,5725.159353,5443.230352,1.000768
"theta_t_zerosum__[0, 52]",1.776761,0.182527,1.431841,2.118374,0.002128,0.002069,7487.771973,5541.095548,0.999982
"theta_t_zerosum__[0, 53]",1.111583,0.336477,0.498223,1.769203,0.003291,0.003871,10713.717347,5883.714266,1.000623
"theta_t_zerosum__[0, 54]",1.764763,0.109541,1.56722,1.973579,0.001827,0.001264,3642.411966,4625.041538,1.000398
"theta_t_zerosum__[0, 55]",1.222648,0.454831,0.323328,2.048553,0.005481,0.006084,7127.422529,4506.854743,1.000374
"theta_t_zerosum__[0, 56]",1.85259,0.259282,1.383605,2.37308,0.003511,0.003453,5595.769352,4436.852525,1.000842
