name,kind,release_date,mean,hdi_low,hdi_high,n_obs,is_low_obs
DeepSeek-R1,model,2025-01-20,-0.6819979745507933,-0.9752825060725302,-0.39988452138658853,8,False
DeepSeek-R1-0528,model,2025-05-28,-0.4963162060977518,-0.8584232553779637,-0.12177680724631647,3,True
DeepSeek-V3,model,2024-12-26,-1.187919848136615,-1.4996612472783601,-0.8861167212479926,7,False
DeepSeek-V3-0324,model,2025-03-24,-0.8636437821761194,-1.2148017267154596,-0.5140526912974156,4,False
DeepSeek-V3.2-Exp_thinking,model,2025-09-29,-0.3996743543650792,-1.0037033085808078,0.1706770603653171,2,True
Inkling,model,2026-07-15,-0.6266057193095271,-1.412947288763246,-0.10048998845516224,2,True
Inkling_high,model,2026-07-15,-0.7762602782256063,-1.4945630858265118,-0.1465076633883843,1,True
Inkling_xhigh,model,2026-07-15,0.13500139054966775,-0.057234262709426435,0.3161535813685864,5,False
Llama-3.1-405B-Instruct,model,2024-07-23,-1.7192184192945577,-1.9699016684766641,-1.4857329267650279,18,False
Llama-3.1-70B-Instruct,model,2024-07-23,-1.8130341860923656,-2.176497096515357,-1.4856559264554747,6,False
Llama-3.1-8B-Instruct,model,2024-07-23,-2.460546919336199,-2.866779668680605,-2.0918978944161815,7,False
Llama-3.2-90B-Vision-Instruct,model,2024-09-24,-1.935215595803222,-2.7584564265091247,-1.3283562240619957,2,True
Llama-3.3-70B-Instruct,model,2024-12-06,-1.7725223517929414,-2.37988165250612,-1.2814577499575066,3,True
Llama-4-Maverick-17B-128E-Instruct,model,2025-04-05,-1.1215659113164942,-1.4309113187695979,-0.827151919699227,8,False
Llama-4-Scout-17B-16E-Instruct,model,2025-04-05,-1.9457088713509894,-2.370924967117598,-1.5320798751785076,5,False
Meta-Llama-3-70B-Instruct,model,2024-04-18,-2.2138612191921796,-2.6691278750156306,-1.7874967927862961,4,False
MiniMax-M2.5,model,2026-02-12,-0.5379631182931122,-1.2951996825149514,0.04406152895391588,2,True
MiniMax-M2.7,model,2026-03-18,-0.5600339989865087,-1.1323171275937407,-0.07496897058014225,3,True
MiniMax-M3,model,2026-06-01,0.014138439454512739,-0.3493607803879493,0.35318064180863484,6,False
MiniMax-M3_none,model,2026-06-01,-1.075934051286102,-1.8885071547196925,-0.357652122846015,1,True
Mixtral-8x7B-Instruct-v0.1,model,2023-12-11,-2.883802669531409,-3.4153889077143025,-2.4225886268602683,4,False
Qwen3-235B-A22B-Thinking-2507,model,2025-07-25,-0.29866905775045827,-0.7143976017906744,0.0706833236746384,3,True
Qwen3-30B-A3B,model,2025-04-29,-0.657343602135366,-1.1745285151627798,-0.17758520686845838,2,True
Qwen3-30B-A3B_none,model,2025-04-29,-1.0971613064979002,-1.9610016634940584,-0.35453848512967173,1,True
Qwen3-32B,model,2025-04-29,-0.42536561696870445,-1.0351287282398074,0.1257967771284586,2,True
Qwen3-32B_none,model,2025-04-29,-1.1664930107068399,-2.030858336097222,-0.4259572503244779,1,True
amazon.nova-lite-v1:0,model,2024-12-03,-1.7137598790852304,-2.1296258672521775,-1.3220580974288507,5,False
amazon.nova-micro-v1:0,model,2024-12-03,-2.383374344050312,-2.8722040864181824,-1.9258434685655486,4,False
amazon.nova-pro-v1:0,model,2024-12-03,-1.546133267450191,-1.97212643076466,-1.1562040647390448,5,False
claude-2.1,model,2023-11-21,-2.2997243426505034,-3.028553125799756,-1.7280546138620927,2,True
claude-3-5-haiku-20241022,model,2024-10-22,-1.4218583495335713,-1.957132097433599,-0.9589016461112246,3,True
claude-3-5-sonnet-20240620,model,2024-06-20,-1.224473334377533,-1.5281142070820082,-0.9382508401327913,7,False
claude-3-5-sonnet-20241022,model,2024-10-22,-1.1266926592901818,-1.3862070310146788,-0.8770931879460602,9,False
claude-3-7-sonnet-20250219,model,2025-02-24,-0.8591499186554208,-1.1588075717829494,-0.568853948616514,7,False
claude-3-7-sonnet-20250219_16K,model,2025-02-24,-0.4630299304048321,-0.7980551153976517,-0.13676804051577046,6,False
claude-3-7-sonnet-20250219_32K,model,2025-02-24,-0.47211167094673767,-1.2218701213912142,0.35845042756603773,1,True
claude-3-7-sonnet-20250219_64K,model,2025-02-24,-0.3836922306148306,-1.131230456736521,0.5234143794822903,1,True
claude-3-7-sonnet-20250219_unknown,model,2025-02-24,-0.6702975999623844,-1.241566162137892,-0.22335806195266572,2,True
claude-3-haiku-20240307,model,2024-03-07,-1.9968133716380851,-2.4065374399105326,-1.643510656876374,6,False
claude-3-opus-20240229,model,2024-02-29,-1.6250570414108703,-1.946529485574158,-1.3188035937397575,8,False
claude-3-sonnet-20240229,model,2024-02-29,-2.0877444943406713,-2.484729419746229,-1.7264443674127354,6,False
claude-fable-5,model,2026-06-09,1.6859129480767132,1.2452143147021606,2.1050981017151256,3,True
claude-fable-5-1_high,model,2026-09-01,1.6777077999752108,1.3400177420642179,2.0315280935828337,3,True
claude-fable-5-1_low,model,2026-09-01,1.4719010338638379,0.7299220530921475,2.018574371604588,1,True
claude-fable-5-1_max,model,2026-09-01,1.8454976874891567,1.631311430965406,2.113823325500774,6,False
claude-fable-5-1_medium,model,2026-09-01,1.574958954820845,1.1266533315022826,1.9972835973240626,2,True
claude-fable-5-1_unknown,model,2026-09-01,1.5884609522372561,1.106328768827756,2.069116715121934,2,True
claude-fable-5-1_xhigh,model,2026-09-01,1.323036339385346,1.0070135726004341,1.693829596851826,2,True
claude-fable-5_high,model,2026-06-09,1.726754683828768,1.3921683095784985,2.108391557174948,5,False
claude-fable-5_low,model,2026-06-09,1.055951229780432,0.43967814134605493,1.7639759098877787,2,True
claude-fable-5_max,model,2026-06-09,1.715301000275225,1.526265683481188,1.9484642016215905,7,False
claude-fable-5_medium,model,2026-06-09,1.1796922986449065,0.2710306994270994,2.0886935228983647,1,True
claude-fable-5_unknown,model,2026-06-09,1.8055869965843074,1.2964597821782584,2.3288045501391537,2,True
claude-fable-5_xhigh,model,2026-06-09,1.3350801592518433,0.4523802113390806,2.2451443429322735,1,True
claude-haiku-4-5-20251001,model,2025-10-15,-0.7176111749657361,-1.2089072898807307,-0.26445715945036585,3,True
claude-haiku-4-5-20251001_16K,model,2025-10-15,-0.30903640590436476,-0.9765918030830287,0.3348328358529941,1,True
claude-haiku-4-5-20251001_32K,model,2025-10-15,-0.19135395853363557,-0.9148074273628326,0.7566705450678303,1,True
claude-haiku-4-5-20251001_unknown,model,2025-10-15,-0.6513565319435326,-1.4822343019153674,-0.06979459329928966,2,True
claude-opus-4-1-20250805,model,2025-08-05,-0.3154368870761836,-0.7800214351379018,0.1277998704947072,3,True
claude-opus-4-1-20250805_16K,model,2025-08-05,-0.06938836124193232,-0.4590607737214792,0.31460327493546336,3,True
claude-opus-4-1-20250805_27K,model,2025-08-05,-0.13366528224758906,-0.8625014898927224,0.8673510996745082,1,True
claude-opus-4-1-20250805_32K,model,2025-08-05,-0.5565821250695158,-0.8807110905035133,-0.28847377619543535,2,True
claude-opus-4-1-20250805_unknown,model,2025-08-05,-0.3311292907791499,-0.8131822481868336,0.07726527321614163,2,True
claude-opus-4-20250514,model,2025-05-22,-0.7244637500968332,-1.4976211790320055,0.07659233010516887,1,True
claude-opus-4-20250514_16K,model,2025-05-22,-0.2083038339804457,-0.5855315951814989,0.173380033980285,3,True
claude-opus-4-20250514_27K,model,2025-05-22,-0.24184003098755563,-0.9708373677570517,0.6795422482780549,1,True
claude-opus-4-20250514_unknown,model,2025-05-22,-0.3718832707986698,-0.7092189865717583,-0.06775806312555352,4,False
claude-opus-4-5-20251101,model,2025-11-24,0.3491126198970673,-0.2072406917112917,0.8774323449032958,3,True
claude-opus-4-5-20251101_16K,model,2025-11-24,0.5599010782966274,0.1563106609812154,0.9930043442849257,3,True
claude-opus-4-5-20251101_32K,model,2025-11-24,0.11336697480964703,-0.08341280957974018,0.2948595541637405,3,True
claude-opus-4-5-20251101_high,model,2025-11-24,0.3612261472935122,-0.5927921162985539,1.3241113571204097,1,True
claude-opus-4-5-20251101_thinking,model,2025-11-24,0.4734551279540238,-0.814182851211543,1.2344449306254366,1,True
claude-opus-4-5-20251101_unknown,model,2025-11-24,0.46861625665284456,0.19762229991971875,0.7350373343285994,5,False
claude-opus-4-6,model,2026-02-05,0.20874557529571833,-0.09288773267409049,0.514904751588169,4,False
claude-opus-4-6_32K,model,2026-02-05,0.625119493438044,-0.12148076352123789,1.6854071339599606,1,True
claude-opus-4-6_64K,model,2026-02-05,0.6886923671124832,-0.036707884318956455,1.7385534862342231,1,True
claude-opus-4-6_high,model,2026-02-05,1.0514830175547676,0.6146354422939789,1.4805539814141293,2,True
claude-opus-4-6_max,model,2026-02-05,0.7807224934203656,0.6359950965143775,0.9120468515528306,8,False
claude-opus-4-6_unknown,model,2026-02-05,0.8464197658768666,0.4988072085005034,1.2049622715411292,4,False
claude-opus-4-7,model,2026-04-16,0.9986928023857622,0.3490697213459965,1.7678470019436847,1,True
claude-opus-4-7_high,model,2026-04-16,0.9961168525367381,0.3487958531243261,1.7626776708199252,1,True
claude-opus-4-7_max,model,2026-04-16,0.9267491924895372,0.7847260266160718,1.0742121051163613,9,False
claude-opus-4-7_unknown,model,2026-04-16,0.9173337728037523,0.627075651062298,1.224986583991731,3,True
claude-opus-4-7_xhigh,model,2026-04-16,0.9275627843684788,0.18655424655143002,1.9758638735687333,1,True
claude-opus-4-8_high,model,2026-05-28,1.1242106669389695,0.5655589291833437,1.7294907664844001,2,True
claude-opus-4-8_low,model,2026-05-28,0.7388711366768356,0.18927728051255038,1.3923811805927726,2,True
claude-opus-4-8_max,model,2026-05-28,1.2470050859275668,1.0994224725480353,1.4066750931689775,9,False
claude-opus-4-8_medium,model,2026-05-28,0.9148983556494639,0.38968683603597326,1.4909116213785334,2,True
claude-opus-4-8_none,model,2026-05-28,0.5911228459799485,0.17377855782960844,1.0570983821541597,3,True
claude-opus-4-8_unknown,model,2026-05-28,1.3174794821256977,0.7753673416498076,1.7977998175125995,2,True
claude-opus-4-8_xhigh,model,2026-05-28,1.1558385567758316,0.7733852998778402,1.559184779503433,3,True
claude-opus-5,model,2026-07-24,1.4358313618224787,0.8296646129134743,2.176619526687472,2,True
claude-opus-5_high,model,2026-07-24,1.7143933650536398,1.3927365307680812,2.051651350671965,4,False
claude-opus-5_low,model,2026-07-24,1.2991333975863615,0.8730214215280299,1.6574727978300525,4,False
claude-opus-5_max,model,2026-07-24,1.5928678764239086,1.4132001158012701,1.801305888469942,10,False
claude-opus-5_medium,model,2026-07-24,1.5223551470912589,1.149496631519785,1.8777701464581293,3,True
