name,kind,release_date,mean,hdi_low,hdi_high,n_obs,is_low_obs
DeepSeek-R1,model,2025-01-20,136.22727145744557,133.05082272412753,139.70439778038323,8,False
DeepSeek-R1-0528,model,2025-05-28,138.8744298466617,135.0428142041938,143.36130348832867,3,True
DeepSeek-V3,model,2024-12-26,129.1250759608305,125.22116187922471,132.456586563239,7,False
DeepSeek-V3-0324,model,2025-03-24,133.71053400008208,129.84755165510762,137.37408345942802,4,False
DeepSeek-V3.2-Exp_thinking,model,2025-09-29,140.21532731469284,134.22143356663202,146.48943692035442,2,True
Inkling,model,2026-07-15,136.99944080012887,129.82288596487794,142.86114957871865,2,True
Inkling_high,model,2026-07-15,134.92238052694148,128.1206003390587,141.32996993434998,1,True
Inkling_xhigh,model,2026-07-15,147.8092582833247,144.25108604298325,152.67620097721147,5,False
Llama-3.1-405B-Instruct,model,2024-07-23,121.58240427697154,116.61867585052624,125.1742108014112,18,False
Llama-3.1-70B-Instruct,model,2024-07-23,120.27937064259913,114.1000017288648,124.57923294952344,6,False
Llama-3.1-8B-Instruct,model,2024-07-23,111.1359616294591,102.80635111187965,116.93242096283065,7,False
Llama-3.2-90B-Vision-Instruct,model,2024-09-24,118.52097849533162,109.3615466080628,124.95741737506334,2,True
Llama-3.3-70B-Instruct,model,2024-12-06,120.7870466775357,113.05387502132604,126.4017524890963,3,True
Llama-4-Maverick-17B-128E-Instruct,model,2025-04-05,130.05192486421558,126.21780219132566,133.3164048566019,8,False
Llama-4-Scout-17B-16E-Instruct,model,2025-04-05,118.41922244286908,111.6168661981397,123.43339731358765,5,False
Meta-Llama-3-70B-Instruct,model,2024-04-18,114.64952434174876,106.8052423614773,120.17645287807933,4,False
MiniMax-M2.5,model,2026-02-12,138.2891936737675,131.47021717364575,144.7511083020192,2,True
MiniMax-M2.7,model,2026-03-18,137.9827353900267,132.62613261873418,143.29106184615,3,True
MiniMax-M3,model,2026-06-01,146.06459216196637,141.77198364137328,151.52775342290852,6,False
MiniMax-M3_none,model,2026-06-01,130.65710631093657,122.79374796306134,137.54808257488756,1,True
Mixtral-8x7B-Instruct-v0.1,model,2023-12-11,105.06073169765435,94.71601223086078,112.31146737140921,4,False
Qwen3-235B-A22B-Thinking-2507,model,2025-07-25,141.65147237330677,137.3000194414513,146.51776257515775,3,True
Qwen3-30B-A3B,model,2025-04-29,136.598316287999,131.4435112584867,141.65944860075777,2,True
Qwen3-30B-A3B_none,model,2025-04-29,130.38785394412704,122.17749807632809,137.31245323467746,1,True
Qwen3-32B,model,2025-04-29,139.9563299391284,134.1042399833417,146.01302700660807,2,True
Qwen3-32B_none,model,2025-04-29,129.4374404952631,120.82491974415629,136.48105816884993,1,True
amazon.nova-lite-v1:0,model,2024-12-03,121.75385719410772,115.75218168854326,126.17755534396746,5,False
amazon.nova-micro-v1:0,model,2024-12-03,112.24058816263232,103.69673416993774,118.32225311633442,4,False
amazon.nova-pro-v1:0,model,2024-12-03,124.04921102655905,118.35117507992753,128.47426651389557,5,False
claude-2.1,model,2023-11-21,113.30272078005703,103.49337291373156,120.1830338021028,2,True
claude-3-5-haiku-20241022,model,2024-10-22,125.7852578609745,119.64036439989651,130.6608566287176,3,True
claude-3-5-sonnet-20240620,model,2024-06-20,128.54261775669153,124.69350346370531,131.89451652334893,7,False
claude-3-5-sonnet-20241022,model,2024-10-22,130.0,130.0,130.0,9,False
claude-3-7-sonnet-20250219,model,2025-02-24,133.78231225858542,130.45590515829593,137.02533568262254,7,False
claude-3-7-sonnet-20250219_16K,model,2025-02-24,139.3260463480413,135.76414219793023,143.35084447519606,6,False
claude-3-7-sonnet-20250219_32K,model,2025-02-24,139.12238411578784,132.19301115303293,147.2803387695114,1,True
claude-3-7-sonnet-20250219_64K,model,2025-02-24,140.45340721327585,133.38633538437998,149.04666770905652,1,True
claude-3-7-sonnet-20250219_unknown,model,2025-02-24,136.3311048126964,131.23554521614008,141.13943400830578,2,True
claude-3-haiku-20240307,model,2024-03-07,117.63867307645475,110.83174789104996,122.48266311845946,6,False
claude-3-opus-20240229,model,2024-02-29,122.86056550070458,117.93381589506915,126.76438467776542,8,False
claude-3-sonnet-20240229,model,2024-02-29,116.41317603079699,109.31797453536421,121.38715497399913,6,False
claude-fable-5,model,2026-06-09,169.86945008359567,161.64665188003102,180.99362743597268,3,True
claude-fable-5-1_high,model,2026-09-01,169.68908296818447,162.04041980726296,180.80436166374895,3,True
claude-fable-5-1_low,model,2026-09-01,166.54766909263114,158.0379297884267,178.117831950274,1,True
claude-fable-5-1_max,model,2026-09-01,172.2693704285021,164.32805420723474,183.62732435842824,6,False
claude-fable-5-1_medium,model,2026-09-01,168.16002921449672,160.51107587502037,179.06846807423278,2,True
claude-fable-5-1_unknown,model,2026-09-01,168.35176356657757,160.2284894104976,180.1247158834254,2,True
claude-fable-5-1_xhigh,model,2026-09-01,164.7385377385151,158.0042280341183,174.4692482479483,2,True
claude-fable-5_high,model,2026-06-09,170.43528309618844,162.47799133953964,181.794328428151,5,False
claude-fable-5_low,model,2026-06-09,160.91315395487348,153.32103017894266,171.5426206517703,2,True
claude-fable-5_max,model,2026-06-09,170.31024058084338,162.68638548785577,181.39235852763838,7,False
claude-fable-5_medium,model,2026-06-09,162.62709421229258,152.94444363659085,174.95694264759223,1,True
claude-fable-5_unknown,model,2026-06-09,171.5510929533985,162.76401964647883,184.01488704796813,2,True
claude-fable-5_xhigh,model,2026-06-09,164.87828624019699,155.32469211251632,177.52338471718926,1,True
claude-haiku-4-5-20251001,model,2025-10-15,135.7435043485418,130.93802090082502,140.506723556281,3,True
claude-haiku-4-5-20251001_16K,model,2025-10-15,141.5315242574974,135.1155246579392,148.38484026987018,1,True
claude-haiku-4-5-20251001_32K,model,2025-10-15,143.26828234334474,136.18388060602697,152.64799995445887,1,True
claude-haiku-4-5-20251001_unknown,model,2025-10-15,136.69192384686005,129.19522197489644,142.91464069984428,2,True
claude-opus-4-1-20250805,model,2025-08-05,141.50181308741503,136.90078784954252,146.62178259523373,3,True
claude-opus-4-1-20250805_16K,model,2025-08-05,144.9525710818337,140.683213069274,150.15837048708443,3,True
claude-opus-4-1-20250805_27K,model,2025-08-05,144.05176656863176,136.81498008674262,153.55167137034155,1,True
claude-opus-4-1-20250805_32K,model,2025-08-05,138.04490361656536,134.53961302769096,141.61707780569415,2,True
claude-opus-4-1-20250805_unknown,model,2025-08-05,141.1716094590965,136.4533289124149,146.23536519784074,2,True
claude-opus-4-20250514,model,2025-05-22,135.77585267769635,128.27799794970295,143.2753894183705,1,True
claude-opus-4-20250514_16K,model,2025-05-22,142.9120455705441,138.9189949296683,147.8706775586351,3,True
claude-opus-4-20250514_27K,model,2025-05-22,142.58761104909465,135.44497856964531,151.39447385210246,1,True
claude-opus-4-20250514_unknown,model,2025-05-22,140.6255527823007,137.02959118528148,144.62122386933513,4,False
claude-opus-4-5-20251101,model,2025-11-24,150.8133452625823,144.80951648210086,158.20703404268357,3,True
claude-opus-4-5-20251101_16K,model,2025-11-24,153.859370808957,148.39662697708798,161.24916897970218,3,True
claude-opus-4-5-20251101_32K,model,2025-11-24,147.58593089913495,144.00544519439705,152.21621624921582,3,True
claude-opus-4-5-20251101_high,model,2025-11-24,151.05804941526628,142.16356630199468,161.9255045802302,1,True
claude-opus-4-5-20251101_thinking,model,2025-11-24,152.31271751277444,141.81751572696066,162.43580571963014,1,True
claude-opus-4-5-20251101_unknown,model,2025-11-24,152.56378809106133,148.05451473954182,158.88128623518244,5,False
claude-opus-4-6,model,2026-02-05,148.87952022169412,144.53206295284375,154.575965361318,4,False
claude-opus-4-6_32K,model,2026-02-05,154.94132732530164,146.6206752202554,166.78795493347016,1,True
claude-opus-4-6_64K,model,2026-02-05,155.90959050401904,147.71200683609604,167.7362463870301,1,True
claude-opus-4-6_high,model,2026-02-05,160.80273388173742,154.23055226800687,169.95618077562403,2,True
claude-opus-4-6_max,model,2026-02-05,156.95120442067181,152.02430853441084,164.02199497248424,8,False
claude-opus-4-6_unknown,model,2026-02-05,157.92311896001468,152.11228331574767,165.8726517546463,4,False
claude-opus-4-7,model,2026-04-16,160.04149283263763,152.2847677333087,170.85399713917792,1,True
claude-opus-4-7_high,model,2026-04-16,160.14434776899014,152.29470270241018,171.00216370475826,1,True
claude-opus-4-7_max,model,2026-04-16,159.04435451549875,153.7441689468359,166.77230341227371,9,False
claude-opus-4-7_unknown,model,2026-04-16,158.97256543686683,153.26849227273118,167.10906214071278,3,True
claude-opus-4-7_xhigh,model,2026-04-16,159.28026382745398,150.79628383485945,171.3529002913418,1,True
claude-opus-4-8_high,model,2026-05-28,161.80622741651328,154.473938401751,172.24908935922076,2,True
claude-opus-4-8_low,model,2026-05-28,156.46430981398115,149.7225795807943,165.70903168390788,2,True
claude-opus-4-8_max,model,2026-05-28,163.61624270196842,157.43569678585627,172.69345190160143,9,False
claude-opus-4-8_medium,model,2026-05-28,158.88722185690972,152.0327488942802,168.34275746021655,2,True
claude-opus-4-8_none,model,2026-05-28,154.32664855426498,148.60452551477667,162.14709232176705,3,True
claude-opus-4-8_unknown,model,2026-05-28,164.51286060280435,156.89061362013385,175.07467136637615,2,True
claude-opus-4-8_xhigh,model,2026-05-28,162.35781509669857,155.7843486988928,171.27455367592916,3,True
claude-opus-5,model,2026-07-24,166.38985173820208,157.8447595468118,178.26252890147492,2,True
claude-opus-5_high,model,2026-07-24,170.09348133019483,162.4585737462705,181.62814853071765,4,False
claude-opus-5_low,model,2026-07-24,164.24975380241,157.27890806622256,173.99963113697726,4,False
claude-opus-5_max,model,2026-07-24,168.48719275905552,161.33911541845288,178.91730599447493,10,False
claude-opus-5_medium,model,2026-07-24,167.38517050103633,160.10955234024752,178.02902328731795,3,True
claude-opus-5_xhigh,model,2026-07-24,169.32161681592663,161.80525773391022,180.50791775942616,4,False
claude-sonnet-4-20250514,model,2025-05-22,136.2085794152012,130.88204964017137,141.70254443601,2,True
claude-sonnet-4-20250514_16K,model,2025-05-22,142.05728953982987,137.97994328115232,146.82864159204783,3,True
claude-sonnet-4-20250514_32K,model,2025-05-22,144.82060960765722,137.85967001126465,154.63207671874855,1,True
claude-sonnet-4-20250514_59K,model,2025-05-22,144.11944993924186,136.8934878491785,153.63098561844737,1,True
claude-sonnet-4-20250514_unknown,model,2025-05-22,136.24953177926943,131.81315794944473,140.4574329875386,4,False
claude-sonnet-4-5-20250929,model,2025-09-29,141.11130220536182,136.0763192991115,146.95119547515503,4,False
claude-sonnet-4-5-20250929_16K,model,2025-09-29,146.09001456789943,141.7206901850868,151.50908098496396,3,True
claude-sonnet-4-5-20250929_32K,model,2025-09-29,143.6710061118983,140.41807033499234,147.7596890930481,3,True
claude-sonnet-4-5-20250929_59K,model,2025-09-29,147.41741829569528,139.88282613144384,157.68499188897562,1,True
claude-sonnet-4-5-20250929_thinking,model,2025-09-29,143.88201326203648,135.0725766456498,153.54975236677456,1,True
claude-sonnet-4-5-20250929_unknown,model,2025-09-29,143.64783366657525,139.6672276802789,148.39271511460433,5,False
claude-sonnet-4-6,model,2026-02-17,150.55288648080762,141.51110831476453,161.43532206140227,1,True
claude-sonnet-4-6_32K,model,2026-02-17,150.6944591829332,142.9427351696133,161.90930775980638,1,True
claude-sonnet-4-6_high,model,2026-02-17,150.68428911255228,144.90349309830046,157.965101164841,3,True
claude-sonnet-4-6_max,model,2026-02-17,150.37626764864103,144.72096947592246,157.2102881751666,4,False
claude-sonnet-4-6_medium,model,2026-02-17,152.70757995504627,147.00518523505937,160.31128998609825,3,True
claude-sonnet-4-6_unknown,model,2026-02-17,149.08605211013347,140.96954640312546,157.80241461115037,1,True
claude-sonnet-5_high,model,2026-06-30,150.96882748619262,145.80594888978945,157.96379041539146,3,True
claude-sonnet-5_low,model,2026-06-30,147.02662960942342,137.48721171671545,156.86579749834226,1,True
claude-sonnet-5_max,model,2026-06-30,157.93779131354393,152.86246238681923,165.33194974313434,6,False
claude-sonnet-5_medium,model,2026-06-30,151.1712550349567,145.3689472744085,158.56239539215227,2,True
claude-sonnet-5_unknown,model,2026-06-30,161.2469517911798,154.78981868018818,170.66187870696717,2,True
claude-sonnet-5_xhigh,model,2026-06-30,156.74117637710475,149.52909940171688,166.5193714262053,2,True
deepseek-v3.2,model,2025-12-01,139.93990856841214,132.95327855359605,146.42706147725488,2,True
deepseek-v4-flash-0731_high,model,2026-07-31,148.45556787049554,141.97563910105018,156.44992068859415,1,True
deepseek-v4-flash-0731_max,model,2026-07-31,155.58982056826116,150.90334760547577,162.33800838298822,5,False
deepseek-v4-flash-0731_unknown,model,2026-07-31,150.66949612736335,143.90881085552448,158.84585944742386,2,True
deepseek-v4-flash_high,model,2026-04-24,142.45050896212507,136.6366780834474,148.8001903656853,2,True
deepseek-v4-flash_max,model,2026-04-24,144.81312500082714,138.79315340220126,151.6307420756396,2,True
deepseek-v4-pro-0813_max,model,2026-08-13,157.28159219816854,152.39211409267224,164.48992652424351,5,False
deepseek-v4-pro-0813_unknown,model,2026-08-13,157.2827192043788,148.25648098043416,167.84865947622617,1,True
deepseek-v4-pro_high,model,2026-04-24,147.40732147405592,142.97060119496797,153.44280853976596,4,False
deepseek-v4-pro_max,model,2026-04-24,149.55044623887989,145.82312175732034,154.70933696283146,6,False
deepseek-v4-pro_none,model,2026-04-24,139.7349434958233,133.5110731359641,146.20634886780118,2,True
gemini-1.0-pro-001,model,2023-12-13,109.72115848570365,100.83124486510631,116.02025002967292,5,False
gemini-1.5-flash-001,model,2024-05-23,119.91823252461612,113.75529673174435,124.39263139154086,5,False
gemini-1.5-flash-002,model,2024-09-24,127.58446579719387,121.44471103623998,132.53063502764448,2,True
gemini-1.5-pro-001,model,2024-05-14,123.73417986507935,118.22930052150448,127.8798975775404,5,False
gemini-1.5-pro-002,model,2024-09-24,127.9841333248861,122.49279246052072,132.18048599545546,3,True
gemini-2.0-flash-001,model,2025-02-05,129.43928051142217,123.97255795472068,134.12455631569696,3,True
gemini-2.0-flash-thinking-exp-01-21,model,2025-01-21,134.19681234543964,129.55096003892882,138.35092396255337,3,True
gemini-2.5-flash,model,2025-06-17,129.3160283045839,120.30913928629737,136.56415320565034,2,True
gemini-2.5-flash-preview-04-17,model,2025-04-17,141.7554169751198,137.5391890633262,146.51237805686438,2,True
gemini-2.5-flash-preview-04-17_16K,model,2025-04-17,139.68435547041503,133.41065175700837,146.52752364247587,1,True
gemini-2.5-flash-preview-05-20,model,2025-05-20,139.8897512198269,135.83167741401212,144.33409701349734,3,True
gemini-2.5-flash-preview-05-20_16K,model,2025-05-20,139.8098624109835,133.21809893195825,146.61280323232148,1,True
gemini-2.5-pro,model,2025-06-17,142.03963195025955,138.9267064321106,145.70014800448422,6,False
gemini-2.5-pro-exp-03-25,model,2025-03-25,144.8453191507839,140.3143432966979,150.18212598386904,2,True
gemini-2.5-pro-preview-05-06,model,2025-05-06,143.21828709854105,138.39071983252094,148.46009331639513,2,True
gemini-2.5-pro-preview-06-05,model,2025-06-05,144.0279196595638,139.87432522369312,149.03285244613807,4,False
gemini-2.5-pro_16K,model,2025-06-17,146.8550092039955,140.45581269334457,154.5564560484051,1,True
gemini-3-flash-preview,model,2025-12-17,153.11113251220655,148.82536245810678,159.0376489622952,7,False
gemini-3-flash-preview_high,model,2025-12-17,156.77289439619523,148.46461181328985,168.85322058988908,1,True
gemini-3-pro-preview,model,2025-11-18,155.57901254463462,150.81774307308567,162.46626818946518,11,False
gemini-3.1-flash-lite,model,2026-03-03,140.07792251631957,136.44174686304973,144.265029141306,5,False
gemini-3.1-flash-lite_high,model,2026-03-03,144.8226692490922,141.51226801989273,149.07238578054728,3,True
gemini-3.1-flash-lite_low,model,2026-03-03,141.77532269403582,138.36619029100234,145.75156653524357,2,True
gemini-3.1-flash-lite_minimal,model,2026-03-03,141.10236857366874,137.53558379994587,144.93074122578182,2,True
gemini-3.1-pro-preview,model,2026-02-19,158.2663663998277,153.1323593359533,165.8645852039102,10,False
gemini-3.1-pro-preview_high,model,2026-02-19,150.57981785104,145.1515641170738,157.88157461403415,3,True
gemini-3.5-flash-lite,model,2026-07-21,138.19504087406773,130.19169408106637,145.2879839689387,2,True
gemini-3.5-flash-lite_high,model,2026-07-21,142.0770926904244,138.9863979881191,145.94768803394234,4,False
gemini-3.5-flash-lite_low,model,2026-07-21,141.14492402384172,134.12491470278007,149.54670245468054,1,True
gemini-3.5-flash-lite_minimal,model,2026-07-21,138.43982604487985,131.1976230681621,146.33193149165794,1,True
gemini-3.5-flash_high,model,2026-05-19,156.94728988519725,152.04309322004275,164.2328463720904,9,False
gemini-3.5-flash_low,model,2026-05-19,152.5058863996329,144.48642588996174,163.59259186147543,1,True
gemini-3.5-flash_medium,model,2026-05-19,150.24779724403402,144.62748689750666,157.4577796386368,2,True
gemini-3.5-flash_minimal,model,2026-05-19,148.14049647033366,140.75434168467092,158.76244790707958,1,True
gemini-3.6-flash_high,model,2026-07-21,155.24375509863665,150.6469763269025,161.8469228461366,6,False
gemini-3.6-flash_low,model,2026-07-21,149.09345800011596,141.5525121675139,159.82247740799505,1,True
gemini-3.6-flash_minimal,model,2026-07-21,148.02261072847588,140.7889432929951,158.44785444346599,1,True
gemini-3.6-flash_unknown,model,2026-07-21,156.31029173765893,149.59831883208523,164.39297408025382,2,True
gemini-3.7-flash_high,model,2026-08-13,159.60195480282988,154.15573924607142,167.41175170005053,5,False
gemini-3.7-flash_low,model,2026-08-13,154.00143247832472,147.18843868559205,162.39124991705754,2,True
gemini-3.7-flash_medium,model,2026-08-13,158.7038141568629,151.79240858742827,167.92320502923803,2,True
gemini-3.7-flash_unknown,model,2026-08-13,161.05195078202962,154.31640824223626,170.2143030730377,3,True
gemini-3.8-flash_high,model,2026-09-02,164.29446699453297,156.82239792542205,174.84883467093903,2,True
gemini-3.8-flash_low,model,2026-09-02,146.42084859713788,136.1303687823226,155.45427100255102,1,True
gemini-3.8-flash_medium,model,2026-09-02,161.25394856434716,154.06126039259672,170.8151181337675,2,True
gemini-3.8-flash_unknown,model,2026-09-02,156.64441200897468,147.68715842919747,167.4418052140143,1,True
gemma-3-12b-it,model,2025-03-12,127.52890434260877,119.8773646665134,133.5273859902014,2,True
gemma-3-27b-it,model,2025-03-12,129.22009738906826,121.96030029152037,135.06401017629364,2,True
gemma-4-26b-a4b,model,2026-04-02,134.91505800749096,128.87746927090797,140.31936906587086,2,True
gemma-4-26b-a4b_minimal,model,2026-04-02,149.16637071082533,141.64602821973682,159.7732246085249,1,True
gemma-4-31b-it,model,2026-04-02,144.36956611152038,138.91164347595964,150.67474896840412,2,True
gemma-4-31b-it_minimal,model,2026-04-02,145.67000966525134,138.30501511569224,155.33143262708563,1,True
gemma-4-31b-it_none,model,2026-04-02,139.279020278203,132.29001911417944,145.94262036662198,1,True
glm-4.5,model,2025-07-28,135.83054393815695,129.96000735922385,141.24173339832214,1,True
glm-4.5_thinking,model,2025-07-28,139.5732378140882,133.2765087418852,146.18547929440905,1,True
glm-4.6,model,2025-09-30,134.24792854560118,126.19503115722132,141.01067618126905,2,True
glm-4.7,model,2025-12-22,143.74274750347416,139.4794527692618,148.75829287724878,5,False
glm-5,model,2026-02-11,146.6758775141783,141.8588606171289,152.6843989839987,3,True
glm-5.1,model,2026-04-07,149.14332670327894,145.38780310120273,154.3415735549076,6,False
glm-5.1_none,model,2026-04-07,143.62025387457763,140.18910004864995,147.88203509527364,1,True
glm-5.2_high,model,2026-06-16,151.3490592027951,146.27078266921677,158.3486556618157,3,True
glm-5.2_low,model,2026-06-16,153.76390040614297,149.12457610687872,160.13699358593132,2,True
glm-5.2_max,model,2026-06-16,156.56218140933169,151.74678791452055,163.64242182048952,7,False
glm-5.2_none,model,2026-06-16,148.94404257214148,145.06683473791838,154.2185345011267,4,False
glm-5.2_unknown,model,2026-06-16,161.0223994488627,154.14955018142624,170.8533038951112,2,True
glm-5.3-flash_max,model,2026-08-20,154.0538034114557,149.59452789674071,160.35623326883288,6,False
glm-5.3-flash_unknown,model,2026-08-20,158.67362471697018,149.63628791415175,169.04980849393513,1,True
glm-5.3_max,model,2026-08-14,158.56112776960288,153.32227408578902,166.19496841892473,7,False
gpt-3.5-turbo-0125,model,2024-01-25,108.71421388887342,98.35581115591246,115.76573870791617,3,True
gpt-4-0314,model,2023-03-14,118.04404336488639,110.76629041446033,123.18059176114963,2,True
gpt-4-0613,model,2023-06-13,114.92668370878417,107.8094802516064,119.84551615008652,6,False
gpt-4-turbo-2024-04-09,model,2024-04-09,120.09657893368016,114.36060333273653,124.09772840327591,8,False
gpt-4.1-2025-04-14,model,2025-04-14,132.11075252633998,128.61031265098745,135.17009302614127,5,False
gpt-4.1-mini-2025-04-14,model,2025-04-14,133.04309512219976,129.47013785695248,136.27396099395898,4,False
gpt-4.1-nano-2025-04-14,model,2025-04-14,127.79901653930139,121.63524233534498,132.69438483371067,3,True
gpt-4.5-preview-2025-02-27,model,2025-02-27,132.742902638948,129.40622485511483,135.85378072299818,8,False
gpt-4o-2024-05-13,model,2024-05-13,125.20579124099008,120.14754332923097,129.22869434984173,5,False
gpt-4o-2024-08-06,model,2024-08-06,117.18970318383927,110.01606677646939,122.17952402530365,3,True
gpt-4o-2024-11-20,model,2024-11-20,123.97310165799243,118.8555510751431,127.64434024342397,8,False
gpt-4o-mini-2024-07-18,model,2024-07-18,117.43849845242814,109.56927680638061,122.80230039152954,3,True
gpt-5-2025-08-07,model,2025-08-07,139.05968658180413,132.53943055111074,145.7781046163761,1,True
gpt-5-2025-08-07_high,model,2025-08-07,153.8352796899829,149.46355625356,160.05920939823355,9,False
gpt-5-2025-08-07_low,model,2025-08-07,148.290543286252,144.48116409439706,153.42693623515729,1,True
gpt-5-2025-08-07_medium,model,2025-08-07,150.0,150.0,150.0,3,True
gpt-5-2025-08-07_minimal,model,2025-08-07,139.37714999970132,135.96238818964147,142.8828899276477,3,True
gpt-5-2025-08-07_unknown,model,2025-08-07,150.69757503810948,146.27266872368935,156.66158299415326,4,False
gpt-5-codex,model,2025-09-15,147.0367990785048,140.70733276679226,154.9023519732547,1,True
gpt-5-codex_high,model,2025-09-15,149.5168115466447,144.04996463566292,156.54250691733768,2,True
gpt-5-mini-2025-08-07_high,model,2025-08-07,150.1040488734381,146.26680559441152,155.40372656262815,6,False
gpt-5-mini-2025-08-07_low,model,2025-08-07,140.45394870415436,137.0888345680616,144.3621808880724,1,True
gpt-5-mini-2025-08-07_medium,model,2025-08-07,147.5449076804835,140.32750769687402,157.55158313510825,1,True
gpt-5-mini-2025-08-07_minimal,model,2025-08-07,132.2819295399515,128.1488760581647,135.8150801698119,2,True
gpt-5-mini-2025-08-07_unknown,model,2025-08-07,147.2961259677728,142.71535416772255,152.895637370521,2,True
gpt-5-nano-2025-08-07_high,model,2025-08-07,142.12838080061167,139.11653338043476,145.8041142461545,5,False
gpt-5-nano-2025-08-07_low,model,2025-08-07,131.34103341020767,127.41632113800637,134.76702976087077,3,True
gpt-5-nano-2025-08-07_medium,model,2025-08-07,145.91504651788168,138.61787213640002,155.9391309711472,1,True
gpt-5-nano-2025-08-07_minimal,model,2025-08-07,124.72515737857432,118.60435989295647,129.34068065432405,2,True
gpt-5-pro-2025-10-06_high,model,2025-08-07,154.3316662527468,149.84730619729274,160.81712798945088,3,True
gpt-5-pro-2025-10-06_unknown,model,2025-08-07,156.04297173297078,150.76139565051787,163.60762318012758,2,True
gpt-5.1-2025-11-13_high,model,2025-11-12,148.69155610753427,144.2070433021769,154.66918379298528,5,False
gpt-5.1-2025-11-13_low,model,2025-11-12,142.3679045937917,135.25443500229747,151.47861667023724,1,True
gpt-5.1-2025-11-13_medium,model,2025-11-12,150.77828279835575,142.77421516477384,161.9137052561692,1,True
gpt-5.1-2025-11-13_none,model,2025-11-12,133.26276878038777,128.56608940676148,137.3148661977437,3,True
gpt-5.1-2025-11-13_unknown,model,2025-11-12,150.51121785738945,145.98140862379535,156.58536796768894,3,True
gpt-5.1-codex-max,model,2025-11-19,149.9485318478836,144.7736711260481,156.48734261821727,2,True
gpt-5.2-2025-12-11_high,model,2025-12-11,156.00311464834346,150.45850208496324,163.65066879621443,3,True
gpt-5.2-2025-12-11_low,model,2025-12-11,145.49915323541234,140.40107812078085,151.8014401735922,2,True
gpt-5.2-2025-12-11_medium,model,2025-12-11,152.62705385987726,147.20789645013684,159.8947950574071,3,True
gpt-5.2-2025-12-11_none,model,2025-12-11,146.50802482431482,140.856982684617,153.82616220738382,3,True
gpt-5.2-2025-12-11_unknown,model,2025-12-11,151.9432042546598,147.26023781876296,158.37684610282125,3,True
gpt-5.2-2025-12-11_xhigh,model,2025-12-11,157.8934941254048,152.79339311928098,165.25567183861776,7,False
gpt-5.2-pro-2025-12-11_xhigh,model,2025-12-11,160.86526669898637,155.22414371640184,169.13856446462862,2,True
gpt-5.3-codex,model,2026-02-05,159.5724614859276,153.47850761867443,168.09896582900566,3,True
gpt-5.3-codex_xhigh,model,2026-02-05,161.16944314086803,153.02249534678154,172.3302448786478,1,True
gpt-5.4-2026-03-05_high,model,2026-03-05,159.23019996690124,150.54578753615235,171.71409164617245,1,True
gpt-5.4-2026-03-05_low,model,2026-03-05,150.17152183132384,142.417815575176,161.03226439631496,1,True
gpt-5.4-2026-03-05_medium,model,2026-03-05,156.83198343787782,148.57567709448017,168.9372479414373,1,True
gpt-5.4-2026-03-05_none,model,2026-03-05,145.24110929838872,139.78017459535116,151.9002911982987,2,True
gpt-5.4-2026-03-05_unknown,model,2026-03-05,159.02678315518182,152.70357536453216,167.88038091082745,2,True
gpt-5.4-2026-03-05_xhigh,model,2026-03-05,160.9780355695596,155.38966687549288,169.30899121018558,12,False
