name,mean,hdi_low,hdi_high,n_obs,is_low_obs
Mixtral-8x7B-Instruct-v0.1,-2.8268937586442435,-3.338615882005323,-2.3770321041347677,4,False
gpt-3.5-turbo-0125,-2.63114004536155,-3.2915846280486987,-2.1127016880695013,3,True
gemini-1.0-pro-001,-2.536499457937322,-2.992078239285629,-2.1460165105205635,5,False
Llama-3.1-8B-Instruct,-2.438740215224419,-2.828796531006659,-2.09378208938758,7,False
amazon.nova-micro-v1:0,-2.3607542003071242,-2.815080632675122,-1.9501578768396797,4,False
claude-2.1,-2.294649961722076,-3.0281950035646448,-1.7185706318239524,2,True
Meta-Llama-3-70B-Instruct,-2.198111479628583,-2.6375093588555654,-1.8029908663528413,4,False
gpt-4-0613,-2.1774623958724595,-2.519418032719442,-1.851070323246797,6,False
mistral-large-2402,-2.132589160115779,-2.5364940181074944,-1.7466422696155253,5,False
qwen2-72b-instruct,-2.1088886488684393,-2.6554526106019023,-1.6251970529755753,2,True
claude-3-sonnet-20240229,-2.087841666001389,-2.4876161021343686,-1.7392082131185556,6,False
gpt-4o-2024-08-06,-2.0368351088937233,-2.4915543058150256,-1.6529806112141965,3,True
gpt-4o-mini-2024-07-18,-2.0181208285167065,-2.5543924126734416,-1.5895626535673464,3,True
gpt-4-0314,-1.994669749855264,-2.493069667380842,-1.561006888622422,2,True
claude-3-haiku-20240307,-1.990073307302883,-2.3932769836756322,-1.6447642563528728,6,False
Llama-4-Scout-17B-16E-Instruct,-1.951868472655209,-2.3700279713213135,-1.5566012321125307,5,False
Llama-3.2-90B-Vision-Instruct,-1.9473713286956542,-2.75907638540852,-1.33348933394429,2,True
mistral-large-2407,-1.9122370329907903,-2.3272319684554414,-1.5061261327917084,5,False
gemini-1.5-flash-001,-1.8441832422150384,-2.2203475938530284,-1.4929806589473036,5,False
gpt-4-turbo-2024-04-09,-1.8262726807433969,-2.1021529290248173,-1.5618196156416007,8,False
Llama-3.1-70B-Instruct,-1.8226802147147791,-2.181819587678702,-1.4892971991453132,6,False
Llama-3.3-70B-Instruct,-1.7771846627647927,-2.420715012763073,-1.270758219009813,3,True
qwen2.5-72b-instruct,-1.770899801543626,-2.222480154999846,-1.3654926604986264,3,True
amazon.nova-lite-v1:0,-1.731812536717811,-2.116637161722067,-1.3565016188194154,5,False
Llama-3.1-405B-Instruct,-1.7300409797737644,-1.9640644847260165,-1.4987624685990109,18,False
mistral-small-2503,-1.6540389186759432,-2.4355025480130164,-1.0302632684350836,2,True
claude-3-opus-20240229,-1.6322689086476343,-1.9479935060481874,-1.3346103579892785,8,False
grok-2,-1.6170235337431482,-2.0323597167406326,-1.204557283444095,4,False
amazon.nova-pro-v1:0,-1.5820081889255888,-1.9941100124828208,-1.2179377421686852,5,False
gemini-1.5-pro-001,-1.5754981092545826,-1.9402666410171987,-1.2202797171477116,5,False
gpt-4o-2024-11-20,-1.5704940405516319,-1.9164130089966342,-1.2682565478839467,8,False
gpt-4o-2024-05-13,-1.487192740438683,-1.8445868946627089,-1.141389295147159,5,False
gpt-5-nano-2025-08-07_minimal,-1.4851456251265331,-1.9821631725815545,-1.0677873527667439,2,True
grok-2-1212,-1.45123640666715,-2.0432133232544527,-0.954753899074668,2,True
claude-3-5-haiku-20241022,-1.436809264398117,-2.0003130128246736,-0.965278727632997,3,True
gemma-3-12b-it,-1.305358345621875,-2.0739327632183784,-0.691941472864964,2,True
gemini-1.5-flash-002,-1.3048293086318374,-1.890890191092591,-0.801352294774073,2,True
gpt-4.1-nano-2025-04-14,-1.289581126228537,-1.8579683291197924,-0.8242782233348702,3,True
gemini-1.5-pro-002,-1.275995610726174,-1.7556373878686917,-0.8810733818679017,3,True
claude-3-5-sonnet-20240620,-1.2413390788192071,-1.5399442341941674,-0.9662248325877911,7,False
DeepSeek-V3,-1.210049953536975,-1.5052627358295254,-0.915105170786063,7,False
qwen3-8b_none,-1.187456663212296,-2.076360487309255,-0.4587548472479804,1,True
gemma-3-27b-it,-1.1790183206460232,-1.9190634309770678,-0.5851439944764347,2,True
gemini-2.5-flash,-1.177887496594145,-2.1033893387182667,-0.4630112308383455,2,True
o3-mini-2025-01-31_low,-1.1743214470672343,-1.5943593256499773,-0.822058622309193,2,True
gemini-2.0-flash-001,-1.1662197312972715,-1.696912290907386,-0.7342909436278595,3,True
Qwen3-32B_none,-1.1661581775358503,-2.0105156402384505,-0.4618081172117349,1,True
mistral-medium-2505,-1.1432259899059303,-1.7190957911349845,-0.6850706430717387,2,True
Llama-4-Maverick-17B-128E-Instruct,-1.142590947619318,-1.458836745362111,-0.8571182901040815,8,False
claude-3-5-sonnet-20241022,-1.1369535266680733,-1.3916719193471039,-0.8883376876842428,9,False
Qwen3-30B-A3B_none,-1.1034722562301815,-1.9252747267333201,-0.38663663044031055,1,True
qwen3-14b_none,-1.0990513284947405,-1.923848686886915,-0.3646338252483449,1,True
MiniMax-M3_none,-1.07227747142083,-1.9030796099657101,-0.35916001982780876,1,True
gpt-5-nano-2025-08-07_low,-1.0229738004018532,-1.3723527204661705,-0.7375371017918267,3,True
magistral-small-2509,-1.0197512189922957,-1.743240411772157,-0.39888779525622753,2,True
gpt-5.4-nano-2026-03-17_none,-1.0197137210625162,-1.3487754395059086,-0.7238228738265572,3,True
gpt-4.1-2025-04-14,-0.9742102665029646,-1.2589766814730265,-0.7265506652532219,5,False
