name,mean,hdi_low,hdi_high,n_obs,is_low_obs
Mixtral-8x7B-Instruct-v0.1,106.34713689886681,88.96628401111364,116.14145475764631,4,False
gpt-3.5-turbo-0125,109.00199658642333,90.98553945626355,119.08156722966025,3,True
gemini-1.0-pro-001,110.32614584506845,95.00424667168414,118.92901967152942,5,False
Llama-3.1-8B-Instruct,111.80361036197439,97.79782751774754,119.77680216155447,7,False
amazon.nova-micro-v1:0,112.88951288961613,99.19157391114358,120.94860912308573,4,False
claude-2.1,113.672907291186,96.85661393778327,123.46413437505564,2,True
Meta-Llama-3-70B-Instruct,115.15389219607235,102.14346945709565,122.7401987702317,4,False
gpt-4-0613,115.43344970022378,103.18006986919266,122.21732281333728,6,False
mistral-large-2402,116.06487001895681,103.67591772709477,123.34693694552274,5,False
qwen2-72b-instruct,116.3636709565514,102.89530389980557,124.40339472353818,2,True
claude-3-sonnet-20240229,116.69621232467946,104.51480571569253,123.53599868704377,6,False
gpt-4o-2024-08-06,117.42257781166848,105.04213645611298,124.50252020151028,3,True
gpt-4o-mini-2024-07-18,117.70351402749637,104.63701660148416,125.23080975316594,3,True
claude-3-haiku-20240307,117.99580585853195,106.35234010507742,124.7010673317097,6,False
gpt-4-0314,118.0284695031814,105.4895090018612,125.30235061938001,2,True
Llama-3.2-90B-Vision-Instruct,118.5538384642241,102.81225224440654,128.06519398107554,2,True
Llama-4-Scout-17B-16E-Instruct,118.59695148511966,107.10872298973165,125.69678625918687,5,False
mistral-large-2407,119.14577680107479,108.13934626197184,126.12322937097287,5,False
gemini-1.5-flash-001,120.12968280003057,109.59643996143527,126.53635702927004,5,False
gpt-4-turbo-2024-04-09,120.41407321906327,110.75743373552886,125.74837549070206,8,False
Llama-3.1-70B-Instruct,120.44821519830614,110.33736218073382,126.52700362804894,6,False
Llama-3.3-70B-Instruct,120.9832364490916,107.99305666416092,129.09947064605154,3,True
qwen2.5-72b-instruct,121.17945267047546,110.6069742369805,127.68250561868439,3,True
amazon.nova-lite-v1:0,121.68949262854524,111.55686588606164,128.02183352629515,5,False
Llama-3.1-405B-Instruct,121.71466464543221,113.27941290953359,126.67315328204975,18,False
mistral-small-2503,122.72144332269465,108.42022467046081,131.84823328262036,2,True
claude-3-opus-20240229,123.07192094916068,114.81692264358246,128.42984360678406,8,False
grok-2,123.33795256202342,113.72799422412294,129.84016791309855,4,False
amazon.nova-pro-v1:0,123.83681280564679,114.51015251912024,129.90114343591947,5,False
gemini-1.5-pro-001,123.9037131801546,114.97600648811101,129.7113190588758,5,False
gpt-4o-2024-11-20,123.96249438474055,115.37992670822827,129.24291150164464,8,False
gpt-4o-2024-05-13,125.1187995860964,117.03553979033987,130.71654459714037,5,False
gpt-5-nano-2025-08-07_minimal,125.16308587484116,114.74115323008851,131.7716050112779,2,True
grok-2-1212,125.55124193477997,114.40047779316575,133.2551595567104,2,True
claude-3-5-haiku-20241022,125.76838436666924,115.50641262311734,133.00782437351327,3,True
gemma-3-12b-it,127.56948393559512,114.78808408559061,136.82239593739942,2,True
gemini-1.5-flash-002,127.7243146839217,117.20477498044461,135.21091293892943,2,True
gpt-4.1-nano-2025-04-14,127.85381789484742,117.6402925894447,135.08679626611826,3,True
gemini-1.5-pro-002,128.06628167578302,119.18833124175157,134.28939200705221,3,True
claude-3-5-sonnet-20240620,128.51990720268088,122.1299313992652,133.21520533558785,7,False
