obs_idx,model,benchmark,score,pit
0,MiniMax-M2.5,APEX-Agents,0.062,0.351
1,claude-fable-5,APEX-Agents,0.45,0.3525
2,claude-fable-5-1_high,APEX-Agents,0.444,0.3355
3,claude-fable-5-1_unknown,APEX-Agents,0.474,0.582
4,claude-haiku-4-5-20251001_unknown,APEX-Agents,0.089,0.6605
5,claude-opus-4-5-20251101_unknown,APEX-Agents,0.207,0.5415
6,claude-opus-4-6_high,APEX-Agents,0.324,0.496
7,claude-opus-4-6_max,APEX-Agents,0.321,0.8105
8,claude-opus-4-7_max,APEX-Agents,0.339,0.738
9,claude-opus-4-8_max,APEX-Agents,0.425,0.781
10,claude-opus-5_max,APEX-Agents,0.435,0.3625
11,claude-sonnet-4-20250514_unknown,APEX-Agents,0.093,0.7365
12,claude-sonnet-4-6_high,APEX-Agents,0.237,0.788
13,claude-sonnet-5_unknown,APEX-Agents,0.325,0.4725
14,deepseek-v3.2,APEX-Agents,0.07,0.3515
15,gemini-2.5-flash,APEX-Agents,0.018,0.2
16,gemini-2.5-pro,APEX-Agents,0.066,0.1705
17,gemini-3-flash-preview,APEX-Agents,0.24,0.717
18,gemini-3-pro-preview,APEX-Agents,0.315,0.8605
19,gemini-3.1-flash-lite,APEX-Agents,0.13,0.806
20,gemini-3.1-pro-preview,APEX-Agents,0.335,0.788
21,glm-4.6,APEX-Agents,0.04,0.3075
22,glm-4.7,APEX-Agents,0.087,0.2745
23,glm-5,APEX-Agents,0.172,0.701
24,glm-5.2_unknown,APEX-Agents,0.356,0.61
25,gpt-4o-2024-11-20,APEX-Agents,0.011,0.201
26,gpt-5-2025-08-07_high,APEX-Agents,0.183,0.248
27,gpt-5-2025-08-07_unknown,APEX-Agents,0.183,0.5035
28,gpt-5-codex_high,APEX-Agents,0.201,0.646
29,gpt-5.1-2025-11-13_high,APEX-Agents,0.175,0.6025
30,gpt-5.1-2025-11-13_unknown,APEX-Agents,0.175,0.448
31,gpt-5.2-2025-12-11_high,APEX-Agents,0.23,0.3685
32,gpt-5.2-2025-12-11_xhigh,APEX-Agents,0.344,0.848
33,gpt-5.3-codex,APEX-Agents,0.318,0.584
34,gpt-5.4-2026-03-05_unknown,APEX-Agents,0.349,0.7245
35,gpt-5.4-2026-03-05_xhigh,APEX-Agents,0.36,0.6905
36,gpt-5.4-mini-2026-03-17_unknown,APEX-Agents,0.246,0.66
37,gpt-5.4-nano-2026-03-17_unknown,APEX-Agents,0.1689999999999999,0.5605
38,gpt-5.5_unknown,APEX-Agents,0.385,0.6165
39,gpt-5.5_xhigh,APEX-Agents,0.385,0.3945
40,gpt-5.6-sol_max,APEX-Agents,0.399,0.1535
41,gpt-5.6-sol_promax,APEX-Agents,0.4,0.2195
42,gpt-5.6-sol_xhigh,APEX-Agents,0.377,0.2755
43,gpt-6-astra_unknown,APEX-Agents,0.467,0.288
44,gpt-oss-120b,APEX-Agents,0.047,0.227
45,grok-3,APEX-Agents,0.021,0.113
46,grok-4-0709,APEX-Agents,0.152,0.5755
47,grok-4.5_unknown,APEX-Agents,0.342,0.848
48,grok-4.6_unknown,APEX-Agents,0.412,0.6335
49,kimi-k2-thinking,APEX-Agents,0.0409999999999999,0.1105
50,kimi-k2.5,APEX-Agents,0.144,0.497
51,kimi-k2.6,APEX-Agents,0.189,0.2415
52,kimi-k2.7-code,APEX-Agents,0.276,0.862
53,kimi-k3_unknown,APEX-Agents,0.3929999999999999,0.371
54,muse-spark-1.1,APEX-Agents,0.419,0.7735
55,nemotron-3-ultra,APEX-Agents,0.115,0.4775
56,o1-2024-12-17_high,APEX-Agents,0.011,0.003
57,o3-2025-04-16_high,APEX-Agents,0.172,0.679
58,qwen3.5-plus,APEX-Agents,0.136,0.3775
59,DeepSeek-R1,CritPt,0.011,0.5805
62,DeepSeek-V3.2-Exp_thinking,CritPt,0.0285714285714286,0.6865
63,Inkling_xhigh,CritPt,0.0542857142857143,0.639
68,MiniMax-M2.7,CritPt,0.0057142857142857,0.386
69,MiniMax-M3,CritPt,0.0371428571428571,0.545
71,Qwen3-32B,CritPt,0.0028571428571428,0.167
73,claude-fable-5-1_high,CritPt,0.302857142857143,0.5195
74,claude-fable-5-1_low,CritPt,0.277142857142857,0.6455
75,claude-fable-5-1_max,CritPt,0.297142857142857,0.271
76,claude-fable-5-1_medium,CritPt,0.291428571428571,0.614
77,claude-fable-5-1_xhigh,CritPt,0.311428571428571,0.8915
78,claude-fable-5_max,CritPt,0.2857142857,0.3845
80,claude-opus-4-20250514_unknown,CritPt,0.003,0.157
81,claude-opus-4-7_max,CritPt,0.12,0.471
