model,family,release_date,C_mean,C_hdi_low,C_hdi_high,ECI_mean,ECI_hdi_low,ECI_hdi_high
gpt-6-astra_medium,gpt-6-astra,2026-09-03,2.0742175116645942,1.8098894812499802,2.3874389299919425,174.94360193298007,163.08981304883812,196.43265673710104
claude-fable-5-1_max,claude-fable-5-1,2026-09-01,1.8697058068064405,1.661140982294811,2.140085398987037,172.2211654863855,161.26260355393575,191.90170384524683
gemini-3.7-flash_unknown,gemini-3.7-flash,2026-08-13,1.0844507603644158,0.642913903134549,1.493313935830225,160.9849213364409,151.66275745933206,177.01525202210183
gemini-3.6-flash_unknown,gemini-3.6-flash,2026-07-21,0.7433666082400783,0.15840505318620085,1.2392527333884633,156.25150192243686,146.44572869362517,171.03353338961432
gpt-5.6-sol_max,gpt-5.6-sol,2026-07-09,1.6575220005779379,1.4910857816605125,1.8433999224302768,169.17974186737092,159.04159003408301,187.2828054348122
claude-fable-5_unknown,claude-fable-5,2026-06-09,1.829967534316673,1.3071070410940995,2.3814771758341653,171.5946247551705,159.14596116208955,192.94089413434725
gemini-3.5-flash_high,gemini-3.5-flash,2026-05-19,0.7957060326997667,0.6545284908213232,0.9427568808088727,157.0976650369377,150.10753861250896,169.27813744649072
gpt-5.4-pro-2026-03-05_xhigh,gpt-5.4-pro@2026-03-05,2026-03-05,1.3150945195927792,1.1497805191661103,1.5086184054428233,164.39192119205154,155.54076975484992,180.38591915886892
gemini-3.1-pro-preview,gemini-3.1-pro-preview,2026-02-19,0.8877136204564087,0.7388845009053128,1.0632108136376637,158.43307476191066,151.16532842601256,171.37920001810676
claude-opus-4-6_high,claude-opus-4-6,2026-02-05,1.0643323930955,0.6179062268061633,1.511773023878136,160.80700831111898,151.45558040495212,176.74110504385908
gpt-5.3-codex_xhigh,gpt-5.3-codex,2026-02-05,1.0707200235290397,0.40325019569992476,1.8780270094857152,161.14745370536397,149.5139816327065,180.4179064548819
gemini-3-flash-preview_high,gemini-3-flash-preview,2025-12-17,0.7691120676482632,0.018798037214923694,1.8394852875520713,156.70183571988937,144.99417735060595,178.27005641700111
gemini-3-pro-preview,gemini-3-pro-preview,2025-11-18,0.7018085763470908,0.4791068903999795,0.9077348330088018,155.65640634262058,148.78989427348574,167.53749714553962
gpt-5-2025-08-07_high,gpt-5@2025-08-07,2025-08-07,0.5680717694355868,0.4140978055122582,0.709851544026947,153.85606691838518,147.686551288578,164.40478041831318
gpt-5-pro-2025-10-06_unknown,gpt-5-pro@2025-10-06,2025-08-07,0.7312724236836138,0.3976531109871816,1.049929378495858,156.09407543630223,148.40594273948062,168.96871325655619
o3-pro-2025-06-10_high,o3-pro@2025-06-10,2025-06-10,0.23196835040509328,-0.41926844547162534,0.9008186489526294,149.05409012923684,139.6094399648371,162.87159595879297
o3-2025-04-16_high,o3@2025-04-16,2025-04-16,0.11700052797987939,-0.06272752049328567,0.2868760556874397,147.52226544929823,142.6277930877849,155.3906004977514
gemini-2.5-pro-exp-03-25,gemini-2.5-pro-exp-03-25,2025-03-25,-0.07156068043394723,-0.5552573973668485,0.2794022278190487,144.80822998301983,137.52837998427682,153.4430446365319
claude-3-7-sonnet-20250219_64K,claude-3-7-sonnet@2025-02-19,2025-02-24,-0.38563244345289394,-1.1382327109083514,0.5046469796728287,140.53434841344745,129.73322892015017,154.7985690449188
o1-2024-12-17_high,o1@2024-12-17,2024-12-05,-0.5698682330049685,-0.854088895820746,-0.33613902641371646,137.9226123370372,132.94891010184736,142.99197692559216
o1-preview-2024-09-12,o1-preview@2024-09-12,2024-09-12,-0.839568429142226,-1.13801970983491,-0.5393896762213144,134.19595509191066,128.85115199440153,139.40380364917522
o1-mini-2024-09-12_high,o1-mini@2024-09-12,2024-09-12,-0.6228036060354241,-1.389289099811488,0.19274114085120242,137.2504168983391,125.88862366389438,150.33929029868463
claude-3-5-sonnet-20240620,claude-3-5-sonnet@2024-06-20,2024-06-20,-1.2413390788192071,-1.5399442341941671,-0.9662248325877911,128.51990720268088,122.1299313992652,133.21520533558785
gpt-4o-2024-05-13,gpt-4o@2024-05-13,2024-05-13,-1.487192740438683,-1.8445868946627089,-1.141389295147159,125.1187995860964,117.03553979033987,130.71654459714037
claude-3-opus-20240229,claude-3-opus@2024-02-29,2024-02-29,-1.6322689086476343,-1.9479935060481874,-1.3346103579892785,123.07192094916068,114.81692264358246,128.42984360678406
gpt-4-0314,gpt-4-0314,2023-03-14,-1.994669749855264,-2.493069667380842,-1.561006888622422,118.0284695031814,105.4895090018612,125.30235061938001
