name,kind,release_date,mean,hdi_low,hdi_high,n_obs,is_low_obs
DeepSeek-R1,model,2025-01-20,-0.7171834309353452,-0.999103950852821,-0.43513110685588563,8,False
DeepSeek-R1-0528,model,2025-05-28,-0.49502169233107524,-0.8619792378935555,-0.1156320560601974,3,True
DeepSeek-V3,model,2024-12-26,-1.210049953536975,-1.5052627358295254,-0.915105170786063,7,False
DeepSeek-V3-0324,model,2025-03-24,-0.8689065026545768,-1.2381584032437323,-0.5243276832848894,4,False
DeepSeek-V3.2-Exp_thinking,model,2025-09-29,-0.4030054921897811,-1.0156613226154296,0.16595003007625247,2,True
Inkling,model,2026-07-15,-0.6348335213555529,-1.4210526411811868,-0.07658932074275607,2,True
Inkling_high,model,2026-07-15,-0.7851426970089631,-1.511360631574093,-0.11516398452911604,1,True
Inkling_xhigh,model,2026-07-15,0.14350433165036228,-0.041933659944895695,0.3262693912223049,5,False
Llama-3.1-405B-Instruct,model,2024-07-23,-1.7300409797737644,-1.9640644847260165,-1.4987624685990109,18,False
Llama-3.1-70B-Instruct,model,2024-07-23,-1.8226802147147791,-2.1818195876787017,-1.4892971991453132,6,False
Llama-3.1-8B-Instruct,model,2024-07-23,-2.438740215224419,-2.828796531006659,-2.09378208938758,7,False
Llama-3.2-90B-Vision-Instruct,model,2024-09-24,-1.9473713286956542,-2.75907638540852,-1.33348933394429,2,True
Llama-3.3-70B-Instruct,model,2024-12-06,-1.7771846627647927,-2.420715012763073,-1.270758219009813,3,True
Llama-4-Maverick-17B-128E-Instruct,model,2025-04-05,-1.142590947619318,-1.4588367453621107,-0.8571182901040815,8,False
Llama-4-Scout-17B-16E-Instruct,model,2025-04-05,-1.951868472655209,-2.3700279713213135,-1.5566012321125307,5,False
Meta-Llama-3-70B-Instruct,model,2024-04-18,-2.198111479628583,-2.6375093588555654,-1.8029908663528413,4,False
MiniMax-M2.5,model,2026-02-12,-0.5392061840897989,-1.319880854984473,0.051216419990306974,2,True
MiniMax-M2.7,model,2026-03-18,-0.5687902164165873,-1.1270134939912753,-0.08167199915423516,3,True
MiniMax-M3,model,2026-06-01,0.01316058865428951,-0.3763868009389208,0.3536106282039297,6,False
MiniMax-M3_none,model,2026-06-01,-1.07227747142083,-1.9030796099657101,-0.35916001982780876,1,True
Mixtral-8x7B-Instruct-v0.1,model,2023-12-11,-2.8268937586442435,-3.338615882005323,-2.3770321041347677,4,False
Qwen3-235B-A22B-Thinking-2507,model,2025-07-25,-0.2951546938176255,-0.694505787710123,0.08551273196679622,3,True
Qwen3-30B-A3B,model,2025-04-29,-0.649364520616381,-1.2018707432771072,-0.15430724336023185,2,True
Qwen3-30B-A3B_none,model,2025-04-29,-1.1034722562301815,-1.9252747267333201,-0.38663663044031055,1,True
Qwen3-32B,model,2025-04-29,-0.4136746578576409,-1.022570753867142,0.11682715464360165,2,True
Qwen3-32B_none,model,2025-04-29,-1.1661581775358503,-2.0105156402384505,-0.4618081172117349,1,True
