name,kind,release_date,mean,hdi_low,hdi_high,n_obs,is_low_obs
DeepSeek-R1,model,2025-01-20,135.83853266253152,132.7584654943366,139.2500297693162,8,False
DeepSeek-R1-0528,model,2025-05-28,138.98457663227293,135.11433110046724,143.37387402375273,3,True
DeepSeek-V3,model,2024-12-26,128.98759946055145,125.23327648600255,132.20418253259368,7,False
DeepSeek-V3-0324,model,2025-03-24,133.71524980255475,129.8778386885948,137.50608128814326,4,False
DeepSeek-V3.2-Exp_thinking,model,2025-09-29,140.1933893328418,134.47912951846052,146.62864744470832,2,True
Inkling,model,2026-07-15,136.96391910325772,129.88100673113038,142.90484748204054,2,True
Inkling_high,model,2026-07-15,134.88237624735746,128.09286666495584,141.35985874202603,1,True
Inkling_xhigh,model,2026-07-15,147.93019128763245,144.39408204848414,152.614112645559,5,False
Llama-3.1-405B-Instruct,model,2024-07-23,121.71466464543221,116.87086526738105,125.26522554251096,18,False
Llama-3.1-70B-Instruct,model,2024-07-23,120.44821519830614,114.42840305794032,124.70192445213289,6,False
Llama-3.1-8B-Instruct,model,2024-07-23,111.80361036197439,103.40170717826047,117.34550704774027,7,False
Llama-3.2-90B-Vision-Instruct,model,2024-09-24,118.5538384642241,109.4973387972925,125.01042116050537,2,True
Llama-3.3-70B-Instruct,model,2024-12-06,120.9832364490916,113.32812978209624,126.55801132164834,3,True
Llama-4-Maverick-17B-128E-Instruct,model,2025-04-05,129.93913150838645,126.14728471464895,133.09304994121655,8,False
Llama-4-Scout-17B-16E-Instruct,model,2025-04-05,118.59695148511966,112.1590146265061,123.43772520025377,5,False
Meta-Llama-3-70B-Instruct,model,2024-04-18,115.15389219607235,107.56854483530303,120.38532753182183,4,False
MiniMax-M2.5,model,2026-02-12,138.33812752199196,131.2170481691576,144.73198693269313,2,True
MiniMax-M2.7,model,2026-03-18,137.91050297332757,132.63778286344842,143.08623835788975,3,True
MiniMax-M3,model,2026-06-01,146.02849503087538,141.74369693096136,151.33594218832056,6,False
MiniMax-M3_none,model,2026-06-01,130.8749548347046,123.05572853399474,137.5869128247893,1,True
Mixtral-8x7B-Instruct-v0.1,model,2023-12-11,106.34713689886681,96.33103115497524,113.21609697025588,4,False
Qwen3-235B-A22B-Thinking-2507,model,2025-07-25,141.75969359791787,137.5338748465764,146.57940021003014,3,True
Qwen3-30B-A3B,model,2025-04-29,136.7890887551766,131.45498918418525,141.9141098868412,2,True
Qwen3-30B-A3B_none,model,2025-04-29,130.42701105347763,122.49084668009507,137.25511650427939,1,True
Qwen3-32B,model,2025-04-29,140.0538339059645,134.4214895537518,145.92918087439708,2,True
Qwen3-32B_none,model,2025-04-29,129.5756837412206,121.47306270678973,136.16009922703427,1,True
amazon.nova-lite-v1:0,model,2024-12-03,121.68949262854524,115.78145263317836,126.11636000396445,5,False
amazon.nova-micro-v1:0,model,2024-12-03,112.88951288961613,104.86655693605843,118.45490159181712,4,False
amazon.nova-pro-v1:0,model,2024-12-03,123.83681280564679,118.25190320931026,128.01574026798477,5,False
claude-2.1,model,2023-11-21,113.672907291186,104.06906044980883,120.5220125431353,2,True
claude-3-5-haiku-20241022,model,2024-10-22,125.76838436666924,119.54071734948582,130.5974147586707,3,True
claude-3-5-sonnet-20240620,model,2024-06-20,128.51990720268088,124.67772542327997,131.66248713431466,7,False
claude-3-5-sonnet-20241022,model,2024-10-22,130.0,130.0,130.0,9,False
claude-3-7-sonnet-20250219,model,2025-02-24,133.56157948243796,130.23294329686837,136.78181083180797,7,False
claude-3-7-sonnet-20250219_16K,model,2025-02-24,138.86383138370343,135.45931101590753,142.683260106343,6,False
claude-3-7-sonnet-20250219_32K,model,2025-02-24,139.2043700470631,132.01417198825322,147.31685785169438,1,True
claude-3-7-sonnet-20250219_64K,model,2025-02-24,140.53434841344745,133.61145777631825,148.88281661669217,1,True
claude-3-7-sonnet-20250219_unknown,model,2025-02-24,136.39870085981832,131.2972139043996,141.1861152970917,2,True
claude-3-haiku-20240307,model,2024-03-07,117.99580585853195,111.3743108739466,122.81431855428418,6,False
claude-3-opus-20240229,model,2024-02-29,123.07192094916068,118.18745447170733,126.70564902112548,8,False
claude-3-sonnet-20240229,model,2024-02-29,116.69621232467946,109.94889921273187,121.49513174573582,6,False
claude-fable-5,model,2026-06-09,169.6473715053271,161.83090066499796,181.36799676623613,3,True
claude-fable-5-1_high,model,2026-09-01,169.69784447128626,162.10477671986135,181.02914297942147,3,True
