name,release_date,mean,hdi_low,hdi_high,sd,is_record,in_fit,group
davinci,2020-06-11,89.01919962498586,80.3777282154872,96.09054966759544,6.260103681194197,True,False,closed
Gopher (280B),2021-12-08,106.65405617026192,99.47092629995839,113.1105963993617,5.404942935305488,True,False,closed
text-davinci-001,2022-01-27,97.26534793744051,89.4452888343016,103.78230971993477,5.664742573042653,False,False,closed
text-davinci-002,2022-03-15,111.97558720495198,107.27414030576891,115.95939039562563,3.459406359824717,True,False,closed
Chinchilla (70B),2022-03-29,112.40463154660607,105.55794875988565,118.86573634942523,5.289581525620212,True,False,closed
PaLM 540B,2022-04-04,114.0257192526705,108.27645497318275,119.37874130018658,4.371098981825786,True,False,closed
PaLM 62B,2022-04-04,101.53605574999227,94.80246649103906,107.16454260588928,4.898351273800773,False,False,closed
gpt-4-0314,2023-03-14,119.8478137073798,116.23674802547366,122.8621926559494,2.6221396456490424,True,False,closed
claude-1.3,2023-04-18,122.17282809504079,115.37669516334364,129.58020687505527,5.678694889514747,True,False,closed
claude-instant-1.1,2023-05-11,119.45943837331714,114.05899135371753,124.75773023384471,4.266396102261234,False,False,closed
PaLM 2-L,2023-05-17,120.26109554271795,108.02231167754869,135.37657751746022,11.09072163169017,False,False,closed
PaLM 2-M,2023-05-17,115.59621152288207,103.5970306386939,129.57838385035532,10.44700135235829,False,False,closed
PaLM 2-S,2023-05-17,110.12453577944731,98.36675369054683,123.21565847078178,10.065079372337108,False,False,closed
gpt-3.5-turbo-0613,2023-06-13,108.48942305936956,102.98476292048203,113.11927376549957,4.01913547980005,False,False,closed
gpt-4-0613,2023-06-13,117.47156230953931,114.2688839574741,120.08508396801929,2.299472110684932,False,False,closed
claude-2.0,2023-07-11,114.60569009935318,110.63835308463003,117.90294737661863,2.879010908298611,False,False,closed
Llama-2-34b,2023-07-18,106.73240776893708,100.59344713098037,112.02658833258432,4.539500120314602,False,False,closed
claude-instant-1.2,2023-08-09,117.2468639880231,112.64574046258187,121.30982358928853,3.43421832893683,False,False,closed
gpt-3.5-turbo-1106,2023-11-06,112.79142584470716,108.41086606562072,116.34917559547792,3.1531527007807583,False,False,closed
gpt-4-1106-preview,2023-11-06,119.2432350441492,115.44738783092545,122.3959732428503,2.771115729529006,False,False,closed
gpt-4-turbo,2023-11-06,120.7503473993009,116.80873291046039,124.25298834993526,2.9355279970357424,False,False,closed
claude-2.1,2023-11-21,114.29135298014816,109.92816844248485,117.928757702371,3.1648394634316785,False,False,closed
gemini-1.0-pro-001,2023-12-13,110.98977359743259,106.82771323764669,114.30755410609355,2.9818909808736365,False,False,closed
gpt-3.5-turbo-0125,2024-01-25,110.62956926748183,106.3145307085179,114.08103965788699,3.0817585790459314,False,False,closed
gpt-4-0125-preview,2024-01-25,119.83120360860218,116.1937163389489,122.88811733564556,2.648937666474614,False,False,closed
gemini-1.5-pro-001-feb24,2024-02-15,125.20986646161575,120.05587761110681,129.7913812624803,3.826955636608635,True,False,closed
Nemotron-4 15B,2024-02-26,105.33022474556755,98.99458316536428,110.70778461515077,4.645739265341396,False,False,closed
mistral-large-2402,2024-02-26,115.49504894635231,111.93642460228747,118.3374565599256,2.546627976059037,False,False,closed
mistral-small-2402,2024-02-26,115.77102329252,110.36974245161407,120.53089660098945,4.024882480121539,False,False,closed
claude-3-opus-20240229,2024-02-29,123.18867888754298,120.73308169213995,125.23352253094555,1.7762291870819347,False,False,closed
claude-3-sonnet-20240229,2024-02-29,116.13246763000072,112.68518176314204,118.89844558524645,2.46273605688457,False,False,closed
claude-3-haiku-20240307,2024-03-07,113.84741789450133,110.09962462158101,116.84723590942959,2.6811833040072144,False,False,closed
gpt-4-turbo-2024-04-09,2024-04-09,122.14838892307242,119.51149526740949,124.34596853205807,1.9071439620909314,False,False,closed
gpt-4o-2024-05-13,2024-05-13,126.11275755821515,123.98266481584058,127.95798622997745,1.5699389459569222,True,False,closed
gemini-1.5-pro-001,2024-05-14,124.62571680001342,122.19540596359452,126.68368949742666,1.7679610538235508,False,False,closed
gemini-1.5-flash-001,2024-05-23,120.37163336718774,117.42676436651237,122.74093431978419,2.1079960209971365,False,False,closed
claude-3-5-sonnet-20240620,2024-06-20,127.95801114238049,125.88233096239976,129.73490092955734,1.5178814681498976,True,False,closed
gpt-4o-mini-2024-07-18,2024-07-18,120.14848631407739,116.9846100349905,122.77260167925922,2.27841047525611,False,False,closed
gpt-4o-2024-08-06,2024-08-06,124.34225570212263,121.71128558793956,126.5924678189328,1.9278219676649946,False,False,closed
grok-2,2024-08-13,121.48861387429315,118.40577881875085,124.0791041172311,2.2454171651765202,False,False,closed
o1-mini-2024-09-12,2024-09-12,128.83256086893255,123.76452950766415,134.20803376379885,4.1334581881376,False,False,closed
o1-mini-2024-09-12_high,2024-09-12,134.49039240163268,131.56278427471864,137.5567452267285,2.3657171463613356,True,False,closed
o1-mini-2024-09-12_medium,2024-09-12,131.42121999576818,128.8558981832974,133.87811102400778,1.9765717640875982,False,False,closed
o1-mini-2024-09-12_unknown,2024-09-12,128.089023099693,123.09813545636032,132.10598843910788,3.630505173285934,False,False,closed
o1-preview-2024-09-12,2024-09-12,133.49708204276754,131.64487173291317,135.27298809397115,1.426865728932815,False,False,closed
gemini-1.5-flash-002,2024-09-24,123.74893503214417,120.77977083282056,126.27505138365538,2.1648775232166284,False,False,closed
gemini-1.5-pro-002,2024-09-24,126.933945773814,124.37746408513765,129.17040662662248,1.8925370121803127,False,False,closed
gemini-1.5-flash-8b-001,2024-10-03,114.61990564990958,110.30870093796153,118.19333209484758,3.110461501351282,False,False,closed
ministral-3b-2410,2024-10-16,108.93241966824769,104.01011476185548,112.89963443295491,3.525019463158474,False,False,closed
claude-3-5-haiku-20241022,2024-10-22,121.87789921726281,118.87665938535626,124.36963946092854,2.18292566464092,False,False,closed
claude-3-5-sonnet-20241022,2024-10-22,130.0,130.0,130.0,0.0,False,True,closed
qwen-turbo-2024-11-01,2024-11-01,122.24555231863226,118.69344962473325,125.24963240721762,2.6091560329144126,False,False,closed
gpt-4o-2024-11-20,2024-11-20,124.5497670402932,121.96158962203648,126.74612124304242,1.8903701387081748,False,False,closed
amazon.nova-lite-v1:0,2024-12-03,118.63982314953006,115.3172041306981,121.32804179649061,2.382745096274619,False,False,closed
amazon.nova-micro-v1:0,2024-12-03,111.07568984896159,106.6520029123701,114.62726056588225,3.158111452427684,False,False,closed
amazon.nova-pro-v1:0,2024-12-03,122.14587754815192,119.25493805707593,124.55844690084301,2.105771833018249,False,False,closed
o1-2024-12-17,2024-12-05,141.40355862304978,135.67547560056968,148.16495442562348,5.008883040236251,True,True,closed
o1-2024-12-17_high,2024-12-05,138.7468007566847,136.58931008005177,141.00458047390222,1.7355213835720027,False,False,closed
o1-2024-12-17_low,2024-12-05,136.68318807608995,133.63797055020194,139.71405004618276,2.393713484027904,False,False,closed
o1-2024-12-17_medium,2024-12-05,138.79907128066554,136.99491561856942,140.74785045585205,1.4685995767513196,False,False,closed
o1-2024-12-17_unknown,2024-12-05,136.7018644222277,133.3909880361362,139.8620129250321,2.5525528504537998,False,False,closed
gemini-2.0-flash-exp,2024-12-11,126.44840201477857,122.14011655433949,130.43950399846997,3.2640917168240184,False,False,closed
grok-2-1212,2024-12-12,126.8518619852205,124.22681936015327,129.20841034661402,1.9722208026811778,False,False,closed
gemini-2.0-flash-thinking-exp-01-21,2025-01-21,129.85076209517126,126.84417005588041,132.59538008965652,2.2690983504630498,False,False,closed
qwen-max-2025-01-25,2025-01-25,127.04911387425452,124.16488201829829,129.67501749346138,2.1854472906754348,False,False,closed
qwen-plus-2025-01-25,2025-01-25,125.7157983113201,122.47533910064509,128.5548774344151,2.4004491559126118,False,False,closed
gpt-4o-2025-01-29,2025-01-29,131.76392545195756,126.43387017517486,136.68044400890804,4.090114916820443,False,False,closed
o3-mini-2025-01-31,2025-01-31,133.47056308181794,129.45808676901356,137.31049092217265,3.0763573738774697,False,False,closed
o3-mini-2025-01-31_high,2025-01-31,138.0483432284588,135.99805694900905,140.16401935642742,1.6380853673016185,False,True,closed
o3-mini-2025-01-31_low,2025-01-31,132.49243412440927,129.37307215828773,135.39089448306376,2.375661939118404,False,False,closed
o3-mini-2025-01-31_medium,2025-01-31,136.81913931134756,135.08465620127828,138.60223477221564,1.380102092275801,False,False,closed
gemini-2.0-flash-001,2025-02-05,130.4848446648235,128.25796059258727,132.59881903104215,1.7114109135744389,False,False,closed
gemini-2.0-flash-lite,2025-02-05,120.34882724929749,115.05289189955573,125.15113785157462,3.986591302962512,False,False,closed
gemini-2.0-pro-exp-02-05,2025-02-05,132.39179374515237,129.88315534966736,134.88223433861165,1.9702412770858206,False,False,closed
claude-3-7-sonnet-20250219,2025-02-24,132.53377434122217,130.81061151262418,134.18113225529083,1.3265397968037844,False,False,closed
claude-3-7-sonnet-20250219_16K,2025-02-24,139.3284455870044,137.31400145188124,141.4945451326065,1.6435979472457496,False,False,closed
claude-3-7-sonnet-20250219_32K,2025-02-24,139.65574642293828,136.73129184393846,142.92658027312004,2.4459317390345205,False,False,closed
claude-3-7-sonnet-20250219_64K,2025-02-24,140.48206214664987,137.11334760078626,144.35658749190029,2.86297976197934,False,True,closed
