axis,tier,human_mean,human_hdi_low,human_hdi_high,crossover_date_median,crossover_hdi_low,crossover_hdi_high,p_passed_now,frac_positive_slope,status,hdi80_low,hdi80_high
closed,Average Human,93.8497115513682,89.65319097675213,97.80918961316539,2023-06-28 15:53:57.305729667,2023-05-13 04:24:34.802996506,2023-08-31 17:22:12.023017841,1.0,1.0,passed_ci,2023-03-19 22:20:50.290046471,2023-10-17 04:27:39.942572509
closed,Skilled Generalist,117.82189537862604,115.91802017792199,119.55791708402853,2024-05-11 14:32:24.325457124,2024-04-23 20:18:08.907744179,2024-06-11 11:54:38.467643408,1.0,1.0,passed_ci,2024-03-23 19:28:08.090444781,2024-06-28 17:42:56.031690021
closed,High School Qualifier,138.40520101558303,135.5128846819488,141.12765361598312,2025-02-06 18:38:55.255540773,2024-12-30 00:05:07.106990688,2025-03-13 06:22:25.839170253,1.0,1.0,passed_ci,2024-11-27 16:45:11.059934014,2025-04-17 09:20:02.847490702
closed,Domain Expert,145.09402952890943,143.6239610830121,146.70929170635665,2025-05-07 04:15:06.752869652,2025-04-17 22:56:52.184124542,2025-05-28 17:53:39.053819408,1.0,1.0,passed_ci,2025-03-27 19:17:41.322800313,2025-06-14 01:06:36.771026178
closed,Committee of Domain Experts,150.2778666892105,148.1663328101402,152.64755395371293,2025-07-13 21:14:38.854070874,2025-06-09 21:46:24.359877209,2025-08-05 13:15:12.281952271,1.0,1.0,passed_ci,2025-05-16 05:00:05.878684725,2025-09-05 10:10:49.494532022
closed,High School Top Performer,164.2125142057293,160.29639450380122,168.72702731197415,2026-01-12 00:47:52.293761741,2025-11-12 12:08:53.073207456,2026-03-01 21:16:58.986520435,0.99075,1.0,passed_ci,2025-09-23 01:16:18.632051137,2026-04-24 20:53:30.616153797
closed,Top Performer,210.20988567106843,202.34833928498125,219.10219154285323,2027-09-09 04:03:49.033062097,2027-05-02 23:58:40.028028827,2027-12-11 02:57:42.887293666,0.00325,1.0,future,2027-02-06 06:25:31.068832330,2028-04-04 17:30:40.504585302
open,Average Human,93.8497115513682,89.65319097675213,97.80918961316539,2022-10-01 23:23:31.015063705,2022-07-07 22:55:16.855519261,2023-01-28 17:26:17.574799323,1.0,1.0,passed_ci,2022-03-31 03:18:01.945251486,2023-04-23 11:26:46.265022911
open,Skilled Generalist,117.82189537862604,115.91802017792199,119.55791708402853,2024-03-14 17:27:26.110014618,2024-01-28 05:44:12.042281872,2024-05-02 07:35:11.266162393,1.0,1.0,passed_ci,2023-12-15 22:01:36.479779737,2024-06-16 00:01:07.436880402
open,High School Qualifier,138.40520101558303,135.5128846819488,141.12765361598312,2025-06-08 20:31:39.804723042,2025-04-17 13:21:00.076210174,2025-08-16 19:08:09.724814551,1.0,1.0,passed_ci,2025-02-21 05:25:59.730575304,2025-10-13 20:32:58.550217892
open,Domain Expert,145.09402952890943,143.6239610830121,146.70929170635665,2025-11-04 17:21:23.913752595,2025-09-29 08:50:11.597340563,2025-12-06 12:40:03.283247280,1.0,1.0,passed_ci,2025-09-01 07:09:47.204864418,2026-01-11 14:22:10.675460844
open,Committee of Domain Experts,150.2778666892105,148.1663328101402,152.64755395371293,2026-02-24 19:23:49.006891841,2025-12-27 10:57:59.582592826,2026-04-03 16:30:52.619970980,0.982,1.0,passed_ci,2025-11-24 23:24:16.542905927,2026-06-01 05:07:42.436959277
open,High School Top Performer,164.2125142057293,160.29639450380122,168.72702731197415,2026-12-26 19:28:09.580734016,2026-09-03 16:38:05.740248413,2027-03-08 13:57:33.399437348,0.20725,1.0,future,2026-06-20 05:52:13.950620716,2027-06-16 20:37:35.342424595
open,Top Performer,210.20988567106843,202.34833928498125,219.10219154285323,2029-09-27 07:15:27.651297211,2029-02-03 00:57:22.216214543,2030-03-05 06:33:10.021562277,0.0,1.0,future,2028-10-12 10:42:22.339469067,2030-11-08 02:56:25.286586158
