axis,tier,human_mean,human_hdi_low,human_hdi_high,crossover_date_median,crossover_hdi_low,crossover_hdi_high,p_passed_now,frac_positive_slope,status,hdi80_low,hdi80_high,scope
Closed models · all benchmarks,Average Human,92.7520070328003,88.35873467682471,96.721205153007,2023-06-14 13:30:08.230363127,2023-04-26 01:50:37.503376074,2023-08-15 13:56:06.654983539,1.0,1.0,passed_ci,2023-03-03 06:13:42.222674003,2023-09-29 00:02:37.843177053,all
Closed models · all benchmarks,Skilled Generalist,118.25024440880463,116.37813757275184,119.93337398191368,2024-05-17 07:31:04.406024026,2024-05-02 02:01:30.950810382,2024-06-19 13:09:43.644366797,1.0,1.0,passed_ci,2024-04-01 01:57:35.005786606,2024-07-03 11:25:35.939993376,all
Closed models · all benchmarks,High School Qualifier,137.1623431546714,133.74679506177404,140.62375295031978,2025-01-19 00:20:44.510530882,2024-12-01 15:04:01.614483258,2025-02-28 17:21:41.826527602,1.0,1.0,passed_ci,2024-10-18 01:28:30.956413307,2025-04-14 17:18:51.297790360,all
Closed models · all benchmarks,Domain Expert,145.07998755304996,143.52805864962218,146.7664329916393,2025-05-06 16:28:39.514697552,2025-04-14 08:47:31.152537790,2025-05-27 15:55:27.899863988,1.0,1.0,passed_ci,2025-03-27 13:45:04.979502020,2025-06-18 09:26:33.366861830,all
Closed models · all benchmarks,Committee of Domain Experts,149.59515063332043,147.26898908644102,152.05620574282634,2025-07-04 10:54:30.588903005,2025-05-27 11:07:30.493332053,2025-07-31 00:41:51.219815441,1.0,1.0,passed_ci,2025-04-27 10:47:53.216020029,2025-08-29 20:31:49.917061009,all
Closed models · all benchmarks,High School Top Performer,160.65996775678548,156.99844557455108,164.7199011297013,2025-11-26 18:27:43.951161539,2025-10-10 17:05:06.415057832,2026-01-15 02:38:52.869774217,0.99775,1.0,passed_ci,2025-08-16 23:07:12.932840112,2026-02-22 05:01:57.302067446,all
Closed models · all benchmarks,Top Performer,204.25052972531412,196.91264211056688,212.2797144085748,2027-06-22 16:00:22.151324744,2027-02-14 01:26:00.158445320,2027-09-04 18:51:35.180311481,0.019,1.0,future,2026-12-14 12:45:20.199235075,2028-01-10 21:30:44.792639095,all
Open-weights models · all benchmarks,Average Human,92.7520070328003,88.35873467682471,96.721205153007,2022-09-09 16:48:09.447975656,2022-06-12 21:35:49.872113306,2023-01-05 06:25:40.145224742,1.0,1.0,passed_ci,2022-03-12 00:53:36.887586264,2023-04-11 07:47:18.206169503,all
Open-weights models · all benchmarks,Skilled Generalist,118.25024440880463,116.37813757275184,119.93337398191368,2024-03-22 08:50:17.155437236,2024-02-17 16:34:38.795384801,2024-05-20 18:09:56.710324411,1.0,1.0,passed_ci,2024-01-01 07:58:43.377352040,2024-06-25 20:49:33.280326946,all
Open-weights models · all benchmarks,High School Qualifier,137.1623431546714,133.74679506177404,140.62375295031978,2025-05-09 08:53:27.846896092,2025-02-09 17:26:31.250243466,2025-07-14 01:28:46.807657236,0.99925,1.0,passed_ci,2024-12-10 00:16:29.831601463,2025-10-01 12:24:40.976001699,all
