name,release_date,mean,hdi_low,hdi_high,sd,is_record,in_fit,group
davinci,2020-06-11,73.83128710947152,57.11567767040237,86.39043642271989,11.98582546792273,True,False,closed
Gopher (280B),2021-12-08,101.54708275719943,91.33354677946215,109.68693328023036,7.308373582736768,True,False,closed
text-davinci-001,2022-01-27,90.01299287285693,76.70430911386487,98.8894845222898,8.924354874510978,False,False,closed
text-davinci-002,2022-03-15,106.93443934477534,99.5144206409137,112.68958006350842,5.268105198363245,True,False,closed
Chinchilla (70B),2022-03-29,108.13293874627237,99.93412133607453,115.00356658178768,6.2379635645424205,True,False,closed
PaLM 540B,2022-04-04,109.97001878057908,102.2085347437573,116.31107445537707,5.57808832845206,True,False,closed
PaLM 62B,2022-04-04,95.69971217855226,84.4115771158493,103.42287661964073,7.65700328953451,False,False,closed
gpt-4-0314,2023-03-14,120.64656373883429,115.29391635374303,124.72799104495343,3.7592521482198324,True,False,closed
claude-1.3,2023-04-18,118.96304614693022,111.28220133282525,126.24598977286583,6.049418611689109,False,False,closed
claude-instant-1.1,2023-05-11,116.29090580933526,109.11934320143403,122.13678893970808,5.2326427036994465,False,False,closed
PaLM 2-L,2023-05-17,116.10191074535211,100.95451486485291,132.90929512530272,13.126532996054872,False,False,closed
PaLM 2-M,2023-05-17,109.85140852899274,94.34434519267784,125.27213708552924,12.594340636137984,False,False,closed
PaLM 2-S,2023-05-17,103.20011546946185,89.07728705123834,118.13051118877314,12.123751698146538,False,False,closed
gpt-3.5-turbo-0613,2023-06-13,108.72043919321423,100.31325831871682,114.95239901719519,5.913295619340896,False,False,closed
gpt-4-0613,2023-06-13,115.62413443990573,110.33073616108878,119.54681548945551,3.645456008276372,False,False,closed
claude-2.0,2023-07-11,113.01568325991458,106.52985635852598,117.4694846378073,4.346684690684054,False,False,closed
Llama-2-34b,2023-07-18,101.79914914204392,92.34360090610487,108.96016732503223,6.726818683134564,False,False,closed
claude-instant-1.2,2023-08-09,117.28990889572488,110.6588055887075,123.6309593767177,5.182398409918614,False,False,closed
gpt-3.5-turbo-1106,2023-11-06,110.2874185180644,103.13022289229852,115.30201335166028,4.808949791408986,False,False,closed
gpt-4-1106-preview,2023-11-06,119.15498363686271,113.37972650536139,122.95522667332722,3.8627850865380746,False,False,closed
gpt-4-turbo,2023-11-06,125.73640629728907,119.08593879587141,131.6569354264573,4.961135578283845,True,False,closed
claude-2.1,2023-11-21,113.19435532489302,106.31335263905702,118.2936066771272,4.792441865765204,False,False,closed
gemini-1.0-pro-001,2023-12-13,109.5009021763878,102.67657015279475,114.21013983370456,4.654719503132854,False,False,closed
gpt-3.5-turbo-0125,2024-01-25,108.30456744962439,100.86282064962813,113.3229022371112,4.935125638182729,False,False,closed
gpt-4-0125-preview,2024-01-25,118.23975225604437,112.68169564820221,122.02246449360528,3.79852983278304,False,False,closed
gemini-1.5-pro-001-feb24,2024-02-15,123.20968960729503,117.64799612361321,127.78549853580367,4.0931326282269485,False,False,closed
Nemotron-4 15B,2024-02-26,100.06166671749443,89.72323134971478,107.41264130219369,6.930374224368775,False,False,closed
mistral-large-2402,2024-02-26,113.63696905492928,108.11591191346665,117.93098503989462,3.9941610144352184,False,False,closed
claude-3-opus-20240229,2024-02-29,122.0836785084036,118.48134066170769,124.92820858044128,2.5944373793134754,False,False,closed
claude-3-sonnet-20240229,2024-02-29,115.09617965080182,109.62310241669093,118.80870222251362,3.7550301761872893,False,False,closed
claude-3-haiku-20240307,2024-03-07,111.658312431522,105.23822714803472,116.06622187792613,4.308250001088715,False,False,closed
gpt-4-turbo-2024-04-09,2024-04-09,122.17200669950068,118.47370736126489,124.99619499750189,2.6626979298739015,False,False,closed
gpt-4o-2024-05-13,2024-05-13,126.03587117472735,123.11857416722317,128.38163896218776,2.120523183158015,True,False,closed
gemini-1.5-pro-001,2024-05-14,124.64581810057913,121.28233905577126,127.38529556463712,2.391351527459572,False,False,closed
gemini-1.5-flash-001,2024-05-23,120.2422099026177,115.96260069214595,123.47698526907074,2.9562859063290947,False,False,closed
claude-3-5-sonnet-20240620,2024-06-20,126.2199228093746,123.23040205922416,128.74701084499964,2.210694912970112,True,False,closed
gpt-4o-mini-2024-07-18,2024-07-18,119.61361797885775,114.95683788740158,123.0698897887154,3.229743886773237,False,False,closed
gpt-4o-2024-08-06,2024-08-06,125.42967436008487,121.90470094240872,127.99960349027822,2.3909951595102212,False,False,closed
grok-2,2024-08-13,120.6113163304865,116.10243876623076,123.92954750802394,3.1569120128407793,False,False,closed
o1-mini-2024-09-12,2024-09-12,127.68892571916587,122.7723083756369,132.4154147360459,3.8980356209207687,False,False,closed
o1-mini-2024-09-12_high,2024-09-12,133.96741005133345,130.09343404701403,137.71361365984546,3.0765433557671376,True,False,closed
o1-mini-2024-09-12_medium,2024-09-12,129.36597823494068,125.96910167002324,132.41561337460672,2.5720683656815875,False,False,closed
o1-mini-2024-09-12_unknown,2024-09-12,126.57673704204053,121.39847836270523,130.76165666033597,3.845512994840609,False,False,closed
o1-preview-2024-09-12,2024-09-12,132.3539054910998,129.8482526360938,134.66662913142451,1.9167081558646075,False,False,closed
gemini-1.5-flash-002,2024-09-24,122.75209841926662,118.49235367575133,126.10980085968953,3.0771433017303953,False,False,closed
gemini-1.5-pro-002,2024-09-24,126.69531132262806,123.19386418676181,129.52808850976027,2.5384548135478764,False,False,closed
gemini-1.5-flash-8b-001,2024-10-03,111.95440418936423,105.00296807589754,116.79341838210436,4.684454265764394,False,False,closed
ministral-3b-2410,2024-10-16,103.65811056878242,94.68715412391076,109.93408214558116,6.015980286338371,False,False,closed
claude-3-5-haiku-20241022,2024-10-22,120.67914157161141,116.2810854162677,123.91955231660785,3.08495799791661,False,False,closed
claude-3-5-sonnet-20241022,2024-10-22,130.0,130.0,130.0,0.0,False,True,closed
qwen-turbo-2024-11-01,2024-11-01,121.6866732695263,116.76442144324072,125.32164557451962,3.405924633091395,False,False,closed
gpt-4o-2024-11-20,2024-11-20,124.33252758811668,120.63712140167227,127.06662024425952,2.6075051122028037,False,False,closed
amazon.nova-lite-v1:0,2024-12-03,117.37001669514979,112.22783187732044,121.18282766152198,3.532154234792267,False,False,closed
amazon.nova-micro-v1:0,2024-12-03,108.6667609707875,101.62267733819658,113.79192094337542,5.009714246633517,False,False,closed
amazon.nova-pro-v1:0,2024-12-03,121.88849883599308,117.80319367203414,124.98819507667376,2.8819912714280296,False,False,closed
o1-2024-12-17,2024-12-05,141.68789961670453,136.56671443588553,148.01831119919194,4.651424999540313,True,True,closed
o1-2024-12-17_high,2024-12-05,141.08832655917786,137.3990389768299,145.67185517221523,3.285908368711253,False,False,closed
o1-2024-12-17_medium,2024-12-05,138.79326509227727,136.22458840558065,141.83191351023154,2.1652095464955394,False,False,closed
gemini-2.0-flash-exp,2024-12-11,124.62197731505026,118.9628614528284,129.17026958934656,4.020810464653658,False,False,closed
grok-2-1212,2024-12-12,127.32098843390035,123.72585395768148,130.18087912232852,2.6044888550975966,False,False,closed
gemini-2.0-flash-thinking-exp-01-21,2025-01-21,127.1276233296052,122.75379090156703,130.6999945092561,3.175375955109001,False,False,closed
qwen-max-2025-01-25,2025-01-25,126.4954857724017,122.67535783484247,129.80830970459274,2.885153368672512,False,False,closed
qwen-plus-2025-01-25,2025-01-25,124.8774992592862,120.27980779918624,128.2990187862277,3.250619713109535,False,False,closed
o3-mini-2025-01-31,2025-01-31,133.21559846104276,129.21989980127157,136.70150169757716,3.006697810191615,False,False,closed
o3-mini-2025-01-31_high,2025-01-31,138.26859130853308,135.06745845664884,141.53539294824776,2.555306502550858,False,True,closed
o3-mini-2025-01-31_low,2025-01-31,133.50736072884996,128.7870037243211,138.1890672043779,3.7584171399330852,False,False,closed
o3-mini-2025-01-31_medium,2025-01-31,136.26105004144466,134.06203127123567,138.61529337951322,1.8263705774307841,False,False,closed
gemini-2.0-flash-001,2025-02-05,130.13563681772126,127.2400965543754,132.800398066758,2.231695955245758,False,False,closed
gemini-2.0-pro-exp-02-05,2025-02-05,132.39437611987796,129.17234000522484,135.64064907109483,2.5619034309819297,False,False,closed
claude-3-7-sonnet-20250219,2025-02-24,131.9523062598438,129.95548476711758,134.02336419418305,1.6367610086118805,False,False,closed
claude-3-7-sonnet-20250219_16K,2025-02-24,138.90229537815105,136.31297429630305,141.74613185736087,2.18407809647709,False,False,closed
claude-3-7-sonnet-20250219_32K,2025-02-24,139.96613352643783,136.4103304329862,144.69607148921725,3.3033850176579365,False,False,closed
claude-3-7-sonnet-20250219_64K,2025-02-24,141.02519368866623,136.5451643142058,146.49679804362472,4.087297527583141,False,True,closed
claude-3-7-sonnet-20250219_thinking,2025-02-24,138.5267734584001,133.95224634262632,143.12924398127174,3.6788237150304806,False,False,closed
claude-3-7-sonnet-20250219_unknown,2025-02-24,132.68133638027282,127.52798895594424,136.91423502631184,3.9471864963201613,False,False,closed
gpt-4.5-preview-2025-02-27,2025-02-27,132.73828280609672,130.4670627205585,135.00707979692007,1.8073493277918478,False,False,closed
