name,release_date,mean,hdi_low,hdi_high,sd,is_record,in_fit,group
gpt-4-0314,2023-03-14,117.98987063148967,110.36606281222413,122.97878228023023,5.324025677445954,True,False,closed
gpt-4-0613,2023-06-13,114.7503653447252,107.80815183780757,119.80235416415931,5.053292161731614,False,False,closed
claude-2.1,2023-11-21,113.28207165666339,103.64445738484815,120.18378532333975,6.892949093001899,False,False,closed
gemini-1.0-pro-001,2023-12-13,109.5524517294477,100.99155637796635,115.99466741039328,6.425952905707519,False,False,closed
gpt-3.5-turbo-0125,2024-01-25,108.41955969140608,98.04237597652542,115.72466247441389,7.438051953809814,False,False,closed
mistral-large-2402,2024-02-26,115.66494912574424,108.49154292825862,121.12836412252123,5.26700443796416,False,False,closed
claude-3-opus-20240229,2024-02-29,122.76447475082244,117.8410969722894,126.80895543943615,3.562965707174074,True,False,closed
claude-3-sonnet-20240229,2024-02-29,116.34016029308086,109.20998617286732,121.27837662615867,5.139585668036139,False,False,closed
claude-3-haiku-20240307,2024-03-07,117.63098407650199,110.48512336864715,122.43062987660323,5.1518885927031395,False,False,closed
gpt-4-turbo-2024-04-09,2024-04-09,120.07036797843331,113.97306493492631,124.04495497689416,4.073308260761277,False,False,closed
gpt-4o-2024-05-13,2024-05-13,125.108672476694,120.27584505822031,129.2390490085993,3.647407963158033,True,False,closed
gemini-1.5-pro-001,2024-05-14,123.54787933692592,118.34096718017113,127.88797228182516,3.9053248011921724,False,False,closed
gemini-1.5-flash-001,2024-05-23,119.75978477638168,113.6179701787388,124.33753368665587,4.487694322110241,False,False,closed
claude-3-5-sonnet-20240620,2024-06-20,128.4556885467846,124.45784829512309,131.74381970091704,2.992377850095439,True,False,closed
gpt-4o-mini-2024-07-18,2024-07-18,117.29072929580045,109.52630618774833,122.69861213251919,5.269547532597054,False,False,closed
gpt-4o-2024-08-06,2024-08-06,117.08088988158258,109.62570982241381,122.16279939001546,5.278488799129794,False,False,closed
grok-2,2024-08-13,123.12576789662526,117.15239334654376,127.67489721347158,4.2268098600568775,False,False,closed
o1-mini-2024-09-12_medium,2024-09-12,136.16268114132873,130.95592818352242,141.4433786979025,4.280585052988028,True,False,closed
