name,release_date,level_eci_median,lag_months_median,frac_undefined,frac_backcast,backcast,frac_censored,censored,first_leader_above,lag_hdi50_low,lag_hdi50_high,lag_hdi80_low,lag_hdi80_high
qwen2-72b-instruct,2024-06-07,116.02545562747073,17.692333691187287,0.0,0.6575,True,0.000625,False,gpt-4-0314 (66%); claude-3-opus-20240229 (18%); gpt-4-0613 (5%),3.3511293634510366,23.400777238271985,3.25256673511376,31.749175556630146
Llama-3.1-405B-Instruct,2024-07-23,121.45729894358087,4.763860369609574,0.0,0.1375,False,0.000625,False,claude-3-opus-20240229 (56%); gpt-4o-2024-05-13 (19%); gpt-4-0314 (14%),4.5338809034901715,4.763860369609574,2.332648870636149,17.71013841052818
DeepSeek-V3,2024-12-26,128.94391422975355,3.449691991785585,0.0,0.00125,False,0.0,False,o1-mini-2024-09-12_medium (49%); claude-3-5-sonnet-20240620 (29%); gpt-4o-2024-05-13 (11%),3.449691991785585,6.20944558521569,3.449691991785585,7.457905544147252
DeepSeek-R1,2025-01-20,136.2204616014945,4.271047227925919,0.0,0.0,False,0.0,False,o1-mini-2024-09-12_medium (49%); o1-2024-12-17_high (22%); o1-preview-2024-09-12 (10%),1.5112936344985428,4.271047227925919,1.5112936344985428,4.271047227925919
Qwen3-32B,2025-04-29,140.01459211133078,2.891170431212231,0.0,0.0,False,0.0,False,o1-mini-2024-09-12_medium (25%); gemini-2.5-pro-exp-03-25 (20%); o3-mini-2025-01-31_high (12%),1.149897330597014,7.523613963039679,0.657084188913359,7.523613963039679
Qwen3-235B-A22B-Thinking-2507,2025-07-25,141.72591746125013,4.008213552361667,0.0,0.0,False,0.0,False,gemini-2.5-pro-exp-03-25 (32%); o3-mini-2025-01-31_high (12%); o1-mini-2024-09-12_medium (12%),4.008213552361667,7.622176591376956,3.2854209445586093,10.381930184804332
gpt-oss-120b_high,2025-08-05,145.712219090397,3.876796714579541,0.0,0.0,False,0.0,False,gemini-2.5-pro-exp-03-25 (34%); o3-2025-04-16_high (23%); gpt-5-2025-08-07_high (14%),3.646817248460138,4.369609856263196,-0.0657084188896988,5.3223819301856565
kimi-k2.5,2026-01-27,146.73341107792294,9.396303901437022,0.0,0.0,False,0.0,False,o3-2025-04-16_high (28%); gemini-2.5-pro-exp-03-25 (26%); gpt-5-2025-08-07_high (15%),9.396303901437022,10.11909650924008,5.683778234087185,10.11909650924008
glm-5.1,2026-04-07,149.1590960915443,7.983572895278485,0.0,0.0,False,0.0,False,gpt-5-2025-08-07_high (52%); o3-2025-04-16_high (13%); grok-4-0709 (8%),7.983572895278485,11.696098562628322,7.983572895278485,11.926078028747725
kimi-k2.6,2026-04-20,154.50147232460893,8.410677618072441,0.0,0.0,False,0.0,False,gpt-5-2025-08-07_high (31%); gpt-5-pro-2025-10-06_unknown (25%); gpt-5-pro-2025-10-06_high (20%),8.410677618072441,8.410677618072441,5.026694045176555,8.410677618072441
glm-5.2_unknown,2026-06-16,161.38622769067211,4.303901437370769,0.0,0.0,False,0.0,False,gpt-5.2-pro-2025-12-11_xhigh (21%); gpt-5.5-pro_xhigh (13%); gpt-5.4-pro-2026-03-05_xhigh (11%),3.383983572895886,6.143737166325991,1.774127310062795,10.283367556469784
kimi-k3_unknown,2026-07-16,166.82369133250683,2.759753593430105,0.000625,0.0,False,0.0,False,gpt-5.5-pro_xhigh (49%); gpt-5.4-pro-2026-03-05_xhigh (10%); claude-fable-5 (10%),2.759753593430105,2.759753593430105,1.2156057494867127,4.369609856263196
