scope,quantity,unit,median,frac_undefined,hdi50_low,hdi50_high,hdi80_low,hdi80_high
all,slope_leader,ECI-H / yr,27.749215673439302,0.0,27.113443770471697,28.436739159208702,26.525601577507743,28.982976569267585
public,slope_leader,ECI-H / yr,28.03387633099198,0.0,27.013404343347936,29.18631817152739,26.021258612447628,30.07837977685531
public,slope_leader_minus_all,ECI-H / yr,0.2972940673576616,0.0,-0.9412086545564602,1.5585937734580053,-2.0003365291063684,2.665234886344145
semi_private,slope_leader,ECI-H / yr,24.29857083063939,0.0,23.44609947039056,25.237200508598228,22.626765117024565,25.991830074284636
semi_private,slope_leader_minus_all,ECI-H / yr,-3.4616911834453514,0.0,-4.555066228584313,-2.3391021022201386,-5.500308285447007,-1.3706044687903145
private,slope_leader,ECI-H / yr,24.044125453808807,0.0,22.254540582454,25.950172237075922,20.581279739693343,27.496293438381812
private,slope_leader_minus_all,ECI-H / yr,-3.6303911256235875,0.0,-5.587607702908712,-1.7553309052465753,-7.290666304910582,-0.15077591453317193
all,slope_follower,ECI-H / yr,16.668326008180266,0.0,15.85855310074059,17.559732547610107,15.077260248248916,18.249807538470566
public,slope_follower,ECI-H / yr,16.723680664550486,0.0,15.475768922692906,18.060460764225542,14.311252594903019,19.121996759349827
public,slope_follower_minus_all,ECI-H / yr,0.0573616238335104,0.0,-1.460594337367103,1.5644999632439784,-2.806504237992906,2.911971871879403
semi_private,slope_follower,ECI-H / yr,18.054861593391315,0.0,16.92306355704616,19.243758488839,15.89148181764313,20.20675986300463
semi_private,slope_follower_minus_all,ECI-H / yr,1.4064517264485064,0.0,-0.026061459115619634,2.7868267485578926,-1.3046901877403372,3.992747198184298
private,slope_follower,ECI-H / yr,19.52196590311722,0.0,18.103717812635256,20.991017418259972,16.816296097589774,22.186168003640212
private,slope_follower_minus_all,ECI-H / yr,2.8755925978562633,0.0,1.2141660716479015,4.518920796505214,-0.3062886080633019,5.959219698332415
all,slope_diff,ECI-H / yr,11.076908020658003,0.0,10.043112027176084,12.129266146421035,9.090051284184659,13.103656579559443
public,slope_diff,ECI-H / yr,11.331767992216152,0.0,9.696324580046412,12.916610368093684,8.22792083668844,14.437799033826337
public,slope_diff_minus_all,ECI-H / yr,0.2440790159584605,0.0,-1.6630248032464987,2.1858651251283807,-3.4064123549626975,4.004785930299395
semi_private,slope_diff,ECI-H / yr,6.2174630131197635,0.0,4.8789714259107475,7.5857178280385735,3.6326761410189023,8.947407021862478
semi_private,slope_diff_minus_all,ECI-H / yr,-4.841045797569801,0.0,-6.564931558441277,-3.0936798075102123,-8.185074278709083,-1.515161007837186
private,slope_diff,ECI-H / yr,4.5983064866897685,0.0,2.272616881255291,6.834514267723458,0.05633063287247666,8.995805054050216
private,slope_diff_minus_all,ECI-H / yr,-6.555177276995083,0.0,-9.006861863800928,-3.937896068970815,-11.334429137888183,-1.8839762002357778
all,gap_today,ECI-H,23.220937309366576,0.0,21.788350281586823,24.694665379771884,20.484575614369398,26.01555461771732
