name,release_date,level_eci_median,lag_months_median,frac_undefined,frac_backcast,backcast,frac_censored,censored,first_leader_above,lag_hdi50_low,lag_hdi50_high,lag_hdi80_low,lag_hdi80_high
DeepSeek-V3-0324,2025-03-24,127.79026606916695,21.686574336555623,0.0,0.5325,True,0.0,False,gpt-4-0613 (53%); claude-3-5-sonnet-20240620 (30%); claude-3-opus-20240229 (4%),9.10061601642792,25.60342042722209,9.10061601642792,30.51132333726747
qwen3-235b-a22b,2025-04-29,135.79565135184487,5.256673511295958,0.0,0.00875,False,0.0,False,gpt-4o-2024-11-20 (19%); o1-2024-12-17_medium (16%); gpt-4o-2024-08-06 (15%),4.763860369612303,8.739219712526392,2.004106776182198,10.283367556469784
Qwen3-235B-A22B-Thinking-2507,2025-07-25,139.03469130541674,7.622176591376956,0.0,0.000625,False,0.0,False,gemini-2.5-pro-exp-03-25 (28%); o1-2024-12-17_medium (20%); gpt-4o-2024-11-20 (16%),4.008213552361667,8.11498973306061,4.008213552361667,8.11498973306061
DeepSeek-V3.1-Terminus,2025-09-22,139.8903004830301,6.899383983573898,0.0,0.0,False,0.0,False,gemini-2.5-pro-exp-03-25 (36%); o1-2024-12-17_medium (18%); gpt-4o-2024-11-20 (15%),5.946611909651438,9.560574948666726,5.946611909651438,10.053388090350381
DeepSeek-V3.2-Exp_thinking,2025-09-29,143.20397726661957,6.17659137577084,0.0,0.0,False,0.0,False,gemini-2.5-pro-exp-03-25 (66%); o1-2024-12-17_medium (10%); gpt-4.5-preview-2025-02-27 (8%),6.17659137577084,7.030800821356024,6.17659137577084,9.79055441478613
qwen3.5-397b-a17b,2026-02-13,145.67680248356982,10.677618069816162,0.0,0.0,False,0.0,False,gemini-2.5-pro-exp-03-25 (77%); o1-2024-12-17_medium (5%); o3-2025-04-16_medium (5%),10.677618069816162,10.677618069816162,10.677618069816162,12.41889117043138
kimi-k2.6,2026-04-20,145.97775646933383,12.845995893225336,0.0,0.0,False,0.0,False,gemini-2.5-pro-exp-03-25 (78%); o3-2025-04-16_medium (5%); o3-2025-04-16_high (5%),12.845995893225336,12.845995893225336,12.845995893225336,13.70020533881052
deepseek-v4-pro_max,2026-04-24,148.91537980687826,12.977412731007462,0.0,0.0,False,0.0,False,gemini-2.5-pro-exp-03-25 (73%); o3-2025-04-16_medium (17%); o3-2025-04-16_high (4%),12.977412731007462,12.977412731007462,12.254620123204404,12.977412731007462
glm-5.2_max,2026-06-16,151.4241277658449,14.718685831622679,0.0,0.0,False,0.0,False,gemini-2.5-pro-exp-03-25 (58%); o3-2025-04-16_medium (29%); gemini-2.5-pro-preview-06-05 (3%),13.995893223819621,14.718685831622679,13.995893223819621,14.718685831622679
kimi-k3_max,2026-07-16,154.2049123057734,14.981519507186931,0.0,0.0,False,0.0,False,gemini-2.5-pro-exp-03-25 (39%); o3-2025-04-16_medium (30%); gemini-2.5-pro-preview-06-05 (6%),13.33880903490899,15.704312114989989,4.8295687885020016,15.704312114989989
deepseek-v4-pro-0813_max,2026-08-13,159.64946355888384,5.289527720740807,0.000625,0.0,False,0.0,False,claude-mythos-preview (19%); gemini-2.5-pro-exp-03-25 (16%); o3-2025-04-16_medium (10%),3.679671457907716,15.901437371664542,2.135523613964324,16.6242299794676
