model,release_date,C_mean,C_hdi_low,C_hdi_high,ECI_mean,ECI_hdi_low,ECI_hdi_high
qwen3.8-max_xhigh,2026-08-02,1.3819230293090876,1.2552703285751907,1.519530945976561,162.64059876941718,157.36644018989773,169.6441392000326
claude-opus-5,2026-07-24,1.4688083333134836,1.2140936726764433,1.760032086227777,164.59503805203897,157.26407714811643,174.2524046265365
claude-opus-5_max,2026-07-24,1.709113072344358,1.5844716554481426,1.8436603236055331,170.02541412328287,163.70552343622975,178.44145901577338
kimi-k3_unknown,2026-07-16,1.6566941531535537,1.4537691150912715,1.8750316452152989,168.83778230789738,161.86730259263268,178.01224840365322
gpt-5.6-sol_max,2026-07-09,1.760383581015744,1.6330037879892818,1.8945340268806,171.15286647622332,164.6726262817331,179.80825856365624
grok-4.5_high,2026-07-08,1.1504990364949226,1.0402401915706285,1.269961587343451,157.42973954346377,152.97684361873428,163.20951314235288
claude-sonnet-5_unknown,2026-06-30,1.3677142783523077,1.0937257255582906,1.6332476820928175,162.2712828569666,155.01061144432197,171.14889948589718
glm-5.2_unknown,2026-06-16,1.2630873624482324,0.8970168036801444,1.606091152571753,159.9212898466351,151.05331599481775,170.0287473216576
claude-fable-5_max,2026-06-09,1.8059267447737595,1.6745826532743304,1.9462508397162086,172.1956014173332,165.4507342733395,181.10842203719966
claude-fable-5,2026-06-09,1.7334315348266303,1.3769398515295983,2.112458521386764,170.55621828821657,160.96489114714439,182.69958693693965
claude-fable-5_unknown,2026-06-09,1.989844656448624,1.6227379349052984,2.428311253843684,176.34586118981912,166.00178033019276,190.55964827478235
claude-fable-5_high,2026-06-09,1.7220928011037147,1.551677319439783,1.9062387941461818,170.28840298675803,163.52259339824877,179.27262315158004
MiniMax-M3,2026-06-01,0.6746823487776636,0.41297106429565505,0.9017219540771151,146.677503174243,140.48273467186664,152.88663065194316
claude-opus-4-8_unknown,2026-05-28,1.4564993122787455,1.1205647076925898,1.7486494750600055,164.26600886052418,155.717907128818,173.98285910233372
deepseek-v4-pro_max,2026-04-24,0.8386448276275069,0.7289487322752666,0.9503385487123955,150.40005615281342,146.7914979966267,154.87029177613005
gpt-5.5-codex,2026-04-23,1.1242799200139135,-0.579476643706503,1.936563272053134,156.61981818521605,118.40636075431752,176.8198619279514
gpt-5.5-pro_xhigh,2026-04-23,1.7397817340782233,1.5923122585922262,1.90625738709472,170.7278217360746,164.05628635094695,179.5747223603609
gpt-5.5_xhigh,2026-04-23,1.5982302487962343,1.4820791610193822,1.718785202191976,167.5041635909076,161.63544676183778,175.29588724169648
gpt-5.4-2026-03-05_xhigh,2026-03-05,1.3662580147004104,1.2669951843808924,1.46714082337933,162.2833840265115,157.30654478011405,168.763134265988
gpt-5.4-pro-2026-03-05_unknown,2026-03-05,1.3693308302009664,1.209944880262915,1.5360714578888417,162.34443815609148,156.70582323985286,169.67879653362937
gpt-5.4-pro-2026-03-05_xhigh,2026-03-05,1.5759109594022203,1.4401085891969596,1.7304046206519645,167.02610862505497,160.9966457798236,175.0550353602771
gemini-3.1-pro-preview,2026-02-19,1.2275899600439768,1.1401043707673377,1.318414645539076,159.17379212091737,154.72270956463458,164.97625194353822
claude-opus-4-6,2026-02-05,0.9314419119260174,0.7774622330328865,1.085889766288529,152.4981063166537,147.95716306323942,157.9493452125226
claude-opus-4-6_high,2026-02-05,1.3606743580878389,1.1512252918182324,1.5748744016257716,162.11858358319935,155.83090721906603,170.19082686666306
mistral-large-2512,2025-12-02,0.035347213806469366,-0.44143491554865705,0.42444431098142493,132.33293244043278,121.14177903601224,141.30425675934782
