,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_b_log__[0],-2.608487,0.117626,-2.827056,-2.386174,0.000449,0.000351,68842.563183,65737.794882,1.000088
sigma_b_log__[1],-2.098284,0.086855,-2.257688,-1.931858,0.000281,0.000274,95225.395274,68022.320744,1.000136
sigma_b_log__[2],-2.489971,0.381402,-3.2614,-1.878358,0.003643,0.001957,11331.625555,24821.716271,1.000837
sigma_b_log__[3],-2.084614,0.100531,-2.275713,-1.898643,0.000405,0.000294,61633.739607,64019.577055,1.000064
sigma_b_log__[4],-3.113997,0.399974,-3.861425,-2.354565,0.004788,0.002686,6994.210871,7995.123074,1.000616
sigma_b_log__[5],-2.729623,0.143619,-2.99425,-2.457626,0.000531,0.000438,73935.91711,64255.121261,1.000027
sigma_b_log__[6],-2.734324,0.160116,-3.038939,-2.436838,0.001129,0.000528,20116.320892,40806.386621,1.000255
sigma_b_log__[7],-2.54169,0.132067,-2.791939,-2.296449,0.000395,0.000439,112884.749933,66565.091704,0.999992
sigma_b_log__[8],-1.627893,0.126757,-1.863361,-1.388818,0.000425,0.000427,89617.725752,60589.834981,1.000055
sigma_b_log__[9],-2.838738,0.109236,-3.047662,-2.638709,0.0005,0.000336,47853.566204,59771.268573,1.000089
sigma_b_log__[10],-2.276703,0.178455,-2.602783,-1.933108,0.000599,0.000591,89928.874103,62766.669315,1.000035
sigma_b_log__[11],-3.394979,0.188315,-3.747167,-3.039633,0.00072,0.000593,68861.683542,62787.812217,1.000122
sigma_b_log__[12],-3.121071,0.220247,-3.539128,-2.711627,0.001027,0.00063,46030.229183,60098.419001,1.000061
sigma_b_log__[13],-2.091358,0.240209,-2.546988,-1.645056,0.001392,0.000753,29842.662982,50289.168419,1.000212
sigma_b_log__[14],-2.093367,0.058297,-2.203344,-1.984247,0.000166,0.000207,123732.726626,64987.831823,1.000008
sigma_b_log__[15],-2.667736,0.085341,-2.827409,-2.507763,0.000334,0.000253,65482.423956,63502.860391,1.000028
sigma_b_log__[16],-3.207658,0.168121,-3.528747,-2.894783,0.000733,0.000519,52647.856263,60859.326641,1.000034
sigma_b_log__[17],-2.36538,0.172688,-2.6828,-2.035183,0.000643,0.000536,72800.955681,62240.374818,1.000149
sigma_b_log__[18],-2.764092,0.130215,-3.003906,-2.5161,0.000454,0.000415,82599.399645,63939.32685,1.000017
sigma_b_log__[19],-2.274472,0.132138,-2.526248,-2.028248,0.00058,0.000393,51856.280394,62953.012354,1.000095
sigma_b_log__[20],-1.506716,0.111972,-1.718124,-1.299794,0.000279,0.000434,162210.22512,60390.507438,1.000147
sigma_b_log__[21],-2.966554,0.120785,-3.191306,-2.737917,0.000382,0.000399,100576.015933,66125.8128,1.000134
sigma_b_log__[22],-2.849017,0.341439,-3.485389,-2.194429,0.001636,0.001152,43732.88998,39960.21727,1.000065
