name,mean,hdi_low,hdi_high,n_obs,is_low_obs
gpt2-xl,-2.7359483367956123,-3.41129372599455,-2.095179692369586,1,True
Phi-3.5-vision-instruct,-2.6150968856994066,-3.5291573412485313,-1.7565402723112435,1,True
Mixtral-8x7B-Instruct-v0.1,-2.4303425803603997,-2.9529513012918485,-1.9385016838466813,5,False
gpt-3.5-turbo-0125,-2.242169614375481,-2.957584030568287,-1.7044883348544948,4,False
davinci-002,-2.2117122962301905,-2.819235521142986,-1.6600225965080497,1,True
Llama-3.1-8B-Instruct,-2.1876120060465833,-2.566426013704101,-1.8336922684007895,8,False
OLMo-2-1124-13B-Instruct,-2.1463608584086673,-2.5708252982970023,-1.781848712904476,1,True
Llama-2-70b-chat-hf,-2.1421617116100933,-3.024127823450617,-1.5281247164239438,2,True
Mixtral-8x22B-Instruct-v0.1,-2.1377188813334396,-2.863145317852486,-1.5429071878403178,2,True
Phi-3-mini-4k-instruct,-2.1335068005034494,-2.55178192268199,-1.7615285761158064,1,True
Phi-3-small-8k-instruct,-2.05013924385662,-2.467329575484852,-1.6997797494694185,1,True
Llama-3.2-11B-Vision-Instruct,-2.028059112736779,-2.914499263006256,-1.2087250655431379,1,True
gemini-1.0-pro-001,-2.0017187334361615,-2.4486620771011216,-1.5768559341414863,5,False
amazon.nova-micro-v1:0,-1.9015049504808124,-2.2129480208424135,-1.6437887920831329,6,False
c4ai-command-r-08-2024,-1.8852164173589463,-2.267851048431481,-1.5297958324873357,1,True
gpt-3.5-turbo-instruct,-1.850329358697471,-2.3925379368335746,-1.3463490116090424,1,True
gemma-2-9b-it,-1.8424055594211053,-2.193821606939788,-1.5298213948671309,2,True
claude-2.1,-1.7997605930679617,-2.4089462069452265,-1.3346122697313285,3,True
c4ai-command-r-plus-08-2024,-1.7789231697615848,-2.143408139303022,-1.4882093562161545,2,True
Meta-Llama-3-8B,-1.6003780082885033,-2.9770428845407784,-0.16983715915842337,1,True
