name,mean,hdi_low,hdi_high,n_obs,is_low_obs
gpt2-xl,89.50086869701212,66.57054800331926,104.6946935255726,1,True
Phi-3.5-vision-instruct,91.82896100869465,65.88380692327038,109.9309012069439,1,True
Mixtral-8x7B-Instruct-v0.1,95.38541689329368,76.47957210565257,107.74702138955244,5,False
gpt-3.5-turbo-0125,98.55886898420805,78.27871054560367,111.85188966442374,4,False
davinci-002,99.35942448887104,80.63038718747183,112.3219004304111,1,True
Llama-3.1-8B-Instruct,99.87924487130871,84.362546755324,110.1861035202884,8,False
Llama-2-70b-chat-hf,100.6341168231629,78.09075697099482,114.16829705632803,2,True
OLMo-2-1124-13B-Instruct,100.63426072334374,84.10572995678626,110.7518337777594,1,True
Mixtral-8x22B-Instruct-v0.1,100.69076427758844,81.09062619481158,114.15215128651924,2,True
Phi-3-mini-4k-instruct,100.92231030092894,84.92850676468554,110.91801073993616,1,True
Phi-3-small-8k-instruct,102.49080634654014,86.50885369280522,112.11793476431806,1,True
Llama-3.2-11B-Vision-Instruct,102.91924580255537,80.95909592247007,119.64199955259438,1,True
gemini-1.0-pro-001,103.55033927955907,87.92107217628609,113.7004963055821,5,False
amazon.nova-micro-v1:0,105.30754262953394,91.48097344105629,113.66230992082548,6,False
c4ai-command-r-08-2024,105.72937980722708,91.20508788034869,114.62432149813186,1,True
gpt-3.5-turbo-instruct,106.2321972746169,89.54665362135472,117.35461963256635,1,True
gemma-2-9b-it,106.37327922700194,92.79764367551795,114.95732618623792,2,True
claude-2.1,107.17286087059077,89.64000705168144,117.93588208366414,3,True
c4ai-command-r-plus-08-2024,107.6769603080372,93.90548424685434,115.92818052096182,2,True
Pixtral-12B-2409,111.04885557945462,92.42814718258934,125.24701078982086,2,True
claude-3-haiku-20240307,111.15009570043536,98.40347002174352,119.417146592746,7,False
Meta-Llama-3-8B,111.32364928662552,80.43993953097109,138.02444965131434,1,True
Meta-Llama-3-8B-Instruct,111.9328474970805,95.33075288562027,122.17786542844483,2,True
mistral-large-2402,111.9709588407375,99.62355371059483,120.14134614588014,6,False
gemini-1.5-flash-001,112.45454569414758,92.84136484652309,124.08098584163245,2,True
Meta-Llama-3-70B-Instruct,112.46040904367257,99.98206103461074,120.78839172285687,5,False
amazon.nova-lite-v1:0,112.94675194888998,102.50155530086089,119.593835207213,8,False
gemma-2-27b-it,113.26986121825874,101.68325983839263,120.33076292617181,2,True
Hermes-2-Theta-Llama-3-70B,113.39268183766978,95.88669565356042,124.42785260447944,1,True
claude-2.0,113.42768081321685,95.05581609130778,124.06910803863879,1,True
qwen2-72b-instruct,113.84512662030203,101.62669163353583,122.23922344675726,2,True
gpt-4-0613,114.13116400437445,103.93397608404436,120.86253085142222,9,False
Llama-3.1-70B-Instruct,114.22122089139495,103.39866938124689,121.33643288618474,7,False
claude-3-sonnet-20240229,114.47682739471793,103.47468017040552,121.8251499422723,7,False
Llama-3.2-90B-Vision-Instruct,115.29201488672888,103.32250186753217,123.06155295172154,5,False
gpt-4-0314,115.45422852744193,103.99926352104931,122.93889510732872,2,True
Llama-3.1-Tulu-3-70B-DPO,115.86499991012127,97.54191157677059,126.52341063853527,1,True
QwQ-32B-Preview,115.9511500002423,105.30721919739655,123.12637681371763,2,True
gemini-1.5-flash-8b-001,115.95781491659716,98.09086194344908,126.54559851494697,1,True
Llama-4-Scout-17B-16E-Instruct,116.37347198853737,104.71692893397623,124.35782053438294,6,False
gpt-4o-mini-2024-07-18,116.52662165679632,106.9504165616208,122.65221310003226,6,False
mistral-small-2501,116.90132010306226,106.96738208878789,123.26152633439196,2,True
Qwen2-VL-72B-Instruct,117.30901816373785,98.97040186868553,131.95325001218538,1,True
phi-4,117.4323383411369,107.37080877215062,124.08665491138879,2,True
qwen-turbo-2024-11-01,117.46177923920229,100.81222190879146,127.83100858829795,1,True
deepseek-v4-pro_unknown,117.71532395180367,89.51364186850988,144.31396651745197,1,True
amazon.nova-pro-v1:0,118.02373018714752,109.02890649534166,123.80950012174233,8,False
mistral-small-2503,118.2828635425044,108.6496290711086,124.38224598648604,3,True
gemini-1.5-pro-001,118.55563856954646,109.24243011956456,125.17594538719939,9,False
qwen2.5-32b-instruct,118.59101335828382,101.40083520252294,128.71430377941223,1,True
mistral-large-2407,118.96333941009689,109.39330724987526,125.3003567994446,8,False
claude-3-5-haiku-20241022,119.09330576702044,110.7862635302616,124.96172859518664,5,False
qwen2.5-72b-instruct,119.22796291523258,109.54237284427498,125.9543944060988,4,False
gpt-4-turbo-2024-04-09,119.25133699720689,110.30064309538507,125.3089225717744,9,False
DeepSeek-R1-Distill-Qwen-32B,119.43480004491254,109.91501866165771,126.24620510550412,1,True
Dracarys2-Llama-3.1-70B-Instruct,119.97378736180339,110.11389968627296,126.69897791665376,1,True
Qwen2.5-Coder-32B-Instruct,119.98620210530176,110.60621364581407,126.78471917399287,1,True
gpt-4-turbo,120.04654500944446,109.67888581564233,128.03430449580466,3,True
gpt-4-0125-preview,120.27526540281745,108.56705002423038,129.7301100741757,1,True
sonar,120.43706900187566,111.21808453177637,127.31040816992522,1,True
mistral-large-2411,120.73383855433342,111.87511276375481,126.51499122601655,3,True
Llama-3.3-70B-Instruct,120.88389577916774,112.53463460504882,126.3122421396794,5,False
claude-3-opus-20240229,121.91168968815259,114.99701665389433,126.62068546551556,14,False
