,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_b_log__[0],-2.561503,0.124356,-2.798241,-2.335222,0.002099,0.001187,3524.274261,5264.574545,1.002216
sigma_b_log__[1],-1.85002,0.146373,-2.108107,-1.552737,0.002239,0.001424,4268.371292,6056.14504,1.000763
sigma_b_log__[2],-2.073321,0.061289,-2.187335,-1.957109,0.000743,0.000703,6820.286272,5865.116814,1.001034
sigma_b_log__[3],-2.606006,0.08321,-2.754381,-2.44151,0.001217,0.000826,4674.199585,5526.598813,1.000155
sigma_b_log__[4],-3.358068,0.188704,-3.704337,-2.994841,0.003732,0.00213,2579.823879,3701.579755,1.000136
sigma_b_log__[5],-2.533601,0.159675,-2.854462,-2.252646,0.003181,0.001887,2554.401855,3479.239304,1.000302
sigma_b_log__[6],-2.319162,0.217456,-2.699036,-1.880929,0.003663,0.002313,3624.120315,4408.344461,1.000301
sigma_b_log__[7],-2.963331,0.123776,-3.193418,-2.73004,0.001617,0.001253,5857.390484,5933.619166,1.000223
sigma_b_log__[8],-1.820573,0.131739,-2.071131,-1.580938,0.002828,0.001435,2174.310912,4091.71749,1.000669
sigma_b_log__[9],-3.874783,0.093732,-4.040922,-3.69088,0.001191,0.001056,6314.735039,5377.827865,1.00125
sigma_b_log__[10],-2.582969,0.231154,-3.011564,-2.159023,0.005161,0.003402,2026.670404,3259.347282,1.001151
sigma_b_log__[11],-3.360655,0.219261,-3.78509,-2.964009,0.00587,0.003035,1405.243014,2834.600138,1.002467
sigma_b_log__[12],-2.696639,0.141258,-2.960694,-2.434671,0.002613,0.001421,2928.300602,4038.440661,1.002588
sigma_b_log__[13],-2.272285,0.196965,-2.64355,-1.897671,0.002733,0.002175,5258.980365,5583.372424,1.000311
sigma_b_log__[14],-1.988919,0.11219,-2.196623,-1.779054,0.001268,0.001193,7863.606898,6452.106558,1.000299
sigma_b_log__[15],-2.90764,0.136976,-3.159421,-2.646122,0.002167,0.001306,4003.283108,5098.011426,1.001979
sigma_b_log__[16],-2.267892,0.116703,-2.49089,-2.052601,0.001295,0.001274,8132.622392,6522.462798,1.000462
sigma_b_log__[17],-3.225409,0.135387,-3.472794,-2.966891,0.001606,0.001479,7172.511609,5790.942041,1.000062
sigma_b_log__[18],-2.793234,0.129727,-3.035146,-2.553676,0.001601,0.001393,6626.908677,6119.203679,1.000577
sigma_b_log__[19],-2.884641,0.137073,-3.149955,-2.624987,0.001705,0.001469,6457.79621,6003.538859,1.000522
sigma_b_log__[20],-3.284479,0.257839,-3.781221,-2.819894,0.009886,0.005573,677.910878,1235.591794,1.004299
sigma_b_log__[21],-2.502688,0.142399,-2.766571,-2.237454,0.002029,0.001402,4927.034593,6328.206293,1.000259
sigma_b_log__[22],-3.040915,0.164549,-3.344998,-2.73271,0.002895,0.00182,3235.352089,4513.995049,1.000957
sigma_b_log__[23],-2.410169,0.119888,-2.635162,-2.182529,0.001959,0.001129,3746.649446,5635.506501,1.002202
sigma_b_log__[24],-2.706475,0.241681,-3.135014,-2.233834,0.003081,0.002558,6249.737059,5851.934722,1.000446
sigma_b_log__[25],-2.014291,0.089576,-2.188663,-1.85521,0.00231,0.001003,1514.526742,2764.776534,1.001618
sigma_b_log__[26],-2.070607,0.110736,-2.283542,-1.86887,0.00145,0.001042,5827.487643,6053.721389,1.000162
sigma_b_log__[27],-3.017316,0.23032,-3.43195,-2.573401,0.00479,0.002426,2327.625266,4041.533026,1.001512
sigma_b_log__[28],-3.45459,0.201302,-3.84163,-3.078061,0.002639,0.002104,5859.210744,6110.33886,1.000961
sigma_b_log__[29],-2.795866,0.150761,-3.077543,-2.521144,0.00214,0.001464,4979.593893,5621.026814,1.000101
sigma_b_log__[30],-2.681787,0.243351,-3.138834,-2.225468,0.004281,0.002677,3235.439941,4791.921002,1.000222
sigma_b_log__[31],-2.434563,0.198319,-2.794232,-2.057167,0.003929,0.002238,2560.168006,4185.934312,1.000879
sigma_b_log__[32],-3.064279,0.105794,-3.259475,-2.861824,0.001393,0.001042,5795.42423,5582.112965,1.000119
