name,mean,hdi_low,hdi_high,n_obs,is_low_obs
text-babbage-001,-3.2058419836018563,-3.7819508799664123,-2.7050378524727257,2,True
text-ada-001,-3.1101763604990715,-3.6884778967438345,-2.6010129467828413,2,True
babbage,-2.7432413445675534,-3.2609442619223983,-2.3040419715192018,2,True
ada,-2.7356572292474706,-3.2501381325299628,-2.3025697983796447,2,True
text-curie-001,-2.640107064967324,-3.1291584468139146,-2.2263832761315174,2,True
opt-1.3b,-2.588497239138511,-3.138167912774092,-2.058815472849351,2,True
dolly-v2-12b,-2.5611900841382917,-2.9954185957243644,-2.1642600503920346,3,True
stablelm-tuned-alpha-7b,-2.559973481784194,-3.104274013983061,-2.021281232942479,2,True
Cerebras-GPT-13B,-2.5132472829120776,-2.928609779020451,-2.1311886841371357,3,True
deepseek-coder-1.3b-base,-2.500926231211279,-2.9400527983190052,-2.132045279883382,3,True
curie,-2.469728090360093,-2.944011988794513,-2.067524504663077,2,True
opt-13b,-2.445252117720731,-2.853031830521326,-2.0657732591466593,3,True
gpt-j-6b,-2.421565256882971,-2.8305342061491023,-2.04318580482497,3,True
gpt-neo-2.7B,-2.3771897185783053,-3.018378619000771,-1.6273469422563975,1,True
gpt2-xl,-2.3635999979591005,-2.819250791980345,-1.942066374702714,3,True
RedPajama-INCITE-7B-Base,-2.320608974306009,-2.7187032704759764,-1.9501730026249426,3,True
opt-66b,-2.239601461945419,-2.660471658035043,-1.8687794920473384,2,True
open_llama_7b,-2.2259855817611083,-2.615295148926505,-1.8565993224613304,3,True
gpt-neox-20b,-2.177279180546728,-2.720866787741128,-1.614544299631255,2,True
Qwen-1_8B,-2.1574757634279647,-2.4700958060083003,-1.8790808384034494,6,False
bloom,-2.0973039734335703,-2.547944619952485,-1.7070433573272292,2,True
falcon-7b,-2.0836381706358598,-2.359206501378633,-1.8280192578082675,7,False
opt-175b,-2.0710463323212216,-2.4783225898013868,-1.6963347870775312,2,True
davinci,-2.070554396154135,-2.5117746439223665,-1.6861200620344468,2,True
mpt-7b,-2.064534911561381,-2.3477856857777097,-1.8126985018343404,7,False
xgen-7b-8k-base,-2.017063721548171,-2.39472740084418,-1.6504124534385491,3,True
Baichuan-7B,-2.0089864184786927,-2.323122000127747,-1.7320286423644184,3,True
starcoder2-3b,-2.003001933086388,-2.4001277577021756,-1.6690816610500219,3,True
deepseek-coder-6.7b-base,-1.997793703700303,-2.392941362021661,-1.66330818713493,3,True
LLaMA-7B,-1.99244963390241,-2.262888006079483,-1.7438536308265666,8,False
gemma-2b,-1.9637414832441613,-2.2520293222563335,-1.7103458909074891,6,False
phi-1_5,-1.9442550382682797,-2.3222548791094493,-1.5749642408635407,3,True
starcoder2-7b,-1.8337276539486576,-2.2223198698800504,-1.507659792864304,3,True
T5-Small,-1.8160393635376453,-2.337176509512101,-1.1419245230694823,2,True
Mistral-7B-Instruct-v0.2,-1.8135859431746795,-2.0501697155698975,-1.6020414889226178,8,False
Llama-2-7b,-1.8038079053179477,-2.057682413331937,-1.563759958365453,8,False
Baichuan-2-7B-Base,-1.7956591268792388,-2.0814182946117286,-1.5450531119480855,6,False
Phi-4-mini-instruct,-1.793946884771207,-2.510604109176844,-1.1555044281508224,2,True
Qwen2.5-Coder-0.5B,-1.7881823966872235,-2.173690875397312,-1.4654352264821826,3,True
deepseek-coder-33b-base,-1.7796919901134531,-2.163873622423632,-1.4567174949568733,3,True
mpt-30b,-1.7782204238614558,-2.032821144033902,-1.5358152957118194,6,False
CodeQwen1.5-7B,-1.773992294789727,-2.1665102582214475,-1.4494202090160722,3,True
chatglm2-6b,-1.7484787252309388,-2.014187826662164,-1.4987813519136455,6,False
internlm-7b,-1.743577783420751,-2.0227547141356155,-1.489642993936016,6,False
LLaMA-13B,-1.7433092131238817,-1.9936119779832238,-1.5020771019701524,8,False
Qwen2-VL-7B-Instruct,-1.7257463858507487,-2.6560249228631645,-0.9515370527130793,2,True
internlm-chat-20b,-1.6800607740968732,-1.9548932661036587,-1.412915351856737,3,True
INTELLECT-1-Instruct,-1.6723556549667946,-1.952773338247264,-1.4095030655664396,4,False
vicuna-13b-v1.3,-1.6546151295349678,-2.033635373933908,-1.2773279598186,2,True
Baichuan-13B-Base,-1.6346954648483911,-1.9133762716026808,-1.3715649997743091,3,True
vicuna-13b-v1.1,-1.6115810291946604,-1.888859483366179,-1.3406497225873846,4,False
text-davinci-001,-1.6023622413630059,-1.9240290150708794,-1.2968705864790888,9,False
falcon-40b,-1.586313085495619,-1.8273306168086445,-1.3378223960440363,7,False
LFM2-Audio-1.5B,-1.5784416564121808,-2.3856150612467957,-0.6994717775062216,1,True
davinci-002,-1.5353086494188295,-2.083530291891749,-1.077603250130575,1,True
Phi-3.5-vision-instruct,-1.5314314066224188,-2.5121720807397496,-0.6087560537582745,2,True
falcon-40b-instruct,-1.5204634347490342,-1.9875955891152277,-1.0730044975974489,1,True
Yi-6B,-1.5083323623146954,-1.7648756293995473,-1.24905810689438,4,False
open-mistral-7b,-1.5062913538041585,-1.9014440286326268,-1.2081065836374367,2,True
Qwen-7B,-1.5034845076176695,-1.7605338478466814,-1.2612927968213952,6,False
PaLM 62B,-1.4904240140497147,-1.7761366151026925,-1.201318919953528,4,False
Baichuan-2-13B-Base,-1.4854941954362229,-1.7613567851551943,-1.2352036422819326,6,False
Llama-2-13b,-1.4679702461549797,-1.7045497441608293,-1.2278214283931834,8,False
Llama-3.2-1B-Instruct,-1.4405074598691874,-2.3777567994232998,-0.6917779470533768,1,True
Baichuan2-13B-Chat,-1.4291603786098661,-1.696849338186815,-1.1642520087787833,3,True
mpt-30b-instruct,-1.4082903459762333,-1.7688965015673634,-0.9965498663891416,2,True
Mistral-7B-Instruct-v0.3,-1.4014611896941207,-1.6900635487687177,-1.1575178042607306,3,True
Llama-2-34b,-1.397373613294584,-1.6343633026661186,-1.1458353877906577,6,False
Llama-2-13b-chat,-1.3960059450417246,-1.6678848266444315,-1.1291161539149168,3,True
Yi-6B-Chat,-1.3808079309203545,-1.6435355159760554,-1.1111598215250036,3,True
Gopher (280B),-1.3805120377413576,-1.777118419543763,-0.9605852026701741,4,False
Switch-Base,-1.3249141132073823,-2.0828125964659447,0.2531873840242035,1,True
Meta-Llama-3-8B,-1.315283194238277,-2.5947874933804536,-0.009180969579059546,1,True
Qwen2.5-Omni-7B,-1.309911516149081,-2.0593853023602735,-0.49774817272956473,1,True
LLaMA-33B,-1.3073693446130512,-1.540259342500094,-1.0560380868896386,7,False
Nemotron-4 15B,-1.2892031796718988,-1.5420629109304727,-1.0314669639549254,4,False
Qwen2.5-Coder-1.5B,-1.2785279979556758,-1.6246689994399848,-0.9618734579506666,3,True
T5-Base,-1.2680704098626792,-1.789572027405633,-0.5228457647566668,2,True
codestral-2405,-1.2646127299833396,-2.416577646379719,-0.3872718496387702,1,True
Llama-3.2-11B-Vision-Instruct,-1.259508056468083,-1.698885866124639,-0.8218834699715333,3,True
gemma-3-4b-it,-1.2539084645889955,-1.6317901844947755,-0.884545609811539,3,True
falcon-11b,-1.2506000863900177,-1.578653838129037,-0.9106520239022441,2,True
phi-2,-1.234669135374827,-1.5215540594428596,-0.9434832196880762,5,False
Llama-2-70b-chat-hf,-1.2281487122973171,-1.5129978913656634,-1.002009140990203,4,False
starcoder2-15b,-1.2160342847297534,-1.526451560867465,-0.8929416039434344,3,True
gpt-3.5-turbo-instruct,-1.2126987934980613,-1.7052466376083553,-0.7861795076908801,1,True
gemma-7b,-1.205034059972299,-1.4317897821047885,-0.9598211435270082,7,False
Mixtral-8x7B-Instruct-v0.1,-1.1991643919932748,-1.359426704080396,-1.0522715511316765,18,False
Llama-2-70b-chat,-1.1713374633280853,-1.4275217266298021,-0.8973181739040882,3,True
ministral-3b-2410,-1.158385743532242,-1.421945496558427,-0.9314466459887958,5,False
OLMo-2-1124-13B-Instruct,-1.157914829458498,-1.5374742190267465,-0.8468733103788997,1,True
Mistral-7B-v0.1,-1.15401438006826,-1.3759073267598279,-0.9063724639385284,7,False
Kimi-Audio-7B-Instruct,-1.152441734956413,-1.8769552024103078,-0.3707879789123897,1,True
deepseek-llm-67b-chat,-1.1495362656581025,-1.4404718962670076,-0.9148100391781427,2,True
Qwen-14B-Chat,-1.149200092171463,-1.4048016293913757,-0.8693300281814321,3,True
gemini-2.5-flash-native-audio-preview-12-2025 (non-thinking),-1.1408064488001144,-1.8593854467321078,-0.35859555094329876,1,True
DeepSeek-Coder-V2-Lite-Base,-1.132974329842464,-1.4466753245152473,-0.8126027397244198,3,True
code-davinci-002,-1.1257578657107916,-1.5445488622432006,-0.5679397482790158,1,True
LLaMA-65B,-1.121590104026036,-1.355544931385338,-0.8593300575178892,7,False
internlm-20b,-1.1133276307451827,-1.3747798211298188,-0.8075498581339515,5,False
Qwen1.5-7B,-1.1101548079455448,-1.6133254962673602,-0.5468704480046149,1,True
Qwen-14B,-1.1060907268898488,-1.3423949480031272,-0.8404702455620221,6,False
Mixtral-8x22B-Instruct-v0.1,-1.1016695336703126,-1.701547728316539,-0.6361696300439494,3,True
Llama-3.2-3B-Instruct,-1.0989096951630244,-1.9706535502600946,-0.40022493059016123,1,True
ministral-8b-2410,-1.0932452524614638,-1.3455860286424004,-0.8770404076573523,5,False
Yi-34B-Chat,-1.0892835151665539,-1.2752743262161934,-0.9232188772089901,5,False
text-davinci-002,-1.0698521969602028,-1.3741859381412567,-0.7041392848270623,4,False
Meta-Llama-3-8B-Instruct,-1.066729205813202,-1.2205266010733584,-0.9213876936999196,13,False
Yi-9B,-1.0656429030921588,-1.5055251332063466,-0.5712681146471457,2,True
gpt-4o-mini-audio-preview-2024-12-17,-1.060155783191655,-1.7626520094345879,-0.30237388829454365,1,True
Pixtral-12B-2409,-1.0524233508647467,-1.920526582826854,-0.271571933150732,2,True
Chinchilla (70B),-1.0518497395849953,-1.4572574380882923,-0.6051949068518824,4,False
gpt-3.5-turbo-0613,-1.046930170825329,-1.2885985323145892,-0.7701253230120594,5,False
gpt-3.5-turbo-0125,-1.034681208987556,-1.1947281656979754,-0.8870982828743438,12,False
Megatron-Turing NLG 530B,-1.0228600457220591,-1.554128187657558,-0.1488030404309607,3,True
Llama-3.1-8B-Instruct,-1.0162551512502862,-1.1453604803550774,-0.8948554968211203,26,False
falcon-180B,-1.012230224728611,-1.2976732223272878,-0.6686990396904466,5,False
Phi-4-multimodal-instruct,-1.0101572827112157,-1.7088199854140311,-0.2603717270909703,1,True
gemma-3n-E4B-it,-1.0099631781845304,-1.7025976266349532,-0.26217407869002674,1,True
open-mixtral-8x7b,-0.9997721819599463,-1.2641760696115774,-0.7830999962504832,2,True
Yi-34B,-0.9988788165625027,-1.261032409980414,-0.6834518862721803,3,True
c4ai-command-r-08-2024,-0.995443610500814,-1.2863635910905091,-0.7383808469626747,2,True
Phi-3-mini-4k-instruct,-0.9864947621308042,-1.1991950796686393,-0.7698880460275835,6,False
open-mistral-nemo-2407,-0.9855812062540067,-1.2469318568145935,-0.7691610060054347,2,True
deepseek-v4-pro_unknown,-0.9810001279665687,-2.2651225898960377,0.3032340854938748,1,True
PaLM 2-S,-0.9652221171093497,-1.523126479885653,-0.26827503889324533,3,True
gemini-1.0-pro-001,-0.963567521445199,-1.0972178103922383,-0.8372771480061796,19,False
qwen2.5-7b-instruct,-0.9601508005583751,-1.3817391044034695,-0.5338664097473313,2,True
amazon.nova-micro-v1:0,-0.9450316982038471,-1.0919303940743514,-0.8067345412751831,18,False
gpt-3.5-turbo-1106,-0.9407686797462037,-1.1403484134122661,-0.7607681033040365,8,False
qwen1.5-72b-chat,-0.9405321817598591,-1.2972913713727086,-0.6255108741712001,1,True
T5-Large,-0.9398295803097496,-1.4438225956550927,-0.2156737804623639,3,True
PaLM 540B,-0.9362129766802193,-1.2301046119610393,-0.5778251980421628,6,False
Qwen2.5-Coder-3B,-0.935544633335629,-1.3366091403248874,-0.45465112403540786,2,True
dbrx-instruct,-0.9319264743143376,-1.1791621655921263,-0.724155429777634,2,True
gpt-realtime-mini-2025-12-15,-0.9269945720835508,-1.6085629116701212,-0.19654467568340744,1,True
gemma-2-9b-it,-0.9107401234856425,-1.0941246007672825,-0.7484366995530293,5,False
c4ai-command-r-plus-08-2024,-0.9008333747306045,-1.1637066258840834,-0.6690961521329363,3,True
Llama-2-70b-hf,-0.8987843140542272,-1.1368324611652925,-0.622437861282565,8,False
codestral-2501,-0.8983622878779522,-1.2505954561637076,-0.5505946660715687,4,False
qwen1.5-32b-chat,-0.8797487403929354,-1.224720640569743,-0.5692813103505727,1,True
qwen1.5-14B,-0.8719511691841729,-1.3884261002873615,-0.2627091009926111,1,True
mistral-small-2402,-0.8675321845701829,-1.375565663089332,-0.2583480626457063,1,True
claude-2.1,-0.8613751108065579,-1.1078121798385991,-0.6407393736762168,5,False
ST-LLM,-0.8412052618945665,-2.616352756693897,1.0860093650310698,1,True
claude-2.0,-0.8392703227004589,-1.0341934247269808,-0.6623369836602059,5,False
StableBeluga2,-0.8381860118789952,-1.0837735086419156,-0.5514899594787602,6,False
claude-3-haiku-20240307,-0.8381513083126724,-0.9637380415373155,-0.7197171776172977,23,False
Phi-3-small-8k-instruct,-0.8351701436855994,-1.0458759324008902,-0.606229717815538,6,False
Qwen2-VL-72B-Instruct,-0.8229435407695634,-1.4478898691901756,-0.2855813121068381,3,True
Average Human,-0.8206427760586973,-1.1981104026135736,-0.5726797688378273,8,False
Qwen2.5-Coder-7B,-0.8196026116396051,-1.1384600786766816,-0.4614861469691041,3,True
gemini-1.5-flash-8b-001,-0.8166713790428316,-1.0605252956548077,-0.5883101448924799,4,False
gemma-3-12b-it,-0.7985827696995509,-1.1167389844324256,-0.48927424700482713,5,False
PaLM 2-M,-0.7985012267819023,-1.376076772712538,-0.051031864728268705,3,True
Mixtral-8x7B-v0.1,-0.7968434870575614,-1.0884967086214545,-0.42730398170612455,5,False
MiMo-Audio-7B-Instruct,-0.7867304068842877,-1.4432474649182219,-0.08055302637427815,1,True
Yi-1.5-34B-Chat,-0.7850372218619044,-1.023200459265848,-0.5845038369666822,2,True
Eurus-2-7B-PRIME,-0.7817560265277547,-1.1191277658818122,-0.4766610815622044,1,True
video_chat2_mistral,-0.7785683642728829,-2.5450511685439663,1.137126439113853,1,True
Phi-3-medium-128k-instruct,-0.7727488112532193,-0.9496196395196146,-0.6048319151745826,7,False
sharegpt4video-8b,-0.7636502340507982,-2.538828442092253,1.1682545435228595,1,True
Video-LLaVA-7B,-0.756877622883197,-2.532504108612063,1.1591138217197299,1,True
Qwen-VL-Chat,-0.753946752635819,-2.3463879084377126,0.9622942472994893,2,True
mistral-large-2402,-0.7524887421396301,-0.8748507267901741,-0.6351181152523389,20,False
open-mixtral-8x22b,-0.7481906606511526,-0.9418747391845043,-0.570504577629646,5,False
Hermes-2-Theta-Llama-3-70B,-0.7459515359847011,-0.9550373940914844,-0.5618504392028743,3,True
Phi-3.5-mini-instruct,-0.7405335783381874,-1.1525799715781808,-0.23883917307336952,2,True
Chat-UniVi-7B-v1.5,-0.733396071441522,-2.512770374202288,1.1730614223861242,1,True
claude-3-sonnet-20240229,-0.7244659159960134,-0.8442098769696583,-0.6108817442929593,21,False
gpt-oss-20b_unknown,-0.7204618119416903,-1.6091529559772353,-0.19049351220398278,1,True
Meta-Llama-3-70B-Instruct,-0.7197682540718675,-0.8432984200474392,-0.6010630320302377,19,False
Mistral-Nemo-Base-2407,-0.7133500881502461,-1.1086280145255507,-0.18128810252095984,2,True
MiMo-Audio-7B-Instruct (Thinking),-0.7081052296619976,-1.3523120088217095,-0.008355307527614613,1,True
text-davinci-003,-0.7079753530767136,-1.098023230209943,-0.12354008374251592,2,True
gpt-4-0613,-0.7000822483406522,-0.8109025351835485,-0.5932319316603196,25,False
gemma-2-27b-it,-0.697296707321288,-0.8586304431769474,-0.5513279795641415,5,False
gemini-1.5-flash-001,-0.6869533454025727,-0.8594951401480121,-0.5249085478091525,8,False
Inflection-1,-0.6734612086947153,-1.105500195610837,-0.15906030501372728,3,True
claude-opus-4-6_low,-0.6607196052254153,-2.0748515344943748,0.4797703290238704,1,True
DeepSeek-Coder-V2-Base,-0.6585832090883251,-1.0625880867784672,-0.09105159922800507,2,True
claude-instant-1.1,-0.6567187487860244,-0.9802680718928903,-0.24217306088874274,4,False
openhands-lm-32b-v0.1,-0.6490152778908334,-1.4693674482794041,-0.13583308506677857,1,True
WizardLM-2-8x22B,-0.6455440492161051,-0.8537011798945322,-0.45452825033949845,2,True
Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,-0.6393905048983367,-2.405776198133931,1.2495340839988915,1,True
Skilled Generalist,-0.6334160581889956,-0.7991054788648014,-0.47493471334374954,10,False
gemma-2-9b,-0.6307631714309334,-1.0299873721855615,-0.062244128287858295,2,True
granite-4.0-h-small,-0.6277804040723131,-0.9985778124422218,-0.23026077203589557,3,True
Qwen2.5-Coder-3B-Instruct,-0.6226843928761198,-1.0769171309484085,0.24490301131846268,1,True
qwen1.5-32B,-0.6207657380729712,-1.1514061491395895,0.04162324204155253,1,True
qwen2-72b-instruct,-0.6151992521618151,-0.7817603251584408,-0.4608775187452133,6,False
amazon.nova-lite-v1:0,-0.6151251274520285,-0.7388332243876071,-0.49454395096812587,20,False
Qwen2.5-Coder-14B,-0.6110819980912969,-0.9394867064603267,-0.2111264745625933,3,True
gpt-4-0314,-0.6063328577216295,-0.7814130384845337,-0.4388927872048247,5,False
gemini-2.5-flash-native-audio-preview-12-2025 (thinking),-0.5957004730736343,-1.2124147569367645,0.07896821050272532,1,True
