,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_b_log__[0],-2.606337,0.117547,-2.823494,-2.382148,0.000455,0.000359,66808.172185,64240.369534,1.000074
sigma_b_log__[1],-2.10177,0.086367,-2.264144,-1.940383,0.000275,0.000276,98617.302567,68136.695283,1.000005
sigma_b_log__[2],-2.288746,0.227404,-2.721399,-1.869295,0.00136,0.001945,32908.756963,37601.636377,1.000066
sigma_b_log__[3],-2.084602,0.100479,-2.273753,-1.89489,0.000415,0.000296,58666.070703,63701.033534,1.000024
sigma_b_log__[4],-3.130434,0.399826,-3.874931,-2.37077,0.0047,0.003074,7257.975207,5882.360848,1.001422
sigma_b_log__[5],-2.728611,0.143103,-2.993513,-2.4575,0.000527,0.000446,74643.860382,63261.784306,1.000019
sigma_b_log__[6],-2.732643,0.142394,-3.002579,-2.467158,0.000717,0.000414,39441.484195,56652.806454,1.000021
sigma_b_log__[7],-2.555885,0.131168,-2.800359,-2.306997,0.000406,0.000442,105616.008488,67585.87875,1.000066
sigma_b_log__[8],-1.622296,0.126342,-1.858049,-1.382432,0.000406,0.000422,97060.12371,64376.77459,1.000048
sigma_b_log__[9],-2.831594,0.107719,-3.034198,-2.62837,0.000461,0.000321,54494.531551,60425.489447,1.000058
sigma_b_log__[10],-2.274478,0.177082,-2.601847,-1.936749,0.0006,0.000564,88100.21689,64537.682705,1.000044
sigma_b_log__[11],-3.395477,0.188359,-3.74764,-3.041697,0.000707,0.000583,71301.023309,63962.558764,1.000037
sigma_b_log__[12],-3.119194,0.219454,-3.523925,-2.699722,0.001049,0.000634,43797.516893,61687.077291,1.000243
sigma_b_log__[13],-1.993458,0.214561,-2.387415,-1.584088,0.000909,0.000684,55550.850338,50394.180749,1.00008
sigma_b_log__[14],-2.0933,0.058345,-2.201922,-1.98236,0.000169,0.000207,119495.955528,65048.620836,1.000044
sigma_b_log__[15],-2.671786,0.085768,-2.837156,-2.515468,0.000361,0.000253,56264.428143,66846.520384,1.000195
sigma_b_log__[16],-3.211042,0.169279,-3.527817,-2.889946,0.000765,0.000507,49001.225486,60964.330362,1.000167
sigma_b_log__[17],-2.367787,0.17307,-2.690913,-2.040197,0.000637,0.000536,74357.52664,63832.955388,1.000039
sigma_b_log__[18],-2.763841,0.130254,-3.005715,-2.521248,0.000474,0.000427,76059.64524,64231.37986,1.000097
sigma_b_log__[19],-2.278961,0.133385,-2.53484,-2.031509,0.000601,0.000404,49335.167835,62026.295572,1.000139
sigma_b_log__[20],-1.504057,0.111266,-1.710137,-1.292167,0.000275,0.000433,164106.360494,60515.980305,1.000006
sigma_b_log__[21],-2.968277,0.121278,-3.19363,-2.739221,0.00053,0.000397,51180.990726,57129.210029,1.00027
sigma_b_log__[22],-2.845769,0.342402,-3.491009,-2.203511,0.001677,0.001164,41689.980672,39982.230246,1.000131
sigma_b_log__[23],-1.7541,0.117812,-1.975711,-1.531901,0.000595,0.000341,39125.249114,51252.18762,1.000052
sigma_b_log__[24],-3.884566,0.08904,-4.053042,-3.717926,0.000242,0.000324,136929.775975,65290.782575,1.000092
sigma_b_log__[25],-2.465753,0.186892,-2.812739,-2.110281,0.000824,0.000572,51521.329256,60619.797525,1.000049
sigma_b_log__[26],-3.038839,0.267752,-3.536571,-2.639807,0.014573,0.026104,964.672748,191.070674,1.008438
sigma_b_log__[27],-2.562021,0.150916,-2.847267,-2.278955,0.003182,0.002246,2471.949818,1671.20624,1.003665
sigma_b_log__[28],-1.28029,0.09849,-1.463334,-1.094052,0.00032,0.000346,95995.507404,61646.526479,1.000056
sigma_b_log__[29],-2.916119,0.201206,-3.304895,-2.549611,0.000871,0.000607,53643.410486,57314.116294,1.000066
sigma_b_log__[30],-2.261288,0.186767,-2.605421,-1.904374,0.000542,0.00066,121020.480094,63364.703308,1.000053
sigma_b_log__[31],-2.913368,0.056393,-3.019783,-2.808634,0.0002,0.000171,79456.385745,68609.020537,1.000175
sigma_b_log__[32],-2.244788,0.109777,-2.447268,-2.035916,0.000312,0.000459,128600.034022,50019.640242,1.000109
sigma_b_log__[33],-2.541278,0.114339,-2.75434,-2.327302,0.000329,0.000408,122947.225864,62456.624031,1.000174
sigma_b_log__[34],-2.390491,0.113877,-2.59707,-2.168548,0.000314,0.000437,134420.018486,61006.528988,1.000021
sigma_b_log__[35],-2.827227,0.119296,-3.047057,-2.599313,0.000343,0.000426,122395.807965,63573.443001,1.000129
sigma_b_log__[36],-2.162098,0.138732,-2.423096,-1.901409,0.000929,0.000524,22429.547424,39711.812144,1.000208
sigma_b_log__[37],-2.388759,0.129171,-2.629979,-2.144053,0.000458,0.000401,80001.274194,63519.064382,1.000073
sigma_b_log__[38],-1.971971,0.107176,-2.172969,-1.770329,0.000279,0.000404,149774.650648,61374.957956,1.000125
sigma_b_log__[39],-3.041025,0.135485,-3.294926,-2.785975,0.000472,0.000417,82366.388161,68963.519517,1.000066
sigma_b_log__[40],-2.472741,0.118396,-2.693266,-2.250744,0.000323,0.00043,136365.111145,64311.788418,1.000033
sigma_b_log__[41],-2.97002,0.12456,-3.203508,-2.73704,0.00035,0.000478,129344.58698,59051.204218,1.000016
sigma_b_log__[42],-2.900697,0.126379,-3.13447,-2.658495,0.000363,0.000465,121213.666119,55494.64802,1.000058
sigma_b_log__[43],-2.932932,0.128279,-3.168536,-2.689552,0.000362,0.000461,127954.192333,61281.069052,1.000101
sigma_b_log__[44],-2.648153,0.138256,-2.909763,-2.390306,0.000378,0.000516,136446.391402,62255.816659,1.000073
sigma_b_log__[45],-2.666072,0.099976,-2.854988,-2.480111,0.000272,0.000374,137044.596744,62505.971756,1.000109
sigma_b_log__[46],-3.04223,0.158626,-3.35068,-2.752784,0.000834,0.00047,36148.440774,56551.223885,1.000149
sigma_b_log__[47],-2.416859,0.092263,-2.591496,-2.244703,0.000352,0.000273,68885.170051,67671.743873,1.000016
sigma_b_log__[48],-2.557159,0.14864,-2.838194,-2.279617,0.000564,0.000467,70114.818212,63308.655883,1.000126
sigma_b_log__[49],-3.105389,0.126584,-3.342729,-2.86702,0.000435,0.000394,84908.212792,67884.65214,0.999995
sigma_b_log__[50],-2.689664,0.068779,-2.819822,-2.561428,0.000318,0.000207,46631.650039,61921.711755,1.000097
sigma_b_log__[51],-3.127256,0.126642,-3.358796,-2.885146,0.00035,0.000474,133605.537327,62781.88882,1.000007
sigma_b_log__[52],-3.019621,0.126096,-3.251954,-2.777983,0.000362,0.000442,123108.720667,64314.922129,1.000141
sigma_b_log__[53],-2.96784,0.131991,-3.212903,-2.716302,0.000382,0.000462,121202.325515,65443.524148,0.999978
sigma_b_log__[54],-2.825724,0.132063,-3.069504,-2.574203,0.000392,0.000437,114026.449238,67949.691898,1.000028
sigma_b_log__[55],-2.719547,0.104468,-2.917369,-2.524168,0.000319,0.000344,107850.332289,69357.988608,0.999994
sigma_b_log__[56],-2.608326,0.125556,-2.840666,-2.370116,0.000347,0.000469,133470.970913,61635.914411,1.000051
sigma_b_log__[57],-2.860436,0.13073,-3.106329,-2.613862,0.000454,0.000398,82921.564874,67858.96314,1.000025
sigma_b_log__[58],-2.31333,0.113102,-2.524043,-2.098544,0.000478,0.000356,55801.940464,50512.86375,1.000023
sigma_b_log__[59],-1.643319,0.153953,-1.931963,-1.353515,0.000422,0.000535,133242.487997,67503.957252,1.000274
sigma_b_log__[60],-2.580813,0.236317,-3.027955,-2.141891,0.000772,0.000801,94494.564852,62280.580088,1.00014
sigma_b_log__[61],-2.172159,0.064578,-2.293434,-2.051032,0.000265,0.000193,59140.330721,64767.572546,1.000112
sigma_b_log__[62],-2.490982,0.150164,-2.735704,-2.207102,0.007702,0.012599,911.18876,181.168553,1.007839
sigma_b_log__[63],-2.538207,0.161871,-2.78119,-2.24515,0.00892,0.016008,915.376059,188.990811,1.008101
sigma_b_log__[64],-2.808803,0.138251,-3.066542,-2.546318,0.000459,0.000462,91338.057421,65192.697912,1.000028
sigma_b_log__[65],-2.006123,0.104665,-2.20433,-1.810096,0.00036,0.000328,84546.60416,65797.667091,1.000037
sigma_b_log__[66],-2.850459,0.238319,-3.309409,-2.415436,0.001459,0.000709,26672.593009,50949.388877,1.000216
sigma_b_log__[67],-3.432077,0.187378,-3.774268,-3.07124,0.000564,0.000659,112846.256625,63424.862846,1.000086
sigma_b_log__[68],-2.616067,0.123647,-2.846612,-2.383241,0.000359,0.000425,119203.177957,65302.8669,1.000039
sigma_b_log__[69],-2.283149,0.138554,-2.542697,-2.022288,0.000404,0.000474,118893.888384,67514.730232,1.000157
sigma_b_log__[70],-2.610477,0.199699,-2.978304,-2.227982,0.000718,0.00066,78798.178103,54628.644232,1.000002
sigma_b_log__[71],-2.762168,0.131668,-3.006243,-2.511949,0.00041,0.000451,104292.772095,65088.283703,1.00013
sigma_b_log__[72],-3.183437,0.077539,-3.325775,-3.034662,0.000274,0.000243,80143.084172,65407.738208,1.000115
sigma_b_log__[73],-2.022446,0.128062,-2.256493,-1.774171,0.000361,0.000468,126684.944647,61922.027496,1.000024
sigma_b_log__[74],-1.829902,0.057242,-1.937032,-1.72196,0.000146,0.000218,153103.050871,62885.753516,1.000089
sigma_b_log__[75],-3.200105,0.281778,-3.725805,-2.66786,0.000962,0.000938,85608.964915,63734.092762,1.000088
sigma_b_log__[76],-2.81373,0.36914,-3.54099,-2.163505,0.002784,0.001556,17893.931136,32772.182363,1.000375
sigma_b_log__[77],-2.364308,0.187642,-2.713312,-2.008232,0.000927,0.000574,40989.561506,54969.485152,1.000189
sigma_b_log__[78],-2.471818,0.138853,-2.729928,-2.207596,0.000711,0.00042,38181.532506,54537.482987,1.000073
sigma_b_log__[79],-2.370517,0.218046,-2.78033,-1.958875,0.000863,0.000647,64028.242436,61236.763747,1.000031
sigma_b_log__[80],-2.301512,0.10474,-2.499215,-2.106259,0.000273,0.000407,149043.221169,61613.63893,1.000023
sigma_b_log__[81],-3.279475,0.148835,-3.553764,-2.997013,0.000434,0.000513,119280.491664,65885.03133,1.000032
sigma_b_log__[82],-2.27681,0.107526,-2.477615,-2.072636,0.000357,0.00037,91018.684938,62180.147346,0.999986
sigma_b_log__[83],-2.862581,0.094572,-3.042741,-2.688092,0.000263,0.00034,131447.722719,63832.757551,1.000075
sigma_b_log__[84],-3.25352,0.236642,-3.699554,-2.81288,0.001082,0.000704,47867.032461,59446.690586,1.000121
sigma_b_log__[85],-2.68246,0.117663,-2.906371,-2.464913,0.000313,0.000448,143936.221475,61243.161478,1.000036
sigma_b_log__[86],-2.558241,0.113125,-2.7678,-2.342758,0.00032,0.00043,127510.390278,61814.782881,1.000137
sigma_b_log__[87],-2.609939,0.073191,-2.74821,-2.473131,0.0003,0.000213,59723.820938,64526.547431,1.0001
tau_CD_log__,0.641643,0.079061,0.49723,0.794778,0.000777,0.000434,10335.008064,19790.090969,1.000764
sigma_A_log__,-0.396506,0.084676,-0.555249,-0.237259,0.000747,0.00038,12877.507475,24890.414268,1.000583
"theta_zsn_t_zerosum__[0, 0]",0.239073,0.891281,-1.421895,1.924962,0.002192,0.003742,165314.516985,59590.22728,1.000156
"theta_zsn_t_zerosum__[0, 1]",-1.647579,0.138163,-1.907651,-1.389089,0.000394,0.000558,123386.986617,59677.58947,1.000113
"theta_zsn_t_zerosum__[0, 2]",-1.499533,0.133142,-1.757562,-1.255399,0.000475,0.000517,79289.62773,52625.406167,1.00002
"theta_zsn_t_zerosum__[0, 3]",-1.811087,0.136272,-2.068473,-1.554956,0.000458,0.000512,89863.61423,58599.098501,1.000137
"theta_zsn_t_zerosum__[0, 4]",-2.025015,0.150386,-2.312596,-1.747667,0.000469,0.000587,105003.768723,55053.126838,1.000102
"theta_zsn_t_zerosum__[0, 5]",-1.440098,0.134714,-1.695566,-1.18531,0.000374,0.000553,129918.811087,59860.202298,1.000205
"theta_zsn_t_zerosum__[0, 6]",0.127651,0.90356,-1.609389,1.805601,0.002243,0.00383,162382.929189,56189.238393,1.000057
"theta_zsn_t_zerosum__[0, 7]",-2.528877,0.203422,-2.917097,-2.15278,0.000583,0.000799,122550.938437,59474.219089,1.000195
"theta_zsn_t_zerosum__[0, 8]",-0.633679,0.931085,-2.363088,1.139195,0.002509,0.003765,138584.680638,59262.227044,1.000126
"theta_zsn_t_zerosum__[0, 9]",-0.72511,0.939294,-2.461769,1.075887,0.002585,0.003626,132632.868774,59796.252058,1.000046
"theta_zsn_t_zerosum__[0, 10]",-0.003341,0.653408,-1.280603,1.116741,0.002355,0.002711,87966.877394,53696.350082,0.999985
"theta_zsn_t_zerosum__[0, 11]",-1.057997,0.217201,-1.460913,-0.645448,0.000564,0.00092,151304.387586,57361.115069,1.000018
"theta_zsn_t_zerosum__[0, 12]",-1.794187,0.184111,-2.141195,-1.457507,0.000614,0.000711,92741.883918,58339.118831,1.000035
"theta_zsn_t_zerosum__[0, 13]",0.512833,0.486806,-0.444357,1.363285,0.00176,0.002247,87886.277525,53215.618579,1.000099
"theta_zsn_t_zerosum__[0, 14]",-0.648454,0.247034,-1.083563,-0.16645,0.000789,0.001227,116103.912745,52516.747855,1.000116
"theta_zsn_t_zerosum__[0, 15]",-0.04593,0.405728,-0.730635,0.736641,0.001513,0.001843,89654.191518,50980.186614,1.000069
"theta_zsn_t_zerosum__[0, 16]",-1.142491,0.161023,-1.450147,-0.842587,0.000426,0.000719,143083.670435,58044.873632,1.000237
"theta_zsn_t_zerosum__[0, 17]",-0.357727,0.371087,-0.980752,0.342255,0.001524,0.002037,75539.679337,47859.85206,1.000095
"theta_zsn_t_zerosum__[0, 18]",0.249583,0.04764,0.160378,0.339875,0.000164,0.00017,84057.341045,54990.425104,1.000074
"theta_zsn_t_zerosum__[0, 19]",0.41509,0.066684,0.292124,0.542836,0.000197,0.000251,114572.071316,59837.217577,1.000088
"theta_zsn_t_zerosum__[0, 20]",0.021767,0.081991,-0.131956,0.175579,0.000276,0.000294,88489.419893,63240.867978,1.000151
"theta_zsn_t_zerosum__[0, 21]",-0.089324,0.100648,-0.279551,0.099017,0.000289,0.000401,121729.235271,61892.275257,1.000177
"theta_zsn_t_zerosum__[0, 22]",-0.455154,0.129114,-0.698483,-0.209762,0.00036,0.000538,129394.483056,61506.616023,1.000197
"theta_zsn_t_zerosum__[0, 23]",-0.362875,0.196393,-0.724178,0.010322,0.000618,0.000897,111092.58499,45184.961084,1.0002
"theta_zsn_t_zerosum__[0, 24]",-0.463258,0.312535,-1.070668,0.08011,0.001019,0.001498,113791.304099,54617.668806,1.000119
"theta_zsn_t_zerosum__[0, 25]",-0.122606,0.048203,-0.212948,-0.031823,0.000167,0.000167,83114.782484,62191.825111,1.000085
"theta_zsn_t_zerosum__[0, 26]",0.099161,0.063827,-0.022328,0.217034,0.000182,0.000245,122914.548208,58617.833841,1.000128
"theta_zsn_t_zerosum__[0, 27]",0.245464,0.103275,0.050999,0.439003,0.000268,0.000416,148797.988686,57925.764573,1.000219
"theta_zsn_t_zerosum__[0, 28]",0.41471,0.213268,0.015811,0.813011,0.000566,0.000895,154300.970089,56388.534674,1.000106
"theta_zsn_t_zerosum__[0, 29]",0.215498,0.217407,-0.196373,0.621702,0.000559,0.000941,155860.554051,58218.618352,1.000309
"theta_zsn_t_zerosum__[0, 30]",0.526431,0.174228,0.209209,0.855473,0.000595,0.000742,92321.440904,57599.628389,1.000067
"theta_zsn_t_zerosum__[0, 31]",0.386713,0.115632,0.170767,0.604621,0.000309,0.000461,140679.910473,59855.937669,1.00009
"theta_zsn_t_zerosum__[0, 32]",0.450881,0.211782,0.05944,0.861286,0.000521,0.00095,166219.245007,56549.543107,1.000183
"theta_zsn_t_zerosum__[0, 33]",-0.259612,0.138747,-0.520907,0.003073,0.000388,0.000619,129535.701671,58499.778045,0.999993
"theta_zsn_t_zerosum__[0, 34]",-0.435203,0.140887,-0.700892,-0.166917,0.000394,0.000625,128759.417008,58107.517276,1.000059
"theta_zsn_t_zerosum__[0, 35]",-0.79698,0.163411,-1.109352,-0.493961,0.000422,0.000671,152948.290821,58573.538836,1.000183
"theta_zsn_t_zerosum__[0, 36]",-0.082888,0.155399,-0.377255,0.201128,0.000461,0.000619,120625.706946,59716.236758,1.000119
"theta_zsn_t_zerosum__[0, 37]",-0.391855,0.809461,-1.876004,1.144004,0.002115,0.003262,151298.700065,59845.195973,1.000163
"theta_zsn_t_zerosum__[0, 38]",-1.387527,0.208244,-1.777088,-0.993851,0.00054,0.000856,149894.449811,57541.329993,1.000022
"theta_zsn_t_zerosum__[0, 39]",-0.760105,0.100369,-0.950914,-0.574218,0.000295,0.000409,117630.428,57594.267231,1.000129
"theta_zsn_t_zerosum__[0, 40]",-1.685438,0.13784,-1.948772,-1.428333,0.000413,0.000517,111732.795134,61057.711047,1.000216
