name,mean,hdi_low,hdi_high,n_obs,is_low_obs
text-babbage-001,-3.045678457815682,-3.577890391043509,-2.5656136060475774,2,True
text-ada-001,-2.950198407760336,-3.4939253349819945,-2.4695070610513796,2,True
babbage,-2.5934683408257087,-3.0657443802889386,-2.1786384379858563,2,True
ada,-2.584312947382033,-3.053934217520049,-2.178871894328961,2,True
text-curie-001,-2.481232951536955,-2.9284972958576843,-2.109044176086248,2,True
opt-1.3b,-2.444150981945795,-2.9502921803648996,-1.963379553299446,2,True
stablelm-tuned-alpha-7b,-2.4191038948266304,-2.934598595545139,-1.925381035743264,2,True
dolly-v2-12b,-2.399326118375924,-2.8053813685822995,-2.0322234696043227,3,True
Cerebras-GPT-13B,-2.3563020103843026,-2.7347887976073713,-2.0032647197400926,3,True
gpt2-xl,-2.350410222162044,-2.852793960248054,-1.8843737164798084,2,True
deepseek-coder-1.3b-base,-2.335475657821406,-2.731716151747681,-1.9983170943052484,3,True
curie,-2.3189798594070306,-2.761330151564764,-1.9444253279750956,2,True
opt-13b,-2.2855682878537165,-2.6595966404931004,-1.9351816689514696,3,True
gpt-j-6b,-2.2619581242408406,-2.627463973611019,-1.92643380204786,3,True
gpt-neo-2.7B,-2.260229266607407,-2.843415795806168,-1.6085245837158264,1,True
RedPajama-INCITE-7B-Base,-2.1625281452314327,-2.539521013084592,-1.8188836352346744,3,True
opt-66b,-2.0939815649858398,-2.494020700396355,-1.75916062202164,2,True
open_llama_7b,-2.068191199268209,-2.4243755965186695,-1.7393963539445643,3,True
gpt-neox-20b,-2.053273672017651,-2.5540573762530023,-1.528831378358134,2,True
Qwen-1_8B,-1.9869507849622319,-2.2599457426343115,-1.7480789191998274,6,False
bloom,-1.958617545256363,-2.354883853505861,-1.6045150439048739,2,True
opt-175b,-1.9325757865726012,-2.3105201883969912,-1.5923233539543542,2,True
davinci,-1.9307255954625986,-2.339028820169778,-1.5763290361596025,2,True
Phi-4-mini-instruct,-1.9263327387552156,-2.7491555952368683,-1.263646604455561,1,True
falcon-7b,-1.9236271072263402,-2.170860719806591,-1.6987944544126132,7,False
mpt-7b,-1.8831704304455616,-2.1333525304558463,-1.65517742412978,7,False
xgen-7b-8k-base,-1.8635418636424974,-2.207826968289905,-1.5401252277490818,3,True
starcoder2-3b,-1.8510146889669616,-2.2381894396401183,-1.5430291934239106,3,True
Baichuan-7B,-1.8443794425457616,-2.1212336233238207,-1.6072445340901846,3,True
deepseek-coder-6.7b-base,-1.8429668292081733,-2.1972195565073207,-1.5485895326505679,3,True
