name,mean,hdi_low,hdi_high,n_obs,is_low_obs
text-babbage-001,56.551926348502285,23.363077103649932,76.56040352017013,2,True
text-ada-001,58.566605180972715,26.536204361642223,78.86774480516132,2,True
babbage,67.24097656742089,39.973336358349016,84.52559867700174,2,True
ada,67.4955506657005,38.855724679018806,85.07312550987311,2,True
text-curie-001,69.80641799723877,43.138928498174145,86.50123563952042,2,True
opt-1.3b,70.72964829487577,43.27360022713545,88.68023701639541,2,True
stablelm-tuned-alpha-7b,71.40547877335716,44.10693458850066,89.56347162467272,2,True
dolly-v2-12b,71.97043658146588,46.74104306971188,87.8547471747308,3,True
Cerebras-GPT-13B,73.08608772684724,48.07134818987855,88.8747304507935,3,True
gpt2-xl,73.0875606800056,46.53125521138944,90.14471990871813,2,True
deepseek-coder-1.3b-base,73.47326317152582,48.46068539673197,89.2265107784682,3,True
curie,73.78953918274574,48.74079796598529,89.40545710070167,2,True
opt-13b,74.66787367792377,50.21508128519014,90.19202123190831,3,True
gpt-j-6b,75.26468525337529,51.23193780216167,90.408199922324,3,True
gpt-neo-2.7B,75.44691166901495,48.044243985572805,94.57822661623372,1,True
RedPajama-INCITE-7B-Base,77.59585867151884,54.69433612014544,92.20962999911359,3,True
opt-66b,79.18512912257509,55.48552443261146,93.93189848768422,2,True
open_llama_7b,79.81074577219715,57.07295949743241,94.30727877800577,3,True
gpt-neox-20b,80.41134236556456,56.028260557880195,97.16338279087132,2,True
Qwen-1_8B,81.87813903831828,60.95003519859657,94.95914860514903,6,False
bloom,82.46055894233959,60.009492003788175,96.60788541254533,2,True
davinci,83.08667763664182,61.24369998630983,97.12869510481629,2,True
opt-175b,83.13025639637388,61.45866761149128,96.88207999338843,2,True
Phi-4-mini-instruct,83.18900244506578,54.00983272162304,102.20090861937571,1,True
falcon-7b,83.34642835467531,63.55069280982749,95.91966459937133,7,False
mpt-7b,84.26474019158005,64.49986558953817,96.74234313431961,7,False
xgen-7b-8k-base,84.7654524693505,64.07088012149771,97.88383846110632,3,True
starcoder2-3b,84.81078473876053,64.20899391715064,98.23342148352654,3,True
deepseek-coder-6.7b-base,85.09592501124081,64.50852843533426,98.18479710421546,3,True
Baichuan-7B,85.20949059780251,65.74943760222472,97.28566965943989,3,True
LLaMA-7B,85.43896942117159,65.80130071305386,97.52750392915513,8,False
gemma-2b,86.42958176613367,67.23009657299318,98.16621825503236,6,False
phi-1_5,86.45360524491316,65.82990539466809,99.47193120238326,3,True
T5-Small,88.76774434657239,67.05484706245923,104.2808607147913,2,True
starcoder2-7b,88.89558216247814,69.51399980547495,101.26333328270863,3,True
Llama-2-7b,89.877341510485,72.07800020466067,100.91752741268841,8,False
Qwen2.5-Coder-0.5B,90.16543735592836,70.68373681917376,102.03312992085621,3,True
Baichuan-2-7B-Base,90.18924396157124,72.62787405380296,101.35829643782117,6,False
deepseek-coder-33b-base,90.26836333345426,71.3546922957374,101.98987943261076,3,True
CodeQwen1.5-7B,90.38583016439999,71.09459909292578,102.49891250640567,3,True
mpt-30b,90.4000843831765,72.62510183935206,101.48900888602311,6,False
chatglm2-6b,90.70319624885076,73.2538519711056,101.57962275651616,6,False
internlm-7b,90.99912756536513,73.80446499408177,102.0834025212668,6,False
LLaMA-13B,91.00009122962821,73.50576101498471,101.985443367633,8,False
Mistral-7B-Instruct-v0.2,91.13641696710931,73.871717910279,101.75295029589545,8,False
INTELLECT-1-Instruct,92.28543731916872,75.12566545548518,103.21849510570955,4,False
LFM2-Audio-1.5B,92.29801197136504,65.60689821665349,110.96193366259428,1,True
Qwen2-VL-7B-Instruct,92.40756030270191,63.86444685301699,111.63961095786652,2,True
vicuna-13b-v1.3,92.70527978334492,74.62509503909789,104.86371045859588,2,True
internlm-chat-20b,92.70955996624465,75.54268095048927,103.45403737667611,3,True
Baichuan-13B-Base,93.76361720704813,77.31879814682804,104.10108230545288,3,True
vicuna-13b-v1.1,94.14907875810977,77.39878154398079,104.7356022685021,4,False
falcon-40b,94.32808374854919,78.22663389057885,104.60884506327494,7,False
text-davinci-001,95.386016483633,78.00323540359636,106.25014023799899,9,False
falcon-40b-instruct,96.00516144217849,77.65322309189297,108.28645507073259,1,True
Yi-6B,96.21084761563085,80.51125345790189,106.43307261117425,4,False
Qwen-7B,96.59085484304528,81.23765596524477,106.60153165087215,6,False
PaLM 62B,96.81096770666996,80.99953776875854,107.11101462071802,4,False
Baichuan-2-13B-Base,97.24705299418422,81.31847916279636,106.9939985153833,6,False
open-mistral-7b,97.35877894774046,80.62158609346176,107.65512975400752,2,True
Llama-2-13b,97.40156075840683,82.48123066259718,107.07692040186258,8,False
Llama-3.2-1B-Instruct,97.99571287513669,70.76076850915743,115.71464789897688,1,True
Baichuan2-13B-Chat,98.28715327837655,83.49075595313977,107.930198591162,3,True
mpt-30b-instruct,98.57598734443937,81.92031650197865,109.91864847795534,2,True
Llama-2-34b,98.6599069296784,84.07612085914319,108.26062994919687,6,False
Qwen2.5-Omni-7B,98.97207447320548,74.91947216577665,115.89654690876364,1,True
Yi-6B-Chat,99.24521016742065,84.50843000509576,108.74105289255213,3,True
Gopher (280B),99.36084681061045,83.19368550852967,111.11225959998683,4,False
Switch-Base,99.36854656324536,77.61503667873413,124.10571615007106,1,True
Llama-2-13b-chat,99.7703024575329,85.33616693693112,109.19941623374585,3,True
Mistral-7B-Instruct-v0.3,99.7744499241447,85.18759820293174,109.10311562367256,3,True
codestral-2405,99.86910552318079,68.63116768429548,119.85118113073825,1,True
LLaMA-33B,100.89494216917248,87.06397426584941,109.96650209694909,7,False
