model,release_date,C_mean,C_hdi_low,C_hdi_high,ECI_mean,ECI_hdi_low,ECI_hdi_high
qwen3.8-max_xhigh,2026-08-02,1.2823663531639857,0.9069448904991809,1.7903743648666508,160.31377130858854,149.97663109210112,176.0095572451623
claude-opus-5,2026-07-24,1.2873410657767357,0.9616045537219144,1.6995808719555816,160.44896998094328,150.88063639006023,174.91012592948098
claude-opus-5_max,2026-07-24,1.4335822650259513,1.1130356258884173,1.8017007960472813,163.914631956331,154.2612518043169,178.53052567254463
kimi-k3_unknown,2026-07-16,1.528144810814583,1.196990546613034,1.8830509954309966,166.14694276532146,155.88815315667475,181.36292593555652
gpt-5.6-sol_max,2026-07-09,1.4865083345946999,1.2377628738499924,1.7318901132771458,165.09958424600595,156.16385319506242,178.2036580824068
grok-4.5_high,2026-07-08,1.2574717615776119,1.0167840770167242,1.5128288582364178,159.6981603094411,151.83727380972906,171.09186563400493
claude-sonnet-5_unknown,2026-06-30,1.3553970699531397,0.9819554700261819,1.6886585959978073,161.956830743613,151.8091159878772,175.53216498353876
glm-5.2_unknown,2026-06-16,-0.18067510605572046,-1.6801271191026816,0.9746971045997808,125.03244296805721,86.91548697506586,153.8333740780798
claude-fable-5_max,2026-06-09,1.5722822022836906,1.272643258413112,1.8467540415949404,167.2675677073243,157.28433809106724,181.2950677958652
claude-fable-5_unknown,2026-06-09,1.7932425046333218,0.7227867818817936,2.6734605508639593,172.2705962802196,146.72382102157448,199.28301564000913
claude-fable-5_high,2026-06-09,0.7563176515073297,0.43881019322135933,1.1575661028489985,147.68134705284794,139.59549135223406,159.06291717105043
MiniMax-M3,2026-06-01,0.6617855371504014,0.1366962389449203,1.1404552742991954,145.26843737679613,132.32714032558215,158.55979038084814
claude-opus-4-8_unknown,2026-05-28,1.4418468536072568,1.0853382509422036,1.76676993504664,164.05354192121507,153.90226236382082,177.96553358372893
deepseek-v4-pro_max,2026-04-24,1.1066963615486334,0.8438600883891154,1.4060167077668992,156.09646723651213,148.29487844298387,167.26733574294448
gpt-5.5_xhigh,2026-04-23,1.3988399052023652,1.1680898664280501,1.6561049857095134,163.09421125325304,154.61231509254827,175.07493980706656
gpt-5.4-2026-03-05_xhigh,2026-03-05,1.3879548794404117,1.213292232265638,1.5791238267828513,162.77870647406715,155.44264107943442,173.87555341526638
gpt-5.4-pro-2026-03-05_unknown,2026-03-05,1.3171110158338089,1.0703626678578666,1.594080962083262,161.1933227341754,152.9113238350769,172.9185447053523
gpt-5.4-pro-2026-03-05_xhigh,2026-03-05,1.4482721953177564,1.0493547526899405,1.9639442019584672,164.31752404654517,152.9625715464524,181.66245894884125
gemini-3.1-pro-preview,2026-02-19,1.2443414888096962,1.1293211356570154,1.3658422538025394,159.41570612600015,153.0234749192226,168.8001223996797
claude-opus-4-6,2026-02-05,1.249301610404653,1.0366502048307626,1.4823888930642626,159.37831524594702,152.11232751484306,170.24467708989985
claude-opus-4-6_high,2026-02-05,1.347816880509909,1.1006001859828851,1.6252765380231622,161.89033313428314,153.44169229198212,174.001373136436
mistral-large-2512,2025-12-02,0.15977016327911753,-0.42649026058234635,0.6831033569184359,133.30500507140374,118.38963024529006,146.29454800494176
gpt-5-pro-2025-10-06_unknown,2025-10-07,1.379825622875116,1.1281996014333735,1.658790336909433,162.64206271358515,154.13140672913087,174.92571860278133
gpt-5-2025-08-07_high,2025-08-07,0.8151558746826613,0.6481791861806548,0.9923406810156372,149.06729779987114,143.75429740267327,156.29565503296416
gpt-5-2025-08-07_unknown,2025-08-07,1.0287868859046703,0.8869375645018814,1.1796532329111815,154.19524177640739,148.52241402356302,162.39291109622752
o3-pro-2025-06-10_high,2025-06-10,0.9935024473297382,0.7557188519931034,1.2501466231309735,153.31045634812858,146.43540528471496,163.11818235357347
o3-pro-2025-06-10,2025-06-10,1.1222063063442502,0.7803897395675924,1.4699248401093028,156.42890379410005,147.2237367426169,168.5046574078361
DeepSeek-R1-0528,2025-05-28,0.47050765059767485,0.32690510753928265,0.6230400125365312,140.7720404092395,136.6160347596124,145.79462097388898
o3-2025-04-16_unknown,2025-04-16,0.8124361387144678,0.5923006099871515,1.0010575030764788,148.88543240502312,142.83217829932158,156.39263851771958
o3-2025-04-16_high,2025-04-16,0.7864898035194341,0.6312387339138174,0.9422869196041761,148.38197111094198,143.49192940806344,154.93747019554175
gemini-2.5-pro-exp-03-25,2025-03-25,0.7186484812113803,0.5060897162470098,0.967045497259892,146.74093250198564,140.94356392704196,154.85588214945048
o1-2024-12-17_high,2024-12-17,0.47413221085103435,0.28170156829623644,0.6957093237847068,140.90992800478693,135.68212709959107,147.42405851332475
o1-2024-12-17_medium,2024-12-17,0.38769360646774154,0.264965822603031,0.5212880213184042,138.79469143622134,135.33979296343165,142.97158823232857
o1-2024-12-17_unknown,2024-12-17,0.590867471544171,0.2300117847924137,1.0337910449695678,143.67369552718372,134.62754394023767,155.74268574236277
Llama-3.3-70B-Instruct,2024-12-06,-0.3246639462314107,-0.4903926507278658,-0.16082458839853073,121.75599422803057,114.70951658348417,126.57412918652136
o1-mini-2024-09-12_high,2024-09-12,0.17541695773853277,-0.01696945488661384,0.39898588320989653,133.75783430010776,128.26184840187048,139.5466151036621
o1-preview-2024-09-12,2024-09-12,0.10103640623749684,-0.011322186550747522,0.2218493025200263,131.96661884991022,128.08292140783524,135.35572465866682
