,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_b_log__[0],-2.123931,0.085735,-2.285514,-1.963472,0.000918,0.000835,8782.675991,6930.08304,0.999777
sigma_b_log__[1],-2.300269,0.234761,-2.749102,-1.879311,0.003928,0.003667,3932.310232,3734.109296,1.000272
sigma_b_log__[2],-2.188596,0.119743,-2.403643,-1.956998,0.002187,0.001198,2995.196914,4564.584554,1.000548
sigma_b_log__[3],-3.311284,0.411008,-4.076599,-2.5248,0.013654,0.007424,903.625545,1544.00242,1.004737
sigma_b_log__[4],-2.697002,0.147801,-2.962643,-2.41006,0.001972,0.00139,5658.893955,5953.826485,1.000545
sigma_b_log__[5],-2.896687,0.172498,-3.217789,-2.56927,0.0036,0.002042,2302.393339,3961.761446,1.000725
sigma_b_log__[6],-2.55358,0.138461,-2.802694,-2.285667,0.001471,0.001349,8862.470421,6603.120999,1.000176
sigma_b_log__[7],-2.845621,0.105686,-3.046967,-2.651612,0.001397,0.000982,5736.249016,6605.317986,1.000241
sigma_b_log__[8],-2.310633,0.190916,-2.685808,-1.959282,0.002413,0.001895,6272.056333,6113.467618,1.000259
sigma_b_log__[9],-3.542632,0.237107,-3.985347,-3.086642,0.004205,0.002363,3164.293154,4869.025695,1.000213
sigma_b_log__[10],-3.147264,0.247211,-3.628652,-2.697377,0.004686,0.002483,2794.822392,5104.403514,1.001314
sigma_b_log__[11],-2.076759,0.226912,-2.487954,-1.644931,0.003366,0.00219,4560.709051,5744.846531,1.000602
sigma_b_log__[12],-2.576739,0.20274,-2.931145,-2.172413,0.003051,0.001969,4437.415553,5690.285656,1.001117
sigma_b_log__[13],-2.774675,0.142529,-3.051171,-2.510743,0.002176,0.001337,4286.868894,5735.856552,1.000747
sigma_b_log__[14],-3.239953,0.399992,-3.99545,-2.50232,0.006716,0.004236,3529.672307,4680.558108,1.000504
sigma_b_log__[15],-1.314751,0.105214,-1.512786,-1.121948,0.001249,0.001102,7236.3194,5670.734874,1.000397
sigma_b_log__[16],-2.584928,0.177029,-2.923998,-2.254699,0.002158,0.00199,6802.893051,5954.151616,1.000179
sigma_b_log__[17],-2.915821,0.083262,-3.071335,-2.760156,0.001796,0.000893,2146.51439,3731.285547,1.001365
sigma_b_log__[18],-2.262155,0.112252,-2.462901,-2.050265,0.001024,0.001254,12114.40734,6322.359803,1.000949
sigma_b_log__[19],-2.491864,0.115802,-2.711447,-2.282961,0.001165,0.001296,9964.881779,6255.883778,1.000395
sigma_b_log__[20],-2.404491,0.115285,-2.620463,-2.186652,0.001092,0.001363,11201.932198,6263.666699,1.001146
sigma_b_log__[21],-2.766528,0.123515,-2.996371,-2.53388,0.001231,0.001288,10156.443001,6404.879064,1.000173
sigma_b_log__[22],-2.185791,0.139996,-2.442787,-1.919346,0.003011,0.001507,2163.546374,4255.677891,1.000578
sigma_b_log__[23],-2.470788,0.159402,-2.776084,-2.174136,0.002384,0.001589,4496.250954,5029.095497,1.000268
sigma_b_log__[24],-2.653954,0.137172,-2.914919,-2.396074,0.001328,0.001443,10853.602006,6247.281914,1.001218
sigma_b_log__[25],-2.64624,0.101112,-2.832481,-2.45465,0.000975,0.001054,10871.144422,6867.154179,0.99998
sigma_b_log__[26],-2.274767,0.098449,-2.462392,-2.091823,0.001292,0.000928,5816.36811,6579.861604,1.000669
sigma_b_log__[27],-2.693581,0.074977,-2.833706,-2.554061,0.001324,0.000685,3213.414011,5361.479415,1.000459
sigma_b_log__[28],-3.179084,0.129365,-3.416559,-2.931234,0.001235,0.001443,11024.391519,6432.887648,1.000457
sigma_b_log__[29],-3.076001,0.124671,-3.305314,-2.844067,0.001257,0.001289,9889.877262,6838.200065,0.999736
sigma_b_log__[30],-3.007515,0.138893,-3.267074,-2.748638,0.001432,0.001461,9423.17945,6036.966639,1.000151
sigma_b_log__[31],-2.920752,0.143064,-3.195984,-2.65724,0.001659,0.001496,7437.249533,6135.269512,1.00041
sigma_b_log__[32],-2.773222,0.118433,-2.992206,-2.546609,0.001424,0.001189,6922.601227,6048.193351,1.00062
sigma_b_log__[33],-2.692615,0.137367,-2.9598,-2.443943,0.001399,0.001486,9698.953973,6433.912988,1.001007
sigma_b_log__[34],-2.811872,0.144315,-3.092326,-2.546369,0.001974,0.001347,5346.706823,5986.32533,1.000122
sigma_b_log__[35],-1.661973,0.157577,-1.947613,-1.35858,0.001633,0.001751,9348.364848,5959.729081,1.000321
sigma_b_log__[36],-3.029039,0.132607,-3.287452,-2.791543,0.00134,0.001437,10028.895625,6018.177256,1.000216
sigma_b_log__[37],-3.187331,0.137198,-3.437123,-2.927918,0.001479,0.001406,8668.978478,6659.639556,1.000547
sigma_b_log__[38],-2.81117,0.253993,-3.3105,-2.371303,0.006369,0.005556,1770.239055,1966.206444,1.000912
sigma_b_log__[39],-2.331615,0.143982,-2.606317,-2.070658,0.001552,0.001461,8660.234003,6575.78947,1.000962
sigma_b_log__[40],-2.779638,0.139316,-3.040792,-2.522409,0.00177,0.001327,6191.528825,6524.231288,1.000083
sigma_b_log__[41],-3.113125,0.104075,-3.306602,-2.916546,0.002407,0.001133,1867.345171,3837.097138,1.002025
sigma_b_log__[42],-2.191749,0.155032,-2.485307,-1.909208,0.002441,0.00205,4211.041589,4737.07155,1.000533
sigma_b_log__[43],-1.836924,0.060888,-1.941902,-1.711704,0.000578,0.000658,11113.765417,6441.373542,1.000593
sigma_b_log__[44],-3.250251,0.300882,-3.83066,-2.702741,0.00354,0.00295,7259.363808,5975.46088,1.000286
sigma_b_log__[45],-2.976765,0.405906,-3.758478,-2.253202,0.009622,0.004816,1771.400816,3519.069871,0.999916
sigma_b_log__[46],-2.316152,0.154194,-2.611762,-2.028973,0.003473,0.001745,1969.076753,3839.091328,1.00184
sigma_b_log__[47],-2.425341,0.240022,-2.8649,-1.967544,0.003597,0.002361,4409.667161,5516.910878,1.000452
sigma_b_log__[48],-2.282332,0.103259,-2.46798,-2.081262,0.000914,0.001111,12884.995394,6771.317935,1.00071
sigma_b_log__[49],-3.361364,0.154053,-3.649463,-3.077364,0.001615,0.001598,9197.770993,6644.209537,1.000313
sigma_b_log__[50],-2.314632,0.120944,-2.543721,-2.087959,0.001654,0.001226,5442.930641,5353.408816,1.000267
sigma_b_log__[51],-3.137453,0.262674,-3.638714,-2.65956,0.004418,0.002616,3532.5161,5154.350223,1.00032
sigma_b_log__[52],-2.702515,0.119032,-2.936449,-2.489243,0.001109,0.001376,11847.686766,6069.182018,1.000179
sigma_b_log__[53],-2.60536,0.115513,-2.824233,-2.393531,0.001071,0.001264,11688.525414,6022.351244,1.000149
tau_CD_log__,0.482239,0.099337,0.300014,0.668372,0.002889,0.001585,1200.02681,1949.151672,1.00459
sigma_A_log__,-0.485952,0.111772,-0.695435,-0.277253,0.002987,0.001514,1403.949869,2763.211161,1.00193
"theta_t_zerosum__[0, 0]",0.271469,0.83831,-1.266878,1.905603,0.007297,0.010263,13188.859327,5619.704349,1.000423
"theta_t_zerosum__[0, 1]",-0.602137,0.215191,-0.963372,-0.15903,0.004613,0.00259,2244.215965,4109.670554,1.000538
"theta_t_zerosum__[0, 2]",-1.469895,0.124241,-1.710801,-1.247762,0.001224,0.001551,10239.904981,5055.976151,1.00034
"theta_t_zerosum__[0, 3]",-1.326057,0.12196,-1.552784,-1.093063,0.001484,0.001584,7111.661958,4803.598097,1.000065
"theta_t_zerosum__[0, 4]",-1.616544,0.126096,-1.85576,-1.38245,0.001672,0.001643,5991.63812,4392.169115,1.000667
"theta_t_zerosum__[0, 5]",-1.82842,0.137237,-2.093299,-1.580117,0.001557,0.001669,8006.087264,5178.251405,1.000111
"theta_t_zerosum__[0, 6]",-1.280814,0.120959,-1.499837,-1.04682,0.001209,0.001619,9996.941245,5964.749157,1.000584
"theta_t_zerosum__[0, 7]",0.149887,0.855685,-1.374583,1.823013,0.007861,0.011032,11851.481726,5883.851901,1.001177
