model,axis,n_obs,is_human,is_sota,is_low_obs,chained,informed,release_date,mean,median,sd,chain_split,outside_50,outside_50_central,lump_lo,lump_hi,hi_share,sum_spread,axis_spread,ridge_ratio,lump_gap
Aria,axis1,1,False,False,True,False,False,2024-09-30 00:00:00,0.17742512065916013,0.16822468069438656,0.9021574076265668,False,False,False,,,,0.04625773646928641,0.11063346333051396,0.41811704231922026,
Aria,axis2,1,False,False,True,False,False,2024-09-30 00:00:00,0.14062360538766902,0.16015677180802043,0.9521949141304202,False,False,False,,,,0.04625773646928641,0.11063346333051396,0.41811704231922026,
Average Human,axis1,13,True,False,False,False,False,,0.12547752757345448,-0.13756882250612923,0.6310706359790588,False,True,False,,,,0.1851683722969419,0.5134091840863975,0.3606643161758895,
Average Human,axis2,13,True,False,False,False,False,,1.509362090893383,1.6792834435684163,0.4530467544806783,False,True,False,,,,0.1851683722969419,0.5134091840863975,0.3606643161758895,
Baichuan-13B-Base,axis1,3,False,False,True,False,False,2023-07-11 00:00:00,-0.8724797815918468,-1.0370770202082562,0.6831066538417396,False,False,False,,,,0.02790893207953166,0.40542704171889943,0.06883835858902121,
Baichuan-13B-Base,axis2,3,False,False,True,False,False,2023-07-11 00:00:00,-0.3500273962937935,-0.5058161111602777,1.0108060670439245,False,False,False,,,,0.02790893207953166,0.40542704171889943,0.06883835858902121,
Baichuan-2-13B-Base,axis1,8,False,False,False,False,False,2023-09-06 00:00:00,-0.9975886311511372,-1.3798433018199145,0.8332888100413322,False,True,False,,,,0.0667097595094187,0.7489447311065833,0.08907167209902588,
Baichuan-2-13B-Base,axis2,8,False,False,False,False,False,2023-09-06 00:00:00,-0.29622508686518745,-0.089328708815366,0.8696521373557815,False,False,False,,,,0.0667097595094187,0.7489447311065833,0.08907167209902588,
Baichuan-2-7B-Base,axis1,7,False,False,False,False,False,2023-09-20 00:00:00,-1.2116488418625062,-1.6862110539784816,1.0407738386732972,False,True,False,,,,0.06469580716028477,0.9482081762501113,0.06822953944157911,
Baichuan-2-7B-Base,axis2,7,False,False,False,False,False,2023-09-20 00:00:00,-0.2708783711123775,0.01509241374291415,1.0508425332315154,False,False,False,,,,0.06469580716028477,0.9482081762501113,0.06822953944157911,
Baichuan-7B,axis1,4,False,False,False,False,False,2023-06-01 00:00:00,-1.316698892171121,-1.5501619534961644,0.8035502035290372,False,True,False,,,,0.03937993991801313,0.6177859691268083,0.06374366186022898,
Baichuan-7B,axis2,4,False,False,False,False,False,2023-06-01 00:00:00,-0.5113527483261681,-0.5600538998918705,1.010586033870962,False,False,False,,,,0.03937993991801313,0.6177859691268083,0.06374366186022898,
Baichuan2-13B-Chat,axis1,3,False,False,True,False,False,2023-09-06 00:00:00,-0.6957991965578123,-0.8233545170285538,0.607713737730987,False,False,False,,,,0.03574588301485585,0.31042562603065593,0.11515119892623099,
Baichuan2-13B-Chat,axis2,3,False,False,True,False,False,2023-09-06 00:00:00,-0.2811205057374999,-0.4610765372017642,0.9274621159826789,False,False,False,,,,0.03574588301485585,0.31042562603065593,0.11515119892623099,
ByteVideoLLM-14B,axis1,1,False,False,True,False,False,2024-10-13 00:00:00,0.12531004700438184,0.13038136630555008,0.9311791065579792,False,False,False,,,,0.0367703888429478,0.04548748302241085,0.8083627934487319,
ByteVideoLLM-14B,axis2,1,False,False,True,False,False,2024-10-13 00:00:00,0.09388484727293044,0.10083152121314012,0.9800114414764025,False,False,False,,,,0.0367703888429478,0.04548748302241085,0.8083627934487319,
Cerebras-GPT-13B,axis1,7,False,False,False,False,False,2023-03-20 00:00:00,-1.656219189426278,-1.986260438851207,0.8868445408110911,False,True,False,,,,0.015874629167040973,0.7976095739074066,0.019902756544499346,
Cerebras-GPT-13B,axis2,7,False,False,False,False,False,2023-03-20 00:00:00,-0.6507404513089469,-0.5007175084523487,1.0011378373492659,False,False,False,,,,0.015874629167040973,0.7976095739074066,0.019902756544499346,
Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,axis1,1,False,False,True,False,False,2024-06-20 00:00:00,-0.4164684027621795,-0.45450754810344696,0.9651151564356987,False,False,False,,,,0.10193307388796412,0.2555335586098052,0.3989028855642947,
Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,axis2,1,False,False,True,False,False,2024-06-20 00:00:00,-0.22588789359304232,-0.2565602467455555,1.0106402303187147,False,False,False,,,,0.10193307388796412,0.2555335586098052,0.3989028855642947,
Chat-UniVi-7B-v1.5,axis1,1,False,False,True,False,False,2024-04-23 00:00:00,-0.4941606227081356,-0.49537101476842943,1.0134427283975367,False,False,False,,,,0.12448505927869936,0.26535929395392444,0.46911889696357983,
Chat-UniVi-7B-v1.5,axis2,1,False,False,True,False,False,2024-04-23 00:00:00,-0.2939063502274809,-0.3003906423170679,1.0218316551186635,False,False,False,,,,0.12448505927869936,0.26535929395392444,0.46911889696357983,
ChatGPT agent,axis1,1,False,False,True,False,False,2025-07-17,0.09084382625471672,0.11661718041205951,0.7607954378612166,False,False,False,,,,0.055088876647131295,0.027709493908918213,1.9880867123813155,
ChatGPT agent,axis2,1,False,False,True,False,False,2025-07-17,0.08217229438963926,0.09682375383725218,0.8957014614647515,False,False,False,,,,0.055088876647131295,0.027709493908918213,1.9880867123813155,
Chinchilla (70B),axis1,6,False,False,False,False,False,2022-03-29 00:00:00,-0.5044075555756369,-0.56575479939258,0.4509468490081199,False,False,False,,,,0.07552655452282553,0.17637845376228833,0.4282073740402295,
Chinchilla (70B),axis2,6,False,False,False,False,False,2022-03-29 00:00:00,-0.34004296156619596,-0.3772651002779789,0.6031404765185261,False,False,False,,,,0.07552655452282553,0.17637845376228833,0.4282073740402295,
