axis,tier,human_mean,human_hdi_low,human_hdi_high,crossover_date_median,crossover_hdi_low,crossover_hdi_high,p_passed_now,frac_positive_slope,status,hdi80_low,hdi80_high
axis1,Average Human,2.152310013765643,1.4994416461616686,2.625320160167508,2026-08-02 00:00:00.000002989,2026-02-05 00:00:00.000002989,2027-01-28 20:53:21.408935637,0.5393333333333333,1.0,passed_mean,2025-07-09 00:00:00.000002358,2028-01-24 22:24:02.681475526
axis1,Skilled Generalist,2.459185826598749,1.8309065718862017,2.9354520488816336,2026-11-30 21:03:19.893953545,2026-04-22 23:59:59.999997641,2027-06-20 11:03:25.519193876,0.39916666666666667,1.0,future,2026-02-05 00:00:00.000002989,2028-07-18 13:48:43.923721720
axis1,High School Qualifier,2.750591434745086,2.251406026730346,3.2170733966003646,2027-04-10 12:38:32.396590250,2026-08-02 00:00:00.000002989,2027-10-06 14:15:55.644160438,0.25025,1.0,future,2026-02-16 00:00:00.000003300,2028-04-14 13:40:53.191591173
axis1,Domain Expert,2.876166376916032,2.361635262404084,3.3692195519722254,2027-05-29 10:55:17.406058169,2026-08-02 00:00:00.000002989,2027-11-06 00:07:15.890926160,0.21275,1.0,future,2026-02-16 00:00:00.000003300,2028-06-04 23:16:52.148122933
axis1,Committee of Average Humans,3.1695098468987606,2.4641025033025774,3.6879111699278173,2027-09-16 03:28:37.225920354,2027-02-20 09:23:42.017829898,2028-07-10 06:06:53.343545132,0.18575,1.0,future,2026-02-16 00:00:00.000003300,2028-10-27 19:44:52.624424353
axis1,Committee of Skilled Generalists,3.175758778311785,2.4773953450141124,3.813173089284498,2027-09-26 06:49:56.245276793,2026-11-09 21:05:44.116778509,2028-06-28 23:25:05.724938524,0.19183333333333333,1.0,future,2026-02-16 00:00:00.000003300,2029-03-29 17:26:39.594493086
axis1,Committee of Domain Experts,3.3240462263188078,2.7091306063947966,3.9175022870067466,2027-11-21 05:33:44.018516491,2027-01-08 15:29:20.806595125,2028-08-04 13:15:04.169321663,0.13133333333333333,1.0,future,2026-04-22 23:59:59.999997641,2029-04-17 21:21:43.091313048
axis1,High School Top Performer,3.348002419733572,2.7558858817588394,3.89838729396142,2027-12-08 14:39:02.160212244,2027-02-23 07:49:56.798285111,2028-08-02 00:27:21.326183357,0.11141666666666666,1.0,future,2026-08-02 00:00:00.000002989,2029-05-19 08:19:33.058127144
axis1,Top Performer,4.005426681304859,3.3416023249682714,4.669225350206251,2028-08-31 00:15:18.495929096,2027-10-01 20:57:41.294372376,2029-06-27 09:24:50.171577226,0.0535,1.0,future,2027-01-03 15:06:14.232339328,2030-05-30 23:56:12.035987102
axis2,Average Human,-4.126843401883135,-4.491716492474249,-3.6843922941086453,2020-04-30 19:55:32.846406896,2019-06-11 15:51:16.681889134,2021-02-06 06:45:49.456601352,0.94475,0.9991666666666666,passed_mean,2018-03-14 21:32:32.702882447,2021-11-15 19:48:40.441039776
axis2,Skilled Generalist,-3.876861549988101,-4.221476468866963,-3.440994478079176,2020-07-30 18:58:00.386328175,2019-09-29 15:29:30.304957845,2021-04-22 10:30:00.013260905,0.9181666666666667,0.9991666666666666,passed_mean,2018-07-18 23:21:19.132930082,2022-01-11 13:48:00.982547210
axis2,Committee of Average Humans,-3.2424128898031253,-3.8291794244877666,-2.4381886634093553,2021-03-04 19:26:29.595722784,2020-04-08 09:33:33.119162870,2022-01-09 23:41:16.183993064,0.9173333333333333,0.9991666666666666,passed_mean,2018-11-06 02:49:45.506942889,2022-10-08 16:51:37.918750697
axis2,Committee of Skilled Generalists,-3.0330530365296458,-3.580937297039922,-2.2713052541744383,2021-05-13 12:04:27.704821454,2020-06-22 11:55:41.842075160,2022-02-08 14:06:46.648506623,0.8998333333333334,0.9991666666666666,passed_mean,2019-04-12 18:29:38.206465776,2022-11-26 21:49:22.550024161
axis2,High School Qualifier,-2.2354646743010895,-2.552991325112422,-1.8666932028361463,2022-01-20 12:27:54.444015302,2021-07-27 18:11:42.906834147,2022-08-14 09:16:17.289242794,0.9613333333333334,0.9991666666666666,passed_mean,2020-09-01 08:36:57.945131496,2023-01-04 08:38:01.348920464
